Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
31.602 40.73354 9.25 2.66 0.0 0.0 0.25 0.27 -0.01 1.55 0.0 1.55 BOLU_GDU
31.4388 40.937 21.2 5.76 0.0 0.0 1.69 1.74 -0.01 -1.4 0.0 -1.4 YIGI_GPS
31.4388 40.937 21.2 5.76 0.0 0.0 1.69 1.74 -0.01 -1.4 0.0 -1.4 YIGI_GDU
31.332 40.17331 -2.2 0.35 0.0 0.0 0.24 0.24 -0.01 0.67 0.0 0.67 NAHA_GDU
30.9163 40.11795 -3.38 0.81 0.0 0.0 0.41 0.45 -0.05 1.93 0.0 1.93 CMLN_GIZ
30.8266 40.73478 13.62 1.18 0.0 0.0 1.23 1.39 -0.16 1.79 0.0 1.79 KDER_GDU
30.8266 40.73478 10.14 3.42 0.0 0.0 2.52 2.82 -0.11 5.03 0.0 5.03 KDER_GPS
30.8044 40.38572 -2.64 1.19 0.0 0.0 0.86 0.94 -0.05 -0.5 0.0 -0.5 TEBA_GPS
30.8044 40.38572 -2.64 1.19 0.0 0.0 0.86 0.94 -0.05 -0.5 0.0 -0.5 TEBA_GDU
30.8044 40.38575 2.96 1.91 0.0 0.0 1.1 1.19 -0.06 -5.65 0.0 -5.65 TEB1_GPS
30.7611 40.58886 8.15 2.48 0.0 0.0 0.68 0.73 0.0 -0.29 0.0 -0.29 AGOK_GPS
30.7611 40.58886 2.62 2.13 0.0 0.0 0.52 0.55 -0.02 -0.87 0.0 -0.87 AGOK_GDU
30.7413 40.53593 4.26 5.27 0.0 0.0 2.14 3.04 0.09 15.8 0.0 -15.8 ACV2_GPS
30.7407 40.79499 16.05 2.88 0.0 0.0 0.25 0.28 -0.01 -0.88 0.0 -0.88 HEND_GDU
30.6803 40.53834 3.91 2.78 0.0 0.0 0.81 0.89 0.01 -0.97 0.0 -0.97 AGUZ_GPS
30.6803 40.53834 -0.26 1.54 0.0 0.0 1.65 1.86 -0.07 -4.85 0.0 -4.85 AGUZ_GDU
30.6639 40.60552 6.97 2.09 0.0 0.0 1.37 1.57 0.09 21.65 0.0 -21.65 ATOP_GPS
30.6381 40.61426 9.72 4.22 0.0 0.0 0.87 0.98 -0.05 27.77 0.0 27.77 KTOP_GPS
30.6381 40.61426 -9.16 1.35 0.0 0.0 56.85 56.85 0.0 2.35 0.0 2.35 KTOP_GDU
30.637 39.65758 -3.58 1.26 0.0 0.0 0.76 0.78 -0.01 -0.78 0.0 -0.78 ESKI_GIZ
30.5951 40.8243 30.94 9.24 0.0 0.0 2.98 1.82 -0.01 15.74 0.0 -15.74 PIRE_GDU
30.5704 40.02787 -3.91 1.23 0.0 0.0 0.47 0.5 -0.03 -0.87 0.0 -0.87 MHGZ_GIZ
30.4636 39.74569 -3.53 1.3 0.0 0.0 0.24 0.25 -0.01 -0.32 0.0 -0.32 ESKS_GDU
30.4617 40.47787 -3.19 1.99 0.0 0.0 0.53 0.59 -0.04 -0.36 0.0 -0.36 DGCT_GDU
30.4533 40.35062 -3.79 2.09 0.0 0.0 0.44 0.47 -0.03 -1.33 0.0 -1.33 SEYH_GIZ
30.4045 40.88001 22.76 4.94 0.0 0.0 0.54 0.57 -0.04 -0.19 0.0 -0.19 CLTK_GDU
30.3252 40.61164 0.87 3.39 0.0 0.0 0.4 0.41 -0.07 0.31 0.0 0.31 SEFI_G35
30.3252 40.61164 0.87 3.39 0.0 0.0 0.4 0.41 -0.07 0.31 0.0 0.31 SEFI_GDU
30.3034 40.78523 16.8 5.56 0.0 0.0 0.82 0.92 -0.08 -0.19 0.0 -0.19 KAZI_G35
30.3034 40.78523 16.8 5.56 0.0 0.0 0.82 0.92 -0.08 -0.19 0.0 -0.19 KAZI_GDU
30.2935 41.04825 24.18 3.83 0.0 0.0 0.75 0.83 -0.05 0.2 0.0 0.2 KANR_GIZ
30.2935 41.04825 24.18 3.83 0.0 0.0 0.75 0.83 -0.05 0.2 0.0 0.2 KANR_GDU
30.2293 41.1868 24.09 5.55 0.0 0.0 0.51 0.55 -0.04 0.68 0.0 0.68 KFKT_GDU
30.134 40.68972 8.7 3.5 0.0 0.0 0.72 0.79 -0.01 -4.41 0.0 -4.41 SMAS_GPS
30.134 40.68972 5.91 4.24 0.0 0.0 0.7 0.83 0.0 -0.1 0.0 -0.1 SMAS_G35
30.134 40.68972 5.91 4.24 0.0 0.0 0.7 0.83 0.0 -0.1 0.0 -0.1 SMAS_GDU
30.1302 40.74533 26.11 5.2 0.0 0.0 23.09 23.09 0.0 -9.06 0.0 -9.06 SISL_G35
30.1302 40.74533 14.71 3.93 0.0 0.0 0.34 0.39 -0.02 -1.02 0.0 -1.02 SISL_GDU
30.1302 40.74533 14.71 3.93 0.0 0.0 0.34 0.39 -0.02 -1.02 0.0 -1.02 SISL_GPS
30.0264 40.46472 4.15 3.79 0.0 0.0 1.06 1.07 -0.01 -1.61 0.0 -1.61 MEKE_GPS
29.9773 40.14146 -2.43 2.35 0.0 0.0 0.34 0.34 0.0 -0.21 0.0 -0.21 BILE_GDU
29.9731 41.03354 23.57 4.88 0.0 0.0 0.52 0.55 -0.04 0.86 0.0 0.86 AKCO_GIZ
29.9731 41.03354 23.57 4.88 0.0 0.0 0.52 0.55 -0.04 0.86 0.0 0.86 AKCO_GDU
