center_lon center_lat radius notes
14.02520 40.85340 27.7500 Campi_Flegrei
14.42710 40.82070 10.0000 Vesubius
14.96370 37.73790 22.5000 Etna
40.27230 12.33190 135.000 Afar
14.90480 41.65420 1.00000 CIGN_GPS
12.43060 42.86970 1.00000 ASSI_GPS
3.034200 47.50480 1.00000 STUN_GPS
359.8226 44.74290 1.00000 CESS_GPS
7.004100 52.16110 1.00000 EPEI_GPS
7.718200 51.62480 1.00000 HAMI_GPS
8.685400 50.53310 1.00000 MRBG_GPS
8.625900 50.17500 1.00000 NIED_GPS
8.657800 50.14200 1.00000 DT04_GPS
18.61190 49.95250 1.00000 JAST_GPS
23.58680 46.75790 1.00000 CLUJ_GPS
26.43920 45.09750 1.00000 JUGU_GPS
24.78970 44.56270 1.00000 STOL_GPS
28.42730 49.21970 1.00000 VNRS_GPS
33.96950 44.39290 1.00000 KTVL_GPS
26.12490 44.44770 1.00000 TOP6_GPS
24.26163 41.94067 1.00000 8385_GPS
26.78290 40.98677 1.00000 HEMI_GPS
32.47630 37.85940 1.00000 KNY1_GPS
6.855900 45.62510 1.00000 ROSI_GPS
7.198700 45.71710 1.00000 RUMI_GPS
7.442600 45.75290 1.00000 TNUS_GPS
6.811700 44.48090 1.00000 SURF_GPS
2.663700 44.93090 1.00000 JOUS_GPS
76.94500 52.28500 1.00000 PVL9_GPS
92.72000 11.64000 1.00000 PORT_GPS
107.0870 10.35300 1.00000 QT04_GPS
358.2863 37.65660 3.50000 LORC_LOR1_GPS
9.245500 39.49040 1.00000 SRT1_GPS
43.73900 37.57400 1.00000 HAKK_GPS
122.0300 46.04000 1.00000 NMWL_GPS
120.1100 43.86000 1.00000 NMAL_GPS
122.6300 43.30000 1.00000 NMAG_GPS
115.9800 42.23000 1.00000 NMZL_GPS
111.9400 43.63000 1.00000 NMEL_GPS
14.22000 40.55000 1.00000 CAPR_GPS
69.78009 35.25127 1.00000 PAN3_GPS
67.86800 37.83800 1.00000 KFIR_GPS
69.18447 38.46727 1.00000 GF21_GPS
33.32000 28.70000 1.00000 RUDS_GPS
18.73890 49.22730 1.00000 KUZA_GPS
26.39440 49.95130 1.00000 DORO_GPS
20.40600 49.96780 1.00000 BOCH_GPS
19.03570 50.25330 1.00000 KATO_GPS
19.00880 50.25330 1.00000 TYCH_GPS
19.15940 50.34450 1.00000 BEDZ_GPS
38.74300 40.04700 1.00000 AYDG_GPS
39.36100 39.90200 1.00000 AHMD_GPS
38.44800 40.31600 1.00000 SBKH_GPS
39.49400 39.65200 1.00000 BNKC_GPS
37.00100 40.68500 1.00000 OZDM_GPS
25.40000 36.40000 10.0000 Santorini
23.37200 38.98600 1.00000 CG17_GPS
23.46300 38.84300 1.00000 CG27_GPS
23.54000 38.44500 1.00000 CG35_GPS
23.74300 38.43000 1.00000 CG41_GPS
22.80600 38.75200 1.00000 CG21_GPS
22.06056 38.12745 1.00000 EG62_GPS
21.89850 45.29290 1.00000 RESI_GPS
45.80840 32.50190 1.00000 ISCU_GPS
26.92900 36.75200 1.00000 KOSI_GPS
26.40600 36.58600 1.00000 ASTP_GPS
14.64621 39.10088 94.3500 Aeolian_Islands
