Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
344.36673 27.76374 -5.92 0.36 16.72 17.39 0.2 0.17 0.042 0.14 -0.18 3.0 MAS1_GPS
66.88545 39.13477 -3.11 2.19 26.88 4.36 0.3 0.26 -0.057 0.03 0.89 3.0 KIT3_GPS
27.68698 -25.8901 -0.61 5.37 17.68 18.6 0.24 0.22 0.025 -0.06 0.08 3.0 HRAO_GPS
21.03154 52.09728 -2.82 -0.11 20.94 14.4 0.12 0.09 0.01 0.2 0.44 3.0 JOZE_GPS
20.81047 -32.38021 0.14 4.88 16.7 19.15 0.13 0.12 -0.018 0.03 -0.07 3.0 SUTH_GPS
15.50834 38.26382 -2.2 4.08 23.75 19.43 0.11 0.12 0.039 0.12 0.33 0.85 MSRU_GPS
15.08209 37.5136 -2.51 1.45 23.1 15.97 0.16 0.19 0.028 1.47 0.32 1.9 EIIV_GPS
14.98979 36.87585 -4.42 4.4 21.29 19.84 0.15 0.12 -0.007 0.11 0.31 3.0 NOT1_GPS
14.5262 35.83798 -4.42 4.38 21.34 19.87 0.1 0.14 0.025 -0.14 0.3 1.3 MALT_GPS
13.0661 52.3793 -2.93 -0.38 18.55 15.37 0.14 0.15 -0.011 0.23 0.36 3.0 POTS_GPS
12.60566 35.49978 -5.45 2.95 20.3 18.72 0.13 0.12 0.011 0.14 0.27 3.0 LAMP_GPS
11.92552 57.3953 -3.07 -1.03 17.15 14.66 0.12 0.14 -0.073 2.48 0.37 1.16 ONSA_GPS
10.87136 33.86971 -5.79 2.96 19.69 18.8 0.39 0.4 -0.033 1.36 0.24 3.0 JERB_GPS
10.82575 35.77545 -4.47 2.7 20.57 18.53 0.29 0.29 0.062 1.08 0.25 3.0 MONA_GPS
10.75175 34.7284 -5.48 2.88 19.83 18.75 0.22 0.22 0.026 1.23 0.24 3.0 SFAX_GPS
10.54723 35.34581 -5.0 2.5 20.18 18.4 0.28 0.27 -0.016 1.14 0.24 3.0 SOUA_GPS
10.52582 32.79955 -6.12 6.33 19.48 22.34 2.1 1.83 0.263 0.23 0.23 3.0 KSAR_GPS
10.49317 33.34224 -6.14 3.59 19.38 19.45 0.24 0.23 -0.007 1.43 0.23 3.0 MEDN_GPS
10.21163 36.35455 -6.76 0.14 18.08 16.05 0.23 0.24 0.012 0.99 0.24 3.0 ZRBA_GPS
10.19756 36.83883 -2.89 1.63 22.05 17.65 0.22 0.22 0.011 0.92 0.25 3.0 TUNI_GPS
10.09761 35.68362 -4.81 0.88 20.01 16.7 0.22 0.22 0.033 1.08 0.24 3.0 KAIR_GPS
9.87464 37.26976 -0.94 -0.12 23.66 15.83 0.5 0.55 -0.007 0.86 0.25 3.0 BZRT_GPS
9.84245 34.57564 -5.72 3.08 19.37 18.99 0.23 0.23 -0.005 1.24 0.23 3.0 MZNA_GPS
9.76941 33.88247 -6.64 2.66 19.0 18.82 0.18 0.17 -0.003 1.34 0.22 3.0 HAMA_GPS
9.67213 0.35391 -3.68 3.3 22.08 19.77 0.2 0.16 -0.036 -0.02 -0.01 3.0 NKLG_GPS
9.48646 35.03531 -4.09 2.57 21.02 18.63 0.2 0.19 0.035 1.17 0.23 3.0 SBZD_GPS
9.38083 36.07629 -3.29 2.5 21.45 18.5 0.2 0.2 0.006 1.02 0.23 3.0 SLNA_GPS
9.19087 36.72195 -3.1 1.76 21.49 17.78 0.19 0.19 0.009 0.92 0.23 3.0 BEJA_GPS
9.11015 39.22802 -2.75 0.0 21.54 16.22 0.14 0.15 -0.002 0.1 0.25 0.67 CAG1_GPS
8.97244 33.71083 -7.5 1.78 18.02 18.03 0.2 0.19 0.017 1.34 0.21 3.0 KEBI_GPS
8.84093 35.17271 -3.44 1.82 21.64 18.01 0.12 0.12 0.04 1.14 0.22 3.0 KASS_GPS
8.79394 34.41801 -6.26 1.02 19.01 17.24 0.16 0.16 0.04 1.24 0.21 3.0 GFSA_GPS
8.77721 36.49205 -3.2 1.06 21.74 17.35 0.17 0.17 0.032 0.94 0.23 3.0 JEND_GPS
8.76262 41.92746 -2.7 -0.36 20.79 15.76 0.12 0.14 -0.004 0.22 0.26 1.77 AJAC_GPS
8.70992 36.17882 -1.32 3.78 23.13 19.75 0.23 0.24 0.038 0.98 0.22 3.0 ELKF_GPS
