Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
2.3098 36.5347 -3.52 73.8 19.92 17.8 0.12 0.11 -0.0 0.8 0.19 3.0 ABKD_GPS
47.2292 -19.0183 -128.37 -27.06 18.77 14.3 0.25 0.25 0.001 0.03 -0.16 3.0 ABPO_GPS
4.1986 35.4346 -6.97 70.96 18.53 18.77 0.15 0.11 0.0 1.0 0.18 3.0 ABSD_GPS
3.0333 36.7961 -1.81 72.18 20.5 17.64 0.08 0.1 -0.0 0.78 0.19 3.0 ABZH_GPS
351.6011 43.3644 7.87 93.19 20.73 17.1 0.1 0.1 0.01 -0.51 0.23 0.46 ACOR_GPS
3.448 34.9115 -9.82 72.56 17.52 18.83 0.12 0.12 0.0 1.06 0.18 3.0 ADCK_GPS
138.6473 -34.729 -43.65 -60.4 24.68 59.05 0.61 0.34 0.0 -0.2 -0.2 3.0 ADE1_GPS
38.7663 9.0351 -67.68 -4.24 24.71 18.8 0.4 0.44 0.0 0.08 0.02 3.0 ADIS_GPS
3.0982 34.215 -12.14 74.26 17.32 19.81 0.12 0.14 0.0 1.16 0.18 3.0 ADJF_GPS
2.5758 35.4014 -8.75 74.3 17.69 18.82 0.13 0.12 0.0 0.98 0.19 3.0 AFDJ_GPS
4.451 34.7238 -9.53 70.71 17.83 19.02 0.13 0.12 0.0 1.11 0.18 3.0 AFRS_GPS
8.7626 41.9275 16.24 58.44 20.76 15.76 0.12 0.14 -0.0 0.24 0.22 1.77 AJAC_GPS
3.4143 36.6508 -2.51 73.13 19.99 19.37 0.17 0.4 -0.0 0.82 0.19 3.0 AKDR_GPS
3.8908 36.0539 -3.12 72.04 20.85 19.4 0.87 0.4 -0.0 0.19 0.19 3.0 AKET_GPS
359.5188 38.3389 -0.4 78.11 20.05 16.73 0.12 0.12 -0.0 0.19 0.2 3.0 ALAC_GPS
236.513 48.3898 -167.1 52.31 -7.91 -7.87 0.11 0.1 -0.01 0.31 0.31 3.0 ALBH_GPS
133.8855 -23.6701 -58.76 -64.36 31.9 59.27 0.19 0.17 0.001 -0.12 -0.14 3.0 ALIC_GPS
357.5406 36.8525 -6.97 81.61 18.67 16.52 0.11 0.1 0.01 0.36 0.19 1.79 ALME_GPS
297.6595 82.4943 -37.72 134.67 -21.43 7.57 0.33 0.41 -0.0 0.37 0.37 3.0 ALRT_GPS
32.7585 39.8874 -4.15 1.08 2.02 10.68 0.42 0.44 0.0 0.21 0.21 3.0 ANKR_GPS
288.4679 -37.3387 -61.92 136.59 15.37 11.08 6.02 1.51 -0.0 -0.22 -0.22 3.0 ANTC_GPS
13.3503 42.3682 19.7 49.82 19.56 15.66 0.34 0.37 -0.0 0.08 0.22 3.0 AQUI_GPS
58.5605 56.4298 53.64 -57.96 25.35 6.11 0.13 0.13 -0.01 0.12 0.29 3.0 ARTU_GPS
189.278 -14.3261 -140.86 -4.43 -60.42 37.13 0.37 0.26 0.001 -0.05 -0.05 3.0 ASPA_GPS
4.1243 36.4427 -3.22 70.71 19.48 18.38 0.21 0.24 -0.0 0.86 0.19 3.0 ATKJ_GPS
174.8344 -36.6028 -24.23 -30.18 3.98 40.06 0.14 0.26 0.01 -0.19 -0.19 3.0 AUCK_GPS
263.9977 64.3178 -133.06 101.45 -19.19 -3.62 0.22 0.2 0.001 0.35 0.35 3.0 BAKE_GPS
77.5116 13.0343 -48.99 -61.33 43.62 35.21 0.29 0.24 0.0 0.02 0.05 3.0 BAN2_GPS
291.7783 44.395 -106.93 133.79 -15.55 7.29 0.18 0.16 0.001 0.27 0.27 3.0 BARH_GPS
1.4011 41.5996 9.68 73.97 19.21 16.31 0.16 0.15 0.01 0.16 0.22 1.74 BELL_GPS
2.45 6.3847 -78.12 74.59 22.12 18.89 0.53 0.43 0.0 -0.4 0.0 3.0 BJCO_GPS
115.8925 39.6086 -53.44 -137.53 30.62 -10.58 0.18 0.15 0.0 1.2 0.23 1.72 BJFS_GPS
21.0354 52.4759 51.3 30.51 19.47 14.41 0.12 0.11 -0.0 0.07 0.27 0.38 BOGO_GPS
285.9191 4.6401 -116.63 139.29 -1.21 14.73 0.3 0.27 0.001 0.04 0.04 3.0 BOGT_GPS
17.0735 52.277 48.95 39.51 19.93 14.12 0.11 0.11 -0.0 0.07 0.27 3.0 BOR1_GPS
312.1221 -15.9475 -121.29 136.75 -3.74 12.94 0.49 0.47 0.0 -0.11 -0.11 3.0 BRAZ_GPS
240.317 48.1315 -168.92 57.37 -12.83 -10.12 0.09 0.1 -0.016 0.3 0.3 3.0 BREW_GPS
321.5745 -3.8775 -120.94 130.49 -4.22 13.34 0.24 0.26 0.0 -0.04 -0.04 3.0 BRFT_GPS
295.3037 32.3704 -111.85 136.34 -12.27 9.1 0.32 0.25 0.0 0.2 0.2 3.0 BRMU_GPS
355.5034 48.3805 20.82 85.95 16.4 17.24 0.12 0.12 -0.0 0.2 0.26 0.57 BRST_GPS
4.3592 50.7978 35.71 67.91 17.68 16.74 0.17 0.15 -0.0 0.52 0.26 0.96 BRUS_GPS
26.1257 44.4639 30.77 17.2 23.23 12.33 0.14 0.22 0.0 1.17 0.23 3.0 BUCU_GPS
11.3368 46.499 30.02 53.2 20.93 15.61 0.15 0.16 -0.01 1.23 0.24 1.06 BZRG_GPS
7.4733 36.2766 -1.74 62.6 19.78 17.19 0.1 0.11 0.0 0.95 0.19 3.0 CABS_GPS
6.8499 36.7856 -1.22 60.22 19.13 13.52 0.31 0.46 -0.0 0.86 0.19 3.0 CAEH_GPS
4.8734 35.5645 -7.05 69.32 17.73 18.51 0.23 0.3 0.0 1.01 0.19 3.0 CAEK_GPS
8.9728 39.1359 8.77 58.28 21.12 16.14 0.15 0.11 -0.0 0.2 0.2 0.46 CAGL_GPS
110.5197 -66.2834 -60.35 -135.31 1.21 -9.31 0.14 0.14 -0.011 -0.35 -0.35 3.0 CAS1_GPS
350.5815 38.6934 -8.15 95.04 17.47 17.15 0.13 0.11 -0.0 0.16 0.21 1.77 CASC_GPS
7.1911 35.1442 -5.64 64.16 19.23 18.14 0.13 0.1 0.0 1.1 0.18 3.0 CBBR_GPS
8.4177 35.1825 -4.97 61.14 19.27 17.7 0.12 0.12 0.0 1.12 0.18 3.0 CBCK_GPS
5.0838 36.7678 -0.65 68.06 20.63 17.7 0.24 0.22 0.02 0.83 0.19 3.0 CBEJ_GPS
6.5816 37.015 2.9 64.08 22.77 16.95 0.56 0.4 0.01 0.19 0.19 3.0 CCOL_GPS
133.8098 -31.8667 -50.17 -64.46 28.61 59.33 0.2 0.18 -0.0 -0.14 -0.19 3.0 CEDU_GPS
5.9178 34.8509 -8.48 67.0 17.81 18.32 0.13 0.14 0.0 1.12 0.18 3.0 CFKZ_GPS
9.1183 10.1231 -66.36 56.67 22.76 24.02 0.71 0.51 0.0 0.52 0.03 3.0 CGGN_GPS
183.434 -43.9558 -42.27 -19.98 -40.27 33.56 0.22 0.2 0.011 -0.23 -0.23 3.0 CHAT_GPS
74.7511 42.9985 3.78 -89.59 27.69 2.45 0.16 0.18 0.0 0.18 0.23 3.0 CHUM_GPS
265.9113 58.7591 -134.36 104.04 -17.15 -3.39 0.33 0.51 0.0 0.33 0.33 3.0 CHUR_GPS
243.334 31.8707 -192.82 93.11 -41.45 19.97 0.5 0.41 0.01 0.23 0.23 3.0 CIC1_GPS
5.74 36.8257 0.16 66.26 20.94 17.26 0.12 0.11 -0.0 0.84 0.19 3.0 CJIJ_GPS
5.9482 35.8619 -4.65 66.74 18.77 18.15 0.15 0.17 0.01 0.98 0.19 3.0 CJSR_GPS
8.2369 36.9467 0.46 58.85 19.74 15.15 0.65 0.4 0.0 0.19 0.19 3.0 CKAL_GPS
5.5356 36.015 -4.31 68.17 18.87 18.73 0.12 0.11 0.0 0.95 0.19 3.0 CKHR_GPS
5.6901 35.2269 -6.21 62.43 19.15 13.46 0.14 0.66 0.0 0.18 0.18 3.0 CKTS_GPS
7.1722 37.0793 1.64 62.84 21.0 16.82 0.14 0.13 -0.0 0.82 0.19 3.0 CMAR_GPS
6.7055 34.8217 -8.91 64.09 17.1 17.06 0.44 0.37 0.01 1.14 0.18 3.0 CNAJ_GPS
7.5114 34.4748 -6.94 61.58 19.7 16.22 0.15 0.14 0.0 1.2 0.18 3.0 CNGR_GPS
286.9745 -36.8438 -80.16 145.4 -4.08 20.5 2.93 0.33 0.0 -0.21 -0.21 3.0 CONZ_GPS
288.1079 -45.5143 -63.67 134.64 0.04 9.33 0.46 0.45 -0.0 -0.26 -0.26 3.0 COYQ_GPS
33.991 44.4133 31.41 -0.38 24.11 12.54 0.14 0.15 0.0 -0.15 0.23 3.0 CRAO_GPS
3.3156 42.3188 13.48 70.0 20.23 16.44 0.16 0.2 0.01 0.16 0.22 1.83 CREU_GPS
7.644 35.7663 -3.89 62.76 19.02 17.82 0.81 0.74 0.0 0.19 0.19 3.0 CRHA_GPS
295.4157 17.7569 -99.89 140.24 10.27 12.91 0.35 0.2 0.001 0.12 0.12 3.0 CRO1_GPS
6.4967 36.2713 -2.91 65.06 19.08 17.62 0.11 0.11 0.0 0.93 0.19 3.0 CSVB_GPS
4.6514 36.4299 -2.24 70.68 20.21 19.43 0.3 0.25 -0.0 0.88 0.19 3.0 CTCH_GPS
127.3745 36.3994 -75.0 -136.94 29.4 -11.04 0.2 0.18 0.0 0.86 0.22 1.7 DAEJ_GPS
342.5605 14.7212 -67.96 108.75 19.39 17.86 0.28 0.29 0.01 0.02 0.07 1.77 DAKR_GPS
131.1327 -12.8437 -68.69 -63.93 35.82 60.4 0.13 0.17 0.001 -0.08 -0.08 3.0 DARW_GPS
77.9726 -68.5773 -121.18 -102.01 -3.04 -4.99 0.15 0.16 -0.009 -0.72 -0.36 1.66 DAV1_GPS
72.3702 -7.2697 -77.61 -55.37 47.11 33.62 0.34 0.3 0.0 0.01 -0.08 2.16 DGAR_GPS
4.595 50.0949 34.44 67.12 15.75 14.98 0.15 0.16 -0.01 0.3 0.26 0.32 DOUR_GPS
35.3921 31.5932 -7.92 4.58 23.04 20.29 0.17 0.17 -0.01 0.16 0.16 3.0 DRAG_GPS
240.375 49.3226 -168.93 57.28 -13.19 -10.31 0.13 0.12 -0.004 0.31 0.31 3.0 DRAO_GPS
13.7297 51.0298 43.74 47.51 19.21 15.02 0.12 0.16 -0.01 0.15 0.26 1.74 DRES_GPS
264.1338 50.2588 -145.27 101.07 -17.69 -4.24 0.12 0.16 -0.007 0.3 0.3 3.0 DUBO_GPS
140.0019 -66.6651 6.17 -129.53 8.16 -11.37 0.25 0.44 -0.0 -0.34 -0.34 3.0 DUM1_GPS
1.5613 34.8582 -10.42 76.81 18.1 19.29 0.12 0.1 0.0 1.03 0.18 3.0 EADB_GPS
1.5438 34.1522 -12.34 76.49 18.14 18.93 0.17 0.16 0.0 1.12 0.18 3.0 EASA_GPS
1.9357 35.5624 -9.64 74.33 16.71 17.57 0.22 0.27 0.0 0.94 0.19 3.0 EBGR_GPS
1.5588 36.5213 -2.08 77.03 21.91 19.71 1.34 1.28 -0.0 0.19 0.19 3.0 EBNH_GPS
0.4924 40.8209 7.14 75.62 19.42 15.73 0.13 0.14 -0.0 0.15 0.22 0.44 EBRE_GPS
1.3451 36.1601 -7.29 76.46 17.75 18.54 0.11 0.14 -0.0 0.84 0.19 3.0 EECH_GPS
0.6636 36.2143 -12.03 79.14 13.34 20.05 0.5 0.69 -0.0 0.19 0.19 3.0 EKMS_GPS
2.9505 36.2091 -5.87 72.76 18.12 18.04 0.16 0.11 -0.0 0.86 0.19 3.0 EMHD_GPS
293.0079 44.9087 -105.1 133.74 -16.26 6.96 0.71 0.57 -0.02 0.27 0.27 3.0 EPRT_GPS
0.9757 42.6936 12.18 74.99 19.87 16.64 0.15 0.12 0.01 0.09 0.23 1.69 ESCO_GPS
0.8274 34.5512 -11.24 77.63 18.53 18.65 0.25 0.2 0.01 1.05 0.18 3.0 ESKN_GPS
2.1164 33.5002 -14.81 75.26 17.15 18.81 0.29 0.41 0.0 1.23 0.17 3.0 ETJN_GPS
6.7635 50.6741 37.65 63.15 18.31 17.28 0.11 0.16 -0.04 -0.52 0.26 0.46 EUSK_GPS
