Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
36.156 34.882 -0.56 -1.02 21.14 23.76 0.46 0.45 0.006 0.08 1.07 4.22 AJSH_GPS
37.634 35.8 -0.34 -0.51 20.66 25.0 0.54 0.46 0.015 0.08 1.09 4.99 AKIL_GPS
36.4 33.879 0.82 -0.68 23.7 24.61 0.5 0.5 -0.03 0.08 1.5 3.84 ASAL_GPS
36.404 34.948 0.53 -1.34 21.6 24.25 0.46 0.46 0.008 0.08 1.11 3.0 BARN_GPS
36.091 35.247 -0.4 -1.8 20.92 23.09 0.44 0.44 0.013 0.08 0.92 4.4 BATH_GPS
36.754 34.914 -0.66 -0.33 21.15 24.95 0.54 0.49 0.003 0.08 1.21 4.35 BLAN_GPS
36.343 34.957 -1.34 -1.28 20.36 23.69 0.45 0.45 0.008 0.08 1.09 4.3 BMRA_GPS
36.204 35.09 -0.22 -1.14 21.22 23.77 0.45 0.45 0.011 0.08 1.01 4.34 BNAB_GPS
36.27 35.215 -0.25 -1.66 21.12 23.08 0.47 0.46 0.007 0.08 0.98 4.41 DALY_GPS
38.757 36.461 -0.37 0.18 20.59 26.16 0.5 0.51 0.023 0.08 1.1 5.64 DBSS_GPS
36.419 35.118 -0.24 -1.52 21.13 23.48 0.48 0.46 0.006 0.08 1.05 4.38 DERS_GPS
36.104 35.598 -1.47 -1.82 19.44 23.0 0.46 0.47 0.017 0.08 0.8 4.59 DOHA_GPS
36.508 36.146 -0.75 -1.12 19.56 23.57 0.58 0.57 0.016 -7.58 0.69 6.89 HARM_GPS
36.57 35.638 -0.14 -0.48 20.66 24.53 0.46 0.46 0.009 0.08 0.89 4.68 HASS_GPS
36.033 34.915 -0.5 -1.95 20.77 22.82 0.45 0.45 0.016 0.08 1.03 4.22 HBAB_GPS
40.596 36.584 -0.52 0.15 20.77 26.81 0.49 0.5 0.022 0.1 1.48 3.01 HMEH_GPS
36.503 34.965 -0.44 -1.06 21.24 23.96 0.48 0.48 -0.002 0.08 1.13 4.32 HMRY_GPS
36.111 33.781 0.56 -0.85 23.37 24.15 0.48 0.48 -0.003 0.08 1.47 3.74 HOOR_GPS
36.974 36.233 -0.17 -0.16 20.61 24.93 0.48 0.48 0.017 0.08 0.77 5.08 HOWR_GPS
37.869 34.643 0.57 1.0 22.94 26.71 0.47 0.46 0.006 0.08 1.57 4.54 JHAR_GPS
36.881 35.649 -0.14 -0.37 20.73 24.86 0.46 0.46 0.01 0.08 0.97 4.74 KATR_GPS
38.437 33.571 0.96 0.84 23.95 26.69 0.48 0.48 0.002 0.08 2.11 4.4 KBDD_GPS
36.578 35.449 0.0 -0.61 20.73 24.28 0.62 0.61 0.009 0.08 0.97 6.16 KHAS_GPS
37.716 36.246 -0.62 -0.18 20.28 25.39 0.47 0.48 0.016 0.08 0.94 5.24 KHBZ_GPS
38.481 35.782 -0.07 0.28 21.33 25.92 0.5 0.5 0.01 0.09 1.29 5.22 KRIN_GPS
35.954 34.838 -0.88 -2.2 20.78 22.47 0.44 0.44 0.002 0.08 1.04 4.18 MJDL_GPS
40.761 35.754 0.1 0.24 22.21 27.05 0.48 0.48 0.018 0.09 1.83 3.01 MRQD_GPS
36.55 34.059 0.58 -0.56 23.34 24.56 0.51 0.51 -0.018 0.08 1.47 3.94 MSHR_GPS
36.681 36.664 -1.23 -1.58 18.56 23.38 0.5 0.49 0.023 0.08 0.54 5.26 RAJO_GPS
36.01 33.625 -0.95 -0.64 21.81 24.58 0.47 0.47 -0.007 0.09 1.5 3.67 ROZA_GPS
36.913 32.702 0.4 0.36 24.16 25.7 0.45 0.44 -0.005 0.08 2.06 3.67 RSHD_GPS
35.769 35.659 -1.25 -1.66 19.58 23.03 0.47 0.48 0.014 0.08 0.69 4.58 RSHM_GPS
36.966 35.049 0.52 0.0 22.26 25.29 0.44 0.44 0.013 0.08 1.21 4.46 SALM_GPS
36.051 33.613 0.44 -0.49 23.23 24.32 0.49 0.5 -0.008 0.08 1.51 3.67 SOBA_GPS
36.573 34.934 -0.44 -0.43 21.2 24.69 0.45 0.45 0.011 0.08 1.15 4.32 TELF_GPS
36.285 33.51 -0.62 -1.04 22.05 24.05 0.3 0.32 0.005 0.08 1.61 3.0 UDMC_GPS
35.909 34.466 -1.27 -2.39 20.72 22.22 0.79 0.77 0.012 0.08 1.16 3.99 ADAS_GPS
35.922 33.73 -0.8 -2.59 21.82 21.99 0.77 0.79 -0.019 0.09 1.44 3.0 ANJR_GPS
36.467 34.164 -1.28 -1.05 21.11 23.79 0.94 0.91 -0.008 0.08 1.41 3.0 ARSL_GPS
36.143 34.184 -1.12 -2.04 21.17 22.65 0.8 0.78 -0.038 0.08 1.33 3.0 BRKA_GPS
35.829 34.005 -1.41 -3.03 20.96 21.51 0.89 0.89 -0.006 1.31 1.31 3.0 FRYA_GPS
36.084 34.451 -1.11 -2.34 20.95 22.32 0.79 0.77 -0.003 0.08 1.21 3.0 HABT_GPS
35.767 34.094 -2.17 -3.19 20.11 21.47 0.78 0.79 0.016 0.08 1.27 3.81 HAYT_GPS
36.379 34.412 -0.63 -1.33 21.5 23.63 0.9 0.84 0.028 0.08 1.3 4.04 HRML_GPS
35.88 33.869 -1.35 -1.85 21.14 22.86 0.84 0.79 0.007 0.08 1.38 3.0 HZRT_GPS
35.411 33.651 -1.64 -3.71 20.93 20.63 0.79 0.79 -0.02 1.34 1.34 3.0 JIYE_GPS
35.589 33.555 -1.26 -3.3 21.45 21.28 0.79 0.78 -0.0 0.09 1.42 3.0 JZIN_GPS
35.771 33.526 -1.96 -2.43 20.8 22.24 0.78 0.77 -0.047 0.09 1.47 3.0 MCHK_GPS
