Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
52.568 31.228 25.99 21.86 26.84 21.91 1.27 1.27 0.0 0.11 0.05 3.01 ABAD_GPS
51.986 35.793 26.54 17.84 26.32 18.62 0.58 0.58 0.01 0.18 0.18 3.0 ABAL_GPS
53.308 31.123 26.36 21.21 26.97 21.05 1.27 1.26 0.0 0.11 0.05 3.01 ABAR_GPS
48.2135 30.3778 27.51 29.6 27.51 29.6 0.14 0.12 0.01 -0.02 -0.02 3.03 ABDN_GPS
58.319 32.484 29.12 14.15 29.34 14.6 1.58 1.58 0.002 0.16 0.14 3.01 ABGR_GPS
57.046 31.206 30.54 18.33 30.85 18.71 1.63 1.63 0.002 0.14 0.09 3.01 ABJN_GPS
53.2265 31.1205 26.36 22.46 27.19 22.41 0.52 0.61 0.02 0.11 0.05 3.01 ABRK_GPS
52.0912 35.6612 26.1 17.46 26.1 17.46 0.13 0.16 0.015 0.17 0.17 3.01 ABSD_GPS
48.005 37.169 26.45 22.33 26.45 22.33 0.53 0.54 0.012 0.16 0.18 3.0 AGKA_GPS
43.033 39.718 26.88 18.66 26.95 18.84 0.42 0.47 -0.005 0.18 0.22 3.0 AGRD_GPS
47.0497 38.4682 29.74 19.52 30.66 20.73 0.18 0.23 0.007 0.18 0.21 3.0 AHAR_GPS
48.7444 31.3439 24.62 27.1 24.85 26.45 0.55 0.56 0.01 0.08 0.02 3.01 AHVZ_GPS
50.6006 35.5883 25.76 20.01 25.78 20.35 0.19 0.15 0.016 0.16 0.16 3.0 AKHT_GPS
51.082 28.919 27.98 29.54 27.61 29.31 0.74 0.7 0.009 0.12 -0.03 3.0 ALIS_GPS
42.961 44.753 29.84 7.44 29.84 7.44 0.57 0.58 -0.031 0.37 0.37 3.02 ALXY_GPS
52.586 35.701 25.52 16.72 25.51 16.68 0.6 0.6 0.01 0.18 0.18 3.0 AMIN_GPS
46.1552 38.2312 28.76 20.68 29.11 21.0 0.19 0.16 0.013 0.18 0.2 3.0 AMND_GPS
43.768 40.972 27.35 16.59 27.59 16.73 0.9 0.65 -0.017 0.26 0.26 3.0 AMSI_GPS
57.8973 26.4572 28.17 19.11 28.17 19.11 0.49 0.36 0.002 -0.03 -0.03 3.06 ANGN_GPS
44.679 39.84 30.83 17.09 29.15 18.17 0.63 0.62 -0.006 0.2 0.24 3.01 ARA4_GPS
48.231 38.477 31.54 21.29 31.57 21.71 0.62 0.58 -0.003 0.16 0.22 3.0 ARBI_GPS
53.822 32.313 25.98 21.31 26.29 21.61 0.46 0.59 0.011 0.09 0.09 3.0 ARDA_GPS
47.6501 37.8288 28.1 21.6 27.97 22.28 0.21 0.29 0.008 0.18 0.2 3.0 ARDH_GPS
42.699 41.111 26.51 13.18 26.67 14.42 0.27 0.3 -0.01 -0.16 0.26 3.05 ARDH_GPS
42.755 41.126 26.78 14.96 26.53 15.41 1.03 0.81 -0.027 0.2 0.26 3.0 ARDN_GPS
51.0749 35.9284 25.77 18.41 25.69 17.97 0.18 0.32 0.004 0.17 0.17 3.0 ARNG_GPS
43.954 40.609 28.0 17.96 28.42 17.17 0.54 0.58 -0.026 0.26 0.26 3.0 ARTI_GPS
58.5605 56.4298 25.2 6.16 25.19 6.16 0.13 0.14 0.008 0.2 0.8 3.0 ARTU_GPS
45.341 40.124 29.05 19.18 29.02 19.21 1.85 1.28 0.0 0.2 0.25 3.0 ASTG_GPS
50.1 37.156 27.02 21.8 27.07 22.26 2.09 2.08 0.03 0.18 0.2 3.0 ATTA_GPS
48.925 31.188 24.47 29.71 24.12 29.85 1.59 1.57 0.009 0.08 0.01 3.01 AWAZ_GPS
58.305 29.149 29.15 18.38 29.61 18.88 1.44 1.44 0.003 0.12 0.05 3.02 BA07_GPS
58.428 28.784 33.4 16.58 33.89 17.1 1.48 1.48 0.003 0.11 0.04 3.02 BA09_GPS
58.523 29.137 30.85 14.26 31.31 14.77 1.08 1.08 0.006 0.12 0.05 3.02 BA12_GPS
58.074 29.23 29.11 17.56 29.57 18.05 1.55 1.55 0.003 0.12 0.05 3.02 BA13_GPS
57.94 29.105 32.66 16.62 33.14 17.1 1.08 1.08 0.006 0.11 0.04 3.02 BA14_GPS
57.967 29.316 31.18 16.55 31.64 17.02 1.09 1.09 0.005 0.12 0.05 3.02 BA30_GPS
58.13 29.187 30.34 17.63 30.8 18.12 1.48 1.47 0.003 0.12 0.05 3.02 BA31_GPS
58.141 29.078 30.48 18.06 30.96 18.55 1.5 1.49 0.003 0.11 0.04 3.02 BA32_GPS
58.278 28.944 31.86 16.43 32.34 16.94 1.58 1.58 0.003 0.11 0.04 3.02 BA34_GPS
58.195 28.888 32.71 17.48 33.2 17.98 1.52 1.5 0.003 0.11 0.04 3.02 BA35_GPS
58.469 28.898 30.71 15.5 31.19 16.03 1.45 1.45 0.004 0.11 0.04 3.02 BA36_GPS
58.675 28.96 33.11 14.02 33.57 14.55 1.1 1.1 0.006 0.12 0.05 3.02 BA38_GPS
48.814 36.764 26.93 20.7 26.93 20.7 0.37 0.36 0.004 0.16 0.18 3.0 BADA_GPS
