Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
105.815 33.34 4.12 -7.29 34.12 -8.6 0.83 0.74 -0.043 2.8 0.16 3.24 1375_GPS
112.614 41.271 -0.43 -4.9 28.9 -9.37 0.52 0.67 0.027 0.15 0.15 3.0 A001_GPS
112.564 40.892 -0.2 -5.45 29.14 -9.76 0.6 0.45 0.02 0.15 0.15 3.0 A002_GPS
112.48 40.529 -0.18 -5.15 29.47 -9.74 0.35 0.5 0.017 0.15 0.15 3.0 A003_GPS
112.354 40.171 0.83 -5.75 30.21 -10.11 0.49 0.74 0.021 0.15 0.15 3.0 A004_GPS
113.132 41.019 -0.03 -5.05 29.27 -9.69 0.45 0.44 0.008 0.15 0.15 3.0 A005_GPS
113.213 40.787 -0.22 -5.24 29.08 -9.91 0.58 0.5 0.016 0.15 0.15 3.0 A006_GPS
113.196 40.447 0.5 -5.39 29.81 -10.21 0.52 0.57 0.024 0.15 0.15 3.0 A007_GPS
112.727 40.016 1.46 -5.89 30.79 -10.4 0.56 0.61 0.022 0.15 0.15 3.0 A008_GPS
113.887 40.876 -0.56 -5.08 28.71 -9.97 0.76 0.75 0.021 0.15 0.15 3.0 A011_GPS
113.757 40.372 -0.47 -5.9 28.96 -10.74 0.73 0.56 0.031 0.15 0.15 3.0 A012_GPS
113.659 40.037 0.99 -5.71 30.3 -10.52 0.43 0.45 0.019 0.15 0.15 3.0 A013_GPS
114.708 41.176 -0.61 -5.61 28.6 -10.76 0.7 0.6 0.021 0.15 0.15 3.0 A014_GPS
114.218 40.708 0.14 -5.51 29.39 -10.65 0.8 0.54 0.011 0.15 0.15 3.0 A015_GPS
114.431 40.451 0.35 -5.44 29.59 -10.5 0.8 0.67 0.012 0.14 0.14 3.0 A016_GPS
114.116 40.457 0.36 -5.86 29.82 -10.72 0.47 0.57 0.015 0.15 0.15 3.0 A017_GPS
114.143 40.118 -0.42 -5.0 28.84 -10.13 0.8 0.9 -0.007 0.14 0.14 3.0 A018_GPS
114.799 40.854 -0.39 -5.3 28.82 -10.48 0.53 0.47 0.015 0.14 0.14 3.0 A019_GPS
115.037 40.564 -1.39 -5.47 27.81 -10.73 0.76 0.72 0.112 0.14 0.14 3.0 A020_GPS
114.816 40.439 0.42 -5.39 29.85 -10.58 0.46 0.78 0.012 0.14 0.14 3.0 A021_GPS
114.676 40.234 0.55 -5.66 29.78 -10.85 0.8 0.8 0.006 0.14 0.14 3.0 A022_GPS
114.95 40.093 0.19 -5.73 29.16 -11.41 0.6 0.8 -0.006 0.14 0.14 3.0 A023_GPS
112.841 39.819 1.86 -5.75 31.19 -10.22 0.6 0.8 0.021 0.15 0.15 3.0 A024_GPS
112.81 39.544 1.19 -5.98 30.52 -10.52 0.48 0.61 0.019 0.15 0.15 3.0 A025_GPS
112.801 38.991 1.35 -6.08 30.85 -10.61 0.63 0.59 0.017 0.15 0.15 3.0 A027_GPS
112.767 38.731 1.09 -6.15 30.87 -10.7 0.8 0.8 0.025 0.15 0.15 3.0 A028_GPS
112.693 38.401 1.46 -6.33 31.0 -10.79 0.66 0.46 0.022 0.15 0.15 3.0 A029_GPS
113.057 39.819 0.75 -5.35 30.07 -9.97 0.6 0.79 0.014 0.15 0.15 3.0 A030_GPS
113.277 39.578 1.06 -6.04 30.37 -10.73 0.55 0.58 0.014 0.15 0.15 3.0 A031_GPS
113.192 39.183 1.39 -6.34 30.7 -11.0 0.49 0.67 0.016 0.15 0.15 3.0 A032_GPS
112.969 38.443 0.49 -6.26 29.77 -10.85 0.65 0.51 0.038 0.15 0.15 3.0 A035_GPS
113.644 39.723 1.03 -5.7 30.32 -10.51 0.8 0.5 0.01 0.15 0.15 3.0 A036_GPS
113.805 39.569 1.04 -5.99 30.32 -10.85 0.55 0.38 0.017 0.14 0.14 3.0 A037_GPS
113.739 39.293 1.36 -5.94 30.64 -10.83 0.8 0.8 0.025 0.14 0.14 3.0 A038_GPS
113.936 39.113 1.07 -5.92 30.34 -10.88 0.44 0.38 0.014 0.14 0.14 3.0 A039_GPS
113.642 38.775 1.03 -6.23 30.39 -11.01 0.59 0.41 0.003 0.14 0.14 3.0 A040_GPS
114.223 39.766 1.0 -5.9 30.26 -10.95 0.54 0.77 0.019 0.14 0.14 3.0 A041_GPS
114.228 38.876 0.83 -5.95 30.42 -10.95 0.62 0.4 0.019 0.14 0.14 3.0 A043_GPS
114.122 38.577 0.87 -6.06 30.25 -11.02 0.51 0.43 0.004 0.14 0.14 3.0 A044_GPS
115.265 39.642 0.86 -5.9 30.06 -10.98 0.63 0.46 0.013 0.14 0.14 3.0 A045_GPS
114.582 39.839 0.38 -6.22 29.62 -11.33 0.61 0.8 0.005 0.14 0.14 3.0 A046_GPS
114.821 39.699 0.99 -5.79 30.21 -10.88 0.28 0.8 0.016 0.14 0.14 3.0 A047_GPS
114.56 39.362 1.12 -5.77 30.36 -10.82 0.48 0.59 0.021 0.14 0.14 3.0 A048_GPS
114.741 39.044 1.23 -5.75 30.46 -10.96 0.43 0.5 0.014 0.14 0.14 3.0 A049_GPS
114.583 38.826 1.25 -6.02 30.49 -11.13 0.44 0.68 0.014 0.14 0.14 3.0 A050_GPS
114.557 38.428 1.3 -5.1 30.22 -10.32 0.6 0.6 0.003 0.2 0.14 3.0 A051_GPS
114.929 38.77 1.34 -5.89 30.56 -11.11 0.76 0.55 0.013 0.14 0.14 3.0 A052_GPS
115.297 40.979 -0.73 -5.35 28.45 -10.69 0.6 0.34 0.015 0.14 0.14 3.0 A053_GPS
115.406 40.691 -0.68 -5.14 29.07 -10.52 0.48 0.46 0.002 0.14 0.14 3.0 A054_GPS
115.398 40.528 -0.1 -5.8 29.08 -10.82 0.79 0.53 0.014 0.14 0.14 3.0 A055_GPS
115.172 40.343 0.92 -5.56 30.12 -10.86 0.48 0.66 0.013 0.14 0.14 3.0 A056_GPS
115.16 40.191 0.63 -5.46 29.83 -10.76 0.59 0.78 0.016 0.14 0.14 3.0 A057_GPS
115.719 41.295 -0.97 -5.01 28.38 -10.49 0.33 0.8 0.017 0.14 0.14 3.0 A058_GPS
115.839 40.913 -0.69 -4.91 28.5 -10.42 0.63 0.61 0.023 0.14 0.14 3.0 A059_GPS
115.6 40.393 -0.1 -5.47 29.07 -10.86 0.43 0.64 0.011 0.14 0.14 3.0 A061_GPS
115.478 40.352 0.11 -5.58 29.29 -10.83 0.39 0.39 0.014 0.14 0.14 3.0 A062_GPS
116.073 41.119 -0.73 -4.73 28.46 -10.37 0.74 0.63 0.015 0.14 0.14 3.0 A063_GPS
116.17 40.66 -0.64 -4.88 28.49 -10.69 0.8 0.8 0.008 0.14 0.14 3.0 A064_GPS
116.401 40.529 -1.15 -4.75 27.97 -10.44 0.8 0.8 0.011 0.14 0.14 3.0 A065_GPS
115.926 40.346 0.05 -5.6 29.44 -11.14 0.46 0.64 0.036 0.14 0.14 3.0 A066_GPS
116.248 40.105 0.2 -4.49 29.92 -10.01 0.6 0.65 -0.013 0.2 0.14 3.0 A067_GPS
116.62 41.22 -1.1 -4.83 27.99 -10.59 0.41 0.48 0.007 0.14 0.14 3.0 A068_GPS
116.932 41.037 -1.11 -4.9 28.07 -10.76 0.51 0.76 0.012 0.14 0.14 3.0 A069_GPS
116.83 40.431 -0.67 -4.98 28.54 -10.64 0.67 0.65 0.019 0.14 0.14 3.0 A071_GPS
116.591 40.309 -0.31 -6.03 29.17 -11.79 0.8 0.78 0.007 0.14 0.14 3.0 A072_GPS
116.609 40.049 0.68 -5.53 29.79 -11.29 0.8 0.8 0.046 0.14 0.14 3.0 A073_GPS
117.174 41.226 -0.84 -4.48 28.23 -10.42 0.8 0.75 0.012 0.14 0.14 3.0 A074_GPS
117.356 40.934 -0.92 -4.63 28.13 -10.46 0.64 0.57 0.01 0.14 0.14 3.0 A075_GPS
117.151 40.672 -0.79 -4.45 28.28 -10.51 0.8 0.56 0.016 0.14 0.14 3.0 A076_GPS
117.264 40.4 -1.14 -4.47 28.09 -10.44 0.68 0.52 0.013 0.14 0.14 3.0 A077_GPS
117.542 40.458 -1.17 -4.68 28.06 -10.6 0.8 0.8 0.007 0.13 0.13 3.0 A078_GPS
117.137 40.104 -0.85 -4.28 28.23 -10.21 0.45 0.43 0.018 0.14 0.14 3.0 A079_GPS
117.487 40.179 -1.34 -4.54 28.09 -10.79 0.8 0.65 0.019 0.13 0.13 3.0 A080_GPS
115.7 39.996 0.42 -5.56 29.59 -10.88 0.57 0.41 0.011 0.14 0.14 3.0 A082_GPS
115.561 39.639 0.95 -5.62 30.13 -11.05 0.35 0.37 0.016 0.14 0.14 3.0 A083_GPS
115.166 39.437 1.09 -5.91 30.29 -10.96 0.63 0.53 0.011 0.14 0.14 3.0 A084_GPS
115.488 39.374 0.98 -5.44 30.16 -10.84 0.49 0.59 0.019 0.14 0.14 3.0 A085_GPS
115.267 39.03 1.31 -5.9 30.51 -11.08 0.51 0.71 0.007 0.14 0.14 3.0 A086_GPS
115.493 38.812 1.12 -5.68 30.3 -11.34 0.58 0.35 -0.0 0.14 0.14 3.0 A087_GPS
116.139 39.963 0.91 -5.27 30.05 -10.88 0.8 0.59 0.012 0.14 0.14 3.0 A088_GPS
116.217 39.915 0.23 -4.41 29.14 -9.7 0.8 0.8 -0.004 0.14 0.14 3.0 A089_GPS
116.087 39.691 0.82 -5.19 29.97 -10.67 0.62 0.54 0.01 0.14 0.14 3.0 A091_GPS
116.292 39.701 1.66 -4.3 30.65 -9.92 0.4 0.4 0.012 0.05 0.14 3.01 A092_GPS
116.003 39.492 1.15 -5.83 30.3 -11.05 0.79 0.61 -0.021 0.14 0.14 3.0 A093_GPS
116.282 39.403 2.36 -5.88 31.38 -11.32 0.56 0.8 -0.006 0.14 0.14 3.0 A094_GPS
116.127 38.708 0.19 -6.42 29.34 -12.58 0.79 0.8 -0.004 0.14 0.14 3.0 A096_GPS
116.722 39.49 1.44 -6.11 30.52 -11.91 0.8 0.78 0.009 0.14 0.14 3.0 A100_GPS
116.462 39.326 2.76 -5.52 31.46 -10.86 0.8 0.8 0.083 0.14 0.14 3.0 A101_GPS
116.383 39.081 1.76 -4.49 30.89 -10.34 0.4 0.4 0.018 0.14 0.14 3.0 A102_GPS
116.626 38.707 1.67 -6.42 30.79 -12.19 0.6 0.6 0.021 0.13 0.13 3.0 A105_GPS
117.088 40.041 -1.06 -3.67 28.14 -9.3 0.67 0.64 -0.017 0.14 0.14 3.0 A106_GPS
117.094 39.411 -0.59 -4.88 28.49 -10.8 0.6 0.6 -0.017 0.13 0.13 3.0 A109_GPS
117.305 39.117 0.52 -5.11 29.59 -12.04 0.8 0.7 0.016 0.13 0.13 3.0 A110_GPS
116.925 38.721 1.56 -4.64 30.66 -10.56 0.6 0.51 0.007 0.13 0.13 3.0 A112_GPS
117.503 39.644 0.27 -5.19 29.33 -11.39 0.8 0.8 0.007 0.13 0.13 3.0 A114_GPS
117.857 41.254 -1.16 -4.56 27.85 -10.87 0.45 0.59 0.013 0.14 0.14 3.0 A115_GPS
117.941 41.011 -1.15 -4.41 27.86 -10.59 0.42 0.62 0.004 0.13 0.13 3.0 A116_GPS
118.123 40.739 -1.32 -4.24 27.97 -10.73 0.51 0.8 0.005 0.13 0.13 3.0 A117_GPS
117.743 40.601 -1.13 -4.32 28.02 -10.44 0.68 0.8 0.007 0.13 0.13 3.0 A118_GPS
117.95 40.269 -0.64 -4.7 28.43 -10.89 0.54 0.6 0.006 0.13 0.13 3.0 A119_GPS
118.649 41.013 -0.99 -5.03 27.98 -10.74 0.67 0.64 0.011 0.13 0.13 3.0 A120_GPS
118.451 40.591 -1.62 -4.4 27.54 -10.8 0.67 0.8 -0.001 0.13 0.13 3.0 A121_GPS
118.284 40.382 -1.31 -4.57 27.78 -10.86 0.51 0.77 -0.007 0.13 0.13 3.0 A122_GPS
118.341 40.15 -2.1 -3.76 26.89 -10.07 0.69 0.65 -0.002 0.13 0.13 3.0 A123_GPS
119.203 40.952 -1.7 -4.38 27.22 -10.96 0.47 0.5 -0.003 0.13 0.13 3.0 A124_GPS
119.119 40.751 -1.09 -4.54 27.95 -11.45 0.76 0.71 -0.013 0.13 0.13 3.0 A125_GPS
118.914 40.35 -1.14 -4.16 27.81 -10.7 0.8 0.77 -0.007 0.13 0.13 3.0 A126_GPS
118.71 40.033 -1.13 -4.02 27.96 -10.26 0.68 0.62 0.007 0.13 0.13 3.0 A127_GPS
119.782 40.806 -1.21 -4.38 27.67 -11.19 0.62 0.34 -0.005 0.13 0.13 3.0 A128_GPS
119.377 40.466 -1.46 -4.36 27.45 -11.0 0.51 0.7 0.004 0.13 0.13 3.0 A129_GPS
119.165 40.335 -1.35 -4.18 27.58 -10.75 0.69 0.73 0.004 0.13 0.13 3.0 A130_GPS
119.708 40.367 -1.27 -4.33 27.62 -11.07 0.66 0.47 -0.001 0.13 0.13 3.0 A131_GPS
120.302 40.307 -1.61 -3.99 27.66 -10.8 0.3 0.66 -0.003 0.13 0.13 3.0 A132_GPS
119.663 40.013 -1.44 -4.38 27.46 -11.26 0.48 0.72 -0.001 0.13 0.13 3.0 A133_GPS
117.698 39.967 -0.61 -5.22 28.58 -11.33 0.66 0.52 0.006 0.13 0.13 3.0 A134_GPS
117.793 39.699 -1.1 -5.01 27.99 -11.15 0.71 0.66 0.009 0.13 0.13 3.0 A135_GPS
117.475 39.334 0.67 -4.83 29.96 -10.78 0.68 0.62 0.025 0.13 0.13 3.0 A136_GPS
117.65 39.095 1.31 -4.33 30.36 -10.42 0.8 0.8 0.029 0.13 0.13 3.0 A138_GPS
118.127 39.853 -1.69 -4.67 27.54 -10.73 0.68 0.63 0.008 0.13 0.13 3.0 A139_GPS
