Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
36.156 34.882 -13.36 15.95 21.46 23.55 0.46 0.45 0.017 0.08 5.54 3.0 AJSH_GPS
37.634 35.8 -13.52 17.41 21.0 24.51 0.54 0.47 0.045 0.11 7.19 3.0 AKIL_GPS
36.4 33.879 -11.33 16.44 23.83 24.43 0.5 0.5 -0.028 -0.29 4.71 3.0 ASAL_GPS
36.404 34.948 -12.62 16.39 21.91 24.0 0.46 0.51 0.023 0.08 5.73 3.0 BARN_GPS
36.091 35.247 -13.46 15.22 21.3 22.86 0.44 0.44 0.032 0.08 5.86 3.0 BATH_GPS
36.754 34.914 -13.37 17.06 21.43 24.66 0.53 0.49 0.015 0.13 5.89 3.0 BLAN_GPS
36.343 34.957 -14.0 15.85 20.67 23.45 0.46 0.46 0.022 0.12 5.71 3.0 BMRA_GPS
36.204 35.09 -13.15 15.92 21.56 23.54 0.45 0.45 0.028 0.08 5.77 3.0 BNAB_GPS
36.27 35.215 -13.13 15.44 21.48 22.83 0.47 0.47 0.023 0.1 5.92 3.0 DALY_GPS
38.757 36.461 -13.74 18.7 20.91 25.47 0.57 0.47 0.063 0.11 8.4 3.0 DBSS_GPS
36.419 35.118 -13.19 15.68 21.46 23.21 0.48 0.47 0.022 0.08 5.9 3.0 DERS_GPS
36.104 35.598 -14.79 15.1 19.88 22.74 0.47 0.48 0.037 0.13 6.2 3.0 DOHA_GPS
36.508 36.146 -14.54 16.06 20.05 23.2 0.53 0.52 0.05 0.08 6.93 4.65 HARM_GPS
36.57 35.638 -13.41 16.81 21.07 24.2 0.46 0.46 0.032 0.08 6.48 3.0 HASS_GPS
36.033 34.915 -13.38 14.96 21.1 22.62 0.46 0.45 0.028 0.17 5.51 3.0 HBAB_GPS
40.596 36.584 -13.6 20.05 20.89 25.94 0.46 0.47 0.04 0.12 9.49 3.0 HMEH_GPS
36.503 34.965 -13.26 16.16 21.54 23.7 0.48 0.48 0.011 0.11 5.8 3.0 HMRY_GPS
36.111 33.781 -11.52 16.19 23.5 24.02 0.5 0.49 -0.001 0.1 4.47 3.0 HOOR_GPS
36.974 36.233 -13.78 17.37 21.07 24.49 0.45 0.46 0.053 0.08 7.25 3.0 HOWR_GPS
37.869 34.643 -11.88 19.23 23.1 26.3 0.47 0.48 0.016 0.08 6.22 3.0 JHAR_GPS
36.881 35.649 -13.36 17.01 21.11 24.49 0.48 0.49 0.035 0.08 6.65 3.0 KATR_GPS
38.437 33.571 -10.56 19.46 23.94 26.29 0.48 0.48 -0.003 0.13 5.51 3.9 KBDD_GPS
36.578 35.449 -13.29 16.61 21.1 23.97 0.61 0.6 0.03 0.13 6.3 4.52 KHAS_GPS
37.716 36.246 -14.08 17.94 20.67 24.85 0.44 0.46 0.055 0.08 7.65 3.0 KHBZ_GPS
38.481 35.782 -13.02 18.56 21.59 25.34 0.48 0.49 0.032 0.11 7.62 3.0 KRIN_GPS
35.954 34.838 -13.68 14.62 21.09 22.29 0.44 0.44 0.012 0.08 5.39 3.0 MJDL_GPS
40.761 35.754 -12.48 19.94 22.24 26.27 0.46 0.47 0.021 0.14 8.82 3.0 MRQD_GPS
36.55 34.059 -11.75 16.76 23.5 24.35 0.52 0.52 -0.014 0.08 4.96 3.0 MSHR_GPS
