Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
66.88545 39.13477 -4.16 5.41 27.18 4.61 0.3 0.26 -0.123 0.12 0.39 3.0 KIT3_GPS
27.68698 -25.8901 -5.26 10.48 17.74 18.64 0.32 0.3 0.074 -0.02 0.16 3.0 HRAO_GPS
21.03154 52.09728 -5.18 5.12 20.82 14.49 0.12 0.12 0.009 0.22 0.26 3.0 JOZE_GPS
20.81047 -32.38021 -4.1 10.13 16.72 19.24 0.14 0.14 -0.093 0.06 0.1 3.0 SUTH_GPS
15.50834 38.26382 -5.76 9.38 23.76 19.45 0.12 0.14 0.04 0.21 0.25 0.85 MSRU_GPS
14.98979 36.87585 -8.08 9.67 21.31 19.86 0.16 0.14 -0.008 0.19 0.25 3.0 NOT1_GPS
14.5262 35.83798 -8.15 9.67 21.37 19.88 0.17 0.21 0.024 -0.29 0.25 1.3 MALT_GPS
13.0661 52.3793 -5.85 4.86 18.41 15.39 0.15 0.16 -0.009 0.24 0.24 3.0 POTS_GPS
12.60566 35.49978 -9.18 8.18 20.32 18.72 0.18 0.16 0.01 0.21 0.24 3.0 LAMP_GPS
11.92552 57.3953 -5.75 4.24 16.95 14.69 0.12 0.15 -0.111 2.28 0.23 1.29 ONSA_GPS
10.87136 33.86971 -9.79 8.24 19.73 18.79 0.45 0.46 -0.031 1.38 0.23 3.01 JERB_GPS
10.82575 35.77545 -8.41 7.96 20.59 18.52 0.4 0.4 0.059 1.1 0.23 3.01 MONA_GPS
10.75175 34.7284 -9.44 8.15 19.87 18.74 0.36 0.36 0.025 1.25 0.23 3.01 SFAX_GPS
10.54723 35.34581 -8.96 7.76 20.21 18.39 0.4 0.39 -0.015 1.16 0.23 3.01 SOUA_GPS
10.52582 32.79955 -10.15 11.59 19.53 22.33 2.1 1.83 0.262 0.23 0.23 3.02 KSAR_GPS
10.49317 33.34224 -10.18 8.85 19.42 19.44 0.38 0.37 -0.007 1.46 0.23 3.01 MEDN_GPS
10.21163 36.35455 -10.7 5.4 18.1 16.03 0.37 0.38 0.012 1.01 0.23 3.01 ZRBA_GPS
10.19756 36.83883 -6.81 6.89 22.07 17.63 0.36 0.36 0.011 0.94 0.23 3.01 TUNI_GPS
10.09761 35.68362 -8.79 6.15 20.03 16.69 0.36 0.36 0.032 1.1 0.22 3.01 KAIR_GPS
9.87464 37.26976 -4.87 5.14 23.67 15.81 0.5 0.56 -0.007 0.86 0.22 3.01 BZRT_GPS
9.84245 34.57564 -9.76 8.34 19.4 18.97 0.37 0.37 -0.005 1.27 0.22 3.01 MZNA_GPS
9.76941 33.88247 -10.7 7.9 19.04 18.8 0.34 0.34 -0.003 1.36 0.22 3.01 HAMA_GPS
9.67213 0.35391 -8.3 8.59 22.26 19.8 0.3 0.2 -0.076 -0.01 0.16 3.0 NKLG_GPS
9.48646 35.03531 -8.12 7.82 21.05 18.61 0.36 0.35 0.034 1.19 0.22 3.01 SBZD_GPS
9.38083 36.07629 -7.29 7.76 21.47 18.48 0.36 0.36 0.006 1.04 0.22 3.01 SLNA_GPS
9.19087 36.72195 -7.08 7.0 21.51 17.75 0.35 0.35 0.009 0.94 0.22 3.01 BEJA_GPS
9.11015 39.22802 -6.65 5.27 21.53 16.19 0.17 0.16 -0.004 0.16 0.22 0.67 CAG1_GPS
8.97244 33.71083 -11.6 7.03 18.06 18.01 0.36 0.35 0.016 1.38 0.22 3.01 KEBI_GPS
8.84093 35.17271 -7.51 7.06 21.67 17.99 0.32 0.32 0.038 1.16 0.22 3.01 KASS_GPS
8.79394 34.41801 -10.34 6.26 19.04 17.21 0.34 0.34 0.038 1.28 0.22 3.01 GFSA_GPS
8.77721 36.49205 -7.21 6.31 21.76 17.33 0.34 0.34 0.031 0.97 0.22 3.01 JEND_GPS
8.76262 41.92746 -6.48 4.89 20.76 15.73 0.15 0.14 -0.003 0.22 0.22 1.77 AJAC_GPS
8.70992 36.17882 -5.36 9.02 23.15 19.73 0.37 0.38 0.036 1.02 0.22 3.01 ELKF_GPS
8.11417 33.91548 -9.78 7.39 19.31 18.2 0.39 0.38 0.069 1.34 0.21 3.01 TOZR_GPS
7.46528 46.8771 -6.08 5.25 19.68 16.44 0.12 0.11 -0.051 0.57 0.22 1.03 ZIMM_GPS
4.14016 39.93436 -6.68 5.05 20.7 16.65 0.1 0.17 -0.006 -0.08 0.2 0.58 ALOR_GPS
2.63746 39.56018 -7.16 2.48 20.47 13.64 0.29 0.41 0.038 1.38 0.19 1.19 MAL1_GPS
2.62456 39.55263 -7.01 4.84 20.7 16.56 0.32 0.22 -0.019 0.17 0.19 3.0 MALL_GPS
1.44897 38.91125 -6.94 4.62 20.84 16.49 0.22 0.14 -0.002 0.13 0.18 3.0 IBIZ_GPS
88.936 26.965 9.19 37.44 41.83 32.32 1.1 0.7 0.001 0.24 5.52 3.0 w001_GPS
88.791 27.01 7.11 36.88 39.75 31.82 1.7 1.4 0.001 0.24 5.47 3.0 w002_GPS
88.753 26.881 10.82 40.58 43.47 35.5 1.0 0.6 0.001 0.24 5.52 3.0 w003_GPS
88.738 26.751 11.21 41.64 43.87 36.56 1.1 0.8 0.001 0.24 5.58 3.0 w004_GPS
88.702 27.024 3.68 36.46 36.32 31.39 1.4 0.9 0.001 0.24 5.44 3.0 w005_GPS
88.569 26.889 1.36 40.19 34.02 35.15 1.5 1.1 0.001 0.24 5.47 3.0 w006_GPS
88.35 26.711 3.15 39.1 35.82 34.17 1.9 1.5 0.001 0.24 5.51 3.0 w007_GPS
88.185 26.883 2.34 40.59 35.01 35.63 1.4 1.0 0.001 0.24 5.39 3.0 w008_GPS
83.953 29.178 -0.06 27.83 32.89 23.68 1.59 1.13 0.001 0.24 3.26 3.0 w009_GPS
86.904 30.445 8.79 25.3 41.64 20.15 0.53 0.52 0.001 0.35 3.36 3.0 w010_GPS
85.057 30.729 5.38 25.41 37.34 20.23 0.55 0.5 0.001 0.35 2.79 3.0 w011_GPS
81.926 32.047 -2.12 21.96 30.54 18.13 1.55 1.43 0.001 0.25 1.39 3.02 w012_GPS
