Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
14.05 40.876 -10.25 8.51 19.06 17.94 0.14 0.14 -0.0 0.22 0.14 0.43 LICO_GPS
14.0239 40.7651 -9.71 4.87 18.59 15.1 0.08 0.06 0.0 -0.16 -0.16 0.27 IPRO_GPS
14.2253 40.8779 -4.46 8.7 23.9 18.91 0.11 0.11 0.0 1.24 1.09 0.4 FRUL_GPS
13.9246 40.712 -9.95 7.3 18.38 17.47 0.14 0.14 0.0 -4.74 -5.24 0.58 ISCH_GPS
14.2583 40.8474 -3.79 7.56 24.61 17.79 0.26 0.22 0.0 0.16 0.16 0.84 MAFE_GPS
14.083 40.8596 -13.22 11.82 15.5 21.49 0.34 0.43 0.0 4.58 5.97 1.68 MORU_GPS
14.276 40.87 -5.26 6.98 23.09 17.2 0.19 0.18 0.0 0.37 0.19 0.28 NAPO_GPS
14.2763 40.8589 -5.63 7.68 22.77 17.91 0.54 0.48 0.0 4.52 4.52 1.69 TAI1_GPS
14.1417 40.8209 5.81 12.8 0.0 0.0 0.17 0.13 0.001 27.03 0.0 0.52 ACAE_GPS
14.3434 40.8113 -6.07 6.73 0.0 0.0 0.06 0.07 0.001 -0.9 0.0 0.3 AGR1_GPS
13.9346 40.7361 -8.74 4.68 0.0 0.0 0.08 0.07 0.001 -3.89 0.0 0.38 AQMO_GPS
13.8557 40.7369 -6.69 5.35 0.0 0.0 0.08 0.07 0.001 -1.76 0.0 0.29 FORI_GPS
14.163 40.7972 4.33 -4.46 0.0 0.0 0.2 0.18 0.001 10.2 0.0 0.48 NISI_GPS
13.9014 40.7467 -7.58 3.71 0.0 0.0 0.13 0.15 0.001 -3.62 0.0 0.6 OSCM_GPS
14.1437 40.8777 -6.34 13.42 0.0 0.0 0.08 0.1 0.001 3.56 0.0 0.26 QUAR_GPS
14.1262 40.8233 -6.6 15.29 0.0 0.0 0.08 0.14 0.001 34.26 0.0 0.56 RITE_GPS
13.9453 40.7234 -9.5 5.97 0.0 0.0 0.13 0.13 0.001 -2.93 0.0 0.41 SAN2_GPS
13.8952 40.7116 -6.91 9.65 0.0 0.0 0.08 0.09 0.001 -6.6 0.0 0.32 SERY_GPS
14.1117 40.8351 -15.23 23.59 0.0 0.0 0.15 0.21 0.001 23.3 0.0 0.62 STRZ_GPS
14.1205 40.8558 -9.62 21.12 0.0 0.0 0.1 0.2 0.001 11.57 0.0 0.52 VICY_GPS
14.4939 40.7535 -8.16 6.73 20.22 16.76 0.3 0.36 0.0 1.02 0.53 1.27 POMP_GPS
14.4388 40.8185 -8.48 6.03 0.0 0.0 0.16 0.11 0.001 -7.71 0.0 0.42 BKE1_GPS
14.4105 40.7786 -6.54 6.73 0.0 0.0 0.12 0.16 0.001 -2.4 0.0 0.72 ONPI_GPS
14.3974 40.8279 -5.75 5.54 0.0 0.0 0.08 0.08 0.001 -2.41 0.0 0.34 OSVE_GPS
14.4772 40.8494 -7.45 6.73 0.0 0.0 0.09 0.08 0.001 -1.52 0.0 0.34 PR0T_GPS
14.4122 40.8688 -6.59 6.3 0.0 0.0 0.07 0.09 0.001 -1.31 0.0 0.3 SAN1_GPS
14.97 37.69 -4.58 -0.69 24.26 13.33 0.69 1.13 -0.0 0.26 0.15 1.82 ESLN_GPS
14.9774 37.5913 -8.06 -3.92 20.81 4.73 0.14 0.18 -0.0 1.2 1.95 0.62 BELP_GPS
14.84 37.66 -11.16 4.28 18.12 15.26 0.16 0.18 -0.0 2.36 3.03 0.48 ADRA_GPS
14.85 37.79 -11.22 10.95 22.04 19.17 0.19 0.13 -0.0 1.39 1.39 0.66 BR0N_GPS
15.2 37.76 0.36 5.43 30.37 16.04 0.41 0.24 -0.0 0.27 -0.11 1.12 MASL_GPS
40.2723 12.3319 -73.67 -1.1 0.0 0.0 0.64 0.45 0.001 23.66 0.0 1.36 DA35_GPS
40.0714 12.0661 -44.51 -1.44 0.0 0.0 0.5 0.48 0.001 -3.76 0.0 1.63 DA60_GPS
40.358 12.6437 -26.24 20.42 0.0 0.0 0.58 0.46 0.001 36.98 0.0 2.1 DABT_GPS
41.311 11.957 0.64 18.82 33.45 23.93 2.3 2.26 -0.005 0.2 0.11 3.0 SERO_GPS
40.709 11.338 -5.52 16.02 27.11 21.36 2.29 2.24 -0.006 0.2 0.11 3.0 MEBK_GPS
41.01 11.78 8.78 48.9 41.06 54.39 2.33 2.29 -0.017 0.28 0.28 3.0 SMRA_GPS
40.94 11.67 0.46 31.1 32.73 36.61 2.56 2.46 -0.006 0.28 0.28 3.0 TNDH_GPS
40.26 11.25 -16.78 3.75 15.44 9.4 2.29 2.25 -0.008 0.28 0.28 3.0 KSGT_GPS
14.9048 41.6542 5.96 4.52 0.0 0.0 0.3 0.26 0.001 2.02 0.0 1.76 CIGN_GPS
12.4306 42.8697 -22.83 -2.92 0.0 0.0 0.2 0.27 0.001 -11.31 0.0 0.7 ASSI_GPS
3.0342 47.5048 -1.8 17.93 0.0 0.0 0.15 0.2 0.001 -9.96 0.0 0.58 STVN_GPS
-0.1774 44.7429 -6.85 10.27 17.91 22.07 0.38 0.49 -0.0 -3.4 -3.36 0.58 CESS_GPS
7.0041 52.1611 -10.66 15.32 13.41 26.48 0.3 0.37 -0.0 -12.05 -12.05 0.93 EPE1_GPS
7.7182 51.6248 -9.26 8.36 15.11 19.44 0.27 0.28 -0.0 -2.74 -2.74 0.98 HAM1_GPS
8.6259 50.175 -5.11 8.08 19.88 19.05 0.4 0.61 -0.0 0.23 0.23 1.53 NIED_GPS
23.5868 46.7579 -4.14 18.16 23.81 26.94 0.23 0.42 0.0 -1.14 -1.14 0.86 CLUJ_GPS
26.4392 45.0975 0.62 -2.26 29.2 6.23 0.5 0.46 0.0 2.96 1.66 1.88 JUGU_GPS
24.7897 44.5627 -9.95 0.91 0.0 0.0 0.39 0.45 0.001 -1.23 0.0 1.15 STOL_GPS
28.4273 49.2197 -10.27 3.19 0.0 0.0 0.45 0.42 0.001 2.55 0.0 2.01 VNRS_GPS
33.9695 44.3929 -4.43 -1.34 24.01 6.27 0.17 0.16 0.001 -2.24 0.43 0.51 KTVL_GPS
26.1249 44.4477 -6.71 2.21 22.11 10.55 0.22 0.23 0.0 -0.54 -0.55 0.68 TOPG_GPS
24.2616 41.94067 -30.32 -8.83 -1.09 -0.17 1.12 0.56 -0.01 1.2 1.2 0.98 8385_GIZ
26.7829 40.98677 -10.76 -14.1 18.93 -5.87 2.26 2.47 0.04 21.79 21.79 21.15 HEMI_GPS
32.4763 37.8594 -28.94 19.58 3.01 26.71 0.54 0.51 0.0 -33.72 -67.48 3.19 KNY1_GPS
6.8559 45.6251 -9.28 -2.01 16.93 9.53 0.15 0.31 -0.0 -1.64 -1.58 0.76 ROSI_GPS
7.1987 45.7171 -4.77 0.77 21.41 11.91 0.39 0.47 -0.0 1.91 1.91 1.6 RUMI_GPS
7.4426 45.7529 -7.23 -0.77 18.98 10.35 0.36 0.36 -0.0 1.38 1.38 1.62 TNUS_GPS
6.8117 44.4809 -9.53 -0.69 0.0 0.0 0.37 0.33 0.001 -3.47 0.0 1.19 SURF_GPS
2.6637 44.9309 -10.9 3.99 14.88 15.64 0.57 0.42 -0.0 -1.56 -1.56 1.98 JOUS_GPS
76.945 52.285 -6.57 4.2 22.26 1.57 2.04 2.2 0.0 -0.2 0.25 3.01 PVL9_GPS
92.7122 11.6378 -22.69 25.29 0.0 0.0 0.36 0.3 0.001 17.22 0.0 1.18 PBR2_GPS
-1.687 37.6538 -2.69 1.61 26.43 12.67 0.28 0.24 0.0 -67.46 -72.67 1.02 LOR1_GPS
-1.7137 37.6566 -0.64 0.24 26.08 12.92 0.25 0.18 0.0 -15.88 -7.09 0.62 LORC_GPS
9.2455 39.4904 -5.71 11.94 22.42 22.84 0.52 0.62 0.0 -0.69 -0.69 1.11 SRT1_GPS
43.7391 37.57432 -4.39 4.1 27.17 9.02 0.91 0.66 0.01 0.74 0.74 25.65 HAKK_GE8
122.03 46.04 7.44 -3.61 33.87 -14.45 1.35 1.35 -0.043 -5.77 -5.77 2.87 NMWL_GPS
