Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
2.3098 36.5347 -3.52 73.8 19.92 17.8 0.12 0.11 -0.0 0.8 0.19 3.0 ABKD_GPS
47.2292 -19.0183 -127.92 -27.06 18.77 14.3 0.19 0.21 0.001 0.03 -0.16 3.0 ABPO_GPS
4.1986 35.4346 -6.97 70.96 18.53 18.77 0.15 0.11 0.0 1.0 0.19 3.0 ABSD_GPS
3.0333 36.7961 -1.81 72.18 20.5 17.64 0.08 0.1 -0.0 0.78 0.19 3.0 ABZH_GPS
351.6011 43.3644 7.87 93.19 20.73 17.1 0.1 0.1 0.01 -0.51 0.23 0.46 ACOR_GPS
3.448 34.9115 -9.82 72.56 17.52 18.83 0.12 0.12 0.0 1.06 0.18 3.0 ADCK_GPS
138.6473 -34.729 -43.65 -60.41 24.68 59.04 0.61 0.34 0.0 -0.2 -0.2 3.0 ADE1_GPS
38.7663 9.0351 -67.76 -4.48 24.71 18.8 0.43 0.44 0.0 0.2 0.02 3.0 ADIS_GPS
3.0982 34.215 -12.14 74.26 17.32 19.81 0.12 0.14 0.0 1.15 0.18 3.0 ADJF_GPS
2.5758 35.4014 -8.75 74.3 17.69 18.82 0.13 0.12 0.0 0.98 0.19 3.0 AFDJ_GPS
4.451 34.7238 -9.53 70.71 17.83 19.02 0.13 0.12 0.0 1.1 0.18 3.0 AFRS_GPS
8.7626 41.9275 16.19 58.42 20.76 15.76 0.1 0.14 -0.0 0.24 0.22 0.54 AJAC_GPS
3.4143 36.6508 -2.51 73.13 19.99 19.37 0.17 0.4 -0.0 0.81 0.19 3.0 AKDR_GPS
3.8908 36.0539 -3.12 72.04 20.85 19.4 0.87 0.4 -0.0 0.19 0.19 3.0 AKET_GPS
359.5188 38.3389 -0.36 78.14 20.05 16.73 0.12 0.12 -0.0 0.26 0.2 3.0 ALAC_GPS
236.513 48.3898 -167.1 52.31 -7.91 -7.87 0.11 0.1 -0.01 0.3 0.3 3.0 ALBH_GPS
133.8855 -23.6701 -58.76 -64.36 31.9 59.27 0.19 0.17 0.001 -0.12 -0.14 3.0 ALIC_GPS
357.5406 36.8525 -6.96 81.61 18.67 16.52 0.11 0.1 0.01 0.54 0.2 1.79 ALME_GPS
297.6595 82.4943 -37.72 134.67 -21.43 7.57 0.33 0.41 -0.0 0.37 0.37 3.0 ALRT_GPS
32.7585 39.8874 -4.6 1.26 2.02 10.68 0.37 0.42 0.0 0.21 0.21 3.0 ANKR_GPS
13.3503 42.3682 19.65 49.71 19.56 15.66 0.27 0.26 -0.0 0.08 0.22 1.74 AQUI_GPS
58.5605 56.4298 53.68 -57.96 25.35 6.11 0.14 0.14 -0.01 0.27 0.29 3.0 ARTU_GPS
189.278 -14.3261 -140.86 -4.43 -60.42 37.13 0.37 0.26 0.001 -0.05 -0.05 3.0 ASPA_GPS
4.1243 36.4427 -3.22 70.71 19.48 18.38 0.21 0.24 -0.0 0.86 0.19 3.0 ATKJ_GPS
174.8344 -36.6028 -24.23 -30.19 3.98 40.05 0.14 0.26 0.01 -0.2 -0.2 3.0 AUCK_GPS
263.9977 64.3178 -133.06 101.45 -19.19 -3.62 0.22 0.2 0.001 0.35 0.35 3.0 BAKE_GPS
