Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
14.05 40.876 -4.17 3.49 19.06 17.94 0.14 0.14 -0.0 0.23 0.09 0.43 LICO_GPS
14.0239 40.7651 -3.62 -0.15 18.59 15.1 0.08 0.06 0.0 -0.16 -0.16 0.27 IPRO_GPS
14.2253 40.8779 1.62 3.68 23.9 18.91 0.11 0.11 0.0 1.25 1.1 0.4 FRUL_GPS
13.9246 40.712 -3.86 2.28 18.38 17.47 0.14 0.14 0.0 -4.73 -5.23 0.58 ISCH_GPS
14.2583 40.8474 2.28 2.53 24.61 17.79 0.26 0.22 0.0 0.17 0.17 0.84 MAFE_GPS
14.083 40.8596 -7.14 6.8 15.5 21.5 0.34 0.43 0.0 4.58 5.97 1.68 MORU_GPS
14.276 40.87 0.81 1.95 23.09 17.2 0.19 0.18 0.0 0.37 0.2 0.28 NAPO_GPS
14.2763 40.8589 0.44 2.65 22.77 17.91 0.54 0.48 0.0 4.53 4.53 1.69 TAI1_GPS
14.1417 40.8209 11.89 7.77 0.0 0.0 0.17 0.13 0.001 27.03 0.0 0.52 ACAE_GPS
14.3434 40.8113 -0.0 1.7 0.0 0.0 0.06 0.07 0.001 -0.9 0.0 0.3 AGR1_GPS
13.9346 40.7361 -2.64 -0.34 0.0 0.0 0.08 0.07 0.001 -3.89 0.0 0.38 AQMO_GPS
13.8557 40.7369 -0.59 0.33 0.0 0.0 0.08 0.07 0.001 -1.76 0.0 0.29 FORI_GPS
14.163 40.7972 10.41 -9.49 0.0 0.0 0.2 0.18 0.001 10.2 0.0 0.48 NISI_GPS
13.9014 40.7467 -1.48 -1.31 0.0 0.0 0.13 0.15 0.001 -3.62 0.0 0.6 OSCM_GPS
14.1437 40.8777 -0.27 8.4 0.0 0.0 0.08 0.1 0.001 3.56 0.0 0.26 QUAR_GPS
14.1262 40.8233 -0.52 10.27 0.0 0.0 0.08 0.14 0.001 34.26 0.0 0.56 RITE_GPS
13.9453 40.7234 -3.4 0.95 0.0 0.0 0.13 0.13 0.001 -2.93 0.0 0.41 SAN2_GPS
13.8952 40.7116 -0.81 4.63 0.0 0.0 0.08 0.09 0.001 -6.6 0.0 0.32 SERY_GPS
14.1117 40.8351 -9.16 18.56 0.0 0.0 0.15 0.21 0.001 23.3 0.0 0.62 STRZ_GPS
14.1205 40.8558 -3.54 16.1 0.0 0.0 0.1 0.2 0.001 11.57 0.0 0.52 VICY_GPS
14.4939 40.7535 -2.1 1.7 20.22 16.76 0.3 0.36 0.0 1.02 0.53 1.27 POMP_GPS
14.4388 40.8185 -2.42 0.99 0.0 0.0 0.16 0.11 0.001 -7.71 0.0 0.42 BKE1_GPS
14.4105 40.7786 -0.48 1.69 0.0 0.0 0.12 0.16 0.001 -2.4 0.0 0.72 ONPI_GPS
14.3974 40.8279 0.31 0.51 0.0 0.0 0.08 0.08 0.001 -2.41 0.0 0.34 OSVE_GPS
14.4772 40.8494 -1.39 1.7 0.0 0.0 0.09 0.08 0.001 -1.52 0.0 0.34 PR0T_GPS
14.4122 40.8688 -0.53 1.26 0.0 0.0 0.07 0.09 0.001 -1.31 0.0 0.3 SAN1_GPS
14.97 37.69 1.62 -5.74 24.26 13.33 0.69 1.13 -0.0 0.24 0.1 1.82 ESLN_GPS
14.9774 37.5913 -1.86 -8.98 20.81 4.73 0.14 0.18 -0.0 1.2 1.95 0.62 BELP_GPS
