Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
14.0239 40.7651 18.68 15.13 18.78 15.35 0.08 0.06 0.001 -0.11 0.31 0.26 IPRO_GPS
14.276 40.87 23.14 17.21 23.84 17.47 0.19 0.18 0.001 0.37 0.97 0.28 NAP0_GPS
14.0496 40.8764 18.12 18.77 18.07 18.77 0.14 0.14 0.0 0.26 0.27 0.43 LICO_GPS
14.2253 40.8779 23.93 18.94 23.89 18.92 0.11 0.11 0.0 1.26 1.14 0.4 FRUL_GPS
13.9246 40.712 18.44 17.58 18.37 17.47 0.14 0.14 0.0 -4.71 -5.18 0.58 ISCH_GPS
14.2583 40.8474 24.6 17.8 24.6 17.8 0.26 0.22 0.0 0.21 0.21 0.84 MAFE_GPS
14.083 40.8596 15.15 22.07 15.49 21.5 0.35 0.43 0.0 4.61 6.02 1.68 MORU_GPS
14.2763 40.8589 22.76 17.92 22.76 17.92 0.54 0.48 0.0 4.57 4.57 1.69 TAI1_GPS
14.1417 40.8209 34.201 23.046 0.0 0.0 0.166 0.129 0.001 27.032 0.0 0.515 ACAE_GPS
14.3434 40.8113 22.346 16.944 0.0 0.0 0.06 0.065 0.001 -0.901 0.0 0.303 AGR1_GPS
13.9346 40.7361 19.65 14.959 0.0 0.0 0.08 0.074 0.001 -3.889 0.0 0.38 AQMO_GPS
13.8557 40.7369 21.689 15.639 0.0 0.0 0.08 0.073 0.001 -1.76 0.0 0.295 FORI_GPS
14.163 40.7972 32.733 5.779 0.0 0.0 0.205 0.183 0.001 10.197 0.0 0.48 NISI_GPS
13.9014 40.7467 20.804 13.99 0.0 0.0 0.13 0.147 0.001 -3.625 0.0 0.599 OSCM_GPS
14.1437 40.8777 22.037 23.667 0.0 0.0 0.081 0.102 0.001 3.563 0.0 0.264 QUAR_GPS
14.1262 40.8233 21.792 25.54 0.0 0.0 0.083 0.143 0.001 34.256 0.0 0.555 RITE_GPS
13.9453 40.7234 18.893 16.24 0.0 0.0 0.133 0.131 0.001 -2.929 0.0 0.41 SAN2_GPS
13.8952 40.7116 21.48 19.929 0.0 0.0 0.084 0.087 0.001 -6.596 0.0 0.322 SERY_GPS
14.1117 40.8351 13.15 33.836 0.0 0.0 0.148 0.208 0.001 23.298 0.0 0.625 STRZ_GPS
14.1205 40.8558 18.763 31.372 0.0 0.0 0.096 0.204 0.001 11.574 0.0 0.517 VICY_GPS
14.4939 40.7535 20.28 16.93 20.21 16.76 0.31 0.36 0.0 1.04 0.58 1.27 POMP_GPS
14.4388 40.8185 19.947 16.229 0.0 0.0 0.157 0.109 0.001 -7.715 0.0 0.424 BKE1_GPS
14.4105 40.7786 21.89 16.94 0.0 0.0 0.12 0.17 0.001 -2.4 0.0 0.72 ONPI_GPS
14.3974 40.8279 22.665 15.748 0.0 0.0 0.077 0.084 0.001 -2.408 0.0 0.342 OSVE_GPS
14.4772 40.8494 20.976 16.931 0.0 0.0 0.085 0.082 0.001 -1.525 0.0 0.336 PR0T_GPS
14.4122 40.8688 21.821 16.503 0.0 0.0 0.074 0.09 0.001 -1.313 0.0 0.297 SAN1_GPS
14.9774 37.5913 21.15 6.21 20.8 4.73 0.14 0.19 -0.0 1.23 2.02 0.62 BELP_GPS
14.84 37.66 18.01 14.43 18.11 15.26 0.16 0.17 -0.0 2.39 3.1 0.47 ADRA_GPS
14.85 37.79 17.94 21.09 22.02 19.17 0.19 0.13 -0.0 1.46 1.46 0.66 BR0N_GPS
15.2 37.76 30.35 16.04 30.35 16.04 0.24 0.21 -0.0 -0.04 -0.04 0.85 MASL_GPS
14.97 37.69 24.61 9.44 24.26 13.33 0.69 1.13 -0.0 0.23 0.1 1.82 ESLN_GPS
41.31 11.96 32.44 24.58 32.44 24.58 2.32 2.28 -0.017 0.28 0.28 3.0 SERO_GPS
41.01 11.78 41.06 54.39 41.06 54.39 2.33 2.29 -0.017 0.28 0.28 3.0 SMRA_GPS
40.94 11.67 32.73 36.61 32.73 36.61 2.56 2.46 -0.006 0.28 0.28 3.0 TNDH_GPS
40.71 11.34 26.33 21.78 26.33 21.78 2.3 2.26 -0.012 0.28 0.28 3.0 MEBK_GPS
40.26 11.25 15.44 9.4 15.44 9.4 2.29 2.25 -0.008 0.28 0.28 3.0 KSGT_GPS
40.0714 12.0661 -12.223 4.247 0.0 0.0 0.497 0.48 0.001 -3.756 0.0 1.632 DA60_GPS
14.9048 41.6542 43.623 9.429 0.0 0.0 0.293 0.209 0.001 3.869 0.0 0.531 CIGN_GPS
12.4306 42.8697 4.842 7.562 0.0 0.0 0.204 0.274 0.001 -11.31 0.0 0.702 ASSI_GPS
3.0342 47.5048 23.232 29.539 0.0 0.0 0.148 0.205 0.001 -9.965 0.0 0.583 STVN_GPS
359.8226 44.7429 18.58 22.19 17.92 22.07 0.38 0.49 -0.0 -3.36 -3.28 0.58 CESS_GPS
7.0041 52.1611 13.41 26.48 13.41 26.48 0.3 0.37 -0.0 -12.07 -12.07 0.93 EPE1_GPS
7.7182 51.6248 15.1 19.44 15.1 19.44 0.27 0.28 -0.0 -2.75 -2.75 0.98 HAM1_GPS
