Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
2.3098 36.5347 4.93 16.38 19.92 17.8 0.12 0.11 -0.0 0.8 0.19 3.0 ABKD_GPS
47.2292 -19.0183 -32.04 -11.99 18.77 14.3 0.2 0.25 0.001 0.03 -0.16 3.0 ABPO_GPS
4.1986 35.4346 2.41 16.18 18.53 18.77 0.15 0.11 0.0 1.0 0.19 3.0 ABSD_GPS
3.0333 36.7961 5.74 15.76 20.5 17.64 0.08 0.1 -0.0 0.78 0.19 3.0 ABZH_GPS
351.6011 43.3644 12.13 22.15 20.73 17.1 0.1 0.1 0.01 -0.51 0.23 0.46 ACOR_GPS
3.448 34.9115 0.92 16.72 17.52 18.83 0.12 0.12 0.0 1.06 0.18 3.0 ADCK_GPS
138.6473 -34.729 2.93 35.61 24.68 59.04 0.61 0.34 0.0 -0.2 -0.2 3.0 ADE1_GPS
38.7663 9.0351 -15.19 -3.66 24.71 18.8 0.45 0.44 0.0 0.11 0.02 3.0 ADIS_GPS
3.0982 34.215 0.06 17.93 17.32 19.81 0.12 0.14 0.0 1.15 0.18 3.0 ADJF_GPS
2.5758 35.4014 1.6 17.24 17.69 18.82 0.13 0.12 0.0 0.98 0.19 3.0 AFDJ_GPS
4.451 34.7238 1.02 16.28 17.83 19.02 0.13 0.12 0.0 1.1 0.18 3.0 AFRS_GPS
8.7626 41.9275 10.9 10.27 20.76 15.76 0.12 0.14 -0.0 0.22 0.22 1.77 AJAC_GPS
3.4143 36.6508 5.08 17.26 19.99 19.37 0.17 0.4 -0.0 0.81 0.19 3.0 AKDR_GPS
3.8908 36.0539 5.29 16.83 20.85 19.4 0.87 0.4 -0.0 0.19 0.19 3.0 AKET_GPS
359.5188 38.3389 6.56 16.96 20.05 16.73 0.12 0.12 -0.0 0.2 0.2 3.0 ALAC_GPS
236.513 48.3898 -52.37 21.92 -7.91 -7.87 0.11 0.1 -0.01 0.3 0.3 3.0 ALBH_GPS
133.8855 -23.6701 0.38 32.84 31.9 59.27 0.19 0.17 0.001 -0.12 -0.14 3.0 ALIC_GPS
357.5406 36.8525 3.92 17.79 18.67 16.52 0.13 0.12 0.01 0.48 0.2 3.0 ALME_GPS
297.6595 82.4943 -10.82 38.99 -21.43 7.57 0.33 0.41 -0.0 0.37 0.37 3.0 ALRT_GPS
32.7585 39.8874 -13.66 -8.34 2.02 10.68 0.37 0.42 0.0 0.21 0.21 3.0 ANKR_GPS
13.3503 42.3682 11.13 8.6 19.56 15.66 0.34 0.37 -0.0 0.08 0.22 3.0 AQUI_GPS
58.5605 56.4298 15.61 -24.29 25.35 6.11 0.13 0.14 -0.01 0.2 0.29 3.0 ARTU_GPS
189.278 -14.3261 -95.33 43.03 -60.42 37.13 0.37 0.26 0.001 -0.05 -0.05 3.0 ASPA_GPS
4.1243 36.4427 4.35 15.82 19.48 18.38 0.21 0.24 -0.0 0.86 0.19 3.0 ATKJ_GPS
174.8344 -36.6028 -11.07 37.0 3.98 40.05 0.14 0.26 0.01 -0.2 -0.2 3.0 AUCK_GPS
263.9977 64.3178 -41.93 31.78 -19.19 -3.62 0.22 0.2 0.001 0.35 0.35 3.0 BAKE_GPS
291.7783 44.395 -38.41 40.31 -15.55 7.29 0.18 0.16 0.001 0.27 0.27 3.0 BARH_GPS
1.4011 41.5996 9.52 15.34 19.21 16.31 0.16 0.15 0.01 0.16 0.22 1.74 BELL_GPS
2.45 6.3847 -18.67 17.45 22.12 18.89 0.28 0.29 0.0 -0.22 0.01 3.0 BJCO_GPS
115.8925 39.6086 -14.15 -42.44 30.62 -10.58 0.13 0.14 0.0 0.24 0.23 3.0 BJFS_GPS
21.0354 52.4759 19.52 1.52 19.47 14.41 0.11 0.09 -0.0 0.02 0.27 0.36 BOGO_GPS
285.9191 4.6401 -45.21 49.0 -1.2 14.73 0.3 0.27 0.001 0.04 0.04 3.0 BOGT_GPS
17.0735 52.277 19.37 4.2 19.93 14.12 0.14 0.09 -0.0 0.14 0.27 3.0 BOR1_GPS
312.1221 -15.9475 -53.52 39.29 -3.73 12.94 0.49 0.47 0.0 -0.11 -0.11 3.0 BRAZ_GPS
240.317 48.1315 -55.88 20.89 -12.83 -10.13 0.09 0.1 -0.016 0.3 0.3 3.0 BREW_GPS
321.5745 -3.8775 -50.95 35.39 -4.22 13.34 0.24 0.26 0.0 -0.04 -0.04 3.0 BRFT_GPS
295.3037 32.3704 -42.08 41.26 -12.27 9.1 0.32 0.25 0.0 0.2 0.2 3.0 BRMU_GPS
355.5034 48.3805 13.21 19.64 16.4 17.24 0.12 0.13 -0.0 0.24 0.26 0.72 BRST_GPS
4.3592 50.7978 16.76 13.3 17.68 16.73 0.17 0.15 -0.0 0.36 0.27 2.09 BRUS_GPS
26.1257 44.4639 13.29 -3.45 23.23 12.33 0.14 0.22 0.0 1.07 0.23 3.0 BUCU_GPS
11.3368 46.499 14.6 8.91 20.93 15.61 0.15 0.16 -0.01 1.22 0.24 1.06 BZRG_GPS
7.4733 36.2766 4.32 12.52 19.78 17.19 0.1 0.11 0.0 0.94 0.19 3.0 CABS_GPS
6.8499 36.7856 4.21 9.24 19.13 13.52 0.31 0.46 -0.0 0.86 0.19 3.0 CAEH_GPS
4.8734 35.5645 1.72 15.5 17.73 18.51 0.23 0.3 0.0 1.0 0.19 3.0 CAEK_GPS
8.9728 39.1359 8.64 10.41 21.12 16.14 0.15 0.11 -0.0 0.21 0.21 0.46 CAGL_GPS
110.5197 -66.2834 -4.9 -42.98 1.2 -9.32 0.18 0.14 -0.011 -0.06 -0.35 3.0 CAS1_GPS
350.5815 38.6934 4.62 22.78 17.47 17.15 0.14 0.11 -0.0 0.1 0.21 3.0 CASC_GPS
7.1911 35.1442 2.68 13.66 19.23 18.14 0.13 0.1 0.0 1.1 0.18 3.0 CBBR_GPS
8.4177 35.1825 2.69 12.46 19.27 17.7 0.12 0.12 0.0 1.1 0.18 3.0 CBCK_GPS
5.0838 36.7678 5.77 14.54 20.63 17.7 0.24 0.22 0.02 0.82 0.19 3.0 CBEJ_GPS
