Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
32.7585 39.8874 -14.74 71.52 2.06 11.56 0.42 0.44 0.001 0.21 -4.63 3.0 ANKR_GPS
44.0856 40.2857 19.34 64.89 28.63 16.12 0.12 0.15 0.0 -0.42 1.78 2.15 ARUC_GPS
50.6081 26.2091 2.72 71.36 31.4 29.93 0.2 0.24 -0.0 -0.29 -1.37 3.0 BHR4_GPS
31.6065 40.7464 -2.06 74.52 14.05 13.21 0.73 0.64 0.001 2.75 2.75 2.99 BOL1_GPS
31.602 40.7335 -3.87 74.35 12.26 13.04 0.16 0.2 0.001 0.78 1.36 3.02 BOLU_GPS
34.7967 41.461 10.07 71.04 22.97 13.05 0.34 0.36 0.001 0.74 0.92 2.68 BOYT_GPS
35.023 32.779 -2.99 78.16 22.55 19.77 0.32 0.34 0.002 0.1 -0.29 3.0 BSHM_GPS
26.1257 44.4639 8.09 78.27 23.06 12.5 0.14 0.22 0.001 1.07 0.77 2.17 BUCU_GPS
33.6104 40.6086 -9.23 72.75 6.8 12.01 0.24 0.26 0.001 0.13 -0.55 3.0 CANK_GPS
74.7511 42.9985 33.33 12.51 27.13 2.97 0.2 0.22 0.0 0.23 -1.43 3.0 CHUM_GPS
32.4745 40.491 -11.78 70.56 4.75 10.27 0.17 0.15 0.001 1.56 0.63 2.72 CMLD_GPS
34.9822 40.5704 -5.65 73.72 9.3 16.11 0.27 0.27 0.001 0.5 -0.19 3.0 CORU_GPS
33.991 44.4133 15.18 71.36 24.32 12.11 0.15 0.16 0.001 -0.09 0.33 3.0 CRAO_GPS
42.8471 11.5263 -19.93 68.11 31.27 18.17 0.86 0.9 -0.002 0.1 -1.91 2.98 DJIG_GPS
35.3921 31.5932 -3.72 78.14 23.16 20.23 0.22 0.2 0.002 0.16 2.29 3.0 DRAG_GPS
23.9324 38.0786 -17.01 56.02 8.38 -11.5 0.33 0.37 0.001 -0.07 -0.09 1.35 DYNG_GPS
30.4636 39.7457 -16.28 71.66 2.85 9.24 0.2 0.23 0.002 -0.04 0.47 3.0 ESKS_GPS
20.3229 49.0347 6.49 83.92 19.44 12.86 0.18 0.18 0.001 0.07 0.9 1.46 GANP_GPS
30.4967 50.3642 19.16 74.84 22.32 13.29 0.18 0.2 0.001 0.22 0.32 2.63 GLSV_GPS
15.4935 47.0671 0.84 88.81 21.78 15.77 0.14 0.12 0.0 0.22 0.89 1.11 GRAZ_GPS
30.7408 40.795 2.14 73.54 18.78 11.97 0.24 0.2 0.001 -0.32 -0.71 2.9 HEND_GPS
32.4957 39.4347 -12.82 70.73 4.71 10.05 0.29 0.31 0.001 -2.59 -3.04 2.9 HYMN_GPS
33.7678 41.977 11.15 72.48 24.18 13.51 0.46 0.58 0.001 0.18 0.18 3.01 INE2_GPS
32.5608 40.839 -5.26 71.47 10.06 11.02 0.7 0.64 0.001 1.9 1.9 2.96 IS01_GPS
32.7407 40.8967 2.6 73.12 17.71 12.83 0.78 0.74 0.001 2.77 2.77 3.38 IS02_GPS
32.8317 40.9198 3.26 71.68 18.49 10.85 0.76 0.69 0.001 2.78 3.64 2.81 IS03_GPS
32.7594 40.8669 -5.63 71.48 9.51 11.21 0.76 0.68 0.001 1.04 1.04 3.29 IS04_GPS
33.3565 40.9704 1.42 73.02 16.0 13.3 0.95 0.75 0.001 0.9 0.9 3.26 IS09_GPS
33.2543 40.9933 4.41 72.63 19.03 12.82 0.83 0.74 0.001 -0.63 -0.63 2.97 IS10_GPS
33.1999 40.9409 -3.35 71.58 11.38 11.72 0.83 0.74 0.001 0.23 0.23 2.78 IS11_GPS
33.1783 40.964 2.98 72.92 17.69 13.04 0.94 0.67 0.001 0.53 0.53 3.06 IS12_GPS
33.0883 40.9428 2.97 73.61 17.78 13.64 1.06 0.68 0.001 -2.21 -2.21 3.3 IS13_GPS
33.0141 40.921 -1.6 73.41 13.29 13.38 0.83 0.58 0.001 0.92 0.92 2.75 IS14_GPS
32.3066 40.8397 -1.12 72.47 14.37 11.79 0.73 0.66 0.001 -1.16 -1.16 3.19 IS18_GPS
32.096 40.6851 -7.03 72.01 8.83 11.14 0.56 0.54 0.001 0.1 0.1 2.59 IS19_GPS
32.5982 40.8807 2.65 72.21 17.88 11.79 0.64 0.58 0.001 -0.6 -0.6 2.55 IS21_GPS
44.4384 33.3414 5.18 76.23 25.15 27.72 0.34 0.4 0.001 -0.45 -0.86 2.57 ISBA_GPS
29.0193 41.1044 6.42 75.13 23.65 12.48 0.31 0.32 0.001 0.06 0.55 3.0 ISTA_GPS
27.0818 38.3948 -20.15 61.79 3.24 -2.78 0.2 0.22 0.001 -0.15 -0.74 1.09 IZMI_GPS
66.8854 39.1348 25.72 25.68 26.43 4.99 0.32 0.28 0.001 0.12 -0.88 3.0 KIT3_GPS
33.5179 39.8433 -10.64 73.97 3.11 13.29 0.32 0.31 0.001 0.24 0.12 3.0 KKAL_GPS
32.6759 41.2316 8.28 73.31 22.91 12.93 0.1 0.16 0.001 -0.39 1.26 3.0 KRBK_GPS
43.0934 40.5885 18.69 64.67 27.53 16.07 0.14 0.17 0.001 -0.16 -2.54 3.0 KRS1_GPS
32.7177 41.8461 10.45 73.79 24.12 13.47 0.11 0.18 0.001 -0.06 -0.12 1.88 KURU_GPS
16.7045 40.6491 -4.06 91.64 24.15 19.53 0.13 0.16 0.001 0.21 0.0 2.84 MAT1_GPS
37.2145 56.0215 33.36 67.61 22.35 11.68 0.16 0.21 0.001 0.26 1.23 0.92 MDVJ_GPS
34.2559 36.5664 -6.35 75.1 14.4 15.32 0.26 0.34 0.002 -1.28 -0.02 2.96 MERS_GPS
31.9728 46.9728 16.65 73.11 23.3 12.47 0.13 0.14 0.001 0.09 1.35 0.49 MIKL_GPS
31.3321 40.1733 -14.9 71.67 2.63 10.33 0.1 0.16 0.001 0.64 1.26 2.69 NAHA_GPS
33.3964 35.141 -3.57 75.26 19.53 15.51 0.19 0.2 0.002 -0.56 -0.49 1.21 NICO_GPS
11.9245 57.3953 5.16 89.67 17.33 14.69 0.12 0.16 0.002 2.48 3.32 1.16 ONS1_GPS
20.7941 41.1273 0.38 81.56 23.68 11.65 0.26 0.26 0.001 0.35 0.67 1.8 ORID_GPS
19.2815 47.7896 5.65 85.47 22.19 14.68 0.12 0.13 0.001 0.08 0.56 1.3 PENC_GPS
74.6943 42.6798 33.33 14.46 27.81 4.61 0.26 0.23 0.0 0.23 -0.19 3.0 POL2_GPS
34.5429 49.6026 21.34 70.89 22.4 11.85 0.17 0.13 0.001 -0.06 1.66 2.41 POLV_GPS
34.7631 30.5976 -4.96 77.97 23.73 19.28 0.15 0.14 0.003 0.23 0.64 3.0 RAMO_GPS
31.5363 39.4465 -15.52 71.32 3.06 9.92 0.2 0.21 0.002 0.02 0.66 2.67 SIH1_GPS
35.1539 42.0302 12.81 71.37 24.31 13.76 0.11 0.13 0.001 -0.89 -0.97 2.66 SINP_GPS
23.3947 42.5561 4.2 79.87 23.75 11.78 0.16 0.23 0.001 0.15 -0.01 1.16 SOFI_GPS
24.0145 49.8356 12.06 81.56 21.75 14.06 0.13 0.13 0.001 0.12 0.23 2.14 SULP_GPS
34.3767 40.1636 -10.39 73.68 5.91 14.28 0.59 0.6 0.001 -0.4 -2.28 3.0 SUN1_GPS
69.2956 41.328 28.69 21.34 27.0 4.31 0.46 0.44 0.0 0.02 0.19 3.0 TASH_GPS
51.3341 35.6973 13.94 60.16 26.02 19.12 0.23 0.17 0.0 0.22 0.84 3.0 TEHN_GPS
29.4507 40.7867 2.12 74.76 19.19 12.18 0.27 0.22 0.001 -0.32 -0.74 3.0 TUBI_GPS
35.4667 41.138 7.18 72.04 20.1 14.01 0.26 0.27 0.001 1.05 0.93 3.0 VEZI_GPS
12.1014 54.1698 2.88 90.22 18.81 14.92 0.12 0.14 0.001 0.1 1.41 1.68 WARN_GPS
41.5651 43.7884 20.26 62.94 25.15 11.36 0.17 0.13 0.0 0.33 1.93 3.0 ZECK_GPS
31.7782 41.4495 9.57 73.96 25.27 13.55 0.14 0.23 0.001 0.01 -2.93 2.72 ZONG_GPS
95.71806 22.57239 -0.82 -6.13 30.97 11.08 1.25 0.76 0.001 0.38 -8.27 1.75 SWBO_GPS
96.32221 17.39696 -7.85 -14.34 31.27 5.76 0.5 0.5 0.001 0.29 0.29 0.06 IGLE_GPS
95.61651 20.47354 -6.54 -3.44 27.46 15.7 0.5 0.5 0.001 3.04 3.04 0.2 M007_GPS
89.5313 22.85264 12.49 23.28 41.91 34.08 0.5 0.5 0.001 -4.37 -4.37 0.07 KLNA_GPS
96.66717 17.46937 -8.85 -25.79 30.19 -5.23 0.5 0.5 0.001 2.3 2.3 0.1 WAAW_GPS
96.02608 17.36877 -8.59 -7.62 29.9 11.77 0.5 0.5 0.001 2.46 2.46 0.19 GYB2_GPS
95.97097 20.38446 -7.91 -9.09 26.28 10.53 0.5 0.5 0.001 8.31 8.31 0.4 M10W_GPS
96.79473 20.72599 -5.63 -24.61 28.1 -3.88 0.5 0.5 0.001 2.29 2.29 0.25 HEHO_GPS
96.21651 20.47872 -6.1 -19.82 27.97 0.13 0.5 0.5 0.001 3.94 3.94 0.28 M10E_GPS
96.11896 22.58645 -3.0 -21.26 26.74 2.01 0.76 0.76 0.001 4.07 -0.96 1.76 SDWN_GPS
93.60447 22.63446 -2.56 6.33 27.57 22.71 0.5 0.5 0.001 0.13 0.13 0.26 HAK3_GPS
90.3879 23.80467 13.35 21.46 41.21 33.45 0.5 0.5 0.001 -12.07 -12.07 0.07 DHA2_GPS
97.54698 20.91134 -4.17 -27.0 29.35 -5.26 0.5 0.5 0.001 3.15 3.15 0.28 EW08_GPS
91.72659 24.3093 10.6 19.09 37.72 32.92 0.5 0.5 0.001 -3.54 -3.54 0.07 SRIM_GPS
94.04982 19.78988 -1.77 8.57 33.2 25.58 0.5 0.5 0.001 3.29 3.29 0.42 EW02_GPS
90.39887 24.40976 14.87 21.17 41.69 33.17 0.5 0.5 0.001 -7.31 -7.31 0.07 VLKA_GPS
