Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
14.0239 40.7651 -11.0 89.03 18.59 15.1 0.08 0.06 0.0 -0.16 -0.16 0.27 IPRO_GPS
14.0496 40.8764 -11.42 92.66 18.08 18.77 0.14 0.14 0.0 0.23 0.23 0.43 LICO_GPS
14.2253 40.8779 -5.45 92.73 23.9 18.91 0.11 0.11 0.0 1.25 1.1 0.4 FRUL_GPS
13.9246 40.712 -11.38 91.53 18.38 17.47 0.14 0.14 0.0 -4.73 -5.23 0.58 ISCH_GPS
14.2583 40.8474 -4.78 91.57 24.61 17.79 0.26 0.22 0.0 0.17 0.17 0.84 MAFE_GPS
14.083 40.8596 -14.37 95.94 15.5 21.5 0.34 0.43 0.0 4.58 5.97 1.68 MORU_GPS
14.276 40.87 -6.22 90.98 23.09 17.2 0.19 0.18 0.0 0.37 0.2 0.28 NAPO_GPS
14.2763 40.8589 -6.59 91.68 22.77 17.91 0.54 0.48 0.0 4.53 4.53 1.69 TAI1_GPS
14.1417 40.8209 4.68 96.88 0.0 0.0 0.17 0.13 0.001 27.03 0.0 0.52 ACAE_GPS
14.3434 40.8113 -7.02 90.67 0.0 0.0 0.06 0.07 0.001 -0.9 0.0 0.3 AGR1_GPS
13.9346 40.7361 -10.14 88.91 0.0 0.0 0.08 0.07 0.001 -3.89 0.0 0.38 AQMO_GPS
13.8557 40.7369 -8.17 89.63 0.0 0.0 0.08 0.07 0.001 -1.76 0.0 0.29 FORI_GPS
14.163 40.7972 3.2 79.61 0.0 0.0 0.2 0.18 0.001 10.2 0.0 0.48 NISI_GPS
13.9014 40.7467 -9.0 87.96 0.0 0.0 0.13 0.15 0.001 -3.62 0.0 0.6 OSCM_GPS
14.1437 40.8777 -7.42 97.5 0.0 0.0 0.08 0.1 0.001 3.56 0.0 0.26 QUAR_GPS
14.1262 40.8233 -7.74 99.39 0.0 0.0 0.08 0.14 0.001 34.26 0.0 0.56 RITE_GPS
13.9453 40.7234 -10.9 90.18 0.0 0.0 0.13 0.13 0.001 -2.93 0.0 0.41 SAN2_GPS
13.8952 40.7116 -8.37 93.9 0.0 0.0 0.08 0.09 0.001 -6.6 0.0 0.32 SERY_GPS
14.1117 40.8351 -16.38 107.69 0.0 0.0 0.15 0.21 0.001 23.3 0.0 0.62 STRZ_GPS
14.1205 40.8558 -10.74 105.22 0.0 0.0 0.1 0.2 0.001 11.57 0.0 0.52 VICY_GPS
14.4939 40.7535 -9.02 90.58 20.22 16.76 0.3 0.36 0.0 1.02 0.53 1.27 POMP_GPS
14.4388 40.8185 -9.33 89.91 0.0 0.0 0.16 0.11 0.001 -7.71 0.0 0.42 BKE1_GPS
14.4105 40.7786 -7.46 90.64 0.0 0.0 0.12 0.16 0.001 -2.4 0.0 0.72 ONPI_GPS
14.3974 40.8279 -6.63 89.45 0.0 0.0 0.08 0.08 0.001 -2.41 0.0 0.34 OSVE_GPS
14.4772 40.8494 -8.23 90.59 0.0 0.0 0.09 0.08 0.001 -1.52 0.0 0.34 PR0T_GPS
14.4122 40.8688 -7.42 90.2 0.0 0.0 0.07 0.09 0.001 -1.31 0.0 0.3 SAN1_GPS
14.9774 37.5913 -11.35 79.6 20.81 4.73 0.14 0.18 -0.0 1.2 1.95 0.62 BELP_GPS
14.84 37.66 -14.52 87.9 18.13 15.26 0.16 0.18 -0.0 2.36 3.04 0.48 ADRA_GPS
14.85 37.79 -14.45 94.56 22.04 19.17 0.19 0.13 -0.0 1.4 1.4 0.66 BR0N_GPS
15.2 37.76 -1.77 89.32 30.37 16.04 0.24 0.21 -0.0 -0.11 -0.11 0.85 MASL_GPS
14.97 37.69 -7.78 82.84 24.26 13.33 0.69 1.13 -0.0 0.24 0.1 1.82 ESLN_GPS
