Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
14.1417 40.8209 20.9 11.29 0.0 0.0 0.17 0.13 0.001 27.03 0.0 0.52 ACAE_GPS
14.3434 40.8113 9.01 5.1 0.0 0.0 0.06 0.07 0.001 -0.9 0.0 0.3 AGR1_GPS
13.9346 40.7361 6.31 3.29 0.0 0.0 0.08 0.07 0.001 -3.89 0.0 0.38 AQMO_GPS
13.8557 40.7369 8.36 4.01 0.0 0.0 0.08 0.07 0.001 -1.76 0.0 0.29 FORI_GPS
14.2253 40.8779 10.66 7.15 0.0 0.0 0.11 0.11 0.001 1.26 0.0 0.4 FRUL_GPS
14.0239 40.7651 5.35 3.43 0.0 0.0 0.08 0.06 0.001 -0.11 0.0 0.27 IPRO_GPS
13.9246 40.712 5.07 5.92 0.0 0.0 0.14 0.14 0.001 -4.7 0.0 0.58 ISCY_GPS
14.0496 40.8764 4.87 7.05 0.0 0.0 0.14 0.14 0.001 0.26 0.0 0.43 LICO_GPS
14.083 40.8596 1.89 10.34 0.0 0.0 0.34 0.43 0.001 4.61 0.0 1.68 MORU_GPS
14.276 40.87 9.85 5.4 0.0 0.0 0.19 0.18 0.001 0.37 0.0 0.28 NAPO_GPS
14.163 40.7972 19.41 -5.99 0.0 0.0 0.2 0.18 0.001 10.2 0.0 0.48 NISI_GPS
13.9014 40.7467 7.48 2.34 0.0 0.0 0.13 0.15 0.001 -3.62 0.0 0.6 OSCM_GPS
14.1437 40.8777 8.78 11.91 0.0 0.0 0.08 0.1 0.001 3.56 0.0 0.26 QUAR_GPS
14.1262 40.8233 8.49 13.79 0.0 0.0 0.08 0.14 0.001 34.26 0.0 0.56 RITE_GPS
13.9453 40.7234 5.54 4.57 0.0 0.0 0.13 0.13 0.001 -2.93 0.0 0.41 SAN2_GPS
13.8952 40.7116 8.13 8.28 0.0 0.0 0.08 0.09 0.001 -6.6 0.0 0.32 SERY_GPS
14.1117 40.8351 -0.14 22.09 0.0 0.0 0.15 0.21 0.001 23.3 0.0 0.62 STRZ_GPS
14.1205 40.8558 5.49 19.62 0.0 0.0 0.1 0.2 0.001 11.57 0.0 0.52 VICY_GPS
14.2583 40.8474 11.3 5.99 24.6 17.8 0.26 0.22 0.0 0.21 0.21 0.84 MAFE_GPS
14.2763 40.8589 9.47 6.1 22.76 17.92 0.54 0.48 0.0 4.57 4.57 1.69 TAI1_GPS
14.4388 40.8185 6.6 4.34 0.0 0.0 0.16 0.11 0.001 -7.71 0.0 0.42 BKE1_GPS
14.4105 40.7786 8.52 5.06 0.0 0.0 0.12 0.16 0.001 -2.4 0.0 0.72 ONPI_GPS
14.3974 40.8279 9.33 3.88 0.0 0.0 0.08 0.08 0.001 -2.41 0.0 0.34 OSVE_GPS
14.4939 40.7535 6.88 5.02 0.0 0.0 0.3 0.36 0.001 1.04 0.0 1.27 POMP_GPS
14.4772 40.8494 7.65 5.03 0.0 0.0 0.09 0.08 0.001 -1.52 0.0 0.34 PR0T_GPS
14.4122 40.8688 8.52 4.63 0.0 0.0 0.07 0.09 0.001 -1.31 0.0 0.3 SAN1_GPS
14.8424 37.6584 2.21 2.37 0.0 0.0 0.16 0.18 0.001 2.39 0.0 0.48 ADRA_GPS
14.9774 37.5913 5.28 -5.92 0.0 0.0 0.14 0.18 0.001 1.24 0.0 0.62 BELP_GPS
14.8458 37.7889 2.23 9.03 0.0 0.0 0.19 0.13 0.001 1.46 0.0 0.66 BRO2_GPS
14.9743 37.6934 8.81 -2.68 0.0 0.0 0.69 1.13 0.001 0.24 0.0 1.82 ESLN_GPS
15.2 37.76 14.58 3.82 30.35 16.04 0.24 0.21 -0.0 -0.04 -0.04 0.85 MASL_GPS
40.0714 12.0661 -46.69 -17.21 0.0 0.0 0.5 0.48 0.001 -3.76 0.0 1.63 DA60_GPS
41.311 11.957 -1.64 2.51 33.49 24.11 2.3 2.26 -0.005 0.23 0.17 3.0 SERO_GPS
40.709 11.338 -8.08 0.02 27.15 21.55 2.29 2.24 -0.006 0.23 0.17 3.0 MEBK_GPS
41.01 11.78 6.4 32.65 41.06 54.39 2.33 2.29 -0.017 0.28 0.28 3.0 SMRA_GPS
40.94 11.67 -1.97 14.89 32.73 36.61 2.56 2.46 -0.006 0.28 0.28 3.0 TNDH_GPS
40.26 11.25 -19.39 -12.12 15.44 9.4 2.29 2.25 -0.008 0.28 0.28 3.0 KSGT_GPS
14.9048 41.6542 30.86 -2.66 0.0 0.0 0.29 0.21 0.001 3.87 0.0 0.53 CIGN_GPS
12.4306 42.8697 -6.64 -3.45 0.0 0.0 0.2 0.27 0.001 -11.31 0.0 0.7 ASSI_GPS
3.0342 47.5048 16.48 22.79 0.0 0.0 0.15 0.2 0.001 -9.96 0.0 0.58 STVN_GPS
359.8226 44.7429 9.84 16.94 0.0 0.0 0.38 0.49 0.001 -3.36 0.0 0.58 CESS_GPS
7.0041 52.1611 10.05 17.91 13.41 26.48 0.3 0.37 -0.0 -12.07 -12.07 0.93 EPE1_GPS
7.7182 51.6248 11.22 10.54 15.1 19.44 0.27 0.28 -0.0 -2.75 -2.75 0.98 HAM1_GPS
8.6259 50.175 14.7 9.74 19.87 19.05 0.4 0.61 -0.0 0.22 0.22 1.53 NIED_GPS
23.5868 46.7579 13.5 11.26 23.81 26.93 0.23 0.42 0.0 -1.18 -1.18 0.86 CLUJ_GPS
26.4392 45.0975 17.17 -10.74 0.0 0.0 0.5 0.46 0.001 2.93 0.0 1.88 JUGU_GPS
24.7897 44.5627 6.5 -6.66 0.0 0.0 0.39 0.45 0.001 -1.23 0.0 1.15 STOL_GPS
28.4273 49.2197 8.05 -6.39 0.0 0.0 0.45 0.42 0.001 2.55 0.0 2.01 VNRS_GPS
33.9695 44.3929 10.8 -13.94 0.0 0.0 0.17 0.16 0.001 -2.24 0.0 0.51 KTVL_GPS
26.1249 44.4477 9.29 -6.52 0.0 0.0 0.18 0.2 0.001 -0.56 0.0 0.58 TOPG_GPS
24.2616 41.94067 -15.1 -16.1 -1.03 -0.16 1.12 0.56 -0.01 1.32 1.32 0.96 8385_GIZ
26.7829 40.98677 3.72 -22.78 18.97 -5.87 2.26 2.47 0.04 21.92 21.92 21.15 HEMI_GPS
32.476 37.859 -16.77 7.76 0.66 26.8 0.54 0.51 -0.0 -33.75 0.01 3.19 KNY1_GPS
6.8558 45.6252 8.24 0.66 0.0 0.0 0.15 0.31 0.001 -1.62 0.0 0.76 ROSI_GPS
7.1987 45.7171 12.8 3.24 21.4 11.91 0.39 0.47 -0.0 1.95 1.95 1.6 RUMI_GPS
7.4426 45.7529 10.37 1.57 18.97 10.35 0.36 0.36 -0.0 1.42 1.42 1.62 TNUS_GPS
6.8117 44.4809 7.42 2.01 0.0 0.0 0.37 0.33 0.001 -3.47 0.0 1.19 SURF_GPS
2.6637 44.9309 6.07 9.06 14.88 15.64 0.57 0.42 -0.0 -1.5 -1.5 1.98 JOUS_GPS
76.945 52.285 -0.83 -25.76 22.31 1.69 2.04 2.2 -0.0 0.28 0.28 3.0 PVL9_GPS
92.7122 11.6378 -29.88 -7.32 0.0 0.0 0.36 0.3 0.001 17.22 0.0 1.18 PBR2_GPS
358.3132 37.6539 10.2 9.14 0.0 0.0 0.28 0.24 0.001 -67.39 0.0 1.02 LOR0_GPS
358.2863 37.6566 12.25 7.78 0.0 0.0 0.25 0.18 0.001 -15.81 0.0 0.62 LORC_GPS
9.2455 39.4904 8.66 13.26 22.41 22.85 0.52 0.62 -0.0 -0.61 -0.61 1.11 SRT1_GPS
43.7391 37.57432 5.85 -13.46 27.13 9.03 0.91 0.66 0.009 1.15 1.15 25.65 HAKK_GE8
122.03 46.04 -6.67 -34.48 33.87 -14.46 1.35 1.35 -0.044 -5.75 -5.75 2.88 NMWL_GPS
120.11 43.86 -5.19 -34.81 35.42 -14.17 1.29 1.29 -0.064 -5.21 -5.21 2.73 NMAL_GPS
122.63 43.3 -3.44 -35.21 37.91 -15.39 1.34 1.34 -0.047 -5.6 -5.6 2.86 NMAG_GPS
115.98 42.23 -5.76 -34.07 34.2 -12.18 1.22 1.22 -0.056 -4.29 -4.29 2.45 NMZL_GPS
111.942 43.635 -7.28 -33.61 29.75 -10.12 0.74 0.8 0.0 -1.79 0.16 2.63 NMEL_GPS
14.22 40.55 5.99 6.5 19.51 18.29 0.56 0.57 -0.0 0.09 0.09 3.0 CAPR_GPS
69.78009 35.25127 -5.47 -13.72 23.85 13.43 2.31 2.75 -0.083 2.08 2.08 3.02 PAN3_GPS
67.868 37.838 -16.53 -19.59 11.04 7.39 0.61 0.61 0.014 2.45 2.45 3.03 KFIR_GPS
69.18447 38.46727 -10.34 -28.65 17.31 -1.55 0.6 0.65 -0.02 1.92 1.92 3.02 GF21_GPS
33.32 28.7 -8.91 -18.53 15.86 0.75 6.98 9.03 0.001 -0.11 -0.11 3.0 RUDS_GPS
18.7389 49.2273 13.78 4.17 21.25 17.87 0.18 0.19 0.0 -2.34 -2.34 0.72 KUZA_GPS
