Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
38.23 37.746 -2.94 -46.46 18.01 24.45 0.51 0.53 0.007 -0.4 -0.08 3.04 ADIY_GPS
30.561 38.738 -11.62 -66.78 3.39 8.93 0.29 0.25 -0.0 -0.29 0.04 3.0 AFYN_GPS
43.033 39.718 1.15 -49.18 27.24 14.3 0.42 0.47 -0.001 0.18 -0.16 3.0 AGRD_GPS
35.872 39.66 -13.94 -54.67 6.15 18.17 0.1 0.13 0.005 -0.05 -0.05 1.18 AKDG_GPS
31.43 38.369 -12.75 -67.88 3.57 7.58 0.27 0.27 -0.001 -2.29 0.03 3.0 AKHR_GPS
31.787 37.048 -3.3 -65.86 12.13 10.5 0.47 0.46 -0.0 -0.86 0.02 3.0 AKSI_GPS
33.998 38.37 -11.24 -57.95 6.74 15.99 0.11 0.11 0.006 -0.02 -0.02 3.03 AKSR_GPS
35.849 40.666 -9.54 -54.11 11.05 18.74 0.1 0.13 -0.003 -0.05 -0.05 1.23 AMAS_GPS
32.758 39.887 -15.65 -63.36 2.25 10.27 0.42 0.44 -0.0 0.14 -0.0 3.0 ANKR_GPS
32.865 36.069 -0.44 -60.86 15.62 13.69 0.24 0.26 0.006 -0.93 0.01 3.0 ANMU_GPS
32.846 39.856 -14.34 -62.03 3.39 12.46 0.14 0.17 -0.001 -0.03 -0.0 0.73 ANRK_GPS
37.374 37.065 -1.61 -47.63 18.6 24.26 0.3 0.26 0.006 -3.26 -0.06 5.28 ANTE_GPS
30.666 36.888 -2.62 -68.56 11.92 7.24 0.18 0.23 0.007 -0.56 0.04 2.5 ANTL_GPS
42.699 41.111 0.18 -54.9 26.86 13.18 0.27 0.3 0.007 -0.16 -0.16 3.05 ARDH_GPS
38.487 39.041 -11.68 -49.62 10.45 21.41 0.14 0.19 -0.002 -1.86 -0.09 3.0 ARPK_GPS
58.56 56.43 -23.32 -47.48 25.21 6.25 0.13 0.14 0.022 0.25 -0.34 3.0 ARTU_GPS
41.818 41.175 5.18 -52.86 31.06 16.09 0.21 0.18 -0.001 -0.14 -0.14 3.0 ARTV_GPS
27.838 37.841 -8.97 -80.08 3.94 -2.99 0.24 0.24 0.009 -0.59 0.08 1.71 AYD1_GPS
26.686 39.311 -7.57 -76.1 4.89 1.56 0.26 0.26 -0.0 -0.45 0.09 0.99 AYVL_GPS
27.894 39.639 -10.16 -69.78 3.8 7.35 0.21 0.17 -0.0 0.05 0.07 1.26 BALK_GPS
27.975 40.349 -8.85 -68.03 4.2 9.0 0.41 0.35 -0.0 0.16 0.07 3.06 BAN1_GPS
27.997 40.331 -8.44 -69.28 5.36 7.73 0.21 0.33 -0.0 2.6 0.07 2.35 BAND_GPS
44.017 38.043 -3.22 -40.16 21.39 28.85 0.24 0.37 -0.0 -0.68 -0.17 3.01 BASK_GPS
40.191 40.25 1.78 -56.42 25.55 13.45 0.22 0.22 0.004 1.72 -0.12 9.54 BAYB_GPS
31.747 37.677 -7.28 -65.63 8.64 9.63 0.24 0.27 0.007 0.02 0.02 3.0 BEYS_GPS
29.977 40.141 -13.3 -66.57 2.19 9.36 0.13 0.18 0.008 0.06 0.04 3.0 BILE_GPS
40.501 38.885 -7.74 -46.86 15.52 22.51 0.48 0.46 0.006 1.69 -0.12 1.74 BING_GPS
35.255 39.194 -12.04 -55.43 7.42 17.4 0.15 0.35 -0.001 -0.04 -0.04 3.02 BOGZ_GPS
31.602 40.734 -4.8 -62.08 12.24 13.14 0.16 0.2 -0.001 0.78 0.01 3.02 BOLU_GPS
17.073 52.277 14.22 -65.21 20.09 14.64 0.14 0.09 -0.003 0.14 0.14 3.0 BOR1_GPS
34.797 41.461 2.88 -60.7 22.94 12.61 0.34 0.36 0.006 0.74 -0.04 2.68 BOYT_GPS
41.154 37.864 -3.46 -43.38 19.66 25.74 0.56 0.59 0.003 -3.44 -0.13 7.06 BTMN_GPS
29.015 40.214 -11.34 -66.79 3.45 10.06 0.2 0.2 -0.0 -1.18 0.05 2.06 BURS_GPS
26.414 40.111 -5.7 -72.94 6.65 4.77 0.31 0.26 -0.0 0.14 0.09 1.58 CANA_GPS
33.61 40.609 -13.0 -60.78 5.7 13.21 0.24 0.26 -0.001 0.13 -0.02 3.0 CANK_GPS
43.061 38.007 -1.38 -41.37 22.02 29.31 0.48 0.76 -0.0 1.45 -0.16 3.01 CATK_GPS
29.689 37.159 -6.07 -72.11 7.8 2.94 0.42 0.48 -0.0 0.26 0.06 3.0 CAV1_GPS
26.373 38.304 -6.84 -85.88 4.97 -8.2 0.14 0.18 -0.0 -1.34 0.1 1.22 CESM_GPS
32.922 38.65 -11.15 -61.52 6.19 13.06 0.23 0.27 -0.001 -1.29 0.0 3.0 CIHA_GPS
32.475 40.491 -13.54 -64.54 4.21 10.23 0.17 0.15 0.007 0.63 0.0 2.72 CMLD_GPS
34.982 40.57 -11.4 -57.74 8.45 15.48 0.27 0.27 -0.001 0.5 -0.04 3.0 CORU_GPS
33.991 44.413 3.6 -61.58 24.32 12.26 0.15 0.16 -0.003 -0.09 -0.03 3.0 CRAO_GPS
27.692 36.709 -1.69 -91.54 10.54 -13.61 0.26 0.28 -0.0 0.54 0.09 3.0 DATC_GPS
28.648 39.035 -12.25 -71.04 1.64 5.72 0.15 0.18 0.008 0.0 0.07 1.4 DEIR_GPS
29.092 37.762 -10.02 -75.19 3.5 1.02 0.33 0.49 -0.0 4.51 0.06 3.0 DENI_GPS
27.269 37.372 -6.59 -88.48 5.58 -11.26 0.14 0.2 0.009 -2.36 0.09 1.73 DIDI_GPS
30.166 38.069 -10.06 -69.09 4.58 6.87 0.14 0.2 0.007 -1.32 0.05 2.86 DINA_GPS
34.195 35.537 0.6 -57.24 17.45 16.5 0.23 0.2 0.007 -0.8 -0.01 4.98 DIPK_GPS
38.104 39.394 -12.1 -50.46 9.93 20.87 0.12 0.12 0.005 -0.14 -0.08 3.02 DIVR_GPS
40.187 37.954 -3.9 -44.54 18.65 25.38 0.18 0.14 0.007 -0.11 -0.11 3.05 DIYB_GPS
26.551 41.677 10.17 -63.81 23.73 15.11 0.44 0.45 -0.0 -1.07 0.08 2.34 EDIR_GPS
37.188 38.059 -8.46 -51.79 11.9 20.56 0.14 0.13 0.006 -2.24 -0.06 3.0 EKIZ_GPS
39.256 38.645 -11.3 -48.91 10.39 21.53 0.71 0.72 0.007 -0.1 -0.1 3.02 ELAZ_GPS
31.144 39.022 -12.86 -65.76 3.12 9.73 0.16 0.17 0.007 0.2 0.03 1.92 EMIR_GPS
39.758 38.27 -4.38 -45.08 18.14 25.61 0.14 0.13 0.005 0.1 -0.11 3.0 ERGN_GPS
39.506 39.746 -8.24 -53.77 17.0 16.68 0.36 0.23 -0.0 -0.1 -0.1 3.0 ERZ1_GPS
41.255 39.906 1.16 -54.51 25.65 14.64 0.17 0.15 0.007 0.22 -0.13 3.02 ERZR_GPS
30.464 39.746 -13.66 -66.37 2.02 9.4 0.2 0.23 0.007 -0.04 0.03 3.0 ESKS_GPS
37.485 41.046 1.22 -57.97 24.13 13.76 0.27 0.11 -0.001 0.18 -0.08 3.02 FASA_GPS
35.912 37.815 -7.59 -53.82 11.65 19.03 0.25 0.24 0.006 -1.25 -0.04 3.01 FEEK_GPS
29.124 36.626 -2.68 -79.04 10.62 -2.75 0.22 0.31 -0.001 -2.08 0.07 1.72 FETH_GPS
30.146 36.302 1.35 -68.57 15.4 7.29 0.25 0.34 -0.001 -1.08 0.05 3.0 FINI_GPS
36.081 39.185 -14.11 -54.59 6.57 18.2 0.29 0.15 -0.001 -0.05 -0.05 3.0 GEME_GPS
38.388 40.923 1.97 -57.32 24.76 13.91 0.11 0.16 0.005 -0.91 -0.09 3.01 GIRS_GPS
30.497 50.364 2.67 -63.08 22.47 12.32 0.17 0.17 -0.001 0.22 -0.01 3.0 GLSV_GPS
15.493 47.067 18.24 -64.56 21.73 15.67 0.14 0.12 -0.0 0.22 0.2 1.11 GRAZ_GPS
39.516 40.437 1.37 -57.13 24.98 13.25 0.29 0.29 0.006 -0.11 -0.11 8.15 GUMU_GPS
37.308 38.717 -11.24 -51.77 10.01 20.16 0.27 0.11 0.008 -1.77 -0.07 3.02 GURU_GPS
32.989 35.201 4.15 -60.39 19.87 14.32 0.36 0.31 -0.0 -4.04 0.01 3.32 GYUR_GPS
34.183 37.445 -6.31 -56.97 11.38 16.77 0.18 0.18 0.007 -0.04 -0.01 3.02 HALP_GPS
29.153 39.678 -12.22 -67.28 2.22 9.04 0.3 0.21 -0.001 -0.22 0.05 2.52 HARC_GPS
36.156 36.2 0.2 -50.13 17.3 21.86 0.27 0.25 0.009 -2.9 -0.04 3.0 HAT1_GPS
30.741 40.795 2.46 -64.1 18.85 11.78 0.24 0.2 -0.001 -0.32 0.03 2.9 HEND_GPS
41.696 39.369 1.42 -50.57 25.94 18.27 0.48 0.44 -0.001 -0.14 -0.14 3.04 HINI_GPS
42.167 40.042 1.36 -51.15 27.33 16.46 0.28 0.29 0.007 0.04 -0.15 3.04 HORS_GPS
32.496 39.435 -12.72 -64.44 4.93 10.34 0.29 0.31 -0.0 -2.59 0.0 2.9 HYMN_GPS
