Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
14.1417 40.8209 32.66 -57.4 0.0 0.0 0.17 0.13 0.001 27.03 0.0 0.52 ACAE_GPS
14.3434 40.8113 20.63 -63.48 0.0 0.0 0.06 0.07 0.001 -0.9 0.0 0.3 AGR1_GPS
13.9346 40.7361 18.31 -65.51 0.0 0.0 0.08 0.07 0.001 -3.89 0.0 0.38 AQMO_GPS
13.8557 40.7369 20.42 -64.83 0.0 0.0 0.08 0.07 0.001 -1.76 0.0 0.29 FORI_GPS
14.2253 40.8779 22.31 -61.5 0.0 0.0 0.11 0.11 0.001 1.24 0.0 0.4 FRUL_GPS
14.0239 40.7651 17.26 -65.32 0.0 0.0 0.08 0.06 0.001 -0.16 0.0 0.27 IPRO_GPS
13.9246 40.712 17.11 -62.89 0.0 0.0 0.14 0.14 0.001 -4.74 0.0 0.58 ISCY_GPS
14.0496 40.8764 16.66 -61.68 0.0 0.0 0.14 0.14 0.001 0.22 0.0 0.43 LICO_GPS
14.083 40.8596 13.67 -58.38 0.0 0.0 0.34 0.43 0.001 4.58 0.0 1.68 MORU_GPS
14.276 40.87 21.47 -63.22 0.0 0.0 0.19 0.18 0.001 0.37 0.0 0.28 NAPO_GPS
14.163 40.7972 31.18 -74.67 0.0 0.0 0.2 0.18 0.001 10.2 0.0 0.48 NISI_GPS
13.9014 40.7467 19.49 -66.48 0.0 0.0 0.13 0.15 0.001 -3.62 0.0 0.6 OSCM_GPS
14.1437 40.8777 20.49 -56.78 0.0 0.0 0.08 0.1 0.001 3.56 0.0 0.26 QUAR_GPS
14.1262 40.8233 20.27 -54.91 0.0 0.0 0.08 0.14 0.001 34.26 0.0 0.56 RITE_GPS
13.9453 40.7234 17.55 -64.22 0.0 0.0 0.13 0.13 0.001 -2.93 0.0 0.41 SAN2_GPS
13.8952 40.7116 20.18 -60.54 0.0 0.0 0.08 0.09 0.001 -6.6 0.0 0.32 SERY_GPS
14.1117 40.8351 11.64 -46.61 0.0 0.0 0.15 0.21 0.001 23.3 0.0 0.62 STRZ_GPS
14.1205 40.8558 17.24 -49.08 0.0 0.0 0.1 0.2 0.001 11.57 0.0 0.52 VICY_GPS
14.2583 40.8474 22.96 -62.64 24.61 17.79 0.26 0.22 0.0 0.16 0.16 0.84 MAFE_GPS
14.2763 40.8589 21.11 -62.52 22.77 17.91 0.54 0.48 0.0 4.52 4.52 1.69 TAI1_GPS
14.4388 40.8185 18.14 -64.19 0.0 0.0 0.16 0.11 0.001 -7.71 0.0 0.42 BKE1_GPS
14.4105 40.7786 20.11 -63.48 0.0 0.0 0.12 0.16 0.001 -2.4 0.0 0.72 ONPI_GPS
14.3974 40.8279 20.89 -64.67 0.0 0.0 0.08 0.08 0.001 -2.41 0.0 0.34 OSVE_GPS
14.4939 40.7535 18.44 -63.48 0.0 0.0 0.3 0.36 0.001 1.02 0.0 1.27 POMP_GPS
14.4772 40.8494 19.13 -63.48 0.0 0.0 0.09 0.08 0.001 -1.52 0.0 0.34 PR0T_GPS
14.4122 40.8688 20.03 -63.92 0.0 0.0 0.07 0.09 0.001 -1.31 0.0 0.3 SAN1_GPS
14.8424 37.6584 16.2 -65.96 0.0 0.0 0.16 0.18 0.001 2.36 0.0 0.48 ADRA_GPS
14.9774 37.5913 19.24 -74.16 0.0 0.0 0.14 0.18 0.001 1.2 0.0 0.62 BELP_GPS
14.8458 37.7889 16.1 -59.3 0.0 0.0 0.19 0.13 0.001 1.39 0.0 0.66 BRO2_GPS
14.9743 37.6934 22.68 -70.93 0.0 0.0 0.69 1.13 0.001 0.26 0.0 1.82 ESLN_GPS
15.1958 37.759 27.43 -64.82 0.0 0.0 0.41 0.24 0.001 0.27 0.0 1.12 MASC_GPS
40.2723 12.3319 -47.37 -65.4 0.0 0.0 0.64 0.45 0.001 23.66 0.0 1.36 DA35_GPS
40.0714 12.0661 -18.0 -65.84 0.0 0.0 0.5 0.48 0.001 -3.76 0.0 1.63 DA60_GPS
40.358 12.6437 -0.14 -43.83 0.0 0.0 0.58 0.46 0.001 36.98 0.0 2.1 DABT_GPS
41.311 11.957 26.93 -44.94 33.45 23.93 2.3 2.26 -0.005 0.2 0.11 3.0 SERO_GPS
40.709 11.338 21.28 -48.06 27.11 21.36 2.29 2.24 -0.006 0.2 0.11 3.0 MEBK_GPS
41.01 11.78 35.25 -15.03 41.06 54.39 2.33 2.29 -0.017 0.28 0.28 3.0 SMRA_GPS
40.94 11.67 27.01 -32.86 32.73 36.61 2.56 2.46 -0.006 0.28 0.28 3.0 TNDH_GPS
40.26 11.25 10.18 -60.55 15.44 9.4 2.29 2.25 -0.008 0.28 0.28 3.0 KSGT_GPS
14.9048 41.6542 31.9 -65.7 0.0 0.0 0.3 0.26 0.001 2.02 0.0 1.76 CIGN_GPS
12.4306 42.8697 4.73 -73.0 0.0 0.0 0.2 0.27 0.001 -11.31 0.0 0.7 ASSI_GPS
3.0342 47.5048 32.5 -50.41 0.0 0.0 0.15 0.2 0.001 -9.96 0.0 0.58 STVN_GPS
359.8226 44.7429 30.72 -57.07 0.0 0.0 0.38 0.49 0.001 -3.4 0.0 0.58 CESS_GPS
7.0041 52.1611 18.67 -53.96 13.41 26.48 0.3 0.37 -0.0 -12.05 -12.05 0.93 EPE1_GPS
7.7182 51.6248 19.58 -61.05 15.11 19.44 0.27 0.28 -0.0 -2.74 -2.74 0.98 HAM1_GPS
8.6259 50.175 23.36 -61.5 19.88 19.05 0.4 0.61 -0.0 0.23 0.23 1.53 NIED_GPS
23.5868 46.7579 12.15 -51.5 23.81 26.94 0.23 0.42 0.0 -1.14 -1.14 0.86 CLUJ_GPS
26.4392 45.0975 15.35 -71.4 0.0 0.0 0.5 0.46 0.001 2.96 0.0 1.88 JUGU_GPS
24.7897 44.5627 6.47 -68.56 0.0 0.0 0.39 0.45 0.001 -1.23 0.0 1.15 STOL_GPS
28.4273 49.2197 0.31 -65.47 0.0 0.0 0.45 0.42 0.001 2.55 0.0 2.01 VNRS_GPS
33.9695 44.3929 4.44 -68.28 0.0 0.0 0.17 0.16 0.001 -2.24 0.0 0.51 KTVL_GPS
26.1249 44.4477 8.64 -67.01 0.0 0.0 0.22 0.23 0.001 -0.54 0.0 0.68 TOPG_GPS
24.2616 41.94067 -12.09 -78.41 -1.09 -0.17 1.12 0.56 -0.01 1.2 1.2 0.98 8385_GIZ
26.7829 40.98677 5.96 -83.19 18.93 -5.87 2.26 2.47 0.04 21.79 21.79 21.15 HEMI_GPS
