Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
14.05 40.876 -12.91 6.61 19.06 17.94 0.14 0.14 -0.0 0.23 0.09 0.43 LICO_GPS
14.0239 40.7651 -12.36 2.97 18.59 15.1 0.08 0.06 0.0 -0.16 -0.16 0.27 IPRO_GPS
14.2253 40.8779 -7.12 6.81 23.9 18.91 0.11 0.11 0.0 1.25 1.1 0.4 FRUL_GPS
13.9246 40.712 -12.6 5.4 18.38 17.47 0.14 0.14 0.0 -4.73 -5.23 0.58 ISCH_GPS
14.2583 40.8474 -6.45 5.67 24.61 17.79 0.26 0.22 0.0 0.17 0.17 0.84 MAFE_GPS
14.083 40.8596 -15.88 9.93 15.5 21.5 0.34 0.43 0.0 4.58 5.97 1.68 MORU_GPS
14.276 40.87 -7.92 5.09 23.09 17.2 0.19 0.18 0.0 0.37 0.2 0.28 NAPO_GPS
14.2763 40.8589 -8.29 5.79 22.77 17.91 0.54 0.48 0.0 4.53 4.53 1.69 TAI1_GPS
14.1417 40.8209 3.15 10.9 0.0 0.0 0.17 0.13 0.001 27.03 0.0 0.52 ACAE_GPS
14.3434 40.8113 -8.73 4.84 0.0 0.0 0.06 0.07 0.001 -0.9 0.0 0.3 AGR1_GPS
13.9346 40.7361 -11.39 2.78 0.0 0.0 0.08 0.07 0.001 -3.89 0.0 0.38 AQMO_GPS
13.8557 40.7369 -9.34 3.45 0.0 0.0 0.08 0.07 0.001 -1.76 0.0 0.29 FORI_GPS
14.163 40.7972 1.67 -6.36 0.0 0.0 0.2 0.18 0.001 10.2 0.0 0.48 NISI_GPS
13.9014 40.7467 -10.23 1.81 0.0 0.0 0.13 0.15 0.001 -3.62 0.0 0.6 OSCM_GPS
14.1437 40.8777 -9.0 11.53 0.0 0.0 0.08 0.1 0.001 3.56 0.0 0.26 QUAR_GPS
14.1262 40.8233 -9.26 13.4 0.0 0.0 0.08 0.14 0.001 34.26 0.0 0.56 RITE_GPS
13.9453 40.7234 -12.15 4.07 0.0 0.0 0.13 0.13 0.001 -2.93 0.0 0.41 SAN2_GPS
13.8952 40.7116 -9.56 7.75 0.0 0.0 0.08 0.09 0.001 -6.6 0.0 0.32 SERY_GPS
14.1117 40.8351 -17.89 21.69 0.0 0.0 0.15 0.21 0.001 23.3 0.0 0.62 STRZ_GPS
14.1205 40.8558 -12.28 19.23 0.0 0.0 0.1 0.2 0.001 11.57 0.0 0.52 VICY_GPS
14.4939 40.7535 -10.83 4.85 20.22 16.76 0.3 0.36 0.0 1.02 0.53 1.27 POMP_GPS
14.4388 40.8185 -11.14 4.14 0.0 0.0 0.16 0.11 0.001 -7.71 0.0 0.42 BKE1_GPS
14.4105 40.7786 -9.21 4.84 0.0 0.0 0.12 0.16 0.001 -2.4 0.0 0.72 ONPI_GPS
14.3974 40.8279 -8.42 3.65 0.0 0.0 0.08 0.08 0.001 -2.41 0.0 0.34 OSVE_GPS
14.4772 40.8494 -10.11 4.85 0.0 0.0 0.09 0.08 0.001 -1.52 0.0 0.34 PR0T_GPS
14.4122 40.8688 -9.25 4.41 0.0 0.0 0.07 0.09 0.001 -1.31 0.0 0.3 SAN1_GPS
14.97 37.69 -7.26 -2.56 24.26 13.33 0.69 1.13 -0.0 0.24 0.1 1.82 ESLN_GPS
14.9774 37.5913 -10.74 -5.8 20.81 4.73 0.14 0.18 -0.0 1.2 1.95 0.62 BELP_GPS
14.84 37.66 -13.84 2.41 18.13 15.26 0.16 0.18 -0.0 2.36 3.04 0.48 ADRA_GPS
14.85 37.79 -13.9 9.07 22.04 19.17 0.19 0.13 -0.0 1.4 1.4 0.66 BR0N_GPS
15.2 37.76 -1.52 4.08 30.37 16.04 0.24 0.21 -0.0 -0.11 -0.11 0.85 MASL_GPS
41.311 11.957 -1.92 17.87 33.44 23.93 2.3 2.26 -0.005 0.18 0.09 3.0 SERO_GPS
40.709 11.338 -8.05 15.03 27.11 21.36 2.29 2.24 -0.006 0.18 0.09 3.0 MEBK_GPS
40.0714 12.0661 -47.07 -2.45 0.0 0.0 0.5 0.48 0.001 -3.76 0.0 1.63 DA60_GPS
41.01 11.78 6.22 47.93 41.06 54.39 2.33 2.29 -0.017 0.28 0.28 3.0 SMRA_GPS
40.94 11.67 -2.09 30.13 32.73 36.61 2.56 2.46 -0.006 0.28 0.28 3.0 TNDH_GPS
40.26 11.25 -19.31 2.75 15.44 9.4 2.29 2.25 -0.008 0.28 0.28 3.0 KSGT_GPS
14.905 41.654 3.28 2.65 24.84 19.89 0.3 0.26 0.001 1.98 0.08 1.76 CIGN_GPS
12.4306 42.8697 -25.44 -4.86 0.0 0.0 0.2 0.27 0.001 -11.31 0.0 0.7 ASSI_GPS
3.0342 47.5048 -4.13 15.76 0.0 0.0 0.15 0.2 0.001 -9.96 0.0 0.58 STVN_GPS
359.8226 44.7429 -9.12 8.04 17.91 22.07 0.38 0.49 -0.0 -3.4 -3.36 0.58 CESS_GPS
7.0041 52.1611 -13.04 13.24 13.41 26.48 0.3 0.37 -0.0 -12.06 -12.06 0.93 EPE1_GPS
7.7182 51.6248 -11.66 6.3 15.11 19.44 0.27 0.28 -0.0 -2.74 -2.74 0.98 HAM1_GPS
8.6259 50.175 -7.56 6.04 19.88 19.05 0.4 0.61 -0.0 0.22 0.22 1.53 NIED_GPS
23.5868 46.7579 -6.98 16.56 23.81 26.94 0.23 0.42 0.0 -1.14 -1.14 0.86 CLUJ_GPS
26.4392 45.0975 -2.27 -3.76 29.2 6.23 0.5 0.46 0.0 2.96 1.66 1.88 JUGU_GPS
24.7897 44.5627 -12.81 -0.66 0.0 0.0 0.39 0.45 0.001 -1.23 0.0 1.15 STOL_GPS
28.4273 49.2197 -13.19 1.75 0.0 0.0 0.45 0.42 0.001 2.55 0.0 2.01 VNRS_GPS
33.9695 44.3929 -7.46 -2.58 25.41 5.55 0.26 0.17 0.0 -2.24 -3.24 0.59 KTVL_GPS
26.1249 44.4477 -9.61 0.69 22.11 10.55 0.22 0.23 0.0 -0.54 -0.55 0.68 TOPG_GPS
24.2616 41.94067 -33.18 -10.42 -1.09 -0.17 1.12 0.56 -0.01 1.22 1.22 0.99 8385_GIZ
26.7829 40.98677 -13.66 -15.59 18.93 -5.86 2.26 2.47 0.04 21.8 21.8 21.15 HEMI_GPS
32.4763 37.8594 -31.92 18.27 3.01 26.71 0.54 0.51 0.0 -33.73 -67.47 3.19 KNY1_GPS
6.8559 45.6251 -11.74 -4.1 16.93 9.53 0.15 0.31 -0.0 -1.64 -1.59 0.76 ROSI_GPS
7.1987 45.7171 -7.24 -1.31 21.41 11.91 0.39 0.47 -0.0 1.91 1.91 1.6 RUMI_GPS
7.4426 45.7529 -9.7 -2.83 18.98 10.35 0.36 0.36 -0.0 1.37 1.37 1.62 TNUS_GPS
6.8117 44.4809 -11.99 -2.78 0.0 0.0 0.37 0.33 0.001 -3.47 0.0 1.19 SURF_GPS
2.6637 44.9309 -13.25 1.82 14.88 15.64 0.57 0.42 -0.0 -1.57 -1.57 1.98 JOUS_GPS
76.945 52.285 -9.78 4.74 22.26 1.57 2.04 2.2 0.0 -0.23 0.23 3.01 PVL9_GPS
92.72 11.64 -25.21 26.48 33.12 28.9 0.36 0.3 0.0 17.22 0.22 1.18 PORT_GPS
358.313 37.6538 -5.0 -0.66 26.43 12.67 0.28 0.24 0.0 -67.46 -72.67 1.02 LOR1_GPS
358.2863 37.6566 -2.94 -2.02 26.08 12.92 0.25 0.18 0.0 -15.88 -7.09 0.62 LORC_GPS
9.2455 39.4904 -8.27 9.92 22.42 22.84 0.52 0.62 0.0 -0.69 -0.69 1.11 SRT1_GPS
43.739 37.574 -7.5 3.25 25.45 11.5 0.91 0.66 -0.001 0.61 -0.17 25.65 HAKK_GPS
122.03 46.04 5.01 -1.52 33.87 -14.46 1.35 1.35 -0.044 -5.75 -5.75 2.88 NMWL_GPS
120.11 43.86 5.62 -1.52 35.42 -14.17 1.29 1.29 -0.064 -5.21 -5.21 2.73 NMAL_GPS
122.63 43.3 8.34 -2.36 37.91 -15.39 1.34 1.34 -0.047 -5.6 -5.6 2.86 NMAG_GPS
115.98 42.23 3.36 -0.21 34.2 -12.18 1.22 1.22 -0.056 -4.29 -4.29 2.45 NMZL_GPS
111.94 43.63 0.2 0.64 32.73 -11.07 0.74 0.8 -0.058 -1.79 -3.74 2.63 NMEL_GPS
14.22 40.55 -11.62 6.16 19.51 18.29 0.56 0.57 -0.0 0.09 0.09 3.0 CAPR_GPS
69.78009 35.25127 -11.75 14.57 23.85 13.43 2.31 2.75 -0.083 2.08 2.08 3.02 PAN3_GPS
67.868 37.838 -24.26 8.01 11.04 7.39 0.61 0.61 0.014 2.45 2.45 3.03 KFIR_GPS
69.18447 38.46727 -17.89 -0.57 17.31 -1.55 0.6 0.65 -0.02 1.92 1.92 3.02 GF21_GPS
33.32 28.7 -19.08 -7.54 15.86 0.75 6.98 9.03 0.001 -0.11 -0.11 3.0 RUDS_GPS
18.7389 49.2273 -8.21 4.83 21.25 17.88 0.39 0.24 0.0 -1.1 -2.31 1.86 KUZA_GPS
20.406 49.9678 -7.26 6.03 22.14 17.04 0.36 0.34 0.0 -2.43 -2.43 1.16 BOCH_GPS
19.0357 50.2533 -7.86 0.05 21.44 11.41 0.08 0.1 0.0 -1.62 -1.82 0.32 KATO_GPS
19.1594 50.3445 -7.74 1.29 21.36 12.53 0.58 0.72 0.0 1.24 1.24 2.38 BEDZ_GPS
38.743 40.047 -15.02 4.99 21.09 7.18 0.94 1.06 -0.016 -2.32 -16.91 3.69 AYDG_GPS
39.361 39.902 -11.55 3.64 27.33 4.72 1.59 1.83 0.008 -2.76 -17.32 4.13 AHMD_GPS
38.448 40.316 -12.39 3.16 26.96 5.84 1.46 1.58 -0.048 0.14 -16.77 3.0 SBKH_GPS
39.494 39.652 -20.65 7.22 15.65 11.02 1.27 1.58 0.039 -8.6 -17.35 8.12 BNKC_GPS
37.001 40.685 -9.94 7.73 26.63 14.03 0.87 0.92 -0.03 -7.84 -15.83 7.23 OZDM_GPS
25.439 36.346 -26.18 -27.05 7.31 -16.93 0.42 0.4 0.047 1.14 0.99 3.0 THIR_GPS
25.36 36.36 -26.03 -24.17 8.01 -13.69 0.26 0.32 0.03 -0.12 -5.41 1.25 SNTR_GPS
25.406 36.463 -28.29 -25.98 5.03 -15.96 1.61 1.41 0.0 0.09 0.09 3.0 THRA_GPS
25.4226 36.4336 -28.23 -26.16 5.38 -15.92 0.3 0.22 0.0 1.55 1.55 0.96 SANT_GPS
25.4525 36.3849 -26.5 -26.66 6.25 -16.19 0.44 0.44 0.0 6.85 2.11 1.42 SNTR_GPS
25.3481 36.4179 -25.99 -24.94 6.4 -14.91 0.48 0.36 0.0 0.16 1.91 1.76 KERA_GPS
25.4286 36.4217 -26.35 -26.52 6.97 -16.51 0.39 0.3 0.0 0.72 2.64 1.28 NOMI_GPS
25.3846 36.3961 -25.88 -25.29 7.16 -15.35 0.3 0.3 0.0 2.05 2.05 1.47 PKMN_GPS
25.3436 36.455 -27.63 -24.39 5.68 -14.07 0.38 0.37 0.0 2.91 3.83 1.5 RIBA_GPS
25.4222 36.4555 -28.2 -26.98 6.43 -15.1 0.35 0.35 0.001 3.88 0.15 2.2 MOZI_GPS
25.401 36.408 -27.91 -25.64 5.41 -15.62 0.4 0.4 0.001 4.14 4.14 1.61 MKMN_GPS
25.437 36.387 -25.92 -27.93 7.41 -17.92 0.5 0.5 0.001 12.06 12.06 1.54 WNRY_GPS
23.372 38.986 -33.75 -11.78 14.64 -4.75 0.69 0.71 -0.0 -9.84 -5.14 3.21 CG17_GPS
23.463 38.843 -35.45 -10.23 15.35 -8.09 0.64 0.65 -0.0 -4.59 -5.14 3.19 CG27_GPS
23.54 38.445 -22.41 -20.73 10.36 -10.44 0.75 0.75 -0.0 0.1 -5.01 3.0 CG35_GPS
23.743 38.43 -33.87 -10.55 9.01 -11.4 0.62 0.62 -0.0 2.32 -5.15 3.16 CG41_GPS
22.806 38.752 -17.42 -14.27 15.21 -3.72 0.7 0.7 -0.0 -3.94 -4.62 3.39 CG21_GPS
22.0605 38.12745 -26.58 -5.1 6.06 5.59 0.44 0.35 -0.01 -4.61 -4.61 4.27 EG62_GAG
21.8985 45.2929 -12.59 2.9 18.37 13.62 0.34 0.21 0.0 -1.78 -1.78 0.7 RESI_GPS
45.808 32.502 -12.2 20.44 23.13 25.62 0.36 0.36 0.0 -1.76 0.15 1.76 ISKU_GPS
26.929 36.752 -33.19 -9.8 8.34 -13.11 0.35 0.33 0.079 3.85 0.98 3.82 KOSI_GPS
26.406 36.586 -34.05 -8.24 9.94 -16.52 0.34 0.32 0.096 -0.18 0.98 2.38 ASTP_GPS
14.36 38.53 -10.03 7.57 20.53 19.63 0.21 0.18 -0.0 -0.04 0.1 3.0 IACL_GPS
14.58 38.56 -8.81 6.52 22.89 18.86 0.2 0.16 -0.0 -0.1 0.1 3.0 IFIL_GPS
15.07 38.63 -8.94 6.38 21.53 17.41 1.01 1.14 -0.0 0.08 0.1 3.0 PANA_GPS
14.87 38.56 -7.8 5.18 23.12 16.98 0.64 0.68 -0.0 -1.39 0.1 2.36 SALI_GPS
15.24 38.8 -9.06 6.26 22.45 17.91 0.21 0.16 -0.0 -0.76 0.1 0.74 SVIN_GPS
14.99 38.38 -10.02 12.04 21.71 24.04 0.52 0.54 -0.0 0.1 0.1 3.0 VULC_GPS
14.933 38.49 -9.11 9.14 22.59 21.15 1.61 1.62 -0.0 0.1 0.1 3.0 LIPA_GPS
15.11 38.64 -10.36 6.2 21.11 18.31 0.15 0.14 -0.0 -1.57 0.1 3.0 LI3D_GPS
14.95 38.45 -9.64 9.56 21.91 21.77 0.13 0.12 -0.0 -3.59 0.1 1.78 LOSV_GPS
14.95 38.42 -7.88 9.57 23.83 21.58 0.67 0.45 -0.0 0.1 0.1 3.0 VCSP_GPS
15.077 38.643 -7.62 5.3 24.45 18.21 0.14 0.19 -0.0 -4.57 0.1 3.0 CPAN_GPS
14.9516 38.4094 -8.14 9.8 23.63 21.84 0.16 0.16 -0.0 -3.56 -8.33 1.81 VCSP_GPS
14.8351 38.5771 -7.54 5.85 24.1 17.93 0.16 0.15 -0.0 -2.66 -3.23 1.04 LINA_GPS
15.218 38.81 -9.04 6.18 22.36 18.13 0.13 0.14 0.026 0.58 0.07 3.0 SPLB_GPS
15.211 38.774 -9.07 6.09 22.47 17.82 0.1 0.11 0.028 0.59 0.07 3.0 SPLN_GPS
15.192 38.791 -8.96 6.01 22.46 17.89 0.1 0.1 0.03 0.58 0.07 3.0 STDF_GPS
