Lon,Lat,E.vel,N.vel,E.adj,N.adj,E.sig,N.sig,Corr,U.vel,U.adj,U.sig,Stat,Ref
37.8094,8.9921,-1.4,6.14,24.02,17.52,0.43,0.42,0.0,1.31,1.31,0.91,ABOO_GPS,viltres_2022_eura
37.8095,8.9921,-2.26,6.05,0.0,0.0,0.26,0.22,0.001,1.44,0.0,0.84,ABOO_GPS,serpelloni_2022_eura
45.0399,12.8123,12.77,17.82,38.97,27.58,0.62,0.51,0.003,2.31,2.31,0.74,ADEN_GPS,viltres_2022_eura
45.04,12.812,11.23,19.96,37.43,29.72,0.91,0.77,0.012,5.68,5.68,3.43,ADEN_GPS,mcclusky_2010_eura
45.04,12.812,10.47,18.68,36.67,28.44,1.08,0.92,0.01,0.72,0.72,3.0,ADEN_GPS,reilinger_2006_eura
45.04,12.812,12.82,17.7,39.02,27.46,0.7,0.66,0.016,7.65,7.65,10.76,ADEN_GPS,viltres_2020_eura
45.04,12.812,10.87,18.39,37.07,28.15,0.66,0.56,0.0,0.09,0.09,3.0,ADEN_GPS,nocquet_2012_eura
45.04,12.812,11.51,19.12,37.71,28.88,0.89,0.74,0.012,0.18,0.18,3.0,ADEN_GPS,graham_2021_eura
36.3777,26.4583,1.96,12.89,28.55,24.56,0.13,0.12,0.003,0.18,0.18,0.57,ALWJ_GPS,viltres_2022_eura
36.378,26.458,2.49,13.13,29.08,24.8,0.84,0.57,0.0,0.1,0.1,3.0,ALWJ_GPS,nocquet_2012_eura
36.3777,26.45833,1.65,12.77,28.24,24.44,0.51,0.5,-0.002,0.26,0.26,1.6,ALWJ_GPS,castro_2021_eura
36.378,26.458,2.29,13.51,28.88,25.18,0.93,0.61,0.002,-2.28,-2.28,3.73,ALWJ_GPS,mcclusky_2010_eura
36.3777,26.4583,1.95,13.1,0.0,0.0,0.11,0.1,0.001,0.21,0.0,0.49,ALWJ_GPS,serpelloni_2022_eura
36.3777,26.4583,1.79,12.82,28.38,24.49,0.1,0.1,0.002,-0.52,-0.52,3.01,ALWJ_GPS,hamiel_2021_eura
36.378,26.458,2.32,14.23,28.91,25.9,1.77,1.77,-0.002,0.89,0.89,3.0,ALWJ_GPS,reilinger_2006_eura
42.6544,13.0629,13.25,17.43,39.39,27.74,0.24,0.24,0.008,-0.41,-0.41,0.84,ASAB_GPS,viltres_2022_eura
42.654,13.063,13.7,18.23,39.84,28.54,0.54,0.45,0.0,0.18,0.18,3.0,ASAB_GPS,graham_2021_eura
42.6544,13.0629,14.05,17.93,0.0,0.0,0.18,0.18,0.001,-1.79,0.0,0.51,ASAB_GPS,serpelloni_2022_eura
42.654,13.063,14.07,17.95,40.21,28.26,0.38,0.38,-0.001,5.58,5.58,8.1,ASAB_GPS,viltres_2020_eura
42.654,13.063,13.97,17.99,40.11,28.3,0.22,0.22,0.006,-0.46,-0.46,3.01,ASAB_GPS,stamps_2018_eura
42.654,13.063,14.18,16.84,40.32,27.15,1.38,1.35,0.0,0.1,0.1,3.0,ASAB_GPS,nocquet_2012_eura
42.654,13.063,14.35,17.98,40.49,28.29,1.16,1.13,-0.0,5.34,5.34,3.4,ASAB_GPS,mcclusky_2010_eura
50.6081,26.2091,3.41,21.73,31.1,30.13,0.18,0.15,0.004,1.67,1.67,0.64,BAHR_GPS,viltres_2022_eura
50.6082,26.2091,2.75,22.36,30.44,30.76,0.55,0.46,-0.0,-0.12,-0.12,3.05,BAHR_GPS,khorrami_2019_eura
50.6081,26.2091,4.09,21.12,31.78,29.52,0.4,0.59,0.003,-0.28,-0.28,3.0,BHR1_GPS,saleh_2015_eura
50.6081,26.2091,4.75,21.12,32.44,29.52,0.41,0.66,0.003,-0.28,-0.28,3.0,BHR2_GPS,saleh_2015_eura
50.608,26.209,3.24,22.09,30.93,30.49,0.47,0.47,-0.001,0.78,0.78,3.0,BAHR_GPS,reilinger_2006_eura
50.6081,26.2091,3.47,21.32,0.0,0.0,0.17,0.16,0.001,-0.36,0.0,0.56,BHR1_GPS,serpelloni_2022_eura
50.608,26.209,3.3,21.59,30.99,29.99,0.13,0.14,0.01,0.07,0.07,3.0,BAHR_GPS,nocquet_2012_eura
50.608,26.209,3.4,21.57,31.09,29.97,0.16,0.24,-0.004,-1.02,-1.02,3.53,BAHR_GPS,mcclusky_2010_eura
50.608,26.209,3.08,20.97,30.77,29.37,0.23,0.28,0.0,0.23,0.23,3.0,BHR2_GPS,graham_2021_eura
50.60815,26.20915,1.16,23.37,28.85,31.77,1.62,1.35,-0.019,-0.54,-0.54,3.02,BAHR_GPS,perry_2018_eura
50.6081,26.2091,3.78,21.77,0.0,0.0,0.18,0.17,0.001,-0.33,0.0,0.62,BAHR_GPS,serpelloni_2022_eura
50.608,26.209,3.4,21.62,31.09,30.02,0.4,0.39,0.001,6.14,6.14,5.74,BAHR_GPS,alchalbi_2013_eura
50.6081,26.2091,2.88,20.68,0.0,0.0,0.12,0.13,0.001,-1.9,0.0,0.46,BHR2_GPS,serpelloni_2022_eura
50.6081,26.2091,3.49,22.08,0.0,0.0,0.18,0.18,0.001,-1.0,0.0,0.73,BHR3_GPS,serpelloni_2022_eura
50.6081,26.2091,3.46,22.05,0.0,0.0,0.19,0.2,0.001,-1.0,0.0,0.74,BHR4_GPS,serpelloni_2022_eura
50.608,26.209,3.56,21.99,31.25,30.39,0.2,0.2,-0.001,0.29,0.29,3.0,BAHR_GPS,wang_shen_2020_eura
37.3597,11.5998,-2.28,5.61,23.47,17.08,0.51,0.48,-0.001,1.04,1.04,0.8,BDMT_GPS,viltres_2022_eura
37.36,11.6,-4.4,4.13,21.35,15.6,1.58,1.48,0.0,0.11,0.11,3.0,BDAR_GPS,nocquet_2012_eura
37.36,11.6,-3.68,5.15,22.07,16.62,1.33,1.25,-0.006,5.58,5.58,3.72,BDAR_GPS,mcclusky_2010_eura
37.3597,11.5998,-3.84,5.97,0.0,0.0,0.23,0.24,0.001,-1.05,0.0,1.18,BDAR_GPS,serpelloni_2022_eura
37.3597,11.5998,-3.01,6.8,0.0,0.0,0.29,0.38,0.001,0.81,0.0,0.84,BDMT_GPS,serpelloni_2022_eura
37.36,11.6,-3.89,5.9,21.86,17.37,0.22,0.24,-0.035,0.27,0.27,3.0,BDAR_GPS,wedmore_2021_eura
37.36,11.6,-3.99,4.98,21.76,16.45,0.1,0.09,0.008,-0.6,-0.6,3.0,BDAR_GPS,stamps_2018_eura
42.3462,12.7031,14.35,18.26,40.43,28.64,0.73,0.69,0.002,1.85,1.85,0.72,DEBA_GPS,viltres_2022_eura
42.346,12.703,14.99,18.26,41.07,28.64,0.69,0.65,-0.016,5.9,5.9,8.6,DEBA_GPS,viltres_2020_eura
37.8939,13.1505,-1.28,6.22,24.67,17.58,0.43,0.37,-0.001,1.02,1.02,0.72,DEBK_GPS,viltres_2022_eura
37.8939,13.1505,-2.15,6.32,0.0,0.0,0.29,0.26,0.001,0.47,0.0,0.95,DEBK_GPS,serpelloni_2022_eura
44.392,14.571,11.29,17.93,37.69,27.84,0.56,0.52,0.002,2.06,2.06,0.64,DHMR_GPS,viltres_2022_eura
