Lon	Lat	E.vel	N.vel	E.adj	N.adj	E.sig	N.sig	Corr	U.vel	U.adj	U.sig	Stat	E.sig.scaled	N.sig.scaled
73.755	42.168	26.99	4.96	28.7	5.93	0.31	0.31	0.004	0.0	0.0	0.0	AAC4_GPS	0.6	0.58
72.05	41.784	24.59	4.27	26.45	4.77	0.31	0.31	0.01	0.0	0.0	0.0	ABD4_GPS	0.6	0.58
75.525	44.132	26.59	1.24	27.37	2.66	0.41	0.41	0.0	0.0	0.0	0.0	ADA4_GPS	0.74	0.72
70.023	40.8	25.07	8.09	27.41	8.04	0.61	0.61	0.008	0.0	0.0	0.0	ADRA_GPS	1.02	0.98
79.969	42.896	28.68	4.6	30.04	7.42	0.41	0.4	0.003	0.0	0.0	0.0	AIB4_GPS	0.74	0.7
76.956	42.073	27.77	7.94	29.4	9.88	0.31	0.31	0.006	0.0	0.0	0.0	AKB4_GPS	0.6	0.58
73.821	38.503	19.52	22.57	22.73	23.74	0.61	0.61	0.004	0.0	0.0	0.0	AKBA_GPS	1.02	0.98
80.135	47.882	25.97	-1.82	25.19	0.95	0.8	0.7	0.03	0.0	0.0	0.0	AKD4_GPS	1.27	1.1
78.542	41.795	28.71	9.0	30.46	11.46	0.41	0.4	-0.005	0.0	0.0	0.0	AKH4_GPS	0.74	0.7
72.145	41.557	24.6	5.42	26.64	5.98	0.32	0.32	0.01	0.0	0.0	0.0	AKJ4_GPS	0.61	0.59
76.854	42.885	27.53	2.41	28.82	4.27	0.41	0.41	0.004	0.0	0.0	0.0	AKK4_GPS	0.74	0.72
78.451	40.942	27.53	13.51	30.04	16.28	0.4	0.31	0.006	0.0	0.0	0.0	AKQI_GPS	0.73	0.58
75.967	40.717	26.36	12.03	28.61	13.73	0.31	0.31	0.008	0.0	0.0	0.0	AKS4_GPS	0.6	0.58
79.851	43.427	28.83	2.95	29.95	5.71	0.5	0.5	0.002	0.0	0.0	0.0	AKT4_GPS	0.87	0.84
78.966	39.877	26.41	15.06	29.0	17.69	0.5	0.5	0.006	0.0	0.0	0.0	AKTA_GPS	0.87	0.84
75.899	39.196	26.4	19.24	30.88	22.67	0.43	0.47	0.0	0.0	0.0	0.0	AKTO_GPS	0.77	0.8
71.46	41.362	25.09	4.91	27.36	5.29	0.32	0.32	0.007	0.0	0.0	0.0	ALA4_GPS	0.61	0.59
76.167	42.313	27.38	4.7	28.93	6.39	0.41	0.41	0.013	0.0	0.0	0.0	ALB5_GPS	0.74	0.72
72.258	39.421	18.76	13.67	21.6	14.34	0.61	0.61	0.034	0.0	0.0	0.0	ALD4_GPS	1.02	0.98
69.73	40.829	25.39	6.58	27.72	6.44	0.51	0.51	-0.025	0.0	0.0	0.0	ALM1_GPS	0.89	0.85
77.763	43.908	27.41	0.01	28.31	2.13	0.41	0.41	0.003	0.0	0.0	0.0	ALT4_GPS	0.74	0.72
74.244	40.331	24.42	14.34	26.85	15.58	0.41	0.41	0.006	0.0	0.0	0.0	ALUN_GPS	0.74	0.72
77.603	42.79	27.56	3.56	28.9	5.66	0.31	0.31	0.013	0.0	0.0	0.0	ANA4_GPS	0.6	0.58
69.514	39.737	24.91	7.94	27.71	7.78	0.71	0.61	0.058	0.0	0.0	0.0	AND4_GPS	1.15	0.98
70.082	41.102	25.8	7.27	28.01	7.22	0.61	0.61	0.003	0.0	0.0	0.0	ANGR_GPS	1.02	0.98
77.75	41.86	28.04	8.68	29.78	10.87	0.41	0.41	-0.004	0.0	0.0	0.0	ARA4_GPS	0.74	0.72
76.665	41.693	27.3	8.31	29.11	10.2	0.7	0.7	0.02	0.0	0.0	0.0	ARC4_GPS	1.14	1.1
79.657	46.649	27.88	-0.56	27.6	2.07	0.9	0.9	0.066	0.0	0.0	0.0	ARG4_GPS	1.39	1.34
74.827	40.838	25.93	8.79	28.15	10.15	0.41	0.41	0.008	0.0	0.0	0.0	ARP4_GPS	0.74	0.72
72.982	41.244	23.94	6.37	26.01	7.17	0.41	0.51	0.012	0.0	0.0	0.0	ARS4_GPS	0.74	0.85
58.561	56.43	29.5	9.88	25.37	5.93	0.13	0.14	0.002	0.0	0.0	0.0	ARTU_GPS	0.3	0.31
73.538	40.075	27.02	8.88	29.57	9.9	0.7	0.7	0.057	0.0	0.0	0.0	ASK4_GPS	1.14	1.1
73.494	42.7	25.38	2.39	26.82	3.22	0.51	0.51	0.017	0.0	0.0	0.0	ASP4_GPS	0.89	0.85
81.105	50.091	28.5	-3.42	26.78	-0.37	0.7	0.7	0.027	0.0	0.0	0.0	ASR4_GPS	1.14	1.1
78.148	43.31	28.0	1.85	29.09	4.04	0.5	0.5	0.002	0.0	0.0	0.0	ASS4_GPS	0.87	0.84
76.966	43.059	26.95	2.81	28.12	4.66	0.51	0.5	0.009	0.0	0.0	0.0	AST4_GPS	0.89	0.84
73.933	41.383	25.22	7.15	27.18	11.65	0.34	0.33	0.002	0.0	0.0	0.0	ATAI_GPS	0.64	0.61
80.393	40.643	27.11	12.02	33.58	16.25	0.4	0.4	0.026	0.0	0.0	0.0	AWAT_GPS	0.73	0.7
77.114	43.897	27.98	1.24	28.83	3.14	0.41	0.5	0.003	0.0	0.0	0.0	AZO4_GPS	0.74	0.84
73.268	39.513	23.37	11.67	26.17	12.62	0.61	0.61	0.027	0.0	0.0	0.0	BAB4_GPS	1.02	0.98
78.54	39.777	25.15	14.87	29.91	18.7	0.33	0.4	0.009	0.0	0.0	0.0	BACH_GPS	0.63	0.7
73.98	45.069	26.74	1.82	27.13	2.76	0.71	0.8	0.011	0.0	0.0	0.0	BALH_GPS	1.15	1.22
77.512	13.034	29.38	33.03	45.04	34.72	0.3	0.24	0.002	0.0	0.0	0.0	BAN2_GPS	0.58	0.47
77.616	42.008	27.32	8.83	28.98	10.97	0.5	0.5	0.035	0.0	0.0	0.0	BAR4_GPS	0.87	0.84
75.019	41.576	26.45	5.43	28.35	6.83	0.41	0.41	0.003	0.0	0.0	0.0	BAU4_GPS	0.74	0.72
75.083	41.079	25.63	8.71	27.74	10.14	0.41	0.41	0.007	0.0	0.0	0.0	BAY4_GPS	0.74	0.72
67.046	38.175	23.52	10.44	27.08	9.59	0.61	0.61	0.016	0.0	0.0	0.0	BAYS_GPS	1.02	0.98
75.657	42.957	26.78	2.64	28.05	4.08	0.51	0.51	0.014	0.0	0.0	0.0	BER4_GPS	0.89	0.85
75.795	42.818	26.9	2.34	28.25	3.88	0.31	0.31	0.006	0.0	0.0	0.0	BES4_GPS	0.6	0.58
70.524	40.357	24.48	8.53	26.98	8.64	0.61	0.61	0.008	0.0	0.0	0.0	BESH_GPS	1.02	0.98
75.03	40.646	26.24	9.72	28.54	11.15	0.41	0.41	0.005	0.0	0.0	0.0	BET4_GPS	0.74	0.72
79.416	45.137	26.79	0.2	27.19	2.79	0.7	0.7	0.036	0.0	0.0	0.0	BIN4_GPS	1.14	1.1
75.426	40.757	26.19	10.81	28.42	12.34	0.7	0.7	0.02	0.0	0.0	0.0	BKE4_GPS	1.14	1.1
73.212	42.768	25.94	2.28	27.43	3.02	0.8	0.7	-0.001	0.0	0.0	0.0	BOK4_GPS	1.27	1.1
83.984	49.038	27.27	-4.49	26.13	-0.58	0.7	0.7	0.007	0.0	0.0	0.0	BOL4_GPS	1.14	1.1
73.235	41.648	25.62	5.8	27.51	6.66	0.41	0.41	0.011	0.0	0.0	0.0	BOR4_GPS	0.74	0.72
71.283	43.777	27.88	3.77	28.9	3.92	0.71	0.71	0.004	0.0	0.0	0.0	BOST_GPS	1.15	1.11
71.792	41.495	24.56	5.23	26.65	5.68	0.32	0.32	0.01	0.0	0.0	0.0	BOZ4_GPS	0.61	0.59
70.52	42.569	25.76	4.41	27.31	4.37	0.61	0.61	0.018	0.0	0.0	0.0	BRL4_GPS	1.02	0.98
70.765	40.048	25.74	5.45	28.37	5.65	0.61	0.61	0.032	0.0	0.0	0.0	BTK4_GPS	1.02	0.98
75.02	41.186	25.48	9.03	27.55	10.44	0.41	0.41	0.004	0.0	0.0	0.0	BTR4_GPS	0.74	0.72
74.951	38.662	19.93	20.48	23.9	23.61	0.52	0.59	-0.004	0.0	0.0	0.0	BULU_GPS	0.9	0.96
79.053	42.261	28.49	8.07	30.05	10.64	0.41	0.4	-0.001	0.0	0.0	0.0	BUR4_GPS	0.74	0.7
76.432	42.811	26.6	2.24	27.93	3.97	0.31	0.41	0.003	0.0	0.0	0.0	BUZ4_GPS	0.6	0.72
75.729	42.749	26.78	2.46	28.15	3.99	0.31	0.31	0.004	0.0	0.0	0.0	BYS4_GPS	0.6	0.58
68.104	41.245	24.76	6.5	26.98	5.85	0.41	0.41	0.019	0.0	0.0	0.0	CAR1_GPS	0.74	0.72
71.721	42.014	25.48	3.87	25.96	7.87	0.51	0.51	0.003	0.0	0.0	0.0	CATK_GPS	0.89	0.85
72.09	40.199	24.8	9.34	27.32	9.92	0.41	0.41	0.006	0.0	0.0	0.0	CAUV_GPS	0.74	0.72
75.75	40.686	26.65	11.69	28.91	13.34	0.7	0.7	0.021	0.0	0.0	0.0	CEK4_GPS	1.14	1.1
78.878	43.584	28.26	4.89	29.28	7.32	0.6	0.6	0.006	0.0	0.0	0.0	CHIL_GPS	1.01	0.97
77.739	41.527	27.7	10.46	29.57	12.68	0.6	0.6	0.007	0.0	0.0	0.0	CHK4_GPS	1.01	0.97
77.845	43.267	27.5	2.55	28.6	4.64	0.41	0.5	0.002	0.0	0.0	0.0	CHL4_GPS	0.74	0.84
78.373	43.529	28.16	1.45	29.19	3.73	0.7	0.7	0.005	0.0	0.0	0.0	CHLK_GPS	1.14	1.1
77.075	42.719	27.59	3.86	28.91	5.77	0.31	0.31	0.017	0.0	0.0	0.0	CHO4_GPS	0.6	0.58
78.976	43.271	28.72	2.74	29.87	5.23	0.41	0.4	0.001	0.0	0.0	0.0	CHR4_GPS	0.74	0.7
76.052	41.334	26.54	10.5	28.52	12.22	0.7	0.7	0.019	0.0	0.0	0.0	CHT4_GPS	1.14	1.1
74.002	43.423	26.5	1.62	27.61	2.6	0.41	0.41	-0.004	0.0	0.0	0.0	CHU4_GPS	0.74	0.72
74.751	42.999	26.0	1.61	27.28	2.8	0.2	0.22	0.003	0.0	0.0	0.0	CHUM_GPS	0.42	0.44
72.875	41.966	26.18	3.52	28.03	4.25	0.41	0.41	0.005	0.0	0.0	0.0	CHY4_GPS	0.74	0.72
78.457	43.137	28.61	3.14	29.78	5.44	0.41	0.41	0.0	0.0	0.0	0.0	DAL4_GPS	0.74	0.72
69.2	38.043	14.76	15.94	18.29	15.76	0.9	0.91	0.022	0.0	0.0	0.0	DANG_GPS	1.39	1.35
75.041	40.782	26.1	9.72	28.34	11.15	0.41	0.41	0.005	0.0	0.0	0.0	DAR4_GPS	0.74	0.72
72.286	39.573	24.03	9.68	26.81	10.34	0.61	0.61	0.03	0.0	0.0	0.0	DAT4_GPS	1.02	0.98
75.766	43.245	26.61	1.63	27.76	3.08	0.51	0.51	0.012	0.0	0.0	0.0	DEGE_GPS	0.89	0.85
67.88	38.235	23.64	7.87	27.15	7.28	0.51	0.41	0.015	0.0	0.0	0.0	DENA_GPS	0.89	0.72
76.498	41.245	26.4	11.55	28.4	13.41	0.7	0.7	0.012	0.0	0.0	0.0	DJA4_GPS	1.14	1.1
66.106	38.338	21.67	12.44	25.22	11.31	0.61	0.61	0.019	0.0	0.0	0.0	DJAN_GPS	1.02	0.98
73.956	41.896	26.31	5.19	28.09	6.24	0.31	0.31	0.005	0.0	0.0	0.0	DJE4_GPS	0.6	0.58
74.469	40.987	25.9	8.71	28.06	9.95	0.51	0.51	0.006	0.0	0.0	0.0	DJR4_GPS	0.89	0.85
73.619	40.925	23.7	9.26	25.89	10.27	0.61	0.61	0.008	0.0	0.0	0.0	DNG4_GPS	1.02	0.98
79.877	43.38	28.91	3.54	30.05	6.31	0.6	0.7	0.028	0.0	0.0	0.0	DOR4_GPS	1.01	1.1
69.128	41.552	24.39	5.87	26.15	5.32	0.91	0.81	0.07	0.0	0.0	0.0	DRB4_GPS	1.4	1.23
78.668	43.432	28.2	2.24	29.28	4.63	0.41	0.41	0.004	0.0	0.0	0.0	DSO4_GPS	0.74	0.72
68.625	38.516	19.79	15.01	23.12	14.65	0.91	0.91	0.026	0.0	0.0	0.0	DUSC_GPS	1.4	1.35
74.366	41.476	25.23	6.34	27.17	7.54	0.41	0.41	0.0	0.0	0.0	0.0	DYU4_GPS	0.74	0.72
76.367	43.005	25.72	2.32	26.94	3.97	0.6	0.6	0.02	0.0	0.0	0.0	EGA4_GPS	1.01	0.97
76.742	42.07	27.56	7.51	29.21	9.39	0.31	0.31	0.008	0.0	0.0	0.0	EKS4_GPS	0.6	0.58
76.468	41.82	26.56	7.98	28.31	9.8	0.31	0.31	0.006	0.0	0.0	0.0	ELB4_GPS	0.6	0.58
74.215	42.618	26.24	3.49	27.69	4.61	0.31	0.31	0.007	0.0	0.0	0.0	ELG4_GPS	0.6	0.58
75.051	42.624	26.72	3.61	28.17	4.9	0.51	0.51	0.007	0.0	0.0	0.0	ELS4_GPS	0.89	0.85
74.452	41.821	26.07	6.03	27.87	7.23	0.31	0.31	0.005	0.0	0.0	0.0	EME4_GPS	0.6	0.58
76.422	41.494	27.42	10.99	29.31	12.81	0.7	0.7	0.025	0.0	0.0	0.0	ENG4_GPS	1.14	1.1
80.308	43.061	29.04	3.5	30.33	6.41	0.41	0.4	0.001	0.0	0.0	0.0	ESE4_GPS	0.74	0.7
84.931	48.221	28.56	-2.28	27.81	1.91	0.7	0.7	0.019	0.0	0.0	0.0	GAK4_GPS	1.14	1.1
68.515	37.642	17.09	10.07	20.81	9.69	0.61	0.61	0.012	0.0	0.0	0.0	GARA_GPS	1.02	0.98
75.479	38.853	26.05	22.16	29.08	23.79	0.51	0.51	-0.002	0.0	0.0	0.0	GAZE_GPS	0.89	0.85
78.787	43.664	28.33	3.36	29.28	5.72	0.7	0.7	0.014	0.0	0.0	0.0	GBL4_GPS	1.14	1.1
76.725	42.171	27.22	6.32	28.81	8.18	0.41	0.41	0.009	0.0	0.0	0.0	GKO4_GPS	0.74	0.72
78.921	43.039	28.39	3.15	29.67	5.63	0.41	0.4	0.003	0.0	0.0	0.0	GKU4_GPS	0.74	0.7
78.621	43.546	28.48	2.3	29.48	4.63	0.41	0.41	0.005	0.0	0.0	0.0	GSO4_GPS	0.74	0.72
77.139	42.071	27.46	7.88	29.1	9.88	0.41	0.41	0.009	0.0	0.0	0.0	GTA4_GPS	0.74	0.72
87.177	43.471	30.81	0.61	31.3	5.69	0.2	0.26	0.002	0.0	0.0	0.0	GUAO_GPS	0.42	0.5
83.59	49.828	27.23	-4.97	25.74	-1.18	0.7	0.7	0.004	0.0	0.0	0.0	HEB4_GPS	1.14	1.1
76.767	42.641	27.73	3.22	29.12	5.07	0.31	0.31	0.01	0.0	0.0	0.0	HOK4_GPS	0.6	0.58
73.802	42.426	26.46	2.42	28.0	3.42	0.31	0.31	-0.005	0.0	0.0	0.0	HON4_GPS	0.6	0.58
73.067	42.493	26.3	3.25	27.83	4.03	0.31	0.31	0.008	0.0	0.0	0.0	HRT4_GPS	0.6	0.58
78.551	17.417	28.82	33.14	41.42	33.81	0.46	0.43	0.001	0.0	0.0	0.0	HYDE_GPS	0.82	0.75
77.57	13.021	28.58	33.77	42.04	35.91	0.41	0.41	-0.001	0.0	0.0	0.0	IISC_GPS	0.74	0.72
73.796	39.654	26.63	11.2	29.36	12.3	0.7	0.6	0.003	0.0	0.0	0.0	IKZ4_GPS	1.14	0.97
78.188	43.953	27.02	0.57	27.9	2.83	0.7	0.7	0.023	0.0	0.0	0.0	ILI4_GPS	1.14	1.1
79.07	42.015	28.78	8.55	30.45	11.15	0.31	0.31	0.003	0.0	0.0	0.0	INY4_GPS	0.6	0.58
104.316	52.219	25.74	-16.16	25.31	-6.75	0.16	0.2	-0.004	0.0	0.0	0.0	IRKT_GPS	0.35	0.41
78.21	41.601	28.54	9.81	30.36	12.17	0.41	0.5	-0.002	0.0	0.0	0.0	ISH4_GPS	0.74	0.84
77.49	43.261	27.32	2.58	28.41	4.55	0.6	0.8	0.037	0.0	0.0	0.0	ISY5_GPS	1.01	1.22
71.526	42.908	25.9	3.54	27.28	3.84	0.61	0.51	0.013	0.0	0.0	0.0	JAM4_GPS	1.02	0.85
70.804	41.533	25.03	7.55	26.79	7.5	0.61	0.61	0.003	0.0	0.0	0.0	JANG_GPS	1.02	0.98
78.681	43.254	28.59	2.11	29.78	4.53	0.41	0.41	0.003	0.0	0.0	0.0	JAP4_GPS	0.74	0.72
