Lon	Lat	E.vel	N.vel	E.adj	N.adj	E.sig	N.sig	Corr	U.vel	U.adj	U.sig	Stat	E.sig.scaled	N.sig.scaled
66.88545	39.13477	-3.2	2.22	27.18	4.61	0.32	0.28	-0.124	0.0	0.0	0.0	KIT3_GPS	0.61	0.53
27.68698	-25.8901	-0.56	5.37	17.74	18.64	0.32	0.3	0.073	0.0	0.0	0.0	HRAO_GPS	0.61	0.56
21.03154	52.09728	-2.83	-0.16	20.82	14.49	0.12	0.12	0.009	0.0	0.0	0.0	JOZE_GPS	0.28	0.27
20.81047	-32.38021	0.14	4.88	16.72	19.24	0.14	0.14	-0.092	0.0	0.0	0.0	SUTH_GPS	0.32	0.31
15.50834	38.26382	-2.2	4.08	23.76	19.45	0.12	0.14	0.04	0.0	0.0	0.0	MSRU_GPS	0.28	0.31
15.08209	37.5136	-2.5	1.45	23.11	15.98	0.26	0.36	0.027	0.0	0.0	0.0	EIIV_GPS	0.52	0.65
14.98979	36.87585	-4.4	4.4	21.31	19.86	0.16	0.14	-0.008	0.0	0.0	0.0	NOT1_GPS	0.35	0.31
14.5262	35.83798	-4.41	4.39	21.37	19.88	0.17	0.21	0.024	0.0	0.0	0.0	MALT_GPS	0.37	0.42
13.0661	52.3793	-2.93	-0.45	18.41	15.39	0.15	0.16	-0.009	0.0	0.0	0.0	POTS_GPS	0.33	0.34
12.60566	35.49978	-5.45	2.95	20.32	18.72	0.18	0.16	0.01	0.0	0.0	0.0	LAMP_GPS	0.39	0.34
11.92552	57.3953	-3.07	-1.03	16.95	14.69	0.12	0.16	-0.111	0.0	0.0	0.0	ONSA_GPS	0.28	0.34
10.87136	33.86971	-5.77	2.96	19.73	18.79	0.45	0.46	-0.031	0.0	0.0	0.0	JERB_GPS	0.8	0.79
10.82575	35.77545	-4.46	2.7	20.59	18.52	0.4	0.4	0.06	0.0	0.0	0.0	MONA_GPS	0.73	0.7
10.75175	34.7284	-5.46	2.88	19.87	18.74	0.36	0.36	0.025	0.0	0.0	0.0	SFAX_GPS	0.67	0.65
10.54723	35.34581	-4.98	2.5	20.21	18.39	0.4	0.39	-0.015	0.0	0.0	0.0	SOUA_GPS	0.73	0.69
10.52582	32.79955	-6.07	6.32	19.53	22.33	2.1	1.83	0.262	0.0	0.0	0.0	KSAR_GPS	2.73	2.34
10.49317	33.34224	-6.12	3.58	19.42	19.44	0.38	0.37	-0.006	0.0	0.0	0.0	MEDN_GPS	0.7	0.66
10.21163	36.35455	-6.74	0.13	18.1	16.03	0.37	0.38	0.012	0.0	0.0	0.0	ZRBA_GPS	0.69	0.68
10.19756	36.83883	-2.88	1.62	22.07	17.63	0.36	0.36	0.011	0.0	0.0	0.0	TUNI_GPS	0.67	0.65
10.09761	35.68362	-4.8	0.88	20.03	16.69	0.36	0.36	0.032	0.0	0.0	0.0	KAIR_GPS	0.67	0.65
9.87464	37.26976	-0.94	-0.14	23.67	15.81	0.5	0.56	-0.007	0.0	0.0	0.0	BZRT_GPS	0.87	0.92
