Lon	Lat	E.vel	N.vel	E.adj	N.adj	E.sig	N.sig	Corr	U.vel	U.adj	U.sig	Stat	E.sig.scaled	N.sig.scaled
32.7585	39.8874	-4.15	1.26	2.06	11.56	0.42	0.44	0.001	0.0	0.0	0.0	ANKR_GPS	0.79	0.79
44.0856	40.2857	20.67	-18.5	28.63	16.12	0.12	0.15	0.0	0.0	0.0	0.0	ARUC_GPS	0.29	0.34
50.6081	26.2091	-19.02	-18.25	31.4	29.93	0.2	0.22	-0.0	0.0	0.0	0.0	BHR4_GPS	0.43	0.46
31.6065	40.7464	10.54	5.86	14.05	13.21	0.73	0.64	0.001	0.0	0.0	0.0	BOL1_GPS	1.24	1.07
31.602	40.7335	8.71	5.7	12.26	13.04	0.16	0.2	0.001	0.0	0.0	0.0	BOLU_GPS	0.36	0.42
34.7967	41.461	21.18	-1.74	22.97	13.05	0.34	0.36	0.001	0.0	0.0	0.0	BOYT_GPS	0.67	0.68
35.023	32.779	-5.14	5.03	22.55	19.77	0.32	0.34	0.002	0.0	0.0	0.0	BSHM_GPS	0.63	0.65
26.1257	44.4639	30.77	17.2	23.06	12.5	0.14	0.22	0.001	0.0	0.0	0.0	BUCU_GPS	0.33	0.46
33.6104	40.6086	1.52	1.45	6.8	12.01	0.24	0.26	0.001	0.0	0.0	0.0	CANK_GPS	0.5	0.52
74.7511	42.9985	3.56	-89.53	27.13	2.97	0.2	0.21	0.0	0.0	0.0	0.0	CHUM_GPS	0.43	0.44
32.4745	40.491	-0.26	0.76	4.75	10.27	0.17	0.15	0.001	0.0	0.0	0.0	CMLD_GPS	0.38	0.34
34.9822	40.5704	3.97	0.7	9.3	16.11	0.27	0.27	0.001	0.0	0.0	0.0	CORU_GPS	0.55	0.54
33.991	44.4133	31.41	-0.39	24.32	12.11	0.15	0.16	0.001	0.0	0.0	0.0	CRAO_GPS	0.34	0.35
42.8471	11.5263	-55.32	-14.15	31.27	18.17	0.86	0.9	-0.002	0.0	0.0	0.0	DJIG_GPS	1.41	1.41
35.3921	31.5932	-7.91	4.57	23.16	20.23	0.22	0.2	0.002	0.0	0.0	0.0	DRAG_GPS	0.47	0.42
23.9324	38.0786	-3.36	-1.88	8.38	-11.5	0.33	0.37	0.001	0.0	0.0	0.0	DYNG_GPS	0.65	0.69
30.4636	39.7457	-4.38	4.53	2.85	9.24	0.2	0.23	0.002	0.0	0.0	0.0	ESKS_GPS	0.43	0.47
20.3229	49.0347	40.81	31.48	19.44	12.86	0.18	0.18	0.001	0.0	0.0	0.0	GANP_GPS	0.4	0.39
30.4967	50.3642	47.44	7.68	22.32	13.29	0.17	0.17	0.001	0.0	0.0	0.0	GLSV_GPS	0.38	0.37
15.4935	47.0671	34.87	43.96	21.78	15.77	0.14	0.12	0.0	0.0	0.0	0.0	GRAZ_GPS	0.33	0.28
30.7408	40.795	15.48	6.04	18.78	11.97	0.24	0.2	0.001	0.0	0.0	0.0	HEND_GPS	0.5	0.42
32.4957	39.4347	-2.96	0.9	4.71	10.05	0.29	0.31	0.001	0.0	0.0	0.0	HYMN_GPS	0.59	0.6
33.7678	41.977	23.94	1.19	24.18	13.51	0.46	0.58	0.001	0.0	0.0	0.0	INE2_GPS	0.85	0.99
32.5608	40.839	6.73	1.56	10.06	11.02	0.7	0.64	0.001	0.0	0.0	0.0	IS01_GPS	1.19	1.07
32.7407	40.8967	14.53	2.97	17.71	12.83	0.78	0.74	0.001	0.0	0.0	0.0	IS02_GPS	1.3	1.2
32.8317	40.9198	15.16	1.42	18.49	10.85	0.76	0.69	0.001	0.0	0.0	0.0	IS03_GPS	1.28	1.14
32.7594	40.8669	6.24	1.31	9.51	11.21	0.76	0.68	0.001	0.0	0.0	0.0	IS04_GPS	1.28	1.12
33.3565	40.9704	12.97	2.07	16.0	13.3	0.95	0.75	0.001	0.0	0.0	0.0	IS09_GPS	1.53	1.22
33.2543	40.9933	16.08	1.82	19.03	12.82	0.83	0.74	0.001	0.0	0.0	0.0	IS10_GPS	1.37	1.2
33.1999	40.9409	8.28	0.84	11.38	11.72	0.83	0.74	0.001	0.0	0.0	0.0	IS11_GPS	1.37	1.2
33.1783	40.964	14.66	2.21	17.69	13.04	0.94	0.67	0.001	0.0	0.0	0.0	IS12_GPS	1.52	1.11
