Lon	Lat	E.vel	N.vel	E.adj	N.adj	E.sig	N.sig	Corr	U.vel	U.adj	U.sig	Stat	E.sig.scaled	N.sig.scaled
45.645	40.099	10.55	-10.72	30.65	18.11	0.6	0.6	0.004	0.0	0.0	0.0	AKH0_GNS	1.01	0.97
44.679	39.84	9.49	-10.69	32.18	16.43	0.63	0.62	-0.0	0.0	0.0	0.0	ARA4_GNS	1.05	1.0
43.782	41.121	9.4	-12.07	27.96	16.71	0.57	0.59	-0.001	0.0	0.0	0.0	BAV0_GNS	0.97	0.96
44.287	40.381	9.12	-11.32	28.39	17.11	0.44	0.44	-0.012	0.0	0.0	0.0	BUR0_GNS	0.79	0.76
44.276	40.736	8.82	-11.18	27.95	17.41	0.47	0.46	-0.006	0.0	0.0	0.0	CHO0_GNS	0.83	0.79
45.094	40.92	10.26	-12.38	29.51	16.22	0.62	0.62	-0.006	0.0	0.0	0.0	ENO0_GNS	1.03	1.0
45.209	40.198	9.54	-10.34	29.4	18.51	0.59	0.59	0.002	0.0	0.0	0.0	ERA0_GNS	0.99	0.96
44.81	40.16	8.7	-10.68	28.96	17.8	0.56	0.57	-0.007	0.0	0.0	0.0	GEG0_GNS	0.95	0.93
44.657	40.101	9.21	-10.84	28.45	17.43	0.68	0.69	-0.003	0.0	0.0	0.0	KAR0_GNS	1.11	1.08
44.575	39.881	9.22	-11.55	29.16	16.85	1.4	1.3	0.044	0.0	0.0	0.0	KHO0_GNS	1.98	1.78
44.19	41.185	9.36	-13.32	28.09	15.02	0.62	0.62	-0.006	0.0	0.0	0.0	KIZ0_GNS	1.03	1.0
44.091	40.178	9.24	-11.34	28.79	16.86	0.45	0.45	-0.011	0.0	0.0	0.0	MET0_GNS	0.8	0.77
44.503	40.226	9.09	-11.15	28.62	17.26	0.16	0.16	-0.015	0.0	0.0	0.0	NSSP_GN	0.35	0.34
44.593	41.055	10.33	-11.52	29.15	16.23	0.63	0.63	-0.004	0.0	0.0	0.0	ODZ0_GNS	1.05	1.01
44.55	40.84	9.64	-12.25	28.77	16.14	0.63	0.63	-0.006	0.0	0.0	0.0	PAM0_GNS	1.05	1.01
44.718	40.52	9.49	-11.7	28.62	16.91	0.79	0.82	-0.006	0.0	0.0	0.0	RAZ0_GNS	1.25	1.24
43.951	40.108	9.34	-11.13	28.68	17.39	0.47	0.46	-0.001	0.0	0.0	0.0	SA10_GNS	0.83	0.79
43.807	40.097	9.34	-11.59	28.97	16.72	0.48	0.47	-0.002	0.0	0.0	0.0	SA20_GNS	0.84	0.8
44.528	40.753	10.2	-11.4	29.07	15.95	0.68	0.68	-0.003	0.0	0.0	0.0	SHA0_GNS	1.11	1.07
45.686	40.117	9.95	-10.04	30.05	18.8	0.6	0.7	-0.007	0.0	0.0	0.0	SUB0_GNS	1.01	1.1
45.055	40.307	9.13	-10.45	28.87	18.14	0.6	0.6	-0.004	0.0	0.0	0.0	TSA0_GNS	1.01	0.97
45.908	40.204	11.27	-10.48	31.36	18.45	0.6	0.6	-0.002	0.0	0.0	0.0	ZOD0_GNS	1.01	0.97
45.367	40.114	10.52	-10.45	30.52	18.27	0.6	0.6	0.004	0.0	0.0	0.0	ZOL0_GNS	1.01	0.97
58.56	56.43	13.16	-26.99	25.08	6.43	0.13	0.14	-0.015	0.0	0.0	0.0	ARTU_GNS	0.3	0.31
17.073	52.277	18.96	0.37	20.19	14.93	0.14	0.09	-0.011	0.0	0.0	0.0	BOR1_GNS	0.32	0.22
4.359	50.798	17.03	9.51	17.87	15.28	0.17	0.14	-0.005	0.0	0.0	0.0	BRUS_GNS	0.37	0.31
6.921	43.755	12.25	7.88	20.4	16.12	0.12	0.11	-0.007	0.0	0.0	0.0	GRAS_GNS	0.28	0.25
15.493	47.067	15.78	2.24	21.91	15.74	0.14	0.12	-0.005	0.0	0.0	0.0	GRAZ_GNS	0.32	0.27
104.316	52.219	-12.74	-41.03	25.02	-6.63	0.16	0.2	0.008	0.0	0.0	0.0	IRKT_GNS	0.35	0.41
21.032	52.097	18.71	-2.46	21.05	14.56	0.12	0.12	-0.016	0.0	0.0	0.0	JOZE_GNS	0.28	0.27
5.81	52.178	18.36	8.61	17.95	16.68	0.16	0.16	-0.007	0.0	0.0	0.0	KOSG_GNS	0.35	0.34
92.794	55.993	-5.16	-40.84	24.68	-4.3	0.46	0.5	0.003	0.0	0.0	0.0	KSTU_GNS	0.82	0.84
355.75	40.429	7.9	15.29	18.39	16.33	0.19	0.13	0.0	0.0	0.0	0.0	MADR_GNS	0.4	0.29
24.395	60.217	24.76	-5.74	19.83	12.8	0.21	0.17	-0.015	0.0	0.0	0.0	METS_GNS	0.44	0.36
11.865	78.93	35.85	3.08	10.45	14.07	0.12	0.11	0.003	0.0	0.0	0.0	NYAL_GNS	0.28	0.25
11.926	57.395	22.05	3.43	16.98	14.83	0.12	0.16	-0.011	0.0	0.0	0.0	ONSA_GNS	0.28	0.34
13.066	52.379	18.73	3.18	19.05	15.36	0.15	0.16	-0.003	0.0	0.0	0.0	POTS_GNS	0.33	0.34
128.866	71.634	-22.07	-37.66	16.89	-11.81	0.18	0.23	0.004	0.0	0.0	0.0	TIXI_GNS	0.39	0.46
1.481	43.561	11.5	11.64	18.74	17.14	0.18	0.18	-0.001	0.0	0.0	0.0	TOUL_GNS	0.39	0.38
18.938	69.663	30.06	-0.46	14.93	15.25	0.15	0.18	-0.007	0.0	0.0	0.0	TROM_GNS	0.33	0.38
356.048	40.444	7.74	15.23	18.79	16.7	0.15	0.14	-0.002	0.0	0.0	0.0	VILL_GNS	0.33	0.31
12.879	49.144	16.75	3.6	20.12	15.53	0.11	0.08	-0.013	0.0	0.0	0.0	WTZR_GNS	0.26	0.2
129.68	62.031	-25.24	-38.12	19.23	-12.53	0.44	0.35	0.004	0.0	0.0	0.0	YAKT_GNS	0.79	0.63
41.565	43.788	9.59	-15.72	25.26	11.41	0.17	0.13	-0.013	0.0	0.0	0.0	ZECK_GNS	0.37	0.29
7.465	46.877	14.74	7.76	20.16	16.34	0.12	0.11	-0.01	0.0	0.0	0.0	ZIMM_GNS	0.28	0.25
36.759	55.699	19.36	-13.19	23.28	11.77	0.2	0.2	-0.01	0.0	0.0	0.0	ZWEN_GNS	0.42	0.41
36.156	34.882	-0.4	-1.08	21.46	23.55	0.46	0.45	0.017	0.0	0.0	0.0	AJSH_GPS	0.82	0.77
37.634	35.8	-0.33	-0.69	21.0	24.51	0.54	0.47	0.045	0.0	0.0	0.0	AKIL_GPS	0.93	0.8
36.4	33.879	0.72	-0.8	23.83	24.43	0.5	0.5	-0.028	0.0	0.0	0.0	ASAL_GPS	0.87	0.84
36.404	34.948	0.36	-1.1	21.91	24.0	0.46	0.51	0.023	0.0	0.0	0.0	BARN_GPS	0.82	0.85
36.091	35.247	-0.24	-1.8	21.3	22.86	0.44	0.44	0.032	0.0	0.0	0.0	BATH_GPS	0.79	0.76
36.754	34.914	-0.52	-0.42	21.43	24.66	0.53	0.49	0.015	0.0	0.0	0.0	BLAN_GPS	0.91	0.83
