Lon	Lat	E.vel	N.vel	E.adj	N.adj	E.sig	N.sig	Corr	U.vel	U.adj	U.sig	Stat	E.sig.scaled	N.sig.scaled
42.4776	18.2435	8.53	16.91	35.21	27.26	0.3	0.24	0.001	0.0	0.0	0.0	ABHA_GPS	0.6	0.49
37.8094	8.9921	-1.83	6.1	24.02	17.52	0.34	0.32	0.0	0.0	0.0	0.0	ABOO_GPS	0.67	0.62
45.0399	12.8123	11.33	18.54	38.97	27.58	0.8	0.7	0.003	0.0	0.0	0.0	ADEN_GPS	1.33	1.15
36.3777	26.4583	1.96	12.99	28.55	24.56	0.46	0.42	0.003	0.0	0.0	0.0	ALWJ_GPS	0.85	0.76
41.0346	30.951	-0.61	15.98	26.36	26.65	0.24	0.27	0.001	0.0	0.0	0.0	ARRA_GPS	0.5	0.54
42.9038	18.5392	8.44	18.45	35.17	28.7	0.36	0.5	0.001	0.0	0.0	0.0	AS01_GPS	0.7	0.88
42.5984	19.9772	6.66	17.34	33.49	27.66	0.47	0.48	0.001	0.0	0.0	0.0	AS02_GPS	0.87	0.85
43.5293	19.5107	7.56	17.63	34.41	27.74	0.47	0.45	0.001	0.0	0.0	0.0	AS03_GPS	0.87	0.81
42.8187	19.4391	7.69	17.57	34.49	27.84	0.31	0.26	0.001	0.0	0.0	0.0	AS06_GPS	0.62	0.52
43.2893	18.8948	7.02	18.03	33.8	28.19	0.44	0.42	0.001	0.0	0.0	0.0	AS94_GPS	0.82	0.76
42.2754	19.5485	7.73	17.04	34.51	27.43	0.82	0.88	0.001	0.0	0.0	0.0	AS99_GPS	1.36	1.38
42.6544	13.0629	14.05	17.95	39.39	27.74	0.38	0.38	0.008	0.0	0.0	0.0	ASAB_GPS	0.73	0.71
37.924	26.6098	2.4	14.32	29.13	25.67	0.2	0.21	0.001	0.0	0.0	0.0	AULA_GPS	0.43	0.44
41.4682	20.0135	7.29	16.57	34.05	27.15	0.37	0.3	0.001	0.0	0.0	0.0	BAHA_GPS	0.71	0.58
50.6081	26.2091	3.46	21.75	31.1	30.13	0.2	0.22	0.004	0.0	0.0	0.0	BAHR_GPS	0.43	0.46
42.3641	27.9141	1.8	17.21	28.92	27.58	0.28	0.29	0.001	0.0	0.0	0.0	BAQA_GPS	0.57	0.57
37.3597	11.5998	-3.78	5.76	23.47	17.08	0.4	0.43	-0.001	0.0	0.0	0.0	BDMT_GPS	0.76	0.78
35.6721	28.5252	0.77	12.39	27.27	24.2	0.5	0.83	0.001	0.0	0.0	0.0	BEJD_GPS	0.91	1.32
41.0434	20.294	6.54	15.87	33.29	26.54	0.54	0.6	0.001	0.0	0.0	0.0	BH99_GPS	0.97	1.02
41.5297	18.2083	7.99	16.42	34.62	26.98	0.34	0.4	0.001	0.0	0.0	0.0	BIRK_GPS	0.67	0.74
42.6887	20.2535	7.72	17.68	34.57	27.98	0.35	0.32	0.001	0.0	0.0	0.0	BSHA_GPS	0.68	0.62
43.955	26.3512	2.62	18.21	29.84	28.22	0.28	0.27	0.001	0.0	0.0	0.0	BURD_GPS	0.57	0.54
42.3462	12.7031	14.67	18.26	40.43	28.64	0.71	0.67	0.002	0.0	0.0	0.0	DEBA_GPS	1.21	1.11
37.8939	13.1505	-1.72	6.27	24.67	17.58	0.36	0.32	-0.001	0.0	0.0	0.0	DEBK_GPS	0.7	0.62
44.392	14.571	12.42	19.71	37.69	27.84	0.59	0.54	0.002	0.0	0.0	0.0	DHMR_GPS	1.04	0.94
49.9692	26.8331	2.53	21.9	30.2	30.46	0.49	0.46	0.001	0.0	0.0	0.0	ES01_GPS	0.9	0.82
49.3082	27.3135	2.92	21.1	30.56	29.82	0.41	0.43	0.002	0.0	0.0	0.0	ES02_GPS	0.78	0.78
50.5227	25.2765	3.81	23.06	31.45	31.48	0.66	0.56	0.001	0.0	0.0	0.0	ES04_GPS	1.14	0.96
51.4409	24.5713	4.26	22.55	31.92	30.74	0.48	0.4	0.001	0.0	0.0	0.0	ES05_GPS	0.88	0.74
47.1623	28.9895	1.91	18.12	29.43	27.37	0.51	0.46	0.001	0.0	0.0	0.0	ES06_GPS	0.92	0.82
45.963	28.4311	0.64	18.56	28.06	28.09	0.32	0.37	0.001	0.0	0.0	0.0	ES07_GPS	0.63	0.69
47.6818	27.5118	3.72	20.33	31.25	29.45	0.59	0.62	0.001	0.0	0.0	0.0	ES08_GPS	1.04	1.04
49.4963	24.8934	2.94	21.01	30.5	29.69	0.44	0.44	0.001	0.0	0.0	0.0	ES09_GPS	0.82	0.79
