Lon	Lat	E.vel	N.vel	E.adj	N.adj	E.sig	N.sig	Corr	U.vel	U.adj	U.sig	Stat	E.sig.scaled	N.sig.scaled
2.3098	36.5347	4.93	16.38	19.92	17.8	0.12	0.11	-0.0	0.0	0.0	0.0	ABKD_GPS	0.28	0.25
47.2292	-19.0183	-32.04	-11.99	18.77	14.3	0.2	0.25	0.001	0.0	0.0	0.0	ABPO_GPS	0.42	0.49
4.1986	35.4346	2.41	16.18	18.53	18.77	0.15	0.11	0.0	0.0	0.0	0.0	ABSD_GPS	0.33	0.25
3.0333	36.7961	5.74	15.76	20.5	17.64	0.08	0.1	-0.0	0.0	0.0	0.0	ABZH_GPS	0.2	0.24
351.6011	43.3644	12.13	22.15	20.73	17.1	0.1	0.1	0.01	0.0	0.0	0.0	ACOR_GPS	0.24	0.24
3.448	34.9115	0.92	16.72	17.52	18.83	0.12	0.12	0.0	0.0	0.0	0.0	ADCK_GPS	0.28	0.27
138.6473	-34.729	2.93	35.62	24.68	59.05	0.61	0.34	0.0	0.0	0.0	0.0	ADE1_GPS	1.02	0.62
38.7663	9.0351	-15.19	-3.66	24.71	18.8	0.45	0.44	0.0	0.0	0.0	0.0	ADIS_GPS	0.8	0.76
3.0982	34.215	0.06	17.93	17.32	19.81	0.12	0.14	0.0	0.0	0.0	0.0	ADJF_GPS	0.28	0.31
2.5758	35.4014	1.6	17.24	17.69	18.82	0.13	0.12	0.0	0.0	0.0	0.0	AFDJ_GPS	0.3	0.27
4.451	34.7238	1.02	16.28	17.83	19.02	0.13	0.12	0.0	0.0	0.0	0.0	AFRS_GPS	0.3	0.27
8.7626	41.9275	10.9	10.27	20.76	15.76	0.15	0.14	-0.0	0.0	0.0	0.0	AJAC_GPS	0.33	0.31
3.4143	36.6508	5.08	17.26	19.99	19.37	0.17	0.4	-0.0	0.0	0.0	0.0	AKDR_GPS	0.37	0.7
3.8908	36.0539	5.29	16.83	20.85	19.4	0.87	0.4	-0.0	0.0	0.0	0.0	AKET_GPS	1.35	0.7
359.5188	38.3389	6.56	16.96	20.05	16.73	0.12	0.12	-0.0	0.0	0.0	0.0	ALAC_GPS	0.28	0.27
236.513	48.3898	-52.37	21.92	-7.91	-7.87	0.11	0.1	-0.01	0.0	0.0	0.0	ALBH_GPS	0.26	0.24
133.8855	-23.6701	0.38	32.84	31.9	59.27	0.19	0.17	0.001	0.0	0.0	0.0	ALIC_GPS	0.4	0.36
357.5406	36.8525	3.92	17.79	18.67	16.52	0.13	0.12	0.01	0.0	0.0	0.0	ALME_GPS	0.3	0.27
297.6595	82.4943	-10.82	38.99	-21.43	7.57	0.33	0.41	-0.0	0.0	0.0	0.0	ALRT_GPS	0.63	0.72
32.7585	39.8874	-13.41	-8.34	2.02	10.68	0.42	0.44	0.0	0.0	0.0	0.0	ANKR_GPS	0.76	0.76
13.3503	42.3682	11.13	8.6	19.56	15.66	0.34	0.37	-0.0	0.0	0.0	0.0	AQUI_GPS	0.64	0.66
58.5605	56.4298	15.61	-24.29	25.35	6.11	0.13	0.14	-0.01	0.0	0.0	0.0	ARTU_GPS	0.3	0.31
189.278	-14.3261	-95.33	43.03	-60.42	37.13	0.37	0.26	0.001	0.0	0.0	0.0	ASPA_GPS	0.69	0.5
4.1243	36.4427	4.35	15.82	19.48	18.38	0.21	0.24	-0.0	0.0	0.0	0.0	ATKJ_GPS	0.44	0.47
174.8344	-36.6028	-11.07	37.01	3.98	40.06	0.14	0.26	0.01	0.0	0.0	0.0	AUCK_GPS	0.32	0.5
263.9977	64.3178	-41.93	31.78	-19.19	-3.62	0.22	0.2	0.001	0.0	0.0	0.0	BAKE_GPS	0.45	0.41
291.7783	44.395	-38.41	40.31	-15.55	7.29	0.18	0.16	0.001	0.0	0.0	0.0	BARH_GPS	0.39	0.34
1.4011	41.5996	9.52	15.34	19.21	16.31	0.16	0.15	0.01	0.0	0.0	0.0	BELL_GPS	0.35	0.33
2.45	6.3847	-18.67	17.44	22.12	18.89	0.28	0.29	0.0	0.0	0.0	0.0	BJCO_GPS	0.55	0.55
115.8925	39.6086	-14.15	-42.44	30.62	-10.58	0.13	0.14	0.0	0.0	0.0	0.0	BJFS_GPS	0.3	0.31
21.0354	52.4759	19.58	1.5	19.47	14.41	0.11	0.09	-0.0	0.0	0.0	0.0	BOGO_GPS	0.26	0.22
285.9191	4.6401	-45.22	49.0	-1.21	14.73	0.3	0.27	0.001	0.0	0.0	0.0	BOGT_GPS	0.58	0.52
17.0735	52.277	19.37	4.2	19.93	14.12	0.14	0.09	-0.0	0.0	0.0	0.0	BOR1_GPS	0.32	0.22
312.1221	-15.9475	-53.53	39.29	-3.74	12.94	0.49	0.47	0.0	0.0	0.0	0.0	BRAZ_GPS	0.86	0.8
