Lon	Lat	E.vel	N.vel	E.adj	N.adj	E.sig	N.sig	Corr	U.vel	U.adj	U.sig	Stat	E.sig.scaled	N.sig.scaled
105.815	33.34	4.62	-6.45	34.12	-8.6	0.8	0.7	-0.043	0.0	0.0	0.0	1375_GPS	1.33	1.15
112.614	41.271	-0.49	-4.96	28.9	-9.37	0.41	0.48	0.027	0.0	0.0	0.0	A001_GPS	0.78	0.85
112.564	40.892	-0.2	-5.4	29.14	-9.76	0.4	0.32	0.02	0.0	0.0	0.0	A002_GPS	0.76	0.62
112.48	40.529	-0.08	-5.23	29.48	-9.74	0.28	0.35	0.017	0.0	0.0	0.0	A003_GPS	0.57	0.66
112.354	40.171	0.84	-5.74	30.21	-10.11	0.34	0.47	0.021	0.0	0.0	0.0	A004_GPS	0.67	0.84
113.132	41.019	-0.09	-5.11	29.27	-9.69	0.32	0.32	0.008	0.0	0.0	0.0	A005_GPS	0.63	0.62
113.213	40.787	-0.34	-5.29	29.08	-9.91	0.44	0.35	0.016	0.0	0.0	0.0	A006_GPS	0.82	0.66
113.196	40.447	0.44	-5.47	29.81	-10.21	0.36	0.38	0.024	0.0	0.0	0.0	A007_GPS	0.7	0.71
112.727	40.016	1.4	-5.94	30.79	-10.4	0.43	0.45	0.022	0.0	0.0	0.0	A008_GPS	0.81	0.81
113.887	40.876	-0.62	-5.13	28.71	-9.97	0.48	0.48	0.021	0.0	0.0	0.0	A011_GPS	0.88	0.85
113.757	40.372	-0.45	-5.95	28.96	-10.74	0.52	0.38	0.031	0.0	0.0	0.0	A012_GPS	0.94	0.71
113.659	40.037	0.99	-5.71	30.3	-10.52	0.32	0.32	0.019	0.0	0.0	0.0	A013_GPS	0.63	0.62
114.708	41.176	-0.61	-5.61	28.6	-10.76	0.5	0.45	0.021	0.0	0.0	0.0	A014_GPS	0.91	0.81
114.218	40.708	0.08	-5.58	29.39	-10.65	0.5	0.37	0.011	0.0	0.0	0.0	A015_GPS	0.91	0.69
114.431	40.451	0.35	-5.44	29.59	-10.5	0.5	0.44	0.012	0.0	0.0	0.0	A016_GPS	0.91	0.79
114.116	40.457	0.4	-5.86	29.82	-10.72	0.34	0.38	0.015	0.0	0.0	0.0	A017_GPS	0.67	0.71
114.143	40.118	-0.42	-5.16	28.84	-10.13	0.75	0.8	-0.007	0.0	0.0	0.0	A018_GPS	1.26	1.28
114.799	40.854	-0.46	-5.35	28.82	-10.48	0.36	0.34	0.015	0.0	0.0	0.0	A019_GPS	0.7	0.65
115.037	40.564	-1.45	-5.47	27.82	-10.73	0.63	0.61	0.112	0.0	0.0	0.0	A020_GPS	1.1	1.03
114.816	40.439	0.45	-5.44	29.85	-10.58	0.38	0.49	0.012	0.0	0.0	0.0	A021_GPS	0.73	0.87
114.676	40.234	0.42	-5.71	29.78	-10.85	0.5	0.5	0.006	0.0	0.0	0.0	A022_GPS	0.91	0.88
114.95	40.093	0.07	-5.96	29.16	-11.41	0.6	0.65	-0.006	0.0	0.0	0.0	A023_GPS	1.05	1.08
112.841	39.819	1.8	-5.76	31.19	-10.22	0.45	0.55	0.021	0.0	0.0	0.0	A024_GPS	0.84	0.95
112.81	39.544	1.12	-6.02	30.52	-10.52	0.34	0.4	0.019	0.0	0.0	0.0	A025_GPS	0.67	0.74
112.801	38.991	1.38	-6.13	30.85	-10.61	0.42	0.4	0.017	0.0	0.0	0.0	A027_GPS	0.79	0.74
112.767	38.731	1.25	-6.16	30.87	-10.7	0.55	0.55	0.025	0.0	0.0	0.0	A028_GPS	0.98	0.95
112.693	38.401	1.5	-6.36	31.0	-10.79	0.43	0.33	0.022	0.0	0.0	0.0	A029_GPS	0.81	0.63
