Lon	Lat	E.vel	N.vel	E.adj	N.adj	E.sig	N.sig	Corr	U.vel	U.adj	U.sig	Stat	E.sig.scaled	N.sig.scaled
358.9463	38.1751	5.61	12.88	19.57	17.73	0.1	0.11	0.001	0.0	0.0	0.0	ABAN_GPS	0.24	0.25
2.3098	36.5347	4.54	11.56	20.05	18.15	0.12	0.11	0.001	0.0	0.0	0.0	ABKD_GPS	0.28	0.25
4.1986	35.4346	2.14	11.65	18.61	19.11	0.15	0.11	0.001	0.0	0.0	0.0	ABSD_GPS	0.33	0.25
3.0333	36.7961	5.28	11.06	20.63	17.97	0.08	0.1	0.001	0.0	0.0	0.0	ABZH_GPS	0.2	0.24
14.5883	38.0561	5.63	10.44	21.13	22.47	0.32	0.28	0.001	0.0	0.0	0.0	ACQU_GPS	0.61	0.53
3.448	34.9115	0.78	12.07	17.61	19.21	0.12	0.12	0.001	0.0	0.0	0.0	ADCK_GPS	0.28	0.27
3.0982	34.215	0.08	13.23	17.41	20.21	0.12	0.14	0.001	0.0	0.0	0.0	ADJF_GPS	0.28	0.31
2.5758	35.4014	1.4	12.46	17.8	19.19	0.13	0.12	0.001	0.0	0.0	0.0	AFDJ_GPS	0.3	0.27
4.451	34.7238	0.87	11.79	17.89	19.38	0.13	0.12	0.001	0.0	0.0	0.0	AFRS_GPS	0.3	0.27
13.6012	37.3203	4.3	6.78	20.25	18.51	0.16	0.14	0.001	0.0	0.0	0.0	AGRG_GPS	0.35	0.31
3.4143	36.6508	4.62	12.6	20.11	19.7	0.17	0.4	0.001	0.0	0.0	0.0	AKDR_GPS	0.37	0.7
359.5188	38.3389	5.99	11.71	19.85	16.7	0.12	0.12	0.001	0.0	0.0	0.0	ALAC_GPS	0.28	0.27
358.1436	38.9779	5.37	12.17	18.66	16.54	0.09	0.08	0.001	0.0	0.0	0.0	ALBA_GPS	0.22	0.2
356.9658	35.9399	2.04	14.36	18.47	18.3	0.23	0.14	0.001	0.0	0.0	0.0	ALBO_GPS	0.47	0.31
12.9667	37.982	5.79	8.01	21.29	19.26	0.2	0.23	0.001	0.0	0.0	0.0	ALCA_GPS	0.42	0.46
359.1392	37.7308	5.8	12.81	20.07	17.65	0.1	0.09	0.001	0.0	0.0	0.0	ALCA_GPS	0.24	0.22
359.5265	38.698	6.13	11.95	19.71	17.06	0.2	0.18	0.001	0.0	0.0	0.0	ALCO_GPS	0.42	0.38
351.1271	38.7853	4.0	15.88	18.03	17.15	0.24	0.17	0.0	0.0	0.0	0.0	ALCX_GPS	0.49	0.36
351.9388	37.1588	3.36	16.61	17.89	18.11	0.19	0.13	0.001	0.0	0.0	0.0	ALFE_GPS	0.4	0.29
354.5558	36.1111	1.17	15.14	16.58	17.95	0.18	0.21	0.001	0.0	0.0	0.0	ALGC_GPS	0.39	0.42
358.5533	37.8042	6.87	10.11	21.38	14.88	0.11	0.12	0.001	0.0	0.0	0.0	ALHA_GPS	0.26	0.27
357.5406	36.8525	3.73	12.24	18.54	16.4	0.13	0.12	0.001	0.0	0.0	0.0	ALME_GPS	0.3	0.27
355.8197	38.7055	4.66	14.42	18.13	18.08	0.16	0.26	0.001	0.0	0.0	0.0	ALMO_GPS	0.35	0.5
4.1402	39.9344	7.78	9.29	20.73	16.39	0.1	0.17	0.001	0.0	0.0	0.0	ALOR_GPS	0.24	0.36
351.6148	37.1044	3.21	16.82	17.78	18.16	0.22	0.15	0.001	0.0	0.0	0.0	ALPO_GPS	0.45	0.33
16.0765	39.1198	8.68	5.68	23.57	18.32	0.18	0.17	0.001	0.0	0.0	0.0	AMAN_GPS	0.39	0.36
352.7721	38.2087	4.27	15.35	17.91	17.25	0.14	0.12	0.001	0.0	0.0	0.0	AMAR_GPS	0.32	0.27
355.9697	38.0404	5.03	13.65	18.91	17.01	0.18	0.22	0.001	0.0	0.0	0.0	ANDU_GPS	0.39	0.44
16.0837	39.721	8.39	6.32	22.79	18.79	0.23	0.1	0.001	0.0	0.0	0.0	AQSA_GPS	0.47	0.24
353.4346	37.8939	3.9	15.14	17.9	17.41	0.17	0.2	0.001	0.0	0.0	0.0	ARAC_GPS	0.37	0.41
358.8984	39.945	6.69	11.69	19.61	16.53	0.16	0.18	0.001	0.0	0.0	0.0	ARAS_GPS	0.35	0.38
16.2255	39.3667	9.18	5.74	24.0	18.38	0.22	0.16	0.001	0.0	0.0	0.0	ARCA_GPS	0.45	0.34
358.0595	37.8354	5.03	12.64	19.22	17.06	0.21	0.2	0.001	0.0	0.0	0.0	AREZ_GPS	0.44	0.41
351.0389	38.4928	4.31	15.75	17.56	16.99	0.2	0.24	-0.0	0.0	0.0	0.0	ARRA_GPS	0.42	0.47
350.9206	38.9829	4.91	16.2	17.99	17.1	0.14	0.13	0.0	0.0	0.0	0.0	ARRD_GPS	0.32	0.29
351.2812	37.087	3.49	16.87	18.07	18.05	0.29	0.18	0.001	0.0	0.0	0.0	ATAL_GPS	0.57	0.38
4.1243	36.4427	3.88	11.28	19.59	18.7	0.21	0.24	0.001	0.0	0.0	0.0	ATKJ_GPS	0.44	0.47
352.1105	39.0566	4.69	15.5	17.64	17.08	0.14	0.13	0.001	0.0	0.0	0.0	AVIS_GPS	0.32	0.29
358.9408	39.0613	6.15	11.2	19.42	15.83	0.16	0.22	0.001	0.0	0.0	0.0	AYOR_GPS	0.35	0.44
353.3844	31.9338	-1.7	15.9	16.68	18.94	0.48	0.46	0.001	0.0	0.0	0.0	AZIL_GPS	0.84	0.79
353.0107	38.8937	4.93	15.74	18.11	17.87	0.16	0.15	0.001	0.0	0.0	0.0	BADA_GPS	0.35	0.33
351.8374	37.1243	3.69	16.81	18.24	18.26	0.19	0.15	0.001	0.0	0.0	0.0	BARR_GPS	0.4	0.33
355.699	35.0814	-2.33	12.68	9.34	16.63	0.81	0.82	0.001	0.0	0.0	0.0	BBFH_GPS	1.28	1.24
352.1271	38.0129	4.1	15.8	17.98	17.38	0.12	0.12	0.0	0.0	0.0	0.0	BEJA_GPS	0.28	0.27
