Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
21.215 38.923 15.1 8.4 0.0 0.0 0.4 0.4 0.001 -1.4 0.0 1.5 ABEL_GPS
23.434 40.101 22.3 5.1 0.0 0.0 0.4 0.4 0.001 -1.2 0.0 0.9 AFY0_GPS
23.435 40.097 23.1 6.1 0.0 0.0 0.4 0.4 0.001 -0.9 0.0 0.9 AFYT_GPS
25.718 35.192 8.4 -13.6 0.0 0.0 0.7 0.5 0.001 0.4 0.0 1.2 AGNI_GPS
26.269 39.246 5.6 1.0 0.0 0.0 0.4 0.4 0.001 0.2 0.0 1.0 AGPA_GPS
21.409 38.624 13.3 8.3 0.0 0.0 0.3 0.3 0.001 -1.1 0.0 0.6 AGRI_GPS
21.408 38.623 13.3 8.3 0.0 0.0 0.3 0.4 0.001 -0.5 0.0 0.9 AGRU_GPS
23.123 37.939 8.5 -10.3 0.0 0.0 0.8 1.0 0.001 0.2 0.0 2.1 AGTH_GPS
22.073 38.242 10.0 -9.4 0.0 0.0 0.3 0.4 0.001 3.5 0.0 1.1 AIGI_GPS
23.44 37.734 8.6 -10.2 0.0 0.0 0.3 0.4 0.001 1.4 0.0 0.9 AIGU_GPS
24.913 34.981 8.7 -14.1 0.0 0.0 0.4 0.5 0.001 -0.1 0.0 1.2 AKYR_GPS
25.873 40.846 23.0 13.2 0.0 0.0 0.6 0.8 0.001 0.4 0.0 1.7 ALE1_GPS
25.906 40.854 22.6 11.7 0.0 0.0 0.4 0.4 0.001 0.0 0.0 1.1 ALEU_GPS
25.853 40.849 22.8 12.3 0.0 0.0 0.2 0.3 0.001 0.7 0.0 0.6 ALEX_GPS
22.444 40.628 24.6 8.9 0.0 0.0 0.3 0.3 0.001 -6.9 0.0 0.8 ALXA_GPS
21.355 37.796 7.8 -6.9 0.0 0.0 0.3 0.4 0.001 3.6 0.0 0.8 AMAL_GPS
21.15 38.892 15.7 9.0 0.0 0.0 0.4 0.5 0.001 3.6 0.0 2.9 AMFI_GPS
23.904 37.733 8.6 -11.4 0.0 0.0 0.4 0.4 0.001 0.3 0.0 1.0 ANAV_GPS
24.737 37.886 8.2 -11.8 0.0 0.0 0.4 0.6 0.001 -1.1 0.0 1.2 ANDR_GPS
22.282 36.826 4.7 -12.8 0.0 0.0 0.6 0.6 0.001 1.0 0.0 1.8 ANIK_GPS
