Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
20.05976 41.54287 1.01 -3.34 0.0 0.0 0.87 0.9 0.015 -49.4 0.0 3.01 0601_GPS
19.70568 41.70066 1.6 -2.03 0.0 0.0 0.84 0.86 0.007 -47.9 0.0 2.8 0602_GPS
19.55347 41.42819 1.13 2.35 0.0 0.0 1.1 1.11 0.002 -70.3 0.0 3.53 0603_GPS
20.38797 41.51532 3.89 -4.8 0.0 0.0 0.88 0.91 -0.016 -52.54 0.0 3.09 0607_GPS
19.89657 41.67503 0.96 -3.1 0.0 0.0 0.88 0.91 -0.012 -55.92 0.0 3.0 0608_GPS
19.70972 41.20265 0.19 0.72 0.0 0.0 0.86 0.88 0.01 -44.36 0.0 8.53 0611_GPS
22.01186 41.76495 1.22 -3.76 0.0 0.0 0.74 0.75 -0.02 0.41 0.0 2.33 0804_GPS
22.77983 41.32704 1.3 -4.52 0.0 0.0 0.76 0.78 -0.019 -3.23 0.0 10.57 0805_GPS
21.78707 40.93117 1.21 -5.26 0.0 0.0 1.21 1.17 -0.024 -6.76 0.0 6.43 0806_GPS
20.82049 40.93232 1.44 -2.78 0.0 0.0 0.76 0.78 -0.018 3.54 0.0 2.48 0807_GPS
21.35934 40.15928 1.37 -3.47 0.0 0.0 0.72 0.76 -0.043 -5.15 0.0 13.18 104G_GPS
21.2282 40.38375 -0.14 -4.66 0.0 0.0 0.38 0.41 -0.024 4.44 0.0 7.11 7111_GPS
24.26163 41.94067 -24.83 -14.55 0.0 0.0 1.12 0.56 -0.009 0.37 0.0 1.69 8385_GPS
23.25629 41.64316 1.57 -3.23 0.0 0.0 1.22 1.24 -0.046 10.18 0.0 31.46 9482_GPS
30.64437 38.76888 -20.93 -3.71 0.0 0.0 1.4 0.94 -0.01 -0.81 0.0 3.17 AFYO_GPS
30.7611 40.58886 -13.51 -2.15 0.0 0.0 0.68 0.73 -0.003 -0.29 0.0 2.28 AGOK_GPS
30.7611 40.58886 -19.04 -2.5 0.0 0.0 0.52 0.55 -0.021 -0.87 0.0 1.51 AGOK_GPS
30.68038 40.53834 -17.63 -2.02 0.0 0.0 0.81 0.89 0.009 -0.97 0.0 5.26 AGUZ_GPS
