Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
-1.451 50.931 18.528 -6.679 0.0 0.0 0.272 0.29 0.0 0.0 0.0 3.0 OSHQ_GPS
-1.449 38.041 21.199 -6.329 0.0 0.0 0.637 0.532 0.0 0.0 0.0 3.0 MULA_GPS
-1.441 42.378 20.774 -7.457 0.0 0.0 0.849 0.577 0.0 0.0 0.0 3.0 CARC_GPS
-1.438 51.149 18.036 -6.981 0.0 0.0 0.538 0.425 0.0 0.0 0.0 3.0 CHIO_GPS
-1.433 55.009 17.864 -6.783 0.0 0.0 0.334 0.231 0.0 0.0 0.0 3.0 NSL0_GPS
-1.429 46.693 19.579 -7.653 0.0 0.0 1.423 0.837 0.0 0.0 0.0 3.0 RYON_GPS
-1.425 37.658 21.761 -5.303 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 GANU_GPS
-1.38 53.483 17.635 -7.426 0.0 0.0 0.314 0.273 0.0 0.0 0.0 3.0 HOOB_GPS
-1.368 49.676 19.023 -6.918 0.0 0.0 0.389 0.332 0.0 0.0 0.0 3.0 VARO_GPS
-1.331 52.359 18.474 -7.532 0.0 0.0 0.333 0.311 0.0 0.0 0.0 3.0 CLAW_GPS
-1.327 38.471 21.151 -8.158 0.0 0.0 1.08 1.05 0.001 0.0 0.0 3.0 JUMI_GPS
-1.326 38.502 22.036 -5.898 0.0 0.0 0.762 0.612 0.0 0.0 0.0 3.0 JUMI_GPS
-1.315 51.404 21.044 -6.267 0.0 0.0 0.856 0.995 0.0 0.0 0.0 3.0 NEWB_GPS
-1.289 51.824 19.055 -6.812 0.0 0.0 0.304 0.254 0.0 0.0 0.0 3.0 OXFR_GPS
-1.287 42.58 20.934 -7.239 0.0 0.0 0.634 0.62 0.0 0.0 0.0 3.0 SANG_GPS
-1.284 51.454 18.384 -6.458 0.0 0.0 0.18 0.171 0.0 0.0 0.0 3.0 HRM1_GPS
-1.275 59.854 15.462 -6.431 0.0 0.0 0.469 0.392 0.0 0.0 0.0 3.0 SUM3_GPS
-1.262 42.935 20.353 -6.946 0.0 0.0 1.22 1.131 0.0 0.0 0.0 3.0 ARIB_GPS
-1.25 53.006 16.743 -8.347 0.0 0.0 0.394 0.41 0.0 0.0 0.0 3.0 WATN_GPS
-1.249 44.646 20.302 -6.824 0.0 0.0 0.423 0.616 0.0 0.0 0.0 3.0 FERR_GPS
-1.234 48.827 19.042 -7.651 0.0 0.0 0.963 0.772 0.0 0.0 0.0 3.0 VLPL_GPS
-1.228 44.201 20.704 -6.73 0.0 0.0 0.404 0.32 0.0 0.0 0.0 3.0 MIMZ_GPS
-1.219 46.159 19.961 -6.626 0.0 0.0 0.281 0.172 0.0 0.0 0.0 3.0 LROC_GPS
-1.213 50.65 18.381 -6.957 0.0 0.0 0.357 0.523 0.0 0.0 0.0 3.0 SANO_GPS
-1.209 39.569 21.087 -6.867 0.0 0.0 0.331 0.283 0.0 0.0 0.0 3.0 UTIE_GPS
-1.192 52.941 18.29 -7.163 0.0 0.0 0.165 0.174 0.0 0.0 0.0 3.0 IESG_GPS
-1.184 60.138 15.488 -6.347 0.0 0.0 0.214 0.224 0.0 0.0 0.0 3.0 LER0_GPS
-1.181 37.623 21.151 -5.322 0.0 0.0 0.2 0.2 0.002 0.0 0.0 3.0 MAJA_GPS
-1.14 60.154 15.405 -5.907 0.0 0.0 0.899 0.846 0.0 0.0 0.0 3.0 LWTG_GPS
-1.134 44.764 20.994 -6.955 0.0 0.0 0.735 0.665 0.0 0.0 0.0 3.0 ARES_GPS
-1.124 40.351 21.288 -6.92 0.0 0.0 0.442 0.368 0.0 0.0 0.0 3.0 TERU_GPS
-1.123 37.99 21.017 -7.457 0.0 0.0 0.736 0.757 0.0 0.0 0.0 3.0 MURC_GPS
-1.111 50.802 18.661 -6.618 0.0 0.0 0.237 0.272 0.0 0.0 0.0 3.0 PMTG_GPS
-1.108 45.744 20.407 -6.687 0.0 0.0 0.618 0.433 0.0 0.0 0.0 3.0 ARVE_GPS
-1.1 54.162 17.807 -6.815 0.0 0.0 0.34 0.349 0.0 0.0 0.0 3.0 YEAS_GPS
-1.078 52.879 18.06 -6.906 0.0 0.0 0.198 0.201 0.0 0.0 0.0 3.0 KEY0_GPS
-1.076 44.978 20.5 -6.586 0.0 0.0 0.653 0.427 0.0 0.0 0.0 3.0 LCAU_GPS
-1.059 39.061 21.215 -7.693 0.0 0.0 0.579 0.39 0.0 0.0 0.0 3.0 AYOR_GPS
-1.056 43.711 20.444 -6.986 0.0 0.0 0.571 0.467 0.0 0.0 0.0 3.0 ADAX_GPS
-1.055 49.117 19.398 -6.592 0.0 0.0 0.701 0.546 0.0 0.0 0.0 3.0 STLO_GPS
-1.029 47.704 19.829 -6.829 0.0 0.0 0.403 0.422 0.0 0.0 0.0 3.0 COMB_GPS
-1.024 45.639 20.085 -6.782 0.0 0.0 0.663 0.47 0.0 0.0 0.0 3.0 ROYA_GPS
-1.014 43.334 20.17 -7.652 0.0 0.0 0.93 1.422 0.0 0.0 0.0 3.0 AICI_GPS
-1.012 37.587 20.946 -5.734 0.0 0.0 0.3 0.3 0.015 0.0 0.0 3.0 CART_GPS
-0.995 37.606 19.837 -5.948 0.0 0.0 0.86 0.85 0.001 0.0 0.0 3.0 CRTG_GPS
-0.979 37.607 20.879 -6.221 0.0 0.0 0.717 0.54 0.0 0.0 0.0 3.0 CRT0_GPS
-0.955 42.81 20.526 -6.917 0.0 0.0 0.647 0.813 0.0 0.0 0.0 3.0 RONC_GPS
-0.949 46.104 19.704 -6.573 0.0 0.0 1.021 0.746 0.0 0.0 0.0 3.0 AUNI_GPS
-0.912 52.252 17.935 -6.731 0.0 0.0 0.402 0.342 0.0 0.0 0.0 3.0 NOR5_GPS
-0.882 41.633 20.814 -6.944 0.0 0.0 0.351 0.282 0.0 0.0 0.0 3.0 ZARA_GPS
-0.863 54.563 19.289 -6.724 0.0 0.0 0.319 0.312 0.0 0.0 0.0 3.0 LOFT_GPS
-0.862 9.554 21.885 -4.685 0.0 0.0 0.613 0.374 0.0 0.0 0.0 3.0 TAMA_GPS
-0.861 37.731 22.072 -5.661 0.0 0.0 0.506 0.425 0.0 0.0 0.0 3.0 ALCA_GPS
-0.807 48.413 19.796 -6.589 0.0 0.0 0.699 0.493 0.0 0.0 0.0 3.0 GORN_GPS
-0.794 47.116 19.742 -7.034 0.0 0.0 0.668 0.508 0.0 0.0 0.0 3.0 TREM_GPS
-0.779 37.835 21.694 -6.277 0.0 0.0 0.643 0.469 0.0 0.0 0.0 3.0 SAL7_GPS
-0.773 51.28 18.497 -6.449 0.0 0.0 0.286 0.295 0.0 0.0 0.0 3.0 FARN_GPS
-0.772 52.024 19.157 -6.858 0.0 0.0 0.526 0.401 0.0 0.0 0.0 3.0 MIL5_GPS
-0.727 42.567 20.099 -7.231 0.0 0.0 0.884 1.281 0.0 0.0 0.0 3.0 JACA_GPS
-0.723 48.073 19.147 -6.964 0.0 0.0 1.53 1.779 0.0 0.0 0.0 3.0 LAVL_GPS
-0.698 37.631 21.502 -6.388 0.0 0.0 0.641 0.544 0.0 0.0 0.0 3.0 CABO_GPS
-0.681 37.975 21.392 -6.124 0.0 0.0 0.369 0.313 0.0 0.0 0.0 3.0 TORR_GPS
-0.674 43.231 20.323 -6.741 0.0 0.0 0.728 0.524 0.0 0.0 0.0 3.0 ORIN_GPS
-0.625 52.307 18.39 -7.093 0.0 0.0 0.344 0.338 0.0 0.0 0.0 3.0 WEL2_GPS
-0.624 49.177 19.248 -6.3 0.0 0.0 1.148 1.238 0.0 0.0 0.0 3.0 TIL3_GPS
-0.579 46.174 19.577 -7.461 0.0 0.0 1.143 1.303 0.0 0.0 0.0 3.0 USSO_GPS
