Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
35.3133 29.7041 25.18 22.46 0.0 0.0 0.32 0.32 0.001 0.0 0.0 3.0 ROM0_GPS
35.0829 29.7458 26.06 21.46 0.0 0.0 0.32 0.3 0.001 0.0 0.0 3.0 JEM0_GPS
34.9578 29.7808 25.15 20.71 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 TIM0_GPS
34.8565 29.7838 24.99 20.2 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 SAG0_GPS
35.6782 30.1665 25.48 22.8 0.0 0.0 0.51 0.51 0.001 0.0 0.0 3.0 MAN0_GPS
36.1944 30.259 25.22 23.84 0.0 0.0 0.45 0.41 0.001 0.0 0.0 3.0 JFR0_GPS
35.2659 30.2819 24.8 21.91 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 ABK0_GPS
35.1338 30.2892 24.56 20.62 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 MNH0_GPS
35.5136 30.308 24.61 23.27 0.0 0.0 0.25 0.24 0.001 0.0 0.0 3.0 QUL0_GPS
34.9646 30.3207 23.9 20.55 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 MAP0_GPS
35.438 30.443 25.34 22.9 0.0 0.0 0.24 0.24 0.001 0.0 0.0 3.0 SUL0_GPS
34.6046 30.5068 23.73 19.14 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 BOR0_GPS
35.2957 30.951 23.84 19.95 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 TAM0_GPS
35.7816 30.9588 24.65 23.39 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 AYN0_GPS
35.6438 30.9814 24.89 22.89 0.0 0.0 0.3 0.31 0.001 0.0 0.0 3.0 BUR0_GPS
35.075 31.0271 23.18 19.23 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 DIM0_GPS
35.5167 31.0761 25.01 22.38 0.0 0.0 0.21 0.2 0.001 0.0 0.0 3.0 SAF0_GPS
35.7178 31.0947 24.01 22.88 0.0 0.0 0.48 0.45 0.001 0.0 0.0 3.0 MUTA_GPS
34.9998 29.6479 25.45 21.33 0.0 0.0 0.21 0.2 0.001 0.0 0.0 3.0 AV07_GPS
35.0182 29.6549 25.17 21.45 0.0 0.0 0.33 0.31 0.001 0.0 0.0 3.0 AV06_GPS
35.0146 29.6758 25.09 21.19 0.0 0.0 0.27 0.27 0.001 0.0 0.0 3.0 AV04_GPS
35.0174 29.676 24.21 21.01 0.0 0.0 0.3 0.3 0.001 0.0 0.0 3.0 AV05_GPS
34.9929 29.6791 25.55 20.97 0.0 0.0 0.25 0.23 0.001 0.0 0.0 3.0 AV03_GPS
34.982 29.6805 25.38 21.09 0.0 0.0 0.24 0.23 0.001 0.0 0.0 3.0 AV02_GPS
34.9737 29.6875 24.5 21.89 0.0 0.0 0.29 0.28 0.001 0.0 0.0 3.0 AV01_GPS
35.3783 30.9336 22.56 22.57 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 NEO1_GPS
35.3514 31.0373 23.12 19.81 0.0 0.0 0.29 0.29 0.001 0.0 0.0 3.0 SDM2_GPS
35.3566 31.0384 23.05 19.49 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 SDM1_GPS
35.3461 31.04 23.04 20.3 0.0 0.0 0.23 0.24 0.001 0.0 0.0 3.0 SDM3_GPS
35.3403 31.0431 23.12 19.86 0.0 0.0 0.56 0.55 0.001 0.0 0.0 3.0 SDM4_GPS
35.3345 31.0449 22.81 19.96 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 SDM5_GPS
35.3014 31.0451 22.97 20.12 0.0 0.0 0.28 0.29 0.001 0.0 0.0 3.0 SDM8_GPS
35.3074 31.0455 23.58 19.5 0.0 0.0 0.23 0.23 0.001 0.0 0.0 3.0 SDM7_GPS
35.3276 31.0461 23.17 20.32 0.0 0.0 0.28 0.28 0.001 0.0 0.0 3.0 SDM6_GPS
35.6038 31.7512 23.79 22.94 0.0 0.0 0.69 0.74 0.001 0.0 0.0 3.0 IJ09_GPS
35.5152 31.7983 24.59 21.59 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 DS03_GPS
35.5188 31.7983 24.72 21.68 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 DS02_GPS
35.5079 31.7998 24.16 21.99 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 DS04_GPS
35.4997 31.7999 23.75 21.08 0.0 0.0 0.21 0.22 0.001 0.0 0.0 3.0 DS05_GPS
35.4901 31.7999 24.04 21.19 0.0 0.0 0.33 0.35 0.001 0.0 0.0 3.0 DS06_GPS
35.527 31.8007 24.91 21.64 0.0 0.0 0.25 0.25 0.001 0.0 0.0 3.0 DS01_GPS
35.4773 31.8086 24.04 21.76 0.0 0.0 0.29 0.3 0.001 0.0 0.0 3.0 BTAR_GPS
35.4382 31.8228 23.64 21.09 0.0 0.0 0.42 0.45 0.001 0.0 0.0 3.0 VRDJ_GPS
35.5458 31.8375 24.4 21.32 0.0 0.0 0.26 0.26 0.001 0.0 0.0 3.0 KSYH_GPS
35.5383 31.838 23.6 21.29 0.0 0.0 0.89 0.86 0.001 0.0 0.0 3.0 KY02_GPS
35.6471 32.6967 22.96 22.78 0.0 0.0 0.35 0.38 0.001 0.0 0.0 3.0 TK03_GPS
35.5992 32.7053 22.39 21.79 0.0 0.0 0.23 0.24 0.001 0.0 0.0 3.0 MAGN_GPS
35.5765 32.7066 22.53 21.56 0.0 0.0 0.28 0.28 0.001 0.0 0.0 3.0 DGAN_GPS
35.6189 32.7076 22.85 21.19 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 TLKZ_GPS
35.5457 32.7077 22.33 20.94 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 ALUM_GPS
35.6406 32.7084 23.38 22.99 0.0 0.0 0.32 0.34 0.001 0.0 0.0 3.0 TK02_GPS
35.6269 32.7094 23.4 23.06 0.0 0.0 0.23 0.24 0.001 0.0 0.0 3.0 TK01_GPS
35.665 32.7103 23.37 23.16 0.0 0.0 0.26 0.28 0.001 0.0 0.0 3.0 TK04_GPS
35.6091 32.9683 22.81 21.59 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 KN01_GPS
35.6156 32.9728 22.77 21.66 0.0 0.0 0.22 0.22 0.001 0.0 0.0 3.0 KN03_GPS
35.6367 32.9743 23.04 21.97 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 KN10_GPS
35.6331 32.9765 23.2 21.84 0.0 0.0 0.24 0.24 0.001 0.0 0.0 3.0 KN07_GPS
35.6158 32.9768 22.75 21.71 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 KN04_GPS
35.607 32.9802 22.87 20.87 0.0 0.0 0.22 0.23 0.001 0.0 0.0 3.0 KN02_GPS
35.6485 32.9808 23.09 22.55 0.0 0.0 0.26 0.27 0.001 0.0 0.0 3.0 KN11_GPS
35.6311 32.9819 22.99 22.57 0.0 0.0 0.23 0.24 0.001 0.0 0.0 3.0 KN08_GPS
35.6173 32.9819 23.11 21.61 0.0 0.0 0.27 0.27 0.001 0.0 0.0 3.0 KN05_GPS
35.6305 32.9867 22.84 22.19 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 KN09_GPS
35.6434 32.9883 22.99 22.15 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 KN12_GPS
35.614 32.9903 22.74 21.45 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 KN06_GPS
35.5546 32.9943 22.38 21.32 0.0 0.0 0.34 0.36 0.001 0.0 0.0 3.0 HZOR_GPS
34.9524 29.6255 25.57 20.85 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 SHOR_GPS
34.8775 29.6542 25.2 20.13 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 UZIA_GPS
34.9286 29.6786 24.94 21.33 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 RAHM_GPS
34.8611 29.6923 24.75 20.81 0.0 0.0 0.27 0.27 0.001 0.0 0.0 3.0 SHNI_GPS
34.8586 29.7808 24.72 20.01 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 SGUV_GPS
34.9077 29.812 24.9 20.67 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 BERE_GPS
34.8139 29.8474 24.81 20.03 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 SAYA_GPS
34.9916 29.9208 24.84 20.57 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 ARUT_GPS
35.0401 30.035 24.24 20.8 0.0 0.0 0.2 0.21 0.001 0.0 0.0 3.0 NVRF_GPS
34.7192 30.1211 23.49 19.6 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 PARA_GPS
35.0152 30.2195 24.67 20.17 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 ZIHA_GPS
34.9514 30.2474 24.74 20.33 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 ZHOR_GPS
35.1039 30.2912 24.31 20.65 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 MNHA_GPS
34.6338 30.3434 24.0 19.13 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 SAGI_GPS
34.9723 30.368 23.72 20.19 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 KIPA_GPS
35.1382 30.4135 24.4 19.82 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 BRAK_GPS
34.5658 30.4322 24.04 19.26 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 MARA_GPS
34.5526 30.5081 24.12 19.53 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 HARI_GPS
34.7702 30.5167 23.33 19.55 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 ODED_GPS
34.941 30.5236 24.04 19.76 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 HDAV_GPS
35.1808 30.5467 23.9 21.04 0.0 0.0 0.2 0.2 0.001 0.0 0.0 3.0 ZOFR_GPS
