Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
45.645 40.099 4.1 8.3 0.0 0.0 0.6 0.6 0.004 0.0 0.0 3.0 AKH0_GNSS
44.679 39.84 5.7 6.4 0.0 0.0 0.6 0.6 0.0 0.0 0.0 3.0 ARA4_GNSS
43.782 41.121 1.7 6.5 0.0 0.0 0.3 0.3 0.0 0.0 0.0 3.0 BAV0_GNSS
43.782 41.121 2.1 5.4 0.0 0.0 0.6 0.6 0.0 0.0 0.0 3.0 BAV4_GNSS
44.287 40.381 2.0 7.0 0.0 0.0 0.4 0.4 -0.012 0.0 0.0 3.0 BUR0_GNSS
44.287 40.381 2.3 6.7 0.0 0.0 0.6 0.6 -0.017 0.0 0.0 3.0 BUR4_GNSS
44.276 40.736 1.6 7.3 0.0 0.0 0.4 0.4 -0.006 0.0 0.0 3.0 CHO0_GNSS
44.276 40.736 1.5 6.2 0.0 0.0 0.7 0.7 -0.011 0.0 0.0 3.0 CHO4_GNSS
45.094 40.92 3.1 6.3 0.0 0.0 0.6 0.6 -0.006 0.0 0.0 3.0 ENO0_GNSS
45.209 40.198 2.9 8.6 0.0 0.0 0.4 0.4 0.002 0.0 0.0 3.0 ERA0_GNSS
45.209 40.198 3.4 8.4 0.0 0.0 0.6 0.6 0.005 0.0 0.0 3.0 ERA4_GNSS
44.81 40.16 2.5 7.8 0.0 0.0 0.4 0.4 -0.007 0.0 0.0 3.0 GEG0_GNSS
44.81 40.159 1.9 8.0 0.0 0.0 0.6 0.6 -0.008 0.0 0.0 3.0 GEG4_GNSS
44.657 40.101 2.0 7.4 0.0 0.0 0.6 0.6 -0.003 0.0 0.0 3.0 KAR0_GNSS
44.575 39.881 2.7 6.8 0.0 0.0 1.4 1.3 0.044 0.0 0.0 3.0 KHO0_GNSS
44.19 41.185 1.8 4.9 0.0 0.0 0.4 0.4 -0.006 0.0 0.0 3.0 KIZ0_GNSS
44.19 41.185 1.9 4.7 0.0 0.0 0.6 0.6 -0.015 0.0 0.0 3.0 KIZ4_GNSS
44.091 40.178 2.4 6.7 0.0 0.0 0.4 0.4 -0.011 0.0 0.0 3.0 MET0_GNSS
44.091 40.178 2.9 5.9 0.0 0.0 0.6 0.6 -0.016 0.0 0.0 3.0 MET4_GNSS
44.503 40.226 2.2 7.2 0.0 0.0 0.1 0.1 -0.013 0.0 0.0 3.0 NSSP*_GNSS
44.593 41.055 2.8 6.2 0.0 0.0 0.6 0.6 -0.004 0.0 0.0 3.0 ODZ0_GNSS
44.55 40.84 2.4 6.1 0.0 0.0 0.6 0.6 -0.006 0.0 0.0 3.0 PAM0_GNSS
44.718 40.52 2.2 6.9 0.0 0.0 0.7 0.7 -0.006 0.0 0.0 3.0 RAZ0_GNSS
43.951 40.108 2.3 7.2 0.0 0.0 0.4 0.3 0.0 0.0 0.0 3.0 SA10_GNSS
43.951 40.108 2.9 6.2 0.0 0.0 0.6 0.6 0.0 0.0 0.0 3.0 SA14_GNSS
43.807 40.097 2.6 6.5 0.0 0.0 0.4 0.4 -0.002 0.0 0.0 3.0 SA20_GNSS
43.807 40.097 2.8 5.4 0.0 0.0 0.6 0.6 -0.001 0.0 0.0 3.0 SA24_GNSS
44.528 40.753 2.7 5.9 0.0 0.0 0.6 0.6 -0.003 0.0 0.0 3.0 SHA0_GNSS
45.686 40.117 3.5 9.0 0.0 0.0 0.6 0.7 -0.007 0.0 0.0 3.0 SUB0_GNSS
45.055 40.307 2.4 8.2 0.0 0.0 0.6 0.6 -0.004 0.0 0.0 3.0 TSA0_GNSS
45.908 40.204 4.8 8.7 0.0 0.0 0.6 0.6 -0.002 0.0 0.0 3.0 ZOD0_GNSS
45.367 40.114 4.0 8.4 0.0 0.0 0.6 0.6 0.004 0.0 0.0 3.0 ZOL0_GNSS
58.56 56.43 -0.25 0.13 0.0 0.0 0.11 0.13 -0.017 0.0 0.0 3.0 ARTU_GNSS
17.073 52.277 -0.03 0.11 0.0 0.0 0.14 0.09 -0.011 0.0 0.0 3.0 BOR1_GNSS
4.359 50.798 -0.1 -0.84 0.0 0.0 0.17 0.14 -0.004 0.0 0.0 3.0 BRUS_GNSS
6.921 43.755 0.17 0.16 0.0 0.0 0.11 0.1 -0.01 0.0 0.0 3.0 GRAS_GNSS
15.493 47.067 0.79 0.67 0.0 0.0 0.16 0.21 -0.005 0.0 0.0 3.0 GRAZ_GNSS
104.316 52.219 -0.32 -0.79 0.0 0.0 0.19 0.19 0.0 0.0 0.0 3.0 IRKT_GNSS
21.032 52.097 0.02 0.28 0.0 0.0 0.12 0.09 -0.017 0.0 0.0 3.0 JOZE_GNSS
5.81 52.178 0.04 0.68 0.0 0.0 0.13 0.11 -0.006 0.0 0.0 3.0 KOSG_GNSS
92.794 55.993 -0.97 -1.31 0.0 0.0 0.22 0.22 0.001 0.0 0.0 3.0 KSTU_GNSS
355.75 40.429 -0.48 -0.25 0.0 0.0 0.18 0.16 -0.001 0.0 0.0 3.0 MADR_GNSS
24.395 60.217 0.2 -0.84 0.0 0.0 0.1 0.09 -0.018 0.0 0.0 3.0 METS_GNSS
11.865 78.93 -0.24 -0.94 0.0 0.0 0.11 0.1 -0.004 0.0 0.0 3.0 NYAL_GNSS
11.926 57.395 -0.81 -0.54 0.0 0.0 0.09 0.1 -0.011 0.0 0.0 3.0 ONSA_GNSS
13.066 52.379 -0.33 0.06 0.0 0.0 0.26 0.26 -0.003 0.0 0.0 3.0 POTS_GNSS
128.866 71.634 0.14 0.09 0.0 0.0 0.15 0.19 0.008 0.0 0.0 3.0 TIXI_GNSS
1.481 43.561 -0.48 0.8 0.0 0.0 0.5 0.5 -0.001 0.0 0.0 3.0 TOUL_GNSS
18.938 69.663 -0.69 0.95 0.0 0.0 0.11 0.1 -0.011 0.0 0.0 3.0 TROM_GNSS
