Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
50.608 26.209 5.19 15.02 0.0 0.0 0.11 0.22 -0.007 0.0 0.0 3.0 BAHR_GPS
49.038 14.486 13.9 15.64 0.0 0.0 0.46 0.44 -0.002 0.0 0.0 3.0 MKLA_GPS
48.773 15.947 12.83 13.77 0.0 0.0 0.92 0.86 -0.007 0.0 0.0 3.0 SYON_GPS
46.401 24.911 5.74 12.93 0.0 0.0 0.26 0.23 -0.002 0.0 0.0 3.0 SOLA_GPS
45.04 12.812 13.07 12.89 0.0 0.0 0.89 0.74 0.012 0.0 0.0 3.0 ADEN_GPS
44.392 14.571 14.32 13.85 0.0 0.0 0.57 0.51 0.01 0.0 0.0 3.0 DHMR_GPS
44.19 15.348 13.53 11.49 0.0 0.0 0.46 0.42 -0.002 0.0 0.0 3.0 SANA_GPS
43.436 13.317 16.26 12.27 0.0 0.0 0.5 0.45 0.01 0.0 0.0 3.0 JNAR_GPS
42.967 14.788 12.51 11.93 0.0 0.0 0.82 0.71 0.01 0.0 0.0 3.0 HODD_GPS
42.884 11.789 15.76 11.14 0.0 0.0 0.72 0.32 0.002 0.0 0.0 3.0 PTDJ_GPS
42.847 11.526 6.02 -2.6 0.0 0.0 1.11 1.1 0.002 0.0 0.0 3.0 PARO_GPS
42.654 13.063 16.04 11.07 0.0 0.0 1.15 1.12 -0.001 0.0 0.0 3.0 ASAB_GPS
42.556 11.617 16.49 9.25 0.0 0.0 0.58 0.77 0.0 0.0 0.0 3.0 PGMD_GPS
42.445 11.535 9.11 1.65 0.0 0.0 0.62 0.46 0.002 0.0 0.0 3.0 PCKD_GPS
42.167 13.614 16.21 13.17 0.0 0.0 1.33 1.19 -0.017 0.0 0.0 3.0 BERA_GPS
42.104 16.699 12.84 8.6 0.0 0.0 1.47 1.16 -0.003 0.0 0.0 3.0 JIZN_GPS
