Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
36.465 36.531 -6.58 10.06 0.0 0.0 1.23 1.21 0.001 0.0 0.0 3.0 ABAK_GPS
36.598 36.736 -7.04 10.5 0.0 0.0 1.3 1.3 0.001 0.0 0.0 3.0 AKAB_GPS
36.329 37.572 -11.77 6.61 0.0 0.0 1.21 1.19 0.001 0.0 0.0 3.0 ANDR_GPS
35.839 37.054 -12.56 8.01 0.0 0.0 1.24 1.22 0.001 0.0 0.0 3.0 CEYH_GPS
37.886 37.541 -6.18 13.17 0.0 0.0 1.12 1.11 0.001 0.0 0.0 3.0 CKRH_GPS
36.46 36.842 -7.06 10.54 0.0 0.0 1.09 1.08 0.001 0.0 0.0 3.0 CRAK_GPS
36.137 36.899 -11.15 8.86 0.0 0.0 1.3 1.3 0.001 0.0 0.0 3.0 DORT_GPS
36.402 37.219 -11.52 7.63 0.0 0.0 1.24 1.23 0.001 0.0 0.0 3.0 ELLK_GPS
36.643 37.087 -7.9 9.64 0.0 0.0 1.22 1.21 0.001 0.0 0.0 3.0 FEVZ_GPS
37.574 36.901 -6.67 12.37 0.0 0.0 1.2 1.19 0.001 0.0 0.0 3.0 GAZ1_GPS
36.523 36.787 -7.4 9.97 0.0 0.0 1.05 1.03 0.001 0.0 0.0 3.0 HASA_GPS
36.18 36.539 -8.26 9.2 0.0 0.0 1.22 1.21 0.001 0.0 0.0 3.0 ISKE_GPS
35.34 36.542 -11.64 7.81 0.0 0.0 1.2 1.18 0.001 0.0 0.0 3.0 KART_GPS
35.369 37.56 -15.83 6.8 0.0 0.0 1.48 1.4 0.001 0.0 0.0 3.0 KBSK_GPS
37.106 36.685 -4.36 12.41 0.0 0.0 1.21 1.19 0.001 0.0 0.0 3.0 KILI_GPS
36.995 37.521 -9.18 10.23 0.0 0.0 1.2 1.18 0.001 0.0 0.0 3.0 KMAS_GPS
35.685 37.376 -11.93 7.15 0.0 0.0 1.24 1.22 0.001 0.0 0.0 3.0 KOZA_GPS
35.075 37.22 -12.75 7.1 0.0 0.0 1.18 1.16 0.001 0.0 0.0 3.0 KRHY_GPS
37.305 37.024 -7.04 12.87 0.0 0.0 1.21 1.2 0.001 0.0 0.0 3.0 KZH1_GPS
35.631 37.851 -13.03 8.39 0.0 0.0 1.24 1.23 0.001 0.0 0.0 3.0 MANS_GPS
36.216 36.378 -5.68 10.7 0.0 0.0 1.07 1.04 0.001 0.0 0.0 3.0 SERI_GPS
35.018 36.823 -15.95 6.08 0.0 0.0 1.19 1.18 0.001 0.0 0.0 3.0 SLCH_GPS
36.072 37.394 -12.83 7.13 0.0 0.0 1.4 1.39 0.001 0.0 0.0 3.0 YIZK_GPS
35.795 36.807 -12.16 9.05 0.0 0.0 1.26 1.25 0.001 0.0 0.0 3.0 YUMU_GPS
35.685 36.943 -11.05 6.49 0.0 0.0 1.33 1.32 0.001 0.0 0.0 3.0 PT01_GPS
35.648 36.857 -11.97 7.0 0.0 0.0 1.33 1.31 0.001 0.0 0.0 3.0 PT02_GPS
35.941 36.896 -11.35 8.16 0.0 0.0 1.33 1.31 0.001 0.0 0.0 3.0 PT05_GPS
36.269 36.114 -4.43 12.31 0.0 0.0 2.98 2.98 0.001 0.0 0.0 3.0 PT07_GPS
36.191 36.166 -5.36 10.76 0.0 0.0 1.33 1.31 0.001 0.0 0.0 3.0 PT08_GPS
36.341 36.017 -6.77 11.21 0.0 0.0 1.33 1.31 0.001 0.0 0.0 3.0 PT09_GPS
36.019 35.941 -7.87 11.38 0.0 0.0 1.33 1.31 0.001 0.0 0.0 3.0 PT12_GPS
36.101 36.243 -7.52 9.37 0.0 0.0 1.33 1.31 0.001 0.0 0.0 3.0 PT26_GPS
36.232 36.741 -12.6 10.78 0.0 0.0 1.36 1.34 0.001 0.0 0.0 3.0 PT30_GPS
36.257 36.654 -4.2 11.09 0.0 0.0 1.33 1.31 0.001 0.0 0.0 3.0 PT31_GPS
36.339 36.577 -7.67 8.93 0.0 0.0 1.33 1.31 0.001 0.0 0.0 3.0 PT33_GPS
36.374 36.535 -7.26 10.46 0.0 0.0 1.33 1.31 0.001 0.0 0.0 3.0 PT34_GPS
37.009 36.812 -6.41 11.73 0.0 0.0 1.33 1.31 0.001 0.0 0.0 3.0 PT35_GPS
36.929 36.895 -7.2 11.91 0.0 0.0 1.07 1.05 0.001 0.0 0.0 3.0 PT36_GPS
36.829 36.992 -6.99 10.47 0.0 0.0 1.33 1.32 0.001 0.0 0.0 3.0 PT37_GPS
36.734 37.009 -8.0 10.0 0.0 0.0 1.33 1.31 0.001 0.0 0.0 3.0 PT38_GPS
36.598 37.114 -8.2 9.4 0.0 0.0 1.33 1.32 0.001 0.0 0.0 3.0 PT39_GPS
36.502 37.158 -7.68 8.88 0.0 0.0 1.33 1.31 0.001 0.0 0.0 3.0 PT40_GPS
36.105 37.227 -13.13 7.05 0.0 0.0 1.33 1.32 0.001 0.0 0.0 3.0 PT42_GPS
36.179 37.162 -12.45 7.39 0.0 0.0 1.33 1.31 0.001 0.0 0.0 3.0 PT43_GPS
35.599 37.031 -12.3 7.22 0.0 0.0 1.33 1.31 0.001 0.0 0.0 3.0 PT47_GPS
128.866 71.634 -0.12 -0.02 0.0 0.0 0.97 0.87 0.001 0.0 0.0 3.0 TIXI_GPS
83.235 54.84 0.3 -0.04 0.0 0.0 0.92 0.89 0.001 0.0 0.0 3.0 NVSK_GPS
41.565 43.788 -0.48 0.74 0.0 0.0 1.28 1.24 0.001 0.0 0.0 3.0 ZECK_GPS
30.496 50.364 -0.55 -0.7 0.0 0.0 1.33 1.32 0.001 0.0 0.0 3.0 GLSV_GPS
29.019 41.104 0.13 -1.14 0.0 0.0 0.95 0.94 0.001 0.0 0.0 3.0 ISTA_GPS
26.125 44.463 -0.19 -1.02 0.0 0.0 1.16 1.15 0.001 0.0 0.0 3.0 BUCU_GPS
21.031 52.097 0.21 0.0 0.0 0.0 1.12 1.12 0.001 0.0 0.0 3.0 JOZE_GPS
18.939 69.662 -0.91 0.92 0.0 0.0 1.2 1.23 0.001 0.0 0.0 3.0 TRO1_GPS
17.073 52.276 0.21 -0.08 0.0 0.0 1.05 1.05 0.001 0.0 0.0 3.0 BOR1_GPS
16.704 40.649 1.15 4.52 0.0 0.0 1.34 1.36 0.001 0.0 0.0 3.0 MATE_GPS
15.493 47.067 1.08 0.28 0.0 0.0 1.54 1.54 0.001 0.0 0.0 3.0 GRAZ_GPS
14.785 49.913 0.28 0.07 0.0 0.0 1.22 1.22 0.001 0.0 0.0 3.0 GOPE_GPS
12.878 49.144 0.21 0.38 0.0 0.0 1.24 1.24 0.001 0.0 0.0 3.0 WTZR_GPS
11.925 57.395 -0.49 -0.46 0.0 0.0 0.93 0.94 0.001 0.0 0.0 3.0 ONSA_GPS
7.465 46.877 0.06 0.52 0.0 0.0 0.94 0.93 0.001 0.0 0.0 3.0 ZIMM_GPS
6.604 52.914 0.21 0.77 0.0 0.0 1.04 1.04 0.001 0.0 0.0 3.0 WSRT_GPS
4.359 50.797 0.29 0.3 0.0 0.0 1.39 1.38 0.001 0.0 0.0 3.0 BRUS_GPS
1.48 43.56 -0.19 -0.3 0.0 0.0 1.58 1.57 0.001 0.0 0.0 3.0 TLSE_GPS
0.336 50.867 -0.18 0.38 0.0 0.0 1.23 1.22 0.001 0.0 0.0 3.0 HERS_GPS
