Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
0.336 50.867 -0.37 0.47 0.0 0.0 0.38 0.38 -0.002 0.0 0.0 3.0 HERS_GPS
1.481 43.561 -0.36 0.4 0.0 0.0 0.68 0.68 0.0 0.0 0.0 3.0 TOUL_GPS
1.481 43.561 -0.36 0.4 0.0 0.0 0.68 0.68 0.0 0.0 0.0 3.0 TLSE_GPS
4.359 50.798 -0.27 -0.33 0.0 0.0 0.45 0.44 0.0 0.0 0.0 3.0 BRUS_GPS
5.81 52.178 -0.3 -0.06 0.0 0.0 0.37 0.36 -0.001 0.0 0.0 3.0 KOSG_GPS
6.605 52.915 0.14 0.51 0.0 0.0 0.52 0.52 0.0 0.0 0.0 3.0 WSRT_GPS
6.921 43.755 0.71 0.2 0.0 0.0 0.47 0.46 0.0 0.0 0.0 3.0 GRAS_GPS
7.465 46.877 0.47 0.46 0.0 0.0 0.45 0.45 0.0 0.0 0.0 3.0 ZIMM_GPS
9.672 0.354 -1.24 3.55 0.0 0.0 0.67 0.66 0.001 0.0 0.0 3.0 NKLG_GPS
11.113 44.122 0.13 0.65 0.0 0.0 1.03 1.03 0.001 0.0 0.0 3.0 BRAS_GPS
11.28 48.086 0.39 0.5 0.0 0.0 0.72 0.72 0.0 0.0 0.0 3.0 OBER_GPS
11.647 44.52 3.01 1.36 0.0 0.0 0.49 0.49 0.0 0.0 0.0 3.0 MEDI_GPS
11.865 78.93 -0.29 -0.4 0.0 0.0 0.32 0.32 0.0 0.0 0.0 3.0 NYAL_GPS
11.911 45.385 0.22 1.62 0.0 0.0 0.78 0.78 0.0 0.0 0.0 3.0 VOLT_GPS
11.926 57.395 -1.36 0.11 0.0 0.0 0.38 0.37 0.019 0.0 0.0 3.0 ONSA_GPS
12.291 45.23 -0.95 1.47 0.0 0.0 0.78 0.78 -0.001 0.0 0.0 3.0 SFEL_GPS
12.332 45.437 -3.87 4.24 0.0 0.0 1.15 1.16 0.0 0.0 0.0 3.0 VENE_GPS
12.583 45.479 0.17 2.21 0.0 0.0 0.79 0.79 -0.002 0.0 0.0 3.0 CAVA_GPS
12.879 49.144 0.33 0.47 0.0 0.0 0.46 0.47 0.0 0.0 0.0 3.0 WTZR_GPS
13.066 52.379 0.12 -0.01 0.0 0.0 0.46 0.46 -0.001 0.0 0.0 3.0 POTS_GPS
13.35 42.368 0.84 2.73 0.0 0.0 0.61 0.61 0.0 0.0 0.0 3.0 AQUI_GPS
13.552 -1.632 -1.86 4.87 0.0 0.0 0.76 0.76 0.001 0.0 0.0 3.0 MSKU_GPS
14.786 49.914 0.67 0.05 0.0 0.0 0.44 0.44 0.001 0.0 0.0 3.0 GOPE_GPS
14.99 36.876 -2.18 4.03 0.0 0.0 0.61 0.59 -0.003 0.0 0.0 3.0 NOTO_GPS
14.99 36.876 -2.18 4.03 0.0 0.0 0.61 0.59 -0.003 0.0 0.0 3.0 NOT1_GPS
15.493 47.067 0.78 0.5 0.0 0.0 0.4 0.39 0.0 0.0 0.0 3.0 GRAZ_GPS
16.31 39.201 1.93 3.12 0.0 0.0 0.81 0.8 0.001 0.0 0.0 3.0 COSE_GPS
16.704 40.649 1.43 4.5 0.0 0.0 0.39 0.39 0.001 0.0 0.0 3.0 MATE_GPS
17.073 52.277 0.12 0.2 0.0 0.0 0.45 0.45 0.0 0.0 0.0 3.0 BOR1_GPS
18.414 43.868 3.24 0.1 0.0 0.0 0.67 0.67 -0.001 0.0 0.0 3.0 SRJV_GPS
18.44 -34.188 -0.11 3.18 0.0 0.0 0.95 0.95 0.002 0.0 0.0 3.0 SIMO_GPS
18.938 69.663 -0.62 0.82 0.0 0.0 0.31 0.31 0.006 0.0 0.0 3.0 TROM_GPS
19.282 47.79 2.73 -0.35 0.0 0.0 0.65 0.63 0.0 0.0 0.0 3.0 PENC_GPS
20.665 39.734 -1.25 -2.47 0.0 0.0 0.74 0.65 0.058 0.0 0.0 3.0 KRTS_GPS
20.67 53.892 -0.88 0.3 0.0 0.0 0.43 0.43 -0.001 0.0 0.0 3.0 LAMA_GPS
20.794 41.127 0.44 -2.78 0.0 0.0 0.68 0.67 0.0 0.0 0.0 3.0 ORID_GPS
