Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
11.5901 48.1411 20.38 15.776 0.0 0.0 0.051 0.055 0.001 0.24 0.0 0.262 0256_GPS
12.5657 48.8742 20.532 15.527 0.0 0.0 0.039 0.043 0.001 1.031 0.0 0.285 0257_GPS
11.5061 48.5321 20.311 15.818 0.0 0.0 0.049 0.052 0.001 0.034 0.0 0.307 0258_GPS
10.8934 48.3713 20.011 15.98 0.0 0.0 0.051 0.058 0.001 -0.593 0.0 0.281 0259_GPS
13.4433 48.5684 20.722 15.547 0.0 0.0 0.05 0.051 0.001 -0.107 0.0 0.272 0261_GPS
12.3502 48.1951 20.453 15.756 0.0 0.0 0.043 0.059 0.001 0.336 0.0 0.286 0264_GPS
12.9327 48.4286 20.709 15.495 0.0 0.0 0.049 0.05 0.001 0.353 0.0 0.276 0265_GPS
12.1612 48.5397 20.372 15.658 0.0 0.0 0.045 0.055 0.001 0.573 0.0 0.266 0266_GPS
10.8909 49.889 19.466 15.758 0.0 0.0 0.044 0.062 0.001 0.112 0.0 0.287 0267_GPS
10.1616 49.737 19.434 15.686 0.0 0.0 0.044 0.043 0.001 0.199 0.0 0.275 0268_GPS
10.4156 47.6023 20.163 16.212 0.0 0.0 0.059 0.09 0.001 0.185 0.0 0.342 0269_GPS
11.5679 47.7611 20.578 15.599 0.0 0.0 0.078 0.078 0.001 0.531 0.0 0.286 0270_GPS
11.1431 47.8382 20.476 16.306 0.0 0.0 0.209 0.137 0.001 0.852 0.0 0.613 0271_GPS
12.107 47.8676 20.417 15.76 0.0 0.0 0.045 0.057 0.001 0.239 0.0 0.284 0272_GPS
10.4941 48.042 20.32 15.897 0.0 0.0 0.047 0.051 0.001 0.315 0.0 0.267 0273_GPS
10.2791 48.4529 19.962 15.746 0.0 0.0 0.088 0.105 0.001 -0.207 0.0 0.57 0274_GPS
10.5884 49.3069 19.783 15.844 0.0 0.0 0.062 0.077 0.001 -0.123 0.0 0.365 0275_GPS
10.4987 48.8365 19.984 15.803 0.0 0.0 0.048 0.057 0.001 -0.797 0.0 0.27 0276_GPS
11.197 48.9085 20.073 15.454 0.0 0.0 0.094 0.178 0.001 -0.159 0.0 0.57 0277_GPS
11.8638 48.9385 20.079 15.658 0.0 0.0 0.049 0.059 0.001 0.609 0.0 0.271 0278_GPS
11.4475 49.2826 20.322 15.268 0.0 0.0 0.066 0.051 0.001 0.93 0.0 0.312 0279_GPS
12.1089 49.3256 20.156 15.446 0.0 0.0 0.046 0.051 0.001 0.004 0.0 0.288 0280_GPS
12.5455 49.5119 20.135 15.455 0.0 0.0 0.065 0.064 0.001 0.063 0.0 0.309 0281_GPS
11.6292 49.6904 19.846 15.581 0.0 0.0 0.051 0.051 0.001 0.03 0.0 0.323 0282_GPS
12.2445 49.9544 19.683 15.47 0.0 0.0 0.059 0.065 0.001 0.353 0.0 0.425 0283_GPS
11.4426 50.1038 19.661 15.614 0.0 0.0 0.057 0.039 0.001 0.135 0.0 0.335 0284_GPS
11.1427 47.5093 20.538 15.888 0.0 0.0 0.086 0.09 0.001 0.64 0.0 0.277 0285_GPS
