Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
42.986 42.255 -0.2 3.11 0.0 0.0 0.8 1.02 0.051 4.42 0.0 4.17 GR04_GPS
43.005 42.102 0.98 3.47 0.0 0.0 0.5 0.58 -0.003 7.15 0.0 2.32 GR01_GPS
43.039 42.54 1.06 1.32 0.0 0.0 0.54 0.65 0.019 3.64 0.0 2.35 GR07_GPS
43.134 42.468 1.04 2.08 0.0 0.0 0.35 0.4 -0.045 3.46 0.0 1.44 GR06_GPS
43.183 42.174 0.31 3.35 0.0 0.0 0.45 0.55 -0.068 4.08 0.0 1.88 GR03_GPS
43.28 42.637 -0.02 1.67 0.0 0.0 0.57 0.69 -0.038 -1.06 0.0 2.52 GR08_GPS
43.4 42.5 0.37 1.97 0.0 0.0 0.49 0.59 -0.113 0.2 0.0 2.16 GR09_GPS
43.544 42.563 0.22 0.08 0.0 0.0 0.5 0.57 -0.069 4.67 0.0 2.12 GR10_GPS
43.666 41.317 1.84 4.02 0.0 0.0 0.42 0.48 -0.012 -1.69 0.0 1.62 GJ06_GPS
44.31 41.274 2.17 4.48 0.0 0.0 0.82 0.99 -0.165 1.08 0.0 4.42 GK02_GPS
44.325 41.216 2.97 3.72 0.0 0.0 0.56 0.66 0.064 1.68 0.0 2.46 GK01_GPS
44.418 41.379 2.38 4.01 0.0 0.0 0.51 0.57 -0.062 3.47 0.0 2.3 GK03_GPS
44.468 42.525 0.1 3.81 0.0 0.0 0.59 0.58 -0.198 -0.72 0.0 2.21 GK14_GPS
44.502 41.558 2.71 4.56 0.0 0.0 0.59 0.74 0.041 3.98 0.0 2.66 GK04_GPS
44.509 41.689 1.03 5.53 0.0 0.0 0.4 0.46 -0.025 1.01 0.0 1.59 GK06_GPS
44.672 42.225 -0.25 2.99 0.0 0.0 0.46 0.55 -0.08 6.16 0.0 2.24 GK11_GPS
44.688 42.304 -0.69 3.54 0.0 0.0 0.75 0.88 -0.022 3.27 0.0 4.67 GK12_GPS
43.353 42.324 0.23 2.43 0.0 0.0 0.25 0.26 0.007 3.02 0.0 0.93 SARK_GPS
43.493 41.41 1.77 4.2 0.0 0.0 0.17 0.16 -0.001 -1.7 0.0 0.49 AKAL_GPS
44.72 41.92 0.03 4.15 0.0 0.0 0.26 0.32 0.004 2.05 0.0 0.85 NTKT_GPS
44.102 41.539 0.42 3.67 0.0 0.0 0.15 0.17 0.003 0.69 0.0 0.42 TRLT_GPS
44.807 41.702 0.95 5.27 0.0 0.0 0.14 0.18 0.006 0.81 0.0 0.44 TBIL_GPS
44.491 42.444 -0.44 2.92 0.0 0.0 0.13 0.13 0.007 0.79 0.0 0.28 GUDA_GPS
44.968 42.11 0.09 3.6 0.0 0.0 0.17 0.26 0.003 0.88 0.0 0.39 TIAN_GPS
44.429 41.92 0.16 3.53 0.0 0.0 0.2 0.25 0.003 0.83 0.0 0.64 KASP_GPS
41.631 42.968 0.71 2.78 0.0 0.0 0.2 0.28 0.002 0.39 0.0 0.25 AKHA_GPS
11.926 57.395 -0.24 -0.88 0.0 0.0 0.07 0.09 -0.038 2.89 0.0 0.2 ONSA_GPS
14.99 36.876 -0.89 4.53 0.0 0.0 0.08 0.08 0.024 -1.1 0.0 0.2 NOT1_GPS
23.395 42.556 1.0 -2.42 0.0 0.0 0.59 0.6 -0.001 4.03 0.0 1.24 SOFI_GPS
26.126 44.464 0.01 -1.36 0.0 0.0 0.08 0.08 -0.006 2.42 0.0 0.25 BUCU_GPS
31.973 46.973 -0.04 -0.63 0.0 0.0 0.08 0.14 -0.001 0.17 0.0 0.18 MIKL_GPS
32.758 39.887 -23.19 -1.57 0.0 0.0 0.16 0.3 0.0 -0.94 0.0 0.52 ANKR_GPS
