Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
47.229 -19.018 1.46 -0.25 0.0 0.0 0.17 0.16 0.001 0.0 0.0 3.0 ABPO_GPS
38.766 9.035 -0.69 -0.16 0.0 0.0 0.55 0.54 0.016 0.0 0.0 3.0 ADD1_GPS
38.766 9.035 0.26 1.34 0.0 0.0 0.53 0.51 0.008 0.0 0.0 3.0 ADIS_GPS
46.194 -22.366 -0.44 -1.1 0.0 0.0 0.55 0.53 0.028 0.0 0.0 3.0 AMBI_GPS
48.469 -14.762 2.6 -1.09 0.0 0.0 0.75 0.71 -0.001 0.0 0.0 3.0 ANOM_GPS
48.067 -21.381 2.23 -0.65 0.0 0.0 0.54 0.52 0.027 0.0 0.0 3.0 ANTA_GPS
49.327 -12.315 4.78 -0.96 0.0 0.0 0.77 0.72 0.018 0.0 0.0 3.0 ANTS_GPS
37.561 6.062 1.83 2.43 0.0 0.0 0.58 0.57 0.008 0.0 0.0 3.0 ARMI_GPS
36.713 -3.409 1.1 1.58 0.0 0.0 0.87 0.7 0.112 0.0 0.0 3.0 ARS1_GPS
42.654 13.063 15.58 12.49 0.0 0.0 0.21 0.21 0.002 0.0 0.0 3.0 ASAB_GPS
-14.412 -7.951 -28.23 -6.65 0.0 0.0 0.11 0.1 -0.004 0.0 0.0 3.0 ASC1_GPS
35.754 -4.179 1.84 -0.52 0.0 0.0 0.45 0.38 0.017 0.0 0.0 3.0 BABT_GPS
29.893 0.35 3.63 1.85 0.0 0.0 0.69 0.67 0.019 0.0 0.0 3.0 BAKC_GPS
37.36 11.6 -2.25 -0.35 0.0 0.0 0.08 0.06 -0.015 0.0 0.0 3.0 BDAR_GPS
33.457 -8.914 2.56 -0.44 0.0 0.0 0.47 0.44 0.01 0.0 0.0 3.0 BEYA_GPS
2.001 7.182 1.12 0.66 0.0 0.0 0.19 0.29 -0.001 0.0 0.0 3.0 BJAB_GPS
2.45 6.385 0.43 0.12 0.0 0.0 0.16 0.26 -0.002 0.0 0.0 3.0 BJCO_GPS
2.928 11.125 1.15 0.02 0.0 0.0 0.22 0.33 -0.001 0.0 0.0 3.0 BJKA_GPS
3.204 9.951 0.46 0.11 0.0 0.0 0.24 0.32 -0.001 0.0 0.0 3.0 BJNI_GPS
2.626 9.358 0.65 0.09 0.0 0.0 0.19 0.25 -0.002 0.0 0.0 3.0 BJPA_GPS
1.993 7.928 0.33 0.28 0.0 0.0 0.19 0.22 -0.002 0.0 0.0 3.0 BJSA_GPS
4.229 12.469 1.12 0.07 0.0 0.0 0.25 0.23 0.001 0.0 0.0 3.0 BKFP_GPS
39.282 8.472 3.46 0.52 0.0 0.0 0.69 0.64 0.012 0.0 0.0 3.0 BOKU_GPS
9.118 10.123 2.69 -2.42 0.0 0.0 0.59 1.07 0.001 0.0 0.0 3.0 CGGN_GPS
9.118 10.123 2.69 -2.42 0.0 0.0 0.59 1.07 0.001 0.0 0.0 3.0 CGGT_GPS
-17.465 14.685 0.75 -1.31 0.0 0.0 0.45 0.85 0.0 0.0 0.0 3.0 DAKA_GPS
39.483 13.481 1.31 -1.05 0.0 0.0 0.33 0.34 0.0 0.0 0.0 3.0 DAKE_GPS
42.034 9.423 7.31 0.0 0.0 0.0 1.45 1.31 -0.016 0.0 0.0 3.0 DAMY_GPS
23.993 -30.665 -0.11 0.91 0.0 0.0 0.09 0.08 -0.002 0.0 0.0 3.0 DEAR_GPS
12.606 13.312 -0.7 -0.4 0.0 0.0 0.57 0.54 -0.006 0.0 0.0 3.0 DIFA_GPS
1.662 9.692 0.01 -0.41 0.0 0.0 0.19 0.16 -0.003 0.0 0.0 3.0 DJO1_GPS
1.662 9.692 0.01 -0.41 0.0 0.0 0.19 0.16 -0.003 0.0 0.0 3.0 DJOU_GPS
35.748 -6.17 2.81 0.47 0.0 0.0 0.3 0.24 0.023 0.0 0.0 3.0 DOD2_GPS
35.748 -6.17 2.81 0.47 0.0 0.0 0.3 0.24 0.023 0.0 0.0 3.0 DODC_GPS
35.748 -6.186 3.41 0.44 0.0 0.0 0.24 0.39 0.002 0.0 0.0 3.0 DODM_GPS
32.445 0.038 2.46 -1.03 0.0 0.0 0.63 0.6 0.008 0.0 0.0 3.0 EBBE_GPS
35.277 0.519 2.34 1.81 0.0 0.0 0.53 0.42 -0.019 0.0 0.0 3.0 ELDS_GPS
29.88 0.375 1.21 1.75 0.0 0.0 1.06 0.98 0.025 0.0 0.0 3.0 ELE2_GPS
35.277 -4.164 2.43 -0.49 0.0 0.0 0.5 0.41 0.012 0.0 0.0 3.0 EMSK_GPS
38.763 9.02 0.04 0.98 0.0 0.0 0.16 0.21 0.002 0.0 0.0 3.0 ETAD_GPS
41.858 9.613 3.79 -1.27 0.0 0.0 0.22 0.23 0.001 0.0 0.0 3.0 ETDD_GPS
36.817 7.668 -0.58 -0.56 0.0 0.0 0.15 0.13 0.003 0.0 0.0 3.0 ETJI_GPS
29.891 0.347 -0.29 0.77 0.0 0.0 0.61 0.61 0.031 0.0 0.0 3.0 FFPS_GPS
12.498 9.35 0.9 0.2 0.0 0.0 0.31 0.22 0.001 0.0 0.0 3.0 FUTY_GPS
-0.006 16.252 0.2 -0.11 0.0 0.0 0.19 0.21 -0.001 0.0 0.0 3.0 GAO0_GPS
-0.006 16.252 0.2 -0.11 0.0 0.0 0.19 0.21 -0.001 0.0 0.0 3.0 GAO1_GPS
36.114 -2.726 2.43 1.81 0.0 0.0 0.31 0.25 0.032 0.0 0.0 3.0 GEL2_GPS
36.04 -2.748 2.21 1.01 0.0 0.0 0.39 0.3 0.0 0.0 0.0 3.0 GEL3_GPS
36.006 -2.63 1.95 2.47 0.0 0.0 0.33 0.27 0.01 0.0 0.0 3.0 GEL4_GPS
27.707 -25.887 0.46 0.51 0.0 0.0 0.52 0.52 0.003 0.0 0.0 3.0 HARB_GPS
27.708 -25.887 0.28 0.53 0.0 0.0 0.1 0.09 -0.001 0.0 0.0 3.0 HART_GPS
37.567 -3.382 3.35 -0.06 0.0 0.0 0.43 0.25 0.098 0.0 0.0 3.0 HIMO_GPS
38.035 -5.443 2.62 0.15 0.0 0.0 0.82 0.64 0.091 0.0 0.0 3.0 HNDI_GPS
19.223 -34.425 -0.84 1.17 0.0 0.0 0.12 0.09 -0.002 0.0 0.0 3.0 HNUS_GPS
27.687 -25.89 0.58 0.45 0.0 0.0 0.48 0.48 0.003 0.0 0.0 3.0 HRAO_GPS
35.383 -23.871 -0.19 -0.03 0.0 0.0 0.24 0.23 0.009 0.0 0.0 3.0 INHB_GPS
31.275 -8.086 1.58 0.72 0.0 0.0 0.76 0.67 0.02 0.0 0.0 3.0 KALA_GPS
36.3 -2.824 4.02 0.19 0.0 0.0 1.52 1.21 0.045 0.0 0.0 3.0 KETC_GPS
35.103 -9.547 4.22 0.69 0.0 0.0 0.65 0.38 0.001 0.0 0.0 3.0 KFNY_GPS
29.637 -4.866 1.51 0.81 0.0 0.0 0.81 0.68 0.012 0.0 0.0 3.0 KIG2_GPS
39.522 -8.926 0.73 -2.38 0.0 0.0 0.74 0.51 -0.054 0.0 0.0 3.0 KILW_GPS
33.912 -6.134 1.37 -1.15 0.0 0.0 0.32 0.24 -0.024 0.0 0.0 3.0 KIOM_GPS
36.857 -1.25 4.98 1.2 0.0 0.0 0.11 0.07 0.012 0.0 0.0 3.0 KISM_GPS
35.242 -1.835 0.05 0.99 0.0 0.0 0.54 0.43 0.012 0.0 0.0 3.0 KLCP_GPS
38.435 -5.155 3.17 1.04 0.0 0.0 0.51 0.41 0.036 0.0 0.0 3.0 KRGW_GPS
35.671 -3.374 2.7 1.81 0.0 0.0 0.88 0.7 -0.004 0.0 0.0 3.0 KRT2_GPS
35.671 -3.374 2.7 1.81 0.0 0.0 0.88 0.7 -0.004 0.0 0.0 3.0 KRTU_GPS
34.756 -0.104 2.57 1.31 0.0 0.0 0.22 0.17 0.015 0.0 0.0 3.0 KSMU_GPS
36.3 -2.824 4.02 0.19 0.0 0.0 1.52 1.21 0.045 0.0 0.0 3.0 KTBE_GPS
33.765 -9.583 1.48 -0.77 0.0 0.0 0.52 0.48 -0.008 0.0 0.0 3.0 KYEL_GPS
36.683 -2.693 2.01 0.47 0.0 0.0 0.46 0.35 0.028 0.0 0.0 3.0 LGDO_GPS
35.628 -2.049 3.15 1.34 0.0 0.0 0.36 0.29 -0.035 0.0 0.0 3.0 LLND_GPS
33.789 -13.947 -0.56 0.52 0.0 0.0 0.16 0.16 0.004 0.0 0.0 3.0 LLNG_GPS
35.628 -2.049 3.15 1.34 0.0 0.0 0.36 0.29 -0.035 0.0 0.0 3.0 LND2_GPS
36.041 -2.745 2.21 1.01 0.0 0.0 0.39 0.3 0.0 0.0 0.0 3.0 LWDC_GPS
38.055 -9.484 1.71 2.39 0.0 0.0 0.63 0.46 0.159 0.0 0.0 3.0 LWLE_GPS
34.738 -8.84 3.18 -1.37 0.0 0.0 0.38 0.3 0.057 0.0 0.0 3.0 MAK2_GPS
34.738 -8.84 3.18 -1.37 0.0 0.0 0.38 0.3 0.057 0.0 0.0 3.0 MAKA_GPS
