Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
88.936 26.965 14.02 34.68 0.0 0.0 1.1 0.7 0.001 0.0 0.0 3.0 w001_GPS
88.791 27.01 11.92 34.15 0.0 0.0 1.7 1.4 0.001 0.0 0.0 3.0 w002_GPS
88.753 26.881 15.64 37.8 0.0 0.0 1.0 0.6 0.001 0.0 0.0 3.0 w003_GPS
88.738 26.751 16.05 38.85 0.0 0.0 1.1 0.8 0.001 0.0 0.0 3.0 w004_GPS
88.702 27.024 8.48 33.69 0.0 0.0 1.4 0.9 0.001 0.0 0.0 3.0 w005_GPS
88.569 26.889 6.17 37.4 0.0 0.0 1.5 1.1 0.001 0.0 0.0 3.0 w006_GPS
88.35 26.711 7.96 36.35 0.0 0.0 1.9 1.5 0.001 0.0 0.0 3.0 w007_GPS
88.185 26.883 7.13 37.78 0.0 0.0 1.4 1.0 0.001 0.0 0.0 3.0 w008_GPS
83.953 29.178 4.56 24.85 0.0 0.0 1.59 1.13 0.001 0.0 0.0 3.0 w009_GPS
86.904 30.445 13.46 22.21 0.0 0.0 0.59 0.52 0.001 0.0 0.0 3.0 w010_GPS
85.057 30.729 9.03 21.78 0.0 0.0 0.59 0.5 0.001 0.0 0.0 3.0 w011_GPS
81.926 32.047 2.08 18.88 0.0 0.0 1.55 1.43 0.001 0.0 0.0 3.0 w012_GPS
84.043 29.534 8.48 25.28 0.0 0.0 0.68 0.53 0.001 0.0 0.0 3.0 w013_GPS
86.94 28.357 10.83 26.2 0.0 0.0 0.54 0.45 0.001 0.0 0.0 3.0 w014_GPS
86.813 27.958 8.44 27.54 0.0 0.0 1.2 0.6 0.001 0.0 0.0 3.0 w015_GPS
106.223 45.804 2.64 -0.9 0.0 0.0 1.1 1.0 0.001 0.0 0.0 3.0 w016_GPS
85.792 20.263 14.11 35.36 0.0 0.0 1.13 1.09 0.001 0.0 0.0 3.0 w017_GPS
79.876 23.129 11.7 29.88 0.0 0.0 1.62 1.54 0.001 0.0 0.0 3.0 w018_GPS
86.444 23.815 13.48 33.15 0.0 0.0 1.31 1.27 0.001 0.0 0.0 3.0 w019_GPS
78.608 25.452 9.76 32.58 0.0 0.0 0.88 0.84 0.001 0.0 0.0 3.0 w020_GPS
91.885 25.566 11.26 34.26 0.0 0.0 0.29 0.26 0.001 0.0 0.0 3.0 w021_GPS
91.661 26.153 11.68 33.15 0.0 0.0 0.14 0.12 0.001 0.0 0.0 3.0 w022_GPS
94.475 26.22 9.81 27.37 0.0 0.0 0.14 0.13 0.001 0.0 0.0 3.0 w023_GPS
92.78 26.618 13.09 30.35 0.0 0.0 0.13 0.12 0.001 0.0 0.0 3.0 w024_GPS
89.392 26.849 16.22 31.72 0.0 0.0 1.56 1.48 0.001 0.0 0.0 3.0 w025_GPS
80.943 26.891 10.38 32.79 0.0 0.0 1.04 1.01 0.001 0.0 0.0 3.0 w026_GPS
