Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
47.23 -19.02 18.28 14.05 0.0 0.0 0.2 0.34 -0.003 0.0 0.0 3.0 ABPO_GPS
38.77 9.04 24.25 18.88 0.0 0.0 0.22 0.18 -0.044 0.0 0.0 3.0 ADIS_GPS
29.91 31.2 31.59 14.66 0.0 0.0 1.07 0.89 -0.001 0.0 0.0 3.0 ALEX_GPS
48.07 -21.38 17.81 14.36 0.0 0.0 0.72 0.64 0.034 0.0 0.0 3.0 ANTA_GPS
37.56 6.06 28.03 16.19 0.0 0.0 0.58 0.67 -0.004 0.0 0.0 3.0 ARMI_GPS
36.71 -3.41 24.01 17.59 0.0 0.0 0.46 0.38 0.125 0.0 0.0 3.0 ARS1_GPS
35.75 -4.18 23.44 17.39 0.0 0.0 0.45 0.38 0.012 0.0 0.0 3.0 BABT_GPS
29.89 0.35 24.79 18.66 0.0 0.0 0.28 0.26 0.006 0.0 0.0 3.0 BAKC_GPS
37.36 11.6 21.57 17.67 0.0 0.0 0.22 0.24 -0.036 0.0 0.0 3.0 BDAR_GPS
33.46 -8.91 22.1 17.42 0.0 0.0 0.36 0.28 0.011 0.0 0.0 3.0 BEYA_GPS
2.0 7.18 22.23 19.82 0.0 0.0 0.38 0.24 0.031 0.0 0.0 3.0 BJAB_GPS
2.45 6.38 21.82 19.41 0.0 0.0 0.28 0.29 0.033 0.0 0.0 3.0 BJCO_GPS
2.93 11.12 22.41 19.11 0.0 0.0 0.38 0.37 0.02 0.0 0.0 3.0 BJKA_GPS
3.2 9.95 21.93 19.21 0.0 0.0 0.52 0.36 0.016 0.0 0.0 3.0 BJNI_GPS
2.63 9.36 21.46 18.95 0.0 0.0 0.3 0.2 0.046 0.0 0.0 3.0 BJPA_GPS
1.99 7.93 21.4 19.4 0.0 0.0 0.35 0.24 0.034 0.0 0.0 3.0 BJSA_GPS
4.23 12.47 22.83 19.11 0.0 0.0 0.52 0.29 0.021 0.0 0.0 3.0 BKFP_GPS
9.12 10.12 22.65 18.54 0.0 0.0 0.55 0.42 0.01 0.0 0.0 3.0 CGGN_GPS
9.12 10.12 22.65 18.54 0.0 0.0 0.55 0.42 0.01 0.0 0.0 3.0 CGGT_GPS
8.35 4.95 24.08 18.28 0.0 0.0 0.9 0.95 0.005 0.0 0.0 3.0 CLBR_GPS
-17.47 14.68 20.58 12.05 0.0 0.0 0.9 0.72 0.016 0.0 0.0 3.0 DAKA_GPS
39.48 13.48 24.66 15.05 0.0 0.0 1.15 1.37 -0.002 0.0 0.0 3.0 DAKE_GPS
42.03 9.42 28.55 18.04 0.0 0.0 0.46 0.3 -0.017 0.0 0.0 3.0 DAMY_GPS
23.99 -30.67 16.89 19.21 0.0 0.0 0.1 0.09 0.027 0.0 0.0 3.0 DEAR_GPS
12.61 13.31 21.3 19.39 0.0 0.0 0.58 0.36 0.002 0.0 0.0 3.0 DIFA_GPS
1.66 9.69 21.22 19.0 0.0 0.0 0.18 0.15 0.113 0.0 0.0 3.0 DJO1_GPS
1.66 9.69 21.22 19.0 0.0 0.0 0.18 0.15 0.113 0.0 0.0 3.0 DJOU_GPS
35.75 -6.17 24.25 17.57 0.0 0.0 0.26 0.22 0.002 0.0 0.0 3.0 DODC_GPS
35.75 -6.19 23.87 16.89 0.0 0.0 0.34 0.51 0.001 0.0 0.0 3.0 DODM_GPS
32.44 0.04 24.77 16.41 0.0 0.0 0.27 0.3 -0.005 0.0 0.0 3.0 EBBE_GPS
35.28 0.52 24.64 19.26 0.0 0.0 0.44 0.35 -0.019 0.0 0.0 3.0 ELDS_GPS
29.88 0.37 23.85 18.15 0.0 0.0 0.54 0.54 0.012 0.0 0.0 3.0 ELEX_GPS
35.28 -4.16 24.05 17.48 0.0 0.0 0.5 0.41 0.009 0.0 0.0 3.0 EMSK_GPS
38.76 9.02 23.32 17.6 0.0 0.0 0.21 0.29 -0.03 0.0 0.0 3.0 ETAD_GPS
41.86 9.61 27.57 15.2 0.0 0.0 0.26 0.24 -0.035 0.0 0.0 3.0 ETDD_GPS
36.82 7.67 22.62 17.44 0.0 0.0 0.56 0.54 -0.005 0.0 0.0 3.0 ETJI_GPS
29.89 0.35 24.79 18.66 0.0 0.0 0.28 0.26 0.006 0.0 0.0 3.0 FFPS_GPS
-16.91 32.65 14.13 18.48 0.0 0.0 0.44 0.44 0.033 0.0 0.0 3.0 FUNC_GPS
12.5 9.35 23.81 18.56 0.0 0.0 0.91 0.3 0.007 0.0 0.0 3.0 FUTY_GPS
-0.01 16.25 20.27 19.16 0.0 0.0 0.2 0.19 0.098 0.0 0.0 3.0 GAO0_GPS
-0.01 16.25 20.27 19.16 0.0 0.0 0.2 0.19 0.098 0.0 0.0 3.0 GAO1_GPS
36.11 -2.73 23.98 16.8 0.0 0.0 0.66 0.52 0.031 0.0 0.0 3.0 GEL2_GPS
32.22 -2.88 24.81 19.12 0.0 0.0 0.95 0.88 0.001 0.0 0.0 3.0 GETA_GPS
-15.63 27.76 16.15 17.51 0.0 0.0 0.19 0.17 0.198 0.0 0.0 3.0 GMAS_GPS
