Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
74.336 39.842 0.17 13.79 0.0 0.0 0.56 0.503 0.0 0.0 0.0 3.0 I089_GPS
74.427 39.025 -2.62 19.14 0.0 0.0 1.401 1.504 0.0 0.0 0.0 3.0 I399_GPS
74.833 38.862 -1.23 19.96 0.0 0.0 1.184 1.085 0.0 0.0 0.0 3.0 I402_GPS
74.925 38.225 -0.3 20.57 0.0 0.0 1.474 0.868 0.0 0.0 0.0 3.0 I403_GPS
74.951 38.662 -4.62 20.27 0.0 0.0 0.506 0.582 0.0 0.0 0.0 3.0 I090_GPS
74.971 38.651 -2.76 19.65 0.0 0.0 0.25 0.238 0.0 0.0 0.0 3.0 XJBL_GPS
75.234 37.775 -2.61 21.43 0.0 0.0 0.042 0.037 0.0 0.0 0.0 3.0 TASH_GPS
75.238 39.74 1.79 12.47 0.0 0.0 0.174 0.208 0.0 0.0 0.0 3.0 XJWU_GPS
75.25 39.718 -0.11 12.42 0.0 0.0 0.457 0.643 0.0 0.0 0.0 3.0 I078_GPS
75.367 40.501 0.95 11.26 0.0 0.0 1.038 1.007 0.0 0.0 0.0 3.0 I392_GPS
75.383 37.354 0.24 21.76 0.0 0.0 2.036 0.932 0.0 0.0 0.0 3.0 I410_GPS
75.401 38.96 2.33 21.66 0.0 0.0 2.046 0.861 0.0 0.0 0.0 3.0 I401_GPS
75.447 36.851 -4.08 21.24 0.0 0.0 0.657 0.68 0.0 0.0 0.0 3.0 I088_GPS
75.579 39.321 3.48 18.72 0.0 0.0 1.702 0.895 0.0 0.0 0.0 3.0 I397_GPS
75.768 37.84 1.01 21.78 0.0 0.0 1.346 1.83 0.0 0.0 0.0 3.0 I407_GPS
75.899 39.196 1.65 19.46 0.0 0.0 0.419 0.456 0.0 0.0 0.0 3.0 I081_GPS
75.923 39.517 2.45 16.99 0.0 0.0 0.41 0.442 0.0 0.0 0.0 3.0 JB48_GPS
76.009 39.56 2.11 15.69 0.0 0.0 0.878 0.983 0.0 0.0 0.0 3.0 I396_GPS
76.162 38.669 0.07 21.19 0.0 0.0 1.653 1.769 0.0 0.0 0.0 3.0 J307_GPS
76.174 38.935 -0.25 19.55 0.0 0.0 0.457 0.527 0.0 0.0 0.0 3.0 I083_GPS
76.512 39.806 3.99 14.57 0.0 0.0 0.61 0.401 0.0 0.0 0.0 3.0 I077_GPS
76.661 38.38 1.12 20.74 0.0 0.0 1.29 0.782 0.0 0.0 0.0 3.0 I404_GPS
76.734 39.497 0.55 17.33 0.0 0.0 0.669 0.364 0.0 0.0 0.0 3.0 I079_GPS
76.889 40.204 0.8 13.77 0.0 0.0 0.506 0.303 0.0 0.0 0.0 3.0 I074_GPS
76.981 36.848 -1.41 19.53 0.0 0.0 1.236 1.395 0.0 0.0 0.0 3.0 I413_GPS
77.005 36.577 -3.62 20.33 0.0 0.0 0.567 0.374 0.0 0.0 0.0 3.0 J047_GPS
77.04 37.138 -0.75 19.41 0.0 0.0 2.232 0.976 0.0 0.0 0.0 3.0 I411_GPS
77.277 38.174 -1.23 20.15 0.0 0.0 0.412 0.401 0.0 0.0 0.0 3.0 I084_GPS
77.356 37.501 -0.04 19.69 0.0 0.0 1.118 0.871 0.0 0.0 0.0 3.0 I409_GPS
77.444 39.631 2.0 16.31 0.0 0.0 1.118 0.871 0.0 0.0 0.0 3.0 I395_GPS
77.446 37.85 0.05 19.1 0.0 0.0 0.205 0.197 0.0 0.0 0.0 3.0 XJYC_GPS
77.622 40.343 3.83 14.79 0.0 0.0 2.008 1.313 0.0 0.0 0.0 3.0 I393_GPS
77.624 38.904 -1.02 18.96 0.0 0.0 0.511 0.503 0.0 0.0 0.0 3.0 I082_GPS
77.838 37.394 -0.52 18.95 0.0 0.0 0.669 1.089 0.0 0.0 0.0 3.0 I416_GPS
77.844 35.568 -1.85 18.68 0.0 0.0 2.25 1.398 0.0 0.0 0.0 3.0 J303_GPS
77.949 40.877 3.63 14.38 0.0 0.0 1.226 1.602 0.0 0.0 0.0 3.0 I388_GPS
78.037 39.714 0.04 17.42 0.0 0.0 0.386 0.286 0.0 0.0 0.0 3.0 I075_GPS
78.069 36.338 -0.09 18.72 0.0 0.0 1.005 1.514 0.0 0.0 0.0 3.0 I419_GPS
78.246 37.559 -1.51 19.05 0.0 0.0 0.565 0.412 0.0 0.0 0.0 3.0 I086_GPS
