Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
356.91138 40.52490 18.81 16.39 0.00 0.00 0.35 0.35 0.007 0.02 0.00 1.07 YEBE_GPS
356.04802 40.44360 18.25 16.54 0.00 0.00 0.38 0.38 0.018 1.48 0.00 1.22 VILL_GPS
353.14571 33.99811 16.42 18.02 0.00 0.00 0.4 0.39 0.010 -0.03 0.00 1.21 RABT_GPS
344.36673 27.76374 16.56 17.34 0.00 0.00 0.38 0.37 0.049 0.35 0.00 1.20 MAS1_GPS
91.10403 29.65733 45.55 15.32 0.00 0.00 0.52 0.52 -0.009 1.60 0.00 1.70 LHAZ_GPS
77.57038 13.02117 42.48 35.32 0.00 0.00 0.41 0.39 -0.021 -0.48 0.00 1.27 IISC_GPS
74.69427 42.67977 27.59 4.65 0.00 0.00 0.34 0.34 0.005 -0.16 0.00 1.03 POL2_GPS
72.37024 -7.26968 46.83 33.36 0.00 0.00 0.4 0.4 -0.017 0.46 0.00 1.31 DGAR_GPS
66.88545 39.13477 27.34 4.52 0.00 0.00 0.41 0.41 0.011 -0.79 0.00 1.31 KIT3_GPS
58.56046 56.42982 25.11 6.54 0.00 0.00 0.34 0.34 0.031 -0.37 0.00 1.03 ARTU_GPS
56.11234 22.18646 34.05 31.58 0.00 0.00 0.55 0.53 -0.038 -0.44 0.00 1.82 YIBL_GPS
55.57172 -21.20822 17.04 11.73 0.00 0.00 0.34 0.35 -0.011 -1.33 0.00 1.10 REUN_GPS
47.97150 29.32497 28.25 29.34 0.00 0.00 0.4 0.4 0.002 -2.61 0.00 1.29 KUWT_GPS
46.40057 24.91068 32.02 29.46 0.00 0.00 0.5 0.5 -0.005 -1.60 0.00 1.57 SOLA_GPS
44.43841 33.34142 24.91 28.34 0.00 0.00 0.38 0.39 -0.005 -0.61 0.00 1.21 ISBA_GPS
42.04465 19.21143 34.71 27.68 0.00 0.00 0.62 0.59 -0.001 1.52 0.00 1.94 NAMA_GPS
36.37770 26.45833 28.30 24.34 0.00 0.00 0.51 0.5 -0.002 0.18 0.00 1.60 ALWJ_GPS
36.09992 29.13887 26.49 23.62 0.01 0.00 0.41 0.41 -0.005 0.30 0.00 1.30 HALY_GPS
35.49272 29.26486 25.71 23.84 0.00 0.00 0.59 0.59 0.021 -1.02 0.00 2.02 GA12_GPS
35.47770 29.00512 27.59 24.98 0.00 0.00 0.59 0.59 -0.002 -2.33 0.00 2.02 GA11_GPS
35.45535 28.27296 27.66 24.80 0.00 0.00 0.59 0.58 -0.003 -2.98 0.00 1.98 GA23_GPS
35.39207 31.59320 23.07 20.42 0.00 0.00 0.34 0.34 -0.001 3.09 0.01 1.05 DRAG_GPS
35.27665 29.30600 26.47 23.99 0.01 0.00 0.59 0.59 -0.003 -1.01 0.00 2.01 GA13_GPS
35.21724 28.90929 27.01 23.72 -0.01 0.00 0.61 0.6 -0.011 -0.32 0.00 2.10 GA07_GPS
35.19353 28.08467 26.59 23.65 0.01 0.00 0.6 0.59 -0.004 -0.70 0.00 2.00 GA22_GPS
35.14489 29.32108 25.94 22.55 0.01 0.00 0.62 0.61 0.001 -0.30 0.00 2.15 GA14_GPS
35.10675 28.68530 26.88 25.25 0.00 0.00 0.6 0.59 -0.006 -1.13 0.00 2.02 GA09_GPS
35.10210 29.05163 26.42 23.66 0.00 0.00 0.56 0.56 -0.002 1.42 0.00 1.85 GA08_GPS
35.09959 28.75394 27.74 23.61 0.00 0.00 0.61 0.6 -0.003 -2.75 0.00 2.09 GA10_GPS
35.08500 28.92467 26.98 25.23 0.00 0.00 0.56 0.56 -0.017 0.90 0.00 1.87 GA06_GPS
