Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
43.98860 38.65732 12.51 -8.10 0.00 0.00 0.36 0.37 0.020 -1.39 0.00 20.40 OZAL_GVN
43.95440 40.60902 22.21 -17.57 0.00 0.00 0.33 0.46 0.000 -0.51 0.00 -0.51 ARTI_GPS
43.95100 40.10813 21.69 -18.55 0.00 0.00 0.57 0.59 0.010 -0.39 0.00 -0.39 SA14_GPS
43.95090 40.10831 21.37 -17.25 0.00 0.00 0.35 0.36 0.020 1.49 0.00 1.49 SA10_GPS
43.89110 41.53702 23.26 -20.68 0.00 0.00 0.5 0.7 -0.020 0.51 0.00 0.51 NINO_GPS
43.86400 41.46125 20.25 -22.83 0.00 0.00 0.66 0.73 0.000 -0.01 0.00 -0.01 GJ08_GPS
43.80730 40.09715 21.30 -17.37 0.00 0.00 0.34 0.36 0.020 2.61 0.00 2.61 SA20_GPS
43.80720 40.09746 21.08 -18.59 0.00 0.00 0.56 0.59 0.010 1.22 0.00 1.22 SA24_GPS
43.78200 41.12126 23.24 -17.57 0.00 0.00 0.35 0.38 0.010 -6.00 0.00 -6.00 BAV0_GPS
43.78190 41.12135 23.40 -18.75 0.00 0.00 0.55 0.58 0.000 0.44 0.00 0.44 BAV4_GPS
43.76790 40.97235 22.20 -17.74 0.00 0.00 0.55 0.44 -0.010 -0.63 0.00 -0.63 AMSI_GPS
43.76310 38.99010 15.35 -14.02 0.00 0.00 0.68 0.7 0.000 -0.79 0.00 0.20 MURA_GSU
43.76310 38.99010 15.35 -14.02 0.00 0.00 0.68 0.7 0.000 -0.79 0.00 0.20 MURA_GTO
43.76250 38.99193 17.26 -17.63 0.00 0.00 0.55 0.56 0.010 0.63 0.00 62.81 MUR1_GVN
43.75860 38.99666 15.44 -12.96 0.00 0.00 0.43 0.46 -0.030 -0.64 0.00 -0.64 MRAD_GPS
43.75300 42.97790 26.91 -24.27 0.00 0.00 0.86 2.03 -0.040 1.72 0.00 1.72 MATS_GPS
43.73910 37.57432 12.96 -25.47 0.00 0.00 0.88 0.62 0.010 -0.18 0.00 25.58 HAKK_GE8
43.73910 37.57432 12.96 -25.47 0.00 0.00 0.88 0.62 0.010 -0.18 0.00 25.58 HAKK_GVN
43.66560 41.31739 22.82 -20.07 0.00 0.00 0.79 0.85 0.000 -2.07 0.00 -2.07 GJ06_GPS
43.66560 41.31739 22.82 -20.07 0.00 0.00 0.79 0.85 0.000 -2.07 0.00 -2.07 GJ06_GVN
43.64340 41.21535 23.80 -20.72 0.00 0.00 0.88 0.93 0.010 -0.27 0.00 -0.27 GJ09_GPS
43.64340 41.21535 23.80 -20.72 0.00 0.00 0.88 0.93 0.010 -0.27 0.00 -0.27 GJ09_GVN
43.55310 41.27445 22.19 -20.20 0.00 0.00 0.82 0.87 -0.030 -1.11 0.00 -1.11 GJ05_GPS
43.55310 41.27445 22.19 -20.20 0.00 0.00 0.82 0.87 -0.030 -1.11 0.00 -1.11 GJ05_GVN
43.54350 42.56341 24.86 -23.91 0.00 0.00 0.73 0.81 -0.040 2.82 0.00 2.82 GR10_GG6
43.53990 42.48545 25.94 -22.97 0.00 0.00 1.12 1.18 -0.030 2.93 0.00 2.93 LESO_GPS
43.49260 41.41012 23.74 -18.60 0.00 0.00 0.64 0.66 0.000 -0.76 0.00 1.32 AKAL_GSU
43.40090 42.48827 23.87 -19.57 0.00 0.00 1.39 1.43 -0.010 4.12 0.00 4.12 SFRE_GPS
43.40000 42.34867 25.33 -19.31 0.00 0.00 0.5 0.48 0.010 -1.05 0.00 -1.05 SACC_GPS
43.39970 42.49966 25.03 -21.61 0.00 0.00 0.72 0.81 -0.040 -0.87 0.00 -0.87 GR09_GG6
43.38160 42.57828 23.90 -23.59 0.00 0.00 1.05 1.06 -0.010 1.33 0.00 1.33 KHUR_GPS
