Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
8.36826 47.50904 -0.004 0.285 0.00 0.00 0.079 0.025 0.001 0.535 0.00 0.809 .000_GPS
8.19463 47.39392 0.026 0.300 0.00 0.00 0.02 0.075 0.001 0.205 0.00 0.176 .000_GPS
7.90462 47.62335 -0.103 0.079 0.00 0.00 0.081 0.202 0.001 -0.286 0.00 0.237 .001_GPS
8.37829 47.64653 0.021 0.124 0.00 0.00 0.247 0.148 0.001 -0.229 0.00 0.233 .011_GPS
7.48367 47.37575 -0.012 0.257 0.00 0.00 0.108 0.067 0.001 0.299 0.00 0.218 .039_GPS
8.69059 47.62038 0.088 0.174 0.00 0.00 0.331 0.011 0.001 0.282 0.00 1.017 .066_GPS
8.63747 47.46126 -0.089 0.361 0.00 0.00 0.061 0.031 0.001 0.573 0.00 0.536 .100_GPS
8.19990 47.58440 0.001 0.193 0.00 0.00 0.075 0.068 0.001 0.129 0.00 0.389 .124_GPS
8.21133 47.24622 -0.054 0.347 0.00 0.00 0.07 0.112 0.001 0.364 0.00 0.319 .138_GPS
8.41633 47.36994 -0.016 0.510 0.00 0.00 0.048 0.087 0.001 0.300 0.00 0.311 .168_GPS
8.00254 47.63445 0.082 0.146 0.00 0.00 0.152 0.04 0.001 -0.069 0.00 0.204 .211_GPS
8.25309 47.44526 -0.022 0.308 0.00 0.00 0.04 0.021 0.001 0.394 0.00 0.426 .261_GPS
8.51660 47.40521 -0.160 0.413 0.00 0.00 0.059 0.115 0.001 0.575 0.00 0.483 .300_GPS
7.58827 47.24722 0.024 0.355 0.00 0.00 0.187 0.266 0.001 0.163 0.00 0.215 .300_GPS
8.23279 47.31226 -0.028 0.354 0.00 0.00 0.002 0.064 0.001 0.494 0.00 0.399 .305_GPS
8.01159 47.40110 0.105 0.392 0.00 0.00 0.294 0.057 0.001 0.282 0.00 0.232 .323_GPS
7.30374 47.37593 -0.078 0.284 0.00 0.00 0.23 0.02 0.001 -0.054 0.00 0.282 .323_GPS
8.04998 47.26592 0.087 0.472 0.00 0.00 0.557 0.044 0.001 0.484 0.00 0.554 .332_GPS
7.98285 47.45764 0.133 0.347 0.00 0.00 0.195 0.099 0.001 0.265 0.00 0.238 .334_GPS
8.54928 47.73784 0.015 0.102 0.00 0.00 0.378 0.092 0.001 0.221 0.00 0.623 .366_GPS
8.03226 47.54783 0.047 0.171 0.00 0.00 0.037 0.033 0.001 0.109 0.00 0.230 .400_GPS
7.84547 47.46179 0.101 0.295 0.00 0.00 0.09 0.041 0.001 0.263 0.00 0.168 .400_GPS
7.81901 47.23255 0.068 0.440 0.00 0.00 0.185 0.191 0.001 0.313 0.00 0.447 .400_GPS
