Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
33.10200 29.14100 24.44 16.94 0.00 0.00 1.92 1.93 0.006 0.00 0.00 3.00 ABOZ_GPS
35.89900 34.46600 18.49 19.55 0.00 0.00 0.52 0.53 -0.006 0.00 0.00 3.00 ADAS_GPS
36.15600 34.88200 18.61 20.85 0.00 0.00 0.43 0.42 -0.003 0.00 0.00 3.00 AJSH_GPS
34.60700 31.70800 22.33 19.04 0.00 0.00 0.21 0.21 0.002 0.00 0.00 3.00 ALON_GPS
35.20900 32.10200 19.96 18.05 0.00 0.00 0.57 0.57 -0.001 0.00 0.00 3.00 AREL_GPS
35.53200 33.32300 17.67 17.76 0.00 0.00 0.93 0.96 -0.025 0.00 0.00 3.00 ARNA_GPS
35.49600 33.89000 19.18 18.35 0.00 0.00 0.36 0.37 -0.052 0.00 0.00 3.00 B6HF_GPS
36.09100 35.24700 18.48 20.02 0.00 0.00 0.41 0.41 0.003 0.00 0.00 3.00 BATH_GPS
36.20400 35.09000 18.65 20.80 0.00 0.00 0.42 0.42 -0.004 0.00 0.00 3.00 BNAB_GPS
35.02300 32.77900 19.71 17.57 0.00 0.00 0.32 0.32 0.001 0.00 0.00 3.00 BSHM_GPS
36.81800 32.15600 23.14 23.64 0.00 0.00 0.54 0.54 -0.021 0.00 0.00 3.00 BSHR_GPS
35.58800 33.74200 17.53 19.49 0.00 0.00 0.58 0.58 0.005 0.00 0.00 3.00 CHAR_GPS
34.89000 32.48800 19.63 17.17 0.00 0.00 0.66 0.66 -0.001 0.00 0.00 3.00 CSAR_GPS
34.47000 28.52900 22.62 18.83 0.00 0.00 0.42 0.41 -0.003 0.00 0.00 3.00 DAHA_GPS
36.27000 35.21500 18.62 20.24 0.00 0.00 0.44 0.44 -0.001 0.00 0.00 3.00 DALY_GPS
33.40400 28.63100 22.77 17.10 0.00 0.00 0.76 1.37 -0.002 0.00 0.00 3.00 DERB_GPS
36.10400 35.59800 17.21 20.01 0.00 0.00 0.43 0.44 -0.008 0.00 0.00 3.00 DOHA_GPS
35.39200 31.59300 20.35 17.66 0.00 0.00 0.3 0.3 0.001 0.00 0.00 3.00 DRAG_GPS
35.36900 31.03700 21.75 18.81 0.00 0.00 0.39 0.39 0.000 0.00 0.00 3.00 DSEA_GPS
34.92100 29.50900 22.35 17.79 0.00 0.00 0.38 0.38 0.000 0.00 0.00 3.00 ELAT_GPS
35.74800 34.35200 16.70 19.41 0.00 0.00 0.61 0.63 -0.001 0.00 0.00 3.00 ENFE_GPS
35.20000 30.21400 25.24 20.35 0.00 0.00 1.15 1.13 0.009 0.00 0.00 3.00 FGFZ_GPS
35.82900 34.01500 18.82 19.11 0.00 0.00 0.41 0.41 0.001 0.00 0.00 3.00 FRYA_GPS
35.41600 32.47900 19.97 18.14 0.00 0.00 0.3 0.3 0.001 0.00 0.00 3.00 GILB_GPS
36.08400 34.46100 18.85 19.61 0.00 0.00 0.52 0.52 -0.008 0.00 0.00 3.00 HABT_GPS
35.76200 34.08900 17.42 18.51 0.00 0.00 0.57 0.57 0.002 0.00 0.00 3.00 HAYT_GPS
36.03300 34.91500 18.66 20.11 0.00 0.00 0.41 0.42 -0.006 0.00 0.00 3.00 HBAB_GPS
35.73100 33.80200 18.71 18.81 0.00 0.00 0.92 0.92 -0.003 0.00 0.00 3.00 HMNA_GPS
35.40100 33.64100 18.27 18.18 0.00 0.00 0.65 0.66 -0.032 0.00 0.00 3.00 JIYE_GPS
35.20200 31.77100 20.25 17.59 0.00 0.00 0.42 0.42 0.001 0.00 0.00 3.00 JSLM_GPS
35.57900 33.54500 19.19 18.61 0.00 0.00 0.58 0.58 -0.009 0.00 0.00 3.00 JZIN_GPS
35.14500 33.02300 19.47 17.59 0.00 0.00 0.3 0.3 0.001 0.00 0.00 3.00 KABR_GPS
35.67400 34.11500 18.27 18.41 0.00 0.00 0.24 0.23 0.002 0.00 0.00 3.00 LAUG_GPS
34.86600 31.37800 20.31 16.38 0.00 0.00 0.37 0.37 0.000 0.00 0.00 3.00 LHAV_GPS
35.95400 34.83800 18.40 19.56 0.00 0.00 0.41 0.41 -0.007 0.00 0.00 3.00 MJDL_GPS
36.26900 34.88500 18.30 19.76 0.00 0.00 0.42 0.42 0.000 0.00 0.00 3.00 MSHT_GPS
34.31400 28.17800 22.62 19.17 0.00 0.00 0.76 0.73 -0.050 0.00 0.00 3.00 NABQ_GPS
35.03600 30.03800 21.59 17.97 0.00 0.00 0.3 0.29 0.001 0.00 0.00 3.00 NRIF_GPS
34.76300 30.59800 23.42 19.50 0.00 0.00 0.13 0.11 -0.023 0.00 0.00 3.00 RAMO_GPS
35.16200 33.14900 19.85 17.30 0.00 0.00 0.69 0.71 -0.011 0.00 0.00 3.00 RBDA_GPS
35.19700 30.20200 22.08 18.72 0.00 0.00 1.49 1.48 -0.022 0.00 0.00 3.00 RSH3_GPS
35.76900 35.65900 17.36 20.06 0.00 0.00 0.43 0.44 -0.008 0.00 0.00 3.00 RSHM_GPS
36.13100 36.05000 19.19 22.10 0.00 0.00 1.15 1.94 -0.015 0.00 0.00 3.00 SENK_GPS
34.18400 27.84600 23.03 18.44 0.00 0.00 1.18 1.18 0.003 0.00 0.00 3.00 SHAM_GPS
34.28400 31.22800 23.56 14.88 0.00 0.00 0.42 0.42 0.001 0.00 0.00 3.00 SLOM_GPS
35.91000 34.18300 17.35 20.65 0.00 0.00 0.6 0.61 -0.008 0.00 0.00 3.00 TANR_GPS
34.78100 32.06800 19.37 17.83 0.00 0.00 0.37 0.37 0.000 0.00 0.00 3.00 TELA_GPS
33.59600 28.26900 23.06 17.45 0.00 0.00 0.73 0.73 0.006 0.00 0.00 3.00 TOUR_GPS
35.80900 35.52300 16.14 19.67 0.00 0.00 0.66 0.66 -0.001 0.00 0.00 3.00 TUAB_GPS
34.92800 30.99200 20.50 16.91 0.00 0.00 0.32 0.3 0.001 0.00 0.00 3.00 YRCM_GPS
35.30200 33.36500 20.25 17.88 0.00 0.00 1.0 1.04 -0.032 0.00 0.00 3.00 ZARA_GPS
36.46500 36.53100 18.32 22.91 0.00 0.00 0.69 0.62 -0.048 0.00 0.00 3.00 ABAK_GPS
38.23100 37.74700 18.08 24.26 0.00 0.00 0.72 0.72 0.003 0.00 0.00 3.00 ADYI_GPS
37.63400 35.80000 20.84 24.14 0.00 0.00 0.64 0.4 -0.009 0.00 0.00 3.00 AKIL_GPS
39.33600 37.63600 17.75 24.81 0.00 0.00 0.76 0.86 -0.054 0.00 0.00 3.00 AKTP_GPS
37.43600 37.51800 17.75 23.34 0.00 0.00 0.35 0.38 -0.025 0.00 0.00 3.00 ALAR_GPS
35.92200 33.74000 19.17 19.88 0.00 0.00 0.49 0.49 -0.009 0.00 0.00 3.00 ANJR_GPS
35.01900 29.52800 20.93 19.74 0.00 0.00 0.67 0.67 -0.019 0.00 0.00 3.00 AQBA_GPS
37.90200 37.23700 18.43 25.04 0.00 0.00 0.34 0.36 -0.042 0.00 0.00 3.00 ARGA_GPS
36.46700 34.17400 19.46 20.84 0.00 0.00 0.6 0.61 -0.007 0.00 0.00 3.00 ARSL_GPS
36.40000 33.87900 20.60 21.54 0.00 0.00 0.49 0.49 -0.028 0.00 0.00 3.00 ASAL_GPS
37.64800 32.33300 22.07 22.32 0.00 0.00 0.61 0.62 0.006 0.00 0.00 3.00 ASGF_GPS
39.41700 36.97100 16.10 25.30 0.00 0.00 1.14 1.19 -0.053 0.00 0.00 3.00 AYZC_GPS
35.69500 30.23900 20.91 21.97 0.00 0.00 0.74 0.73 -0.005 0.00 0.00 3.00 BALQ_GPS
36.81800 32.15600 20.83 20.99 0.00 0.00 0.57 0.57 0.004 0.00 0.00 3.00 BISH_GPS
36.75400 34.91400 19.18 22.04 0.00 0.00 0.44 0.44 -0.001 0.00 0.00 3.00 BLAN_GPS
36.34300 34.95700 17.92 20.83 0.00 0.00 0.43 0.43 -0.010 0.00 0.00 3.00 BMRA_GPS
36.40400 34.94800 21.73 23.84 0.00 0.00 0.4 0.8 -0.006 0.00 0.00 3.00 BREN_GPS
36.14300 34.19400 18.76 20.39 0.00 0.00 0.51 0.52 -0.010 0.00 0.00 3.00 BRKA_GPS
39.10000 37.86300 17.90 24.85 0.00 0.00 1.1 1.04 -0.027 0.00 0.00 3.00 BUCK_GPS
36.70800 34.71300 19.03 22.80 0.00 0.00 0.66 0.66 -0.001 0.00 0.00 3.00 BUSF_GPS
35.91100 33.75900 18.88 19.64 0.00 0.00 0.38 0.38 -0.053 0.00 0.00 3.00 CG29_GPS
37.88600 37.54100 17.97 24.24 0.00 0.00 0.37 0.41 -0.043 0.00 0.00 3.00 CKRH_GPS
37.09300 37.46000 16.66 21.87 0.00 0.00 0.32 0.32 0.000 0.00 0.00 3.00 CNRT_GPS
35.58000 30.69800 24.10 20.97 0.00 0.00 0.53 0.52 0.003 0.00 0.00 3.00 DANA_GPS
35.69100 32.50100 20.68 20.84 0.00 0.00 0.68 0.68 0.006 0.00 0.00 3.00 DASK_GPS
38.75700 36.46100 18.06 22.98 0.00 0.00 0.42 0.42 -0.009 0.00 0.00 3.00 DBSS_GPS
35.65900 30.89700 21.70 21.01 0.00 0.00 0.7 0.7 -0.015 0.00 0.00 3.00 DBUS_GPS
36.41900 35.11800 18.81 20.51 0.00 0.00 0.44 0.44 -0.005 0.00 0.00 3.00 DERS_GPS
35.57200 31.24900 21.57 20.63 0.00 0.00 0.48 0.47 -0.001 0.00 0.00 3.00 DRAA_GPS
35.99600 27.80300 27.60 23.97 0.00 0.00 0.71 0.58 -0.001 0.00 0.00 3.00 DUB2_GPS
36.10300 28.26800 27.22 24.24 0.00 0.00 0.36 0.35 -0.018 0.00 0.00 3.00 DUB3_GPS
35.77100 33.18200 20.07 19.82 0.00 0.00 0.3 0.3 0.000 0.00 0.00 3.00 ELRO_GPS
35.45600 30.90700 20.69 19.39 0.00 0.00 0.6 0.59 -0.008 0.00 0.00 3.00 FIFA_GPS
37.30900 37.04100 19.03 24.70 0.00 0.00 0.35 0.35 0.000 0.00 0.00 3.00 GAZT_GPS
38.90100 37.96800 18.26 25.70 0.00 0.00 0.8 0.89 -0.060 0.00 0.00 3.00 GNDM_GPS
35.58300 33.33700 21.80 19.00 0.00 0.00 0.95 1.0 -0.053 0.00 0.00 3.00 GRLN_GPS
35.67600 32.33300 22.52 19.80 0.00 0.00 1.19 1.23 0.007 0.00 0.00 3.00 HALA_GPS
36.10000 29.13900 26.95 23.68 0.00 0.00 0.19 0.2 0.008 0.00 0.00 3.00 HALY_GPS
36.50800 36.14600 17.11 20.78 0.00 0.00 0.42 0.42 -0.010 0.00 0.00 3.00 HARM_GPS
36.52400 36.78800 17.92 21.96 0.00 0.00 0.31 0.33 -0.036 0.00 0.00 3.00 HASA_GPS
36.57000 35.63800 18.34 21.47 0.00 0.00 0.42 0.43 -0.008 0.00 0.00 3.00 HASS_GPS
36.90900 37.34300 17.13 22.13 0.00 0.00 0.43 0.41 -0.004 0.00 0.00 3.00 HBBT_GPS
35.72100 33.37300 18.14 20.31 0.00 0.00 0.98 1.0 -0.034 0.00 0.00 3.00 HIBA_GPS
36.50300 34.96500 18.72 21.11 0.00 0.00 0.46 0.45 -0.010 0.00 0.00 3.00 HMRY_GPS
36.11100 33.78100 20.92 21.15 0.00 0.00 0.45 0.46 -0.019 0.00 0.00 3.00 HOOR_GPS
36.97400 36.23300 18.01 22.05 0.00 0.00 0.42 0.42 -0.011 0.00 0.00 3.00 HOWR_GPS
36.50800 36.14600 19.64 23.12 0.00 0.00 0.78 0.78 -0.003 0.00 0.00 3.00 HREM_GPS
36.36900 34.41200 19.78 20.69 0.00 0.00 0.62 0.62 -0.009 0.00 0.00 3.00 HRML_GPS
36.18900 32.10700 20.62 21.83 0.00 0.00 0.56 0.58 -0.055 0.00 0.00 3.00 HUG1_GPS
36.18900 32.10100 21.11 21.37 0.00 0.00 0.39 0.39 0.001 0.00 0.00 3.00 HUGS_GPS
35.88000 33.85900 18.53 19.80 0.00 0.00 0.41 0.41 -0.001 0.00 0.00 3.00 HZRT_GPS
36.04100 32.34300 22.53 19.41 0.00 0.00 1.4 1.38 0.002 0.00 0.00 3.00 IRHB_GPS
36.36800 30.68000 22.33 21.67 0.00 0.00 0.68 0.67 0.006 0.00 0.00 3.00 JAFR_GPS
35.91500 32.29400 21.04 21.83 0.00 0.00 0.47 0.46 -0.002 0.00 0.00 3.00 JASH_GPS
37.86900 34.64300 20.39 23.52 0.00 0.00 0.43 0.43 -0.012 0.00 0.00 3.00 JHAR_GPS
35.98700 32.49300 20.27 21.79 0.00 0.00 0.54 0.54 0.000 0.00 0.00 3.00 JUST_GPS
36.88100 35.64900 18.42 22.04 0.00 0.00 0.43 0.43 -0.015 0.00 0.00 3.00 KATR_GPS
35.68800 32.99500 19.82 20.26 0.00 0.00 0.25 0.27 -0.002 0.00 0.00 3.00 KATZ_GPS
38.43700 33.57100 21.73 23.51 0.00 0.00 0.46 0.45 -0.023 0.00 0.00 3.00 KBDD_GPS
36.57800 35.44900 18.44 21.35 0.00 0.00 0.43 0.43 -0.012 0.00 0.00 3.00 KHAS_GPS
37.71600 36.24600 17.77 22.33 0.00 0.00 0.41 0.42 -0.012 0.00 0.00 3.00 KHBZ_GPS
36.57800 35.44900 21.07 23.91 0.00 0.00 0.63 0.63 -0.009 0.00 0.00 3.00 KHSK_GPS
37.10600 36.68500 20.72 23.92 0.00 0.00 0.63 0.71 -0.072 0.00 0.00 3.00 KILS_GPS
35.90200 33.53100 18.02 20.35 0.00 0.00 1.07 1.11 -0.026 0.00 0.00 3.00 KOUK_GPS
38.48100 35.78200 18.82 22.96 0.00 0.00 0.44 0.45 -0.014 0.00 0.00 3.00 KRIN_GPS
35.58800 31.96800 20.77 18.31 0.00 0.00 1.37 1.37 0.010 0.00 0.00 3.00 KRMA_GPS
34.75300 28.39300 27.14 22.78 0.00 0.00 0.76 0.73 -0.030 0.00 0.00 3.00 MAG1_GPS
34.78000 28.47800 25.97 22.83 0.00 0.00 0.73 0.73 0.005 0.00 0.00 3.00 MAG2_GPS
35.89100 32.17100 18.79 21.78 0.00 0.00 1.1 1.12 0.090 0.00 0.00 3.00 MASA_GPS
35.76100 33.51600 19.29 19.93 0.00 0.00 0.5 0.5 0.005 0.00 0.00 3.00 MCHK_GPS
35.75500 30.17800 20.91 22.75 0.00 0.00 1.55 1.55 -0.019 0.00 0.00 3.00 MDUA_GPS
35.56500 31.42600 19.99 20.15 0.00 0.00 0.71 0.7 -0.011 0.00 0.00 3.00 MJBG_GPS
36.55000 34.05900 20.24 21.66 0.00 0.00 0.48 0.48 -0.012 0.00 0.00 3.00 MSHR_GPS
35.63200 32.15800 21.54 19.78 0.00 0.00 0.48 0.48 -0.002 0.00 0.00 3.00 MUD2_GPS
35.71800 31.09500 21.19 20.39 0.00 0.00 0.35 0.34 0.000 0.00 0.00 3.00 MUTA_GPS
35.40300 30.46900 21.89 20.77 0.00 0.00 0.67 0.67 -0.006 0.00 0.00 3.00 NAML_GPS
35.43300 30.08600 24.02 21.18 0.00 0.00 0.8 0.79 0.022 0.00 0.00 3.00 NAQB_GPS
35.73900 31.76600 19.42 21.59 0.00 0.00 0.94 0.92 0.021 0.00 0.00 3.00 NEBO_GPS
35.60200 31.64400 21.14 20.14 0.00 0.00 0.74 0.74 -0.013 0.00 0.00 3.00 PANO_GPS
35.46900 30.32700 21.71 20.11 0.00 0.00 0.35 0.37 -0.001 0.00 0.00 3.00 PETA_GPS
35.40300 30.62100 21.02 19.70 0.00 0.00 0.68 0.66 -0.042 0.00 0.00 3.00 QIRA_GPS
35.34000 29.81000 22.04 20.10 0.00 0.00 0.6 0.59 0.002 0.00 0.00 3.00 QURA_GPS
36.68100 36.66400 16.23 20.47 0.00 0.00 0.45 0.43 0.013 0.00 0.00 3.00 RAJO_GPS
35.15100 29.90700 22.30 19.16 0.00 0.00 0.57 0.56 -0.001 0.00 0.00 3.00 RAMA_GPS
39.00900 35.95100 17.37 22.59 0.00 0.00 0.87 0.88 0.000 0.00 0.00 3.00 RAQA_GPS
36.22400 31.39400 23.02 23.23 0.00 0.00 1.22 1.22 0.010 0.00 0.00 3.00 RDTB_GPS
36.01000 33.62500 19.82 21.21 0.00 0.00 0.44 0.45 -0.010 0.00 0.00 3.00 ROZA_GPS
35.92200 31.51400 22.15 20.03 0.00 0.00 0.66 0.64 -0.009 0.00 0.00 3.00 RSAS_GPS
36.91300 32.70200 21.58 22.54 0.00 0.00 0.42 0.42 -0.009 0.00 0.00 3.00 RSHD_GPS
35.42600 29.63000 22.96 20.39 0.00 0.00 0.83 0.82 0.004 0.00 0.00 3.00 RUMM_GPS
35.51400 31.07800 21.41 19.99 0.00 0.00 0.69 0.68 -0.015 0.00 0.00 3.00 SAFI_GPS
36.97200 37.19000 17.47 22.63 0.00 0.00 0.29 0.26 -0.022 0.00 0.00 3.00 SAKZ_GPS
36.96600 35.04900 19.68 22.29 0.00 0.00 0.41 0.41 -0.001 0.00 0.00 3.00 SALM_GPS
36.05100 33.61300 20.61 21.29 0.00 0.00 0.47 0.48 -0.015 0.00 0.00 3.00 SOBA_GPS
36.57300 34.93400 19.06 21.76 0.00 0.00 0.42 0.42 -0.008 0.00 0.00 3.00 TELF_GPS
38.68300 38.09200 15.44 24.00 0.00 0.00 0.74 0.81 -0.047 0.00 0.00 3.00 TEPE_GPS
36.23500 33.86000 18.98 21.02 0.00 0.00 0.54 0.55 -0.026 0.00 0.00 3.00 TFEL_GPS
36.56200 31.31900 21.39 21.62 0.00 0.00 0.63 0.64 0.004 0.00 0.00 3.00 TUBA_GPS
36.28500 33.51000 19.69 21.00 0.00 0.00 0.28 0.3 0.000 0.00 0.00 3.00 UDMC_GPS
35.35900 30.17600 22.36 20.03 0.00 0.00 0.68 0.66 -0.012 0.00 0.00 3.00 WADR_GPS
35.87200 31.61700 19.59 22.54 0.00 0.00 1.65 1.55 -0.043 0.00 0.00 3.00 ZFRN_GPS
37.11300 37.74700 12.67 19.51 0.00 0.00 0.63 0.67 -0.036 0.00 0.00 3.00 ABEY_GPS
31.12100 37.76200 7.30 6.86 0.00 0.00 0.29 0.31 0.031 0.00 0.00 3.00 AKSU_GPS
34.97400 28.47200 26.03 22.96 0.00 0.00 1.05 0.84 -0.008 0.00 0.00 3.00 BIDA_GPS
33.99500 28.63900 24.70 16.56 0.00 0.00 1.69 1.1 -0.005 0.00 0.00 3.00 CATH_GPS
35.36700 37.06200 13.10 18.11 0.00 0.00 0.21 0.21 0.001 0.00 0.00 3.00 CKVT_GPS
36.13700 36.89900 14.41 21.08 0.00 0.00 0.23 0.24 -0.044 0.00 0.00 3.00 DORT_GPS
