Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
-1.451 50.93100 18.528 -6.679 0.00 0.00 0.272 0.29 0.000 0.00 0.00 3.00 OSHQ_GPS
-1.449 38.04100 21.199 -6.329 0.00 0.00 0.637 0.532 0.000 0.00 0.00 3.00 MULA_GPS
-1.441 42.37800 20.774 -7.457 0.00 0.00 0.849 0.577 0.000 0.00 0.00 3.00 CARC_GPS
-1.438 51.14900 18.036 -6.981 0.00 0.00 0.538 0.425 0.000 0.00 0.00 3.00 CHIO_GPS
-1.433 55.00900 17.864 -6.783 0.00 0.00 0.334 0.231 0.000 0.00 0.00 3.00 NSL0_GPS
-1.429 46.69300 19.579 -7.653 0.00 0.00 1.423 0.837 0.000 0.00 0.00 3.00 RYON_GPS
-1.425 37.65800 21.761 -5.303 0.00 0.00 0.2 0.2 0.001 0.00 0.00 3.00 GANU_GPS
-1.38 53.48300 17.635 -7.426 0.00 0.00 0.314 0.273 0.000 0.00 0.00 3.00 HOOB_GPS
-1.368 49.67600 19.023 -6.918 0.00 0.00 0.389 0.332 0.000 0.00 0.00 3.00 VARO_GPS
-1.331 52.35900 18.474 -7.532 0.00 0.00 0.333 0.311 0.000 0.00 0.00 3.00 CLAW_GPS
-1.327 38.47100 21.151 -8.158 0.00 0.00 1.08 1.05 0.001 0.00 0.00 3.00 JUMI_GPS
-1.326 38.50200 22.036 -5.898 0.00 0.00 0.762 0.612 0.000 0.00 0.00 3.00 JUMI_GPS
-1.315 51.40400 21.044 -6.267 0.00 0.00 0.856 0.995 0.000 0.00 0.00 3.00 NEWB_GPS
-1.289 51.82400 19.055 -6.812 0.00 0.00 0.304 0.254 0.000 0.00 0.00 3.00 OXFR_GPS
-1.287 42.58000 20.934 -7.239 0.00 0.00 0.634 0.62 0.000 0.00 0.00 3.00 SANG_GPS
-1.284 51.45400 18.384 -6.458 0.00 0.00 0.18 0.171 0.000 0.00 0.00 3.00 HRM1_GPS
-1.275 59.85400 15.462 -6.431 0.00 0.00 0.469 0.392 0.000 0.00 0.00 3.00 SUM3_GPS
-1.262 42.93500 20.353 -6.946 0.00 0.00 1.22 1.131 0.000 0.00 0.00 3.00 ARIB_GPS
-1.25 53.00600 16.743 -8.347 0.00 0.00 0.394 0.41 0.000 0.00 0.00 3.00 WATN_GPS
-1.249 44.64600 20.302 -6.824 0.00 0.00 0.423 0.616 0.000 0.00 0.00 3.00 FERR_GPS
-1.234 48.82700 19.042 -7.651 0.00 0.00 0.963 0.772 0.000 0.00 0.00 3.00 VLPL_GPS
-1.228 44.20100 20.704 -6.730 0.00 0.00 0.404 0.32 0.000 0.00 0.00 3.00 MIMZ_GPS
-1.219 46.15900 19.961 -6.626 0.00 0.00 0.281 0.172 0.000 0.00 0.00 3.00 LROC_GPS
-1.213 50.65000 18.381 -6.957 0.00 0.00 0.357 0.523 0.000 0.00 0.00 3.00 SANO_GPS
-1.209 39.56900 21.087 -6.867 0.00 0.00 0.331 0.283 0.000 0.00 0.00 3.00 UTIE_GPS
-1.192 52.94100 18.290 -7.163 0.00 0.00 0.165 0.174 0.000 0.00 0.00 3.00 IESG_GPS
-1.184 60.13800 15.488 -6.347 0.00 0.00 0.214 0.224 0.000 0.00 0.00 3.00 LER0_GPS
-1.181 37.62300 21.151 -5.322 0.00 0.00 0.2 0.2 0.002 0.00 0.00 3.00 MAJA_GPS
-1.14 60.15400 15.405 -5.907 0.00 0.00 0.899 0.846 0.000 0.00 0.00 3.00 LWTG_GPS
-1.134 44.76400 20.994 -6.955 0.00 0.00 0.735 0.665 0.000 0.00 0.00 3.00 ARES_GPS
-1.124 40.35100 21.288 -6.920 0.00 0.00 0.442 0.368 0.000 0.00 0.00 3.00 TERU_GPS
-1.123 37.99000 21.017 -7.457 0.00 0.00 0.736 0.757 0.000 0.00 0.00 3.00 MURC_GPS
-1.111 50.80200 18.661 -6.618 0.00 0.00 0.237 0.272 0.000 0.00 0.00 3.00 PMTG_GPS
-1.108 45.74400 20.407 -6.687 0.00 0.00 0.618 0.433 0.000 0.00 0.00 3.00 ARVE_GPS
-1.1 54.16200 17.807 -6.815 0.00 0.00 0.34 0.349 0.000 0.00 0.00 3.00 YEAS_GPS
-1.078 52.87900 18.060 -6.906 0.00 0.00 0.198 0.201 0.000 0.00 0.00 3.00 KEY0_GPS
-1.076 44.97800 20.500 -6.586 0.00 0.00 0.653 0.427 0.000 0.00 0.00 3.00 LCAU_GPS
-1.059 39.06100 21.215 -7.693 0.00 0.00 0.579 0.39 0.000 0.00 0.00 3.00 AYOR_GPS
-1.056 43.71100 20.444 -6.986 0.00 0.00 0.571 0.467 0.000 0.00 0.00 3.00 ADAX_GPS
-1.055 49.11700 19.398 -6.592 0.00 0.00 0.701 0.546 0.000 0.00 0.00 3.00 STLO_GPS
-1.029 47.70400 19.829 -6.829 0.00 0.00 0.403 0.422 0.000 0.00 0.00 3.00 COMB_GPS
-1.024 45.63900 20.085 -6.782 0.00 0.00 0.663 0.47 0.000 0.00 0.00 3.00 ROYA_GPS
-1.014 43.33400 20.170 -7.652 0.00 0.00 0.93 1.422 0.000 0.00 0.00 3.00 AICI_GPS
-1.012 37.58700 20.946 -5.734 0.00 0.00 0.3 0.3 0.015 0.00 0.00 3.00 CART_GPS
-0.995 37.60600 19.837 -5.948 0.00 0.00 0.86 0.85 0.001 0.00 0.00 3.00 CRTG_GPS
-0.979 37.60700 20.879 -6.221 0.00 0.00 0.717 0.54 0.000 0.00 0.00 3.00 CRT0_GPS
-0.955 42.81000 20.526 -6.917 0.00 0.00 0.647 0.813 0.000 0.00 0.00 3.00 RONC_GPS
-0.949 46.10400 19.704 -6.573 0.00 0.00 1.021 0.746 0.000 0.00 0.00 3.00 AUNI_GPS
-0.912 52.25200 17.935 -6.731 0.00 0.00 0.402 0.342 0.000 0.00 0.00 3.00 NOR5_GPS
-0.882 41.63300 20.814 -6.944 0.00 0.00 0.351 0.282 0.000 0.00 0.00 3.00 ZARA_GPS
-0.863 54.56300 19.289 -6.724 0.00 0.00 0.319 0.312 0.000 0.00 0.00 3.00 LOFT_GPS
-0.862 9.55400 21.885 -4.685 0.00 0.00 0.613 0.374 0.000 0.00 0.00 3.00 TAMA_GPS
-0.861 37.73100 22.072 -5.661 0.00 0.00 0.506 0.425 0.000 0.00 0.00 3.00 ALCA_GPS
-0.807 48.41300 19.796 -6.589 0.00 0.00 0.699 0.493 0.000 0.00 0.00 3.00 GORN_GPS
-0.794 47.11600 19.742 -7.034 0.00 0.00 0.668 0.508 0.000 0.00 0.00 3.00 TREM_GPS
-0.779 37.83500 21.694 -6.277 0.00 0.00 0.643 0.469 0.000 0.00 0.00 3.00 SAL7_GPS
-0.773 51.28000 18.497 -6.449 0.00 0.00 0.286 0.295 0.000 0.00 0.00 3.00 FARN_GPS
-0.772 52.02400 19.157 -6.858 0.00 0.00 0.526 0.401 0.000 0.00 0.00 3.00 MIL5_GPS
-0.727 42.56700 20.099 -7.231 0.00 0.00 0.884 1.281 0.000 0.00 0.00 3.00 JACA_GPS
-0.723 48.07300 19.147 -6.964 0.00 0.00 1.53 1.779 0.000 0.00 0.00 3.00 LAVL_GPS
-0.698 37.63100 21.502 -6.388 0.00 0.00 0.641 0.544 0.000 0.00 0.00 3.00 CABO_GPS
-0.681 37.97500 21.392 -6.124 0.00 0.00 0.369 0.313 0.000 0.00 0.00 3.00 TORR_GPS
-0.674 43.23100 20.323 -6.741 0.00 0.00 0.728 0.524 0.000 0.00 0.00 3.00 ORIN_GPS
-0.625 52.30700 18.390 -7.093 0.00 0.00 0.344 0.338 0.000 0.00 0.00 3.00 WEL2_GPS
-0.624 49.17700 19.248 -6.300 0.00 0.00 1.148 1.238 0.000 0.00 0.00 3.00 TIL3_GPS
-0.579 46.17400 19.577 -7.461 0.00 0.00 1.143 1.303 0.000 0.00 0.00 3.00 USSO_GPS
-0.573 45.22400 20.761 -6.300 0.00 0.00 0.437 0.364 0.000 0.00 0.00 3.00 ETAU_GPS
-0.566 44.86900 20.445 -7.028 0.00 0.00 0.26 0.213 0.000 0.00 0.00 3.00 CUBX_GPS
-0.559 51.67700 18.525 -6.988 0.00 0.00 0.294 0.257 0.000 0.00 0.00 3.00 AMER_GPS
-0.554 48.13700 19.348 -7.880 0.00 0.00 1.101 1.099 0.000 0.00 0.00 3.00 MOSU_GPS
-0.548 47.47200 19.542 -6.810 0.00 0.00 0.336 0.284 0.000 0.00 0.00 3.00 ANGE_GPS
-0.529 50.95000 18.414 -7.021 0.00 0.00 0.351 0.442 0.000 0.00 0.00 3.00 HARD_GPS
-0.528 44.68100 20.640 -6.612 0.00 0.00 0.759 0.49 0.000 0.00 0.00 3.00 LBRD_GPS
-0.52 53.25000 17.917 -7.124 0.00 0.00 0.289 0.245 0.000 0.00 0.00 3.00 LIN1_GPS
-0.505 53.73600 17.829 -7.028 0.00 0.00 0.389 0.315 0.000 0.00 0.00 3.00 SWAN_GPS
-0.485 43.88300 20.346 -6.973 0.00 0.00 0.481 0.336 0.000 0.00 0.00 3.00 MTDM_GPS
-0.481 38.33900 21.280 -6.392 0.00 0.00 0.231 0.208 0.000 0.00 0.00 3.00 ALAC_GPS
-0.474 38.69800 21.025 -6.149 0.00 0.00 0.36 0.336 0.000 0.00 0.00 3.00 ALCO_GPS
-0.474 46.84000 19.749 -6.679 0.00 0.00 0.287 0.234 0.000 0.00 0.00 3.00 BRES_GPS
-0.457 49.18300 18.919 -6.665 0.00 0.00 0.422 0.292 0.000 0.00 0.00 3.00 CAEN_GPS
-0.448 42.11900 20.348 -7.225 0.00 0.00 0.84 0.686 0.000 0.00 0.00 3.00 EPSH_GPS
-0.421 52.10500 18.377 -6.718 0.00 0.00 0.999 0.499 0.000 0.00 0.00 3.00 CARD_GPS
-0.417 51.40000 18.472 -6.429 0.00 0.00 0.461 0.359 0.000 0.00 0.00 3.00 SUNB_GPS
-0.408 46.13300 19.963 -6.721 0.00 0.00 0.187 0.161 0.000 0.00 0.00 3.00 CHIZ_GPS
-0.38 54.25300 17.822 -7.316 0.00 0.00 0.359 0.416 0.000 0.00 0.00 3.00 SCAR_GPS
-0.366 49.21700 19.100 -6.081 0.00 0.00 0.942 0.767 0.000 0.00 0.00 3.00 EPRN_GPS
-0.344 39.43600 20.842 -6.516 0.00 0.00 0.388 0.307 0.000 0.00 0.00 3.00 VCIA_GPS
-0.344 51.42500 17.857 -6.832 0.00 0.00 0.373 0.332 0.000 0.00 0.00 3.00 TED0_GPS
