Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
49.81400 40.37200 3.96 4.32 3.96 4.32 6.04 4.89 0.193 -1.88 -1.88 133.78 BAKU_GPS
49.44600 40.20300 6.66 2.89 6.66 2.89 5.24 4.5 0.210 -5.52 -5.52 126.87 SANG_GPS
49.42600 40.02500 6.77 4.91 6.77 4.91 5.05 4.55 0.238 -9.55 -9.55 128.96 SHIK_GPS
49.23700 39.81800 3.90 9.08 3.90 9.08 4.97 4.85 0.209 -14.13 -14.13 127.82 KHID_GPS
49.12000 41.06600 0.07 2.24 0.07 2.24 5.01 3.63 -0.034 14.23 14.23 112.18 SIYE_GPS
48.99300 40.87000 0.54 4.84 0.54 4.84 4.66 3.43 0.027 9.87 9.87 109.71 KIZA_GPS
48.71700 39.49700 6.36 14.11 6.36 14.11 3.63 4.01 0.211 -21.07 -21.07 121.72 BLVR_GPS
48.55100 40.61400 2.83 6.02 2.83 6.02 3.71 2.84 0.093 4.36 4.36 100.49 MEDR_GPS
48.52900 41.59500 -1.32 3.67 -1.32 3.67 4.11 3.17 -0.277 26.62 26.62 100.50 SAMU_GPS
48.41900 38.70600 6.44 13.45 6.44 13.45 3.51 4.6 -0.011 -38.78 -38.78 135.14 GOSM_GPS
48.38800 38.95200 6.28 13.81 6.28 13.81 3.3 4.22 0.058 -33.18 -33.18 127.57 YARD_GPS
48.14800 40.33300 3.39 12.17 3.39 12.17 2.93 2.43 0.160 -1.70 -1.70 93.34 KURD_GPS
47.86300 40.97500 -0.65 5.97 -0.65 5.97 2.82 2.1 -0.103 13.08 13.08 82.54 KEBE_GPS
47.64700 40.80000 2.12 10.61 2.12 10.61 2.58 2.04 -0.041 9.31 9.31 77.61 QURD_GPS
47.28600 40.58000 4.07 11.02 4.07 11.02 2.34 2.02 0.015 4.66 4.66 69.89 MLAY_GPS
47.25000 41.13200 -0.13 6.65 -0.13 6.65 2.0 1.55 -0.259 17.20 17.20 69.09 SHEK_GPS
47.14600 40.62600 -0.07 4.81 -0.07 4.81 1.92 1.59 -0.011 5.84 5.84 66.23 YEVL_GPS
47.14300 40.19000 1.98 11.30 1.98 11.30 1.95 1.85 0.089 -4.04 -4.04 70.62 AYAQ_GPS
46.76000 39.75300 5.10 10.58 5.10 10.58 1.47 1.61 0.053 -13.53 -13.53 70.02 SHOU_GPS
46.75800 40.18400 3.79 10.70 3.79 10.70 1.28 1.19 0.106 -3.77 -3.77 61.35 KASP_GPS
46.02700 40.89700 3.95 7.80 3.95 7.80 1.27 1.22 -0.098 13.20 13.20 41.10 DALL_GPS
46.51100 41.65200 -1.51 5.25 -1.51 5.25 1.45 1.62 -0.377 29.74 29.74 63.32 KTYX_GPS
48.92200 37.76400 5.22 12.74 5.22 12.74 5.57 7.16 -0.173 -60.47 -60.47 174.48 HASH_GPS
48.23100 38.47700 6.72 13.23 6.72 13.23 3.55 4.63 -0.107 -43.81 -43.81 137.91 ARBI_GPS
47.86900 37.92900 5.67 13.04 5.67 13.04 4.16 4.88 -0.272 -55.91 -55.91 148.29 ORTA_GPS
47.27100 38.27000 5.07 11.71 5.07 11.71 3.4 3.76 -0.241 -47.63 -47.63 125.39 TAZA_GPS
47.15700 38.98400 5.26 12.05 5.26 12.05 2.53 2.94 -0.091 -31.36 -31.36 99.99 PIRM_GPS
46.60300 38.17800 5.37 10.60 5.37 10.60 2.85 2.7 -0.341 -49.00 -49.00 116.62 VARZ_GPS
46.34300 38.05600 2.61 10.90 2.61 10.90 2.96 2.54 -0.333 -51.45 -51.45 116.82 TABZ_GPS
46.26500 38.73600 4.31 10.25 4.31 10.25 1.99 1.98 -0.257 -35.98 -35.98 90.89 KHAV_GPS
45.88700 38.22800 2.44 12.07 2.44 12.07 2.59 2.08 -0.251 -47.00 -47.00 103.42 SHAB_GPS
45.60500 38.95200 5.59 10.70 5.59 10.70 1.59 1.43 -0.173 -30.27 -30.27 72.14 JOLF_GPS
45.19300 38.49200 4.06 12.67 4.06 12.67 1.86 1.32 -0.111 -40.10 -40.10 84.01 VLDN_GPS
45.11400 38.99900 4.86 8.48 4.86 8.48 1.2 0.93 -0.124 -28.53 -28.53 63.43 NZSF_GPS
44.95400 38.20700 5.06 11.88 5.06 11.88 2.24 1.55 0.012 -46.20 -46.20 92.63 GGSH_GPS
45.04900 39.29700 4.82 9.63 4.82 9.63 1.24 1.15 -0.052 -21.70 -21.70 51.30 JAM1_GPS
45.06200 39.35100 5.34 9.76 5.34 9.76 0.9 0.79 -0.100 -20.50 -20.50 49.45 POLD_GPS
44.42800 38.48900 -1.07 11.99 -1.07 11.99 1.88 1.53 0.125 -39.03 -39.03 77.01 GHOT_GPS
44.39200 39.37900 5.28 7.53 5.28 7.53 0.89 0.81 0.050 -18.87 -18.87 41.87 BZGN_GPS
44.16000 39.33200 4.81 8.13 4.81 8.13 0.93 0.88 0.077 -19.57 -19.57 42.78 KKDY_GPS
46.36700 39.51100 5.21 10.25 5.21 10.25 1.04 1.31 -0.095 -18.57 -18.57 67.69 GORS_GPS
46.09300 39.53600 4.48 10.30 4.48 10.30 1.22 1.31 -0.082 -17.68 -17.68 61.22 NORA_GPS
45.90800 40.20400 5.27 9.08 5.27 9.08 1.08 1.08 0.004 -2.34 -2.34 40.73 ZOD0_GPS
45.68600 40.11700 4.14 9.14 4.14 9.14 1.05 1.08 -0.008 -4.02 -4.02 37.25 SUB0_GPS
45.66100 39.83700 4.23 9.05 4.23 9.05 0.68 0.88 -0.058 -10.33 -10.33 43.56 JERM_GPS
45.64500 40.09900 3.50 8.31 3.50 8.31 1.12 1.14 -0.003 -4.38 -4.38 36.71 AKH0_GPS
45.36700 40.11400 3.85 8.84 3.85 8.84 0.97 1.0 -0.009 -3.67 -3.67 30.34 ZOL0_GPS
45.20900 40.19800 2.96 8.64 2.96 8.64 0.59 0.59 -0.011 -1.56 -1.56 25.30 ERA0_GPS
45.20900 40.19800 2.99 8.11 2.99 8.11 0.8 0.81 -0.008 -1.56 -1.56 25.30 ERA4_GPS
45.13900 40.90700 2.87 6.89 2.87 6.89 0.48 0.55 -0.114 14.58 14.58 26.78 IJEV_GPS
