Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
50.60800 26.20900 5.19 15.02 0.00 0.00 0.11 0.22 -0.007 0.00 0.00 3.00 BAHR_GPS
49.03800 14.48600 13.90 15.64 0.00 0.00 0.46 0.44 -0.002 0.00 0.00 3.00 MKLA_GPS
48.77300 15.94700 12.83 13.77 0.00 0.00 0.92 0.86 -0.007 0.00 0.00 3.00 SYON_GPS
46.40100 24.91100 5.74 12.93 0.00 0.00 0.26 0.23 -0.002 0.00 0.00 3.00 SOLA_GPS
45.04000 12.81200 13.07 12.89 0.00 0.00 0.89 0.74 0.012 0.00 0.00 3.00 ADEN_GPS
44.39200 14.57100 14.32 13.85 0.00 0.00 0.57 0.51 0.010 0.00 0.00 3.00 DHMR_GPS
44.19000 15.34800 13.53 11.49 0.00 0.00 0.46 0.42 -0.002 0.00 0.00 3.00 SANA_GPS
43.43600 13.31700 16.26 12.27 0.00 0.00 0.5 0.45 0.010 0.00 0.00 3.00 JNAR_GPS
42.96700 14.78800 12.51 11.93 0.00 0.00 0.82 0.71 0.010 0.00 0.00 3.00 HODD_GPS
42.88400 11.78900 15.76 11.14 0.00 0.00 0.72 0.32 0.002 0.00 0.00 3.00 PTDJ_GPS
42.84700 11.52600 6.02 -2.60 0.00 0.00 1.11 1.1 0.002 0.00 0.00 3.00 PARO_GPS
42.65400 13.06300 16.04 11.07 0.00 0.00 1.15 1.12 -0.001 0.00 0.00 3.00 ASAB_GPS
42.55600 11.61700 16.49 9.25 0.00 0.00 0.58 0.77 0.000 0.00 0.00 3.00 PGMD_GPS
42.44500 11.53500 9.11 1.65 0.00 0.00 0.62 0.46 0.002 0.00 0.00 3.00 PCKD_GPS
42.16700 13.61400 16.21 13.17 0.00 0.00 1.33 1.19 -0.017 0.00 0.00 3.00 BERA_GPS
42.10400 16.69900 12.84 8.60 0.00 0.00 1.47 1.16 -0.003 0.00 0.00 3.00 JIZN_GPS
42.04500 19.21100 9.78 11.27 0.00 0.00 0.22 0.25 0.007 0.00 0.00 3.00 NAMA_GPS
42.03400 9.42300 4.32 -0.64 0.00 0.00 1.08 1.06 -0.001 0.00 0.00 3.00 DAMY_GPS
41.82900 19.09600 7.75 9.21 0.00 0.00 1.16 1.09 0.017 0.00 0.00 3.00 MAJR_GPS
41.71200 11.88900 14.52 5.37 0.00 0.00 0.37 0.3 -0.012 0.00 0.00 3.00 B35A_GPS
41.67700 13.84500 14.24 8.99 0.00 0.00 0.93 0.85 0.011 0.00 0.00 3.00 EDI1_GPS
41.38300 19.04300 11.14 11.58 0.00 0.00 1.25 1.18 0.000 0.00 0.00 3.00 GOOZ_GPS
41.35300 14.35900 11.43 5.80 0.00 0.00 1.23 1.13 -0.019 0.00 0.00 3.00 EDTI_GPS
40.96100 14.61500 9.61 4.27 0.00 0.00 0.63 0.6 -0.002 0.00 0.00 3.00 TIO1_GPS
40.59800 21.51400 6.65 12.11 0.00 0.00 1.25 1.21 0.013 0.00 0.00 3.00 CASL_GPS
40.47700 14.89100 6.95 1.19 0.00 0.00 1.37 1.23 -0.009 0.00 0.00 3.00 TIGE_GPS
40.10500 21.62000 7.42 9.30 0.00 0.00 1.12 1.08 -0.005 0.00 0.00 3.00 ZAMA_GPS
40.08800 15.11400 7.25 -1.27 0.00 0.00 0.64 0.61 -0.002 0.00 0.00 3.00 GELA_GPS
