Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
29.797 40.784 -6.19 0.35 0.0 0.0 1.65 2.03 0.001 0.0 0.0 3.0 KR01_GPS
29.795 40.743 -8.35 -5.19 0.0 0.0 1.25 1.5 0.001 0.0 0.0 3.0 KR02_GPS
29.798 40.727 -9.53 -0.05 0.0 0.0 1.36 1.68 0.001 0.0 0.0 3.0 KR03_GPS
29.795 40.726 -8.2 0.55 0.0 0.0 1.7 2.1 0.001 0.0 0.0 3.0 KR04_GPS
29.791 40.722 -9.36 -1.6 0.0 0.0 1.83 2.21 0.001 0.0 0.0 3.0 KR05_GPS
29.796 40.723 -11.53 -1.84 0.0 0.0 3.04 3.36 0.001 0.0 0.0 3.0 KR06_GPS
29.801 40.717 -13.47 0.41 0.0 0.0 1.43 1.78 0.001 0.0 0.0 3.0 KR07_GPS
29.804 40.705 -9.52 -2.32 0.0 0.0 1.72 2.04 0.001 0.0 0.0 3.0 KR08_GPS
29.819 40.673 -15.86 0.34 0.0 0.0 1.4 1.68 0.001 0.0 0.0 3.0 KR09_GPS
29.935 40.803 -4.29 -1.11 0.0 0.0 1.84 2.11 0.001 0.0 0.0 3.0 KR10_GPS
30.04 40.783 -7.05 -4.76 0.0 0.0 2.43 2.98 0.001 0.0 0.0 3.0 KR11_GPS
29.988 40.731 -6.0 -1.57 0.0 0.0 1.7 2.07 0.001 0.0 0.0 3.0 KR12_GPS
29.939 40.725 -5.37 -0.57 0.0 0.0 2.09 2.35 0.001 0.0 0.0 3.0 KR13_GPS
29.946 40.72 -17.32 -0.34 0.0 0.0 2.58 3.1 0.001 0.0 0.0 3.0 KR14_GPS
29.93 40.706 -16.8 0.34 0.0 0.0 2.12 2.6 0.001 0.0 0.0 3.0 KR15_GPS
29.993 40.709 -14.69 0.58 0.0 0.0 1.51 1.82 0.001 0.0 0.0 3.0 KR16_GPS
29.965 40.675 -14.68 2.64 0.0 0.0 1.25 1.47 0.001 0.0 0.0 3.0 KR18_GPS
29.988 40.628 -15.48 -4.86 0.0 0.0 2.36 2.78 0.001 0.0 0.0 3.0 KR19_GPS
30.383 40.793 -5.03 -3.17 0.0 0.0 1.35 1.67 0.001 0.0 0.0 3.0 KR22_GPS
30.36 40.723 -13.16 -2.41 0.0 0.0 1.96 2.46 0.001 0.0 0.0 3.0 KR23_GPS
30.327 40.716 -12.69 -0.57 0.0 0.0 1.78 2.19 0.001 0.0 0.0 3.0 KR24_GPS
30.362 40.702 -13.68 1.27 0.0 0.0 1.91 2.31 0.001 0.0 0.0 3.0 KR26_GPS
30.325 40.698 -12.52 -1.73 0.0 0.0 1.82 2.23 0.001 0.0 0.0 3.0 KR27_GPS
30.353 40.696 -13.53 2.6 0.0 0.0 1.44 1.75 0.001 0.0 0.0 3.0 KR28_GPS
30.407 40.704 -13.51 3.2 0.0 0.0 1.98 2.44 0.001 0.0 0.0 3.0 KR29_GPS
30.436 40.691 -14.57 -1.03 0.0 0.0 1.34 1.62 0.001 0.0 0.0 3.0 KR30_GPS
30.36 40.67 -14.25 0.84 0.0 0.0 1.48 1.82 0.001 0.0 0.0 3.0 KR31_GPS
30.325 40.612 -18.67 -4.12 0.0 0.0 2.04 2.18 0.001 0.0 0.0 3.0 KR32_GPS
30.13 40.745 -8.23 0.57 0.0 0.0 0.71 0.85 0.001 0.0 0.0 3.0 SISL_GPS
30.134 40.689 -15.14 -1.58 0.0 0.0 1.03 1.35 0.001 0.0 0.0 3.0 SMAS_GPS
356.91138 40.5249 -0.25 -1.58 3.65 11.24 0.12 0.07 0.199 -2.01 -1.78 0.24 YEBE_GPS
41.56507 43.78839 -0.73 3.1 8.78 7.77 0.13 0.09 -0.016 2.56 1.61 0.33 ZECK_GPS
35.14506 33.02282 -2.27 9.75 8.84 8.42 0.07 0.08 -0.073 0.79 0.53 0.18 KABR_GPS
34.76314 30.59761 -0.53 8.95 8.7 8.41 0.07 0.08 -0.059 0.27 -0.5 0.21 RAMO_GPS
33.39645 35.14099 -5.4 4.71 8.0 9.0 0.08 0.09 -0.114 0.16 0.22 0.27 NICO_GPS
30.86908 40.58348 -16.52 -1.09 16.11 19.49 0.25 0.21 0.0 0.41 0.41 0.52 DRCN_GPS
30.85039 41.0478 -0.58 0.7 -0.58 0.7 0.21 0.29 -0.002 -0.71 -0.71 0.49 KOCL_GPS
30.74075 40.79499 -5.9 -0.2 26.71 20.43 0.19 0.13 0.001 -0.2 -0.2 0.27 HEND_GPS
30.63808 40.76619 -5.87 1.88 26.71 22.54 0.2 0.39 0.0 -6.12 -6.12 0.62 HNDK_GPS
30.49674 50.36418 -1.67 0.82 8.11 8.63 0.11 0.13 0.018 2.46 2.87 0.36 GLSV_GPS
30.49528 40.40281 -22.25 -1.95 10.3 18.77 0.33 0.25 -0.002 -0.05 -0.05 0.45 TRKL_GPS
30.31675 41.02122 -0.88 0.44 -0.88 0.45 0.3 0.23 0.0 -0.41 -0.41 0.42 KNRC_GPS
30.16221 40.51655 -19.33 -1.49 13.14 19.35 0.21 0.25 -0.002 0.13 0.13 0.46 PMKV_GPS
30.40462 40.7587 -7.93 0.81 24.6 21.56 0.25 0.26 0.001 -1.93 -1.93 0.56 EREN_GPS
29.89645 40.76407 -7.59 1.28 24.82 22.22 0.39 0.63 -0.004 1.09 1.09 0.69 ISUU_GPS
29.4394 40.80524 -3.81 -0.33 28.49 20.78 0.24 0.23 0.002 -0.44 -0.44 0.47 GEBZ_GPS
29.7271 40.44617 -20.39 -1.55 11.97 19.46 0.2 0.18 0.001 -0.88 -0.88 0.31 IZNK_GPS
29.61333 41.179 0.03 -0.27 0.03 -0.27 0.15 0.18 0.002 0.35 0.35 0.31 SILE_GPS
29.54442 40.08515 -21.42 -3.44 10.9 17.64 0.42 0.61 -0.001 -2.15 -2.15 0.58 ING1_GPS
29.51408 40.08604 -23.07 -2.17 9.24 18.92 0.26 0.23 0.0 -5.8 -5.8 0.52 INGL_GPS
29.50895 40.06861 -21.47 -0.24 10.84 20.85 0.32 0.33 0.002 -2.71 -2.71 1.28 NGL2_GPS
29.45069 40.78673 -4.97 -0.49 8.48 8.98 0.13 0.14 0.002 -0.25 0.89 0.24 TUBI_GPS
29.40736 40.83553 -3.51 0.94 28.78 22.07 0.32 0.33 -0.001 -0.78 -0.78 0.85 COVA_GPS
29.97739 40.14146 -21.9 -2.57 -0.5 0.1 0.13 0.18 0.003 -0.14 -0.14 0.26 BILE_GPS
29.95094 40.80198 -5.04 -0.31 27.38 20.61 0.13 0.14 0.002 0.53 0.53 0.27 IZMC_GPS
26.12574 44.46395 -0.62 -0.57 7.65 9.32 0.08 0.11 -0.007 1.57 -0.36 0.25 BUCU_GPS
25.18057 39.89722 -16.33 -15.89 14.92 6.75 0.35 0.52 0.0 -0.52 -0.52 0.49 LEMN_GPS
15.49348 47.06713 -0.06 0.35 6.03 10.32 0.12 0.1 -0.038 0.19 0.24 0.33 GRAZ_GPS
15.49348 47.06713 -0.07 0.35 6.03 10.32 0.12 0.1 -0.038 0.18 0.24 0.33 GRAZ_GPS
12.87891 49.1442 -0.55 -0.13 5.91 10.59 0.13 0.08 -0.076 0.04 0.52 0.31 WTZR_GPS
6.60451 52.91461 -1.04 -0.07 5.08 11.1 0.09 0.07 -0.128 0.2 0.86 0.23 WSRT_GPS
