Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
36.46500 36.53100 -6.58 10.06 0.00 0.00 1.23 1.21 0.001 0.00 0.00 3.00 ABAK_GPS
36.59800 36.73600 -7.04 10.50 0.00 0.00 1.3 1.3 0.001 0.00 0.00 3.00 AKAB_GPS
36.32900 37.57200 -11.77 6.61 0.00 0.00 1.21 1.19 0.001 0.00 0.00 3.00 ANDR_GPS
35.83900 37.05400 -12.56 8.01 0.00 0.00 1.24 1.22 0.001 0.00 0.00 3.00 CEYH_GPS
37.88600 37.54100 -6.18 13.17 0.00 0.00 1.12 1.11 0.001 0.00 0.00 3.00 CKRH_GPS
36.46000 36.84200 -7.06 10.54 0.00 0.00 1.09 1.08 0.001 0.00 0.00 3.00 CRAK_GPS
36.13700 36.89900 -11.15 8.86 0.00 0.00 1.3 1.3 0.001 0.00 0.00 3.00 DORT_GPS
36.40200 37.21900 -11.52 7.63 0.00 0.00 1.24 1.23 0.001 0.00 0.00 3.00 ELLK_GPS
36.64300 37.08700 -7.90 9.64 0.00 0.00 1.22 1.21 0.001 0.00 0.00 3.00 FEVZ_GPS
37.57400 36.90100 -6.67 12.37 0.00 0.00 1.2 1.19 0.001 0.00 0.00 3.00 GAZ1_GPS
36.52300 36.78700 -7.40 9.97 0.00 0.00 1.05 1.03 0.001 0.00 0.00 3.00 HASA_GPS
36.18000 36.53900 -8.26 9.20 0.00 0.00 1.22 1.21 0.001 0.00 0.00 3.00 ISKE_GPS
35.34000 36.54200 -11.64 7.81 0.00 0.00 1.2 1.18 0.001 0.00 0.00 3.00 KART_GPS
35.36900 37.56000 -15.83 6.80 0.00 0.00 1.48 1.4 0.001 0.00 0.00 3.00 KBSK_GPS
37.10600 36.68500 -4.36 12.41 0.00 0.00 1.21 1.19 0.001 0.00 0.00 3.00 KILI_GPS
36.99500 37.52100 -9.18 10.23 0.00 0.00 1.2 1.18 0.001 0.00 0.00 3.00 KMAS_GPS
35.68500 37.37600 -11.93 7.15 0.00 0.00 1.24 1.22 0.001 0.00 0.00 3.00 KOZA_GPS
35.07500 37.22000 -12.75 7.10 0.00 0.00 1.18 1.16 0.001 0.00 0.00 3.00 KRHY_GPS
37.30500 37.02400 -7.04 12.87 0.00 0.00 1.21 1.2 0.001 0.00 0.00 3.00 KZH1_GPS
35.63100 37.85100 -13.03 8.39 0.00 0.00 1.24 1.23 0.001 0.00 0.00 3.00 MANS_GPS
36.21600 36.37800 -5.68 10.70 0.00 0.00 1.07 1.04 0.001 0.00 0.00 3.00 SERI_GPS
35.01800 36.82300 -15.95 6.08 0.00 0.00 1.19 1.18 0.001 0.00 0.00 3.00 SLCH_GPS
36.07200 37.39400 -12.83 7.13 0.00 0.00 1.4 1.39 0.001 0.00 0.00 3.00 YIZK_GPS
35.79500 36.80700 -12.16 9.05 0.00 0.00 1.26 1.25 0.001 0.00 0.00 3.00 YUMU_GPS
35.68500 36.94300 -11.05 6.49 0.00 0.00 1.33 1.32 0.001 0.00 0.00 3.00 PT01_GPS
35.64800 36.85700 -11.97 7.00 0.00 0.00 1.33 1.31 0.001 0.00 0.00 3.00 PT02_GPS
35.94100 36.89600 -11.35 8.16 0.00 0.00 1.33 1.31 0.001 0.00 0.00 3.00 PT05_GPS
36.19100 36.16600 -5.36 10.76 0.00 0.00 1.33 1.31 0.001 0.00 0.00 3.00 PT08_GPS
36.34100 36.01700 -6.77 11.21 0.00 0.00 1.33 1.31 0.001 0.00 0.00 3.00 PT09_GPS
36.01900 35.94100 -7.87 11.38 0.00 0.00 1.33 1.31 0.001 0.00 0.00 3.00 PT12_GPS
36.10100 36.24300 -7.52 9.37 0.00 0.00 1.33 1.31 0.001 0.00 0.00 3.00 PT26_GPS
36.23200 36.74100 -12.60 10.78 0.00 0.00 1.36 1.34 0.001 0.00 0.00 3.00 PT30_GPS
36.25700 36.65400 -4.20 11.09 0.00 0.00 1.33 1.31 0.001 0.00 0.00 3.00 PT31_GPS
36.33900 36.57700 -7.67 8.93 0.00 0.00 1.33 1.31 0.001 0.00 0.00 3.00 PT33_GPS
36.37400 36.53500 -7.26 10.46 0.00 0.00 1.33 1.31 0.001 0.00 0.00 3.00 PT34_GPS
37.00900 36.81200 -6.41 11.73 0.00 0.00 1.33 1.31 0.001 0.00 0.00 3.00 PT35_GPS
36.92900 36.89500 -7.20 11.91 0.00 0.00 1.07 1.05 0.001 0.00 0.00 3.00 PT36_GPS
36.82900 36.99200 -6.99 10.47 0.00 0.00 1.33 1.32 0.001 0.00 0.00 3.00 PT37_GPS
36.73400 37.00900 -8.00 10.00 0.00 0.00 1.33 1.31 0.001 0.00 0.00 3.00 PT38_GPS
36.59800 37.11400 -8.20 9.40 0.00 0.00 1.33 1.32 0.001 0.00 0.00 3.00 PT39_GPS
36.50200 37.15800 -7.68 8.88 0.00 0.00 1.33 1.31 0.001 0.00 0.00 3.00 PT40_GPS
36.10500 37.22700 -13.13 7.05 0.00 0.00 1.33 1.32 0.001 0.00 0.00 3.00 PT42_GPS
36.17900 37.16200 -12.45 7.39 0.00 0.00 1.33 1.31 0.001 0.00 0.00 3.00 PT43_GPS
35.59900 37.03100 -12.30 7.22 0.00 0.00 1.33 1.31 0.001 0.00 0.00 3.00 PT47_GPS
128.86600 71.63400 -0.12 -0.02 0.00 0.00 0.97 0.87 0.001 0.00 0.00 3.00 TIXI_GPS
83.23500 54.84000 0.30 -0.04 0.00 0.00 0.92 0.89 0.001 0.00 0.00 3.00 NVSK_GPS
41.56500 43.78800 -0.48 0.74 0.00 0.00 1.28 1.24 0.001 0.00 0.00 3.00 ZECK_GPS
30.49600 50.36400 -0.55 -0.70 0.00 0.00 1.33 1.32 0.001 0.00 0.00 3.00 GLSV_GPS
29.01900 41.10400 0.13 -1.14 0.00 0.00 0.95 0.94 0.001 0.00 0.00 3.00 ISTA_GPS
26.12500 44.46300 -0.19 -1.02 0.00 0.00 1.16 1.15 0.001 0.00 0.00 3.00 BUCU_GPS
21.03100 52.09700 0.21 0.00 0.00 0.00 1.12 1.12 0.001 0.00 0.00 3.00 JOZE_GPS
18.93900 69.66200 -0.91 0.92 0.00 0.00 1.2 1.23 0.001 0.00 0.00 3.00 TRO1_GPS
17.07300 52.27600 0.21 -0.08 0.00 0.00 1.05 1.05 0.001 0.00 0.00 3.00 BOR1_GPS
16.70400 40.64900 1.15 4.52 0.00 0.00 1.34 1.36 0.001 0.00 0.00 3.00 MATE_GPS
15.49300 47.06700 1.08 0.28 0.00 0.00 1.54 1.54 0.001 0.00 0.00 3.00 GRAZ_GPS
14.78500 49.91300 0.28 0.07 0.00 0.00 1.22 1.22 0.001 0.00 0.00 3.00 GOPE_GPS
12.87800 49.14400 0.21 0.38 0.00 0.00 1.24 1.24 0.001 0.00 0.00 3.00 WTZR_GPS
11.92500 57.39500 -0.49 -0.46 0.00 0.00 0.93 0.94 0.001 0.00 0.00 3.00 ONSA_GPS
7.46500 46.87700 0.06 0.52 0.00 0.00 0.94 0.93 0.001 0.00 0.00 3.00 ZIMM_GPS
6.60400 52.91400 0.21 0.77 0.00 0.00 1.04 1.04 0.001 0.00 0.00 3.00 WSRT_GPS
4.35900 50.79700 0.29 0.30 0.00 0.00 1.39 1.38 0.001 0.00 0.00 3.00 BRUS_GPS
1.48000 43.56000 -0.19 -0.30 0.00 0.00 1.58 1.57 0.001 0.00 0.00 3.00 TLSE_GPS
0.33600 50.86700 -0.18 0.38 0.00 0.00 1.23 1.22 0.001 0.00 0.00 3.00 HERS_GPS
