Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
42.98600 42.25500 -0.20 3.11 0.00 0.00 0.8 1.02 0.051 4.42 0.00 4.17 GR04_GPS
43.00500 42.10200 0.98 3.47 0.00 0.00 0.5 0.58 -0.003 7.15 0.00 2.32 GR01_GPS
43.03900 42.54000 1.06 1.32 0.00 0.00 0.54 0.65 0.019 3.64 0.00 2.35 GR07_GPS
43.13400 42.46800 1.04 2.08 0.00 0.00 0.35 0.4 -0.045 3.46 0.00 1.44 GR06_GPS
43.18300 42.17400 0.31 3.35 0.00 0.00 0.45 0.55 -0.068 4.08 0.00 1.88 GR03_GPS
43.28000 42.63700 -0.02 1.67 0.00 0.00 0.57 0.69 -0.038 -1.06 0.00 2.52 GR08_GPS
43.40000 42.50000 0.37 1.97 0.00 0.00 0.49 0.59 -0.113 0.20 0.00 2.16 GR09_GPS
43.54400 42.56300 0.22 0.08 0.00 0.00 0.5 0.57 -0.069 4.67 0.00 2.12 GR10_GPS
43.66600 41.31700 1.84 4.02 0.00 0.00 0.42 0.48 -0.012 -1.69 0.00 1.62 GJ06_GPS
44.31000 41.27400 2.17 4.48 0.00 0.00 0.82 0.99 -0.165 1.08 0.00 4.42 GK02_GPS
44.32500 41.21600 2.97 3.72 0.00 0.00 0.56 0.66 0.064 1.68 0.00 2.46 GK01_GPS
44.41800 41.37900 2.38 4.01 0.00 0.00 0.51 0.57 -0.062 3.47 0.00 2.30 GK03_GPS
44.46800 42.52500 0.10 3.81 0.00 0.00 0.59 0.58 -0.198 -0.72 0.00 2.21 GK14_GPS
44.50200 41.55800 2.71 4.56 0.00 0.00 0.59 0.74 0.041 3.98 0.00 2.66 GK04_GPS
44.50900 41.68900 1.03 5.53 0.00 0.00 0.4 0.46 -0.025 1.01 0.00 1.59 GK06_GPS
44.67200 42.22500 -0.25 2.99 0.00 0.00 0.46 0.55 -0.080 6.16 0.00 2.24 GK11_GPS
44.68800 42.30400 -0.69 3.54 0.00 0.00 0.75 0.88 -0.022 3.27 0.00 4.67 GK12_GPS
43.35300 42.32400 0.23 2.43 0.00 0.00 0.25 0.26 0.007 3.02 0.00 0.93 SARK_GPS
43.49300 41.41000 1.77 4.20 0.00 0.00 0.17 0.16 -0.001 -1.70 0.00 0.49 AKAL_GPS
44.72000 41.92000 0.03 4.15 0.00 0.00 0.26 0.32 0.004 2.05 0.00 0.85 NTKT_GPS
44.10200 41.53900 0.42 3.67 0.00 0.00 0.15 0.17 0.003 0.69 0.00 0.42 TRLT_GPS
44.80700 41.70200 0.95 5.27 0.00 0.00 0.14 0.18 0.006 0.81 0.00 0.44 TBIL_GPS
44.49100 42.44400 -0.44 2.92 0.00 0.00 0.13 0.13 0.007 0.79 0.00 0.28 GUDA_GPS
44.96800 42.11000 0.09 3.60 0.00 0.00 0.17 0.26 0.003 0.88 0.00 0.39 TIAN_GPS
44.42900 41.92000 0.16 3.53 0.00 0.00 0.2 0.25 0.003 0.83 0.00 0.64 KASP_GPS
41.63100 42.96800 0.71 2.78 0.00 0.00 0.2 0.28 0.002 0.39 0.00 0.25 AKHA_GPS
11.92600 57.39500 -0.24 -0.88 0.00 0.00 0.07 0.09 -0.038 2.89 0.00 0.20 ONSA_GPS
14.99000 36.87600 -0.89 4.53 0.00 0.00 0.08 0.08 0.024 -1.10 0.00 0.20 NOT1_GPS
23.39500 42.55600 1.00 -2.42 0.00 0.00 0.59 0.6 -0.001 4.03 0.00 1.24 SOFI_GPS
26.12600 44.46400 0.01 -1.36 0.00 0.00 0.08 0.08 -0.006 2.42 0.00 0.25 BUCU_GPS
31.97300 46.97300 -0.04 -0.63 0.00 0.00 0.08 0.14 -0.001 0.17 0.00 0.18 MIKL_GPS
