Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
40.07900 39.85200 -5.71 2.73 0.00 0.00 0.52 0.65 -0.086 0.00 0.00 3.000 CYRL_GPS
39.85300 39.59100 -13.11 8.17 0.00 0.00 0.54 0.67 -0.089 0.00 0.00 3.000 MUTU_GPS
39.72500 39.58200 -12.19 9.56 0.00 0.00 0.54 0.67 -0.084 0.00 0.00 3.000 CLYN_GPS
39.68800 39.72400 -11.36 3.56 0.00 0.00 0.54 0.67 -0.083 0.00 0.00 3.000 UZUM_GPS
39.59300 39.73300 -10.52 3.37 0.00 0.00 0.57 0.73 -0.098 0.00 0.00 3.000 EKSU_GPS
39.49400 39.65200 -15.59 5.35 0.00 0.00 0.82 1.07 -0.055 0.00 0.00 3.000 BNKC_GPS
39.48200 39.79300 -10.52 0.77 0.00 0.00 0.52 0.64 -0.083 0.00 0.00 3.000 ER98_GPS
39.42000 40.15100 -4.55 1.60 0.00 0.00 0.27 0.26 -0.034 0.00 0.00 3.000 KLKT_GPS
39.36100 39.90200 -4.24 -1.26 0.00 0.00 0.52 0.64 -0.090 0.00 0.00 3.000 AHMD_GPS
39.34900 39.76200 -13.57 3.37 0.00 0.00 0.61 0.77 -0.078 0.00 0.00 3.000 BHCL_GPS
39.16400 39.61300 -10.87 7.71 0.00 0.00 0.47 0.57 -0.088 0.00 0.00 3.000 KMAH_GPS
38.83600 40.13600 -4.09 2.70 0.00 0.00 0.49 0.61 -0.092 0.00 0.00 3.000 KRDK_GPS
38.77400 39.91400 -13.87 5.92 0.00 0.00 0.44 0.54 -0.081 0.00 0.00 3.000 RFHY_GPS
38.74300 39.82000 -18.39 9.60 0.00 0.00 0.45 0.53 -0.082 0.00 0.00 3.000 ARPY_GPS
38.74300 40.04700 -10.58 0.12 0.00 0.00 0.51 0.64 -0.088 0.00 0.00 3.000 AYDG_GPS
38.51500 39.61400 -11.76 8.02 0.00 0.00 0.48 0.58 -0.092 0.00 0.00 3.000 ILIC_GPS
38.44800 40.31600 -5.05 -1.70 0.00 0.00 0.46 0.55 -0.087 0.00 0.00 3.000 SBKH_GPS
38.12100 39.88200 -13.35 7.48 0.00 0.00 0.55 0.69 -0.108 0.00 0.00 3.000 IMRN_GPS
38.06700 40.16200 -14.74 7.03 0.00 0.00 0.55 0.68 -0.102 0.00 0.00 3.000 SUSE_GPS
37.95800 39.45400 -18.18 9.88 0.00 0.00 0.5 0.58 -0.068 0.00 0.00 3.000 SINC_GPS
37.86900 40.31300 -7.74 4.87 0.00 0.00 0.45 0.53 -0.082 0.00 0.00 3.000 IKYK_GPS
37.77100 40.46300 -4.46 4.98 0.00 0.00 0.46 0.54 -0.067 0.00 0.00 3.000 MSDY_GPS
37.75700 39.86700 -18.82 10.13 0.00 0.00 0.46 0.56 -0.101 0.00 0.00 3.000 TEKK_GPS
37.60400 40.77800 -2.12 1.41 0.00 0.00 0.26 0.24 -0.027 0.00 0.00 3.000 GURE_GPS
37.54900 40.22100 -17.47 7.73 0.00 0.00 0.41 0.48 -0.085 0.00 0.00 3.000 DOSA_GPS
37.39400 39.92100 -21.28 5.96 0.00 0.00 0.45 0.54 -0.090 0.00 0.00 3.000 KSDR_GPS
37.26500 40.54700 -9.09 5.18 0.00 0.00 0.41 0.48 -0.090 0.00 0.00 3.000 BRKT_GPS
37.09500 39.78600 -20.33 8.58 0.00 0.00 0.26 0.24 -0.035 0.00 0.00 3.000 SIVA_GPS
37.05400 40.86300 -1.13 -0.85 0.00 0.00 0.43 0.53 -0.104 0.00 0.00 3.000 AKKS_GPS
37.00100 40.68500 -5.48 4.07 0.00 0.00 0.45 0.55 -0.088 0.00 0.00 3.000 OZDM_GPS
36.80400 40.55700 -13.52 5.23 0.00 0.00 0.48 0.57 -0.103 0.00 0.00 3.000 TALN_GPS
36.77000 40.68000 -5.77 3.12 0.00 0.00 0.41 0.48 -0.090 0.00 0.00 3.000 PBYL_GPS
36.75200 40.47600 -14.42 6.74 0.00 0.00 0.45 0.54 -0.097 0.00 0.00 3.000 GKDE_GPS
36.55400 40.23700 -20.73 7.08 0.00 0.00 0.25 0.23 -0.032 0.00 0.00 3.000 CRDK_GPS
36.48500 40.61700 -17.18 4.80 0.00 0.00 0.39 0.46 -0.095 0.00 0.00 3.000 KZLU_GPS
74.69400 42.68000 -0.07 0.88 0.00 0.00 0.12 0.12 -0.028 0.00 0.00 3.000 POL2_GPS
66.88500 39.13500 -0.69 0.94 0.00 0.00 0.14 0.13 -0.039 0.00 0.00 3.000 KIT3_GPS
24.39500 60.21700 0.03 -1.09 0.00 0.00 0.14 0.16 0.049 0.00 0.00 3.000 METS_GPS
21.03200 52.09700 -0.33 1.30 0.00 0.00 0.19 0.22 -0.014 0.00 0.00 3.000 JOZE_GPS
18.93800 69.66300 -0.17 1.00 0.00 0.00 0.12 0.14 0.090 0.00 0.00 3.000 TROM_GPS
15.49300 47.06700 0.26 0.73 0.00 0.00 0.13 0.14 -0.025 0.00 0.00 3.000 GRAZ_GPS
13.06600 52.37900 -0.78 -0.21 0.00 0.00 0.11 0.12 0.009 0.00 0.00 3.000 POTS_GPS
12.87900 49.14400 -0.48 -0.30 0.00 0.00 0.13 0.15 0.007 0.00 0.00 3.000 WTZR_GPS
7.46500 46.87700 0.51 1.36 0.00 0.00 0.14 0.15 0.042 0.00 0.00 3.000 ZIMM_GPS
5.81000 52.17800 0.53 -0.05 0.00 0.00 0.19 0.23 0.022 0.00 0.00 3.000 KOSG_GPS
4.35900 50.79800 0.29 -0.68 0.00 0.00 0.12 0.14 0.044 0.00 0.00 3.000 BRUS_GPS
0.33600 50.86700 -0.06 -0.14 0.00 0.00 0.12 0.13 0.050 0.00 0.00 3.000 HERS_GPS
