Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
45.04 12.812 14.85 12.03 0.0 0.0 0.43 0.39 -0.006 0.0 0.0 3.0 ADEN_GPS
38.119 15.655 0.46 0.93 0.0 0.0 0.33 0.32 -0.004 0.0 0.0 3.0 ADER_GPS
39.325 14.883 1.02 -0.23 0.0 0.0 0.39 0.37 0.0 0.0 0.0 3.0 ADIK_GPS
42.654 13.063 15.9 12.43 0.0 0.0 0.24 0.24 0.0 0.0 0.0 3.0 ASAB_GPS
42.167 13.614 14.29 12.2 0.0 0.0 0.46 0.42 -0.039 0.0 0.0 3.0 BOTA_GPS
40.11 15.639 4.4 1.58 0.0 0.0 0.41 0.39 -0.007 0.0 0.0 3.0 DAHE_GPS
39.955 15.737 4.88 -0.74 0.0 0.0 0.4 0.38 -0.008 0.0 0.0 3.0 DAHW_GPS
42.346 12.703 16.76 12.73 0.0 0.0 0.61 0.57 -0.017 0.0 0.0 3.0 DEBA_GPS
44.392 14.571 13.46 12.26 0.0 0.0 0.55 0.51 -0.017 0.0 0.0 3.0 DHMR_GPS
41.677 13.845 15.95 8.33 0.0 0.0 0.41 0.38 -0.002 0.0 0.0 3.0 EDIL_GPS
41.353 14.359 11.82 7.4 0.0 0.0 0.4 0.38 -0.011 0.0 0.0 3.0 EDTI_GPS
39.583 15.296 3.77 0.25 0.0 0.0 0.35 0.32 -0.007 0.0 0.0 3.0 GEDE_GPS
40.088 15.114 6.65 0.63 0.0 0.0 0.36 0.34 0.002 0.0 0.0 3.0 GELA_GPS
41.383 19.042 9.95 11.14 0.0 0.0 0.39 0.37 -0.007 0.0 0.0 3.0 GOOZ_GPS
39.465 15.657 1.55 0.63 0.0 0.0 0.4 0.39 -0.009 0.0 0.0 3.0 GURG_GPS
38.715 15.638 0.46 0.4 0.0 0.0 0.33 0.32 0.005 0.0 0.0 3.0 HABR_GPS
39.458 15.456 2.8 1.09 0.0 0.0 0.41 0.39 -0.006 0.0 0.0 3.0 HIRG_GPS
42.104 16.699 11.37 10.99 0.0 0.0 0.37 0.37 -0.001 0.0 0.0 3.0 JIZN_GPS
43.436 13.317 16.27 13.51 0.0 0.0 0.62 0.53 0.004 0.0 0.0 3.0 JNAR_GPS
39.255 15.578 1.31 0.08 0.0 0.0 0.33 0.32 -0.003 0.0 0.0 3.0 MAIA_GPS
41.829 19.096 9.95 11.47 0.0 0.0 0.38 0.37 -0.003 0.0 0.0 3.0 MAJR_GPS
42.184 12.416 16.44 10.82 0.0 0.0 0.38 0.36 -0.004 0.0 0.0 3.0 MAN2_GPS
39.379 15.652 1.77 0.57 0.0 0.0 0.41 0.4 -0.01 0.0 0.0 3.0 MASZ_GPS
38.776 15.233 0.84 0.48 0.0 0.0 0.42 0.4 -0.011 0.0 0.0 3.0 MAYN_GPS
38.504 16.67 0.04 1.17 0.0 0.0 0.44 0.4 -0.017 0.0 0.0 3.0 NAFA_GPS
42.045 19.211 9.97 11.89 0.0 0.0 0.21 0.21 0.004 0.0 0.0 3.0 NAMA_GPS
42.556 11.617 16.12 10.01 0.0 0.0 0.42 0.42 0.003 0.0 0.0 3.0 PGMD_GPS
42.884 11.789 15.02 10.89 0.0 0.0 0.63 0.46 -0.002 0.0 0.0 3.0 PTDJ_GPS
44.19 15.348 14.48 13.35 0.0 0.0 0.56 0.54 -0.027 0.0 0.0 3.0 SANA_GPS
39.054 15.853 0.8 0.22 0.0 0.0 0.21 0.21 0.0 0.0 0.0 3.0 SHEB_GPS
40.477 14.891 7.81 3.22 0.0 0.0 0.41 0.39 -0.006 0.0 0.0 3.0 TIGE_GPS
40.961 14.615 10.26 4.98 0.0 0.0 0.37 0.35 -0.029 0.0 0.0 3.0 TIO1_GPS
