Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
47.23000 -19.02000 18.28 14.05 0.00 0.00 0.2 0.34 -0.003 0.00 0.00 3.00 ABPO_GPS
38.77000 9.04000 24.25 18.88 0.00 0.00 0.22 0.18 -0.044 0.00 0.00 3.00 ADIS_GPS
29.91000 31.20000 31.59 14.66 0.00 0.00 1.07 0.89 -0.001 0.00 0.00 3.00 ALEX_GPS
48.07000 -21.38000 17.81 14.36 0.00 0.00 0.72 0.64 0.034 0.00 0.00 3.00 ANTA_GPS
37.56000 6.06000 28.03 16.19 0.00 0.00 0.58 0.67 -0.004 0.00 0.00 3.00 ARMI_GPS
36.71000 -3.41000 24.01 17.59 0.00 0.00 0.46 0.38 0.125 0.00 0.00 3.00 ARS1_GPS
35.75000 -4.18000 23.44 17.39 0.00 0.00 0.45 0.38 0.012 0.00 0.00 3.00 BABT_GPS
29.89000 0.35000 24.79 18.66 0.00 0.00 0.28 0.26 0.006 0.00 0.00 3.00 BAKC_GPS
37.36000 11.60000 21.57 17.67 0.00 0.00 0.22 0.24 -0.036 0.00 0.00 3.00 BDAR_GPS
33.46000 -8.91000 22.10 17.42 0.00 0.00 0.36 0.28 0.011 0.00 0.00 3.00 BEYA_GPS
2.00000 7.18000 22.23 19.82 0.00 0.00 0.38 0.24 0.031 0.00 0.00 3.00 BJAB_GPS
2.45000 6.38000 21.82 19.41 0.00 0.00 0.28 0.29 0.033 0.00 0.00 3.00 BJCO_GPS
2.93000 11.12000 22.41 19.11 0.00 0.00 0.38 0.37 0.020 0.00 0.00 3.00 BJKA_GPS
3.20000 9.95000 21.93 19.21 0.00 0.00 0.52 0.36 0.016 0.00 0.00 3.00 BJNI_GPS
2.63000 9.36000 21.46 18.95 0.00 0.00 0.3 0.2 0.046 0.00 0.00 3.00 BJPA_GPS
1.99000 7.93000 21.40 19.40 0.00 0.00 0.35 0.24 0.034 0.00 0.00 3.00 BJSA_GPS
4.23000 12.47000 22.83 19.11 0.00 0.00 0.52 0.29 0.021 0.00 0.00 3.00 BKFP_GPS
9.12000 10.12000 22.65 18.54 0.00 0.00 0.55 0.42 0.010 0.00 0.00 3.00 CGGN_GPS
9.12000 10.12000 22.65 18.54 0.00 0.00 0.55 0.42 0.010 0.00 0.00 3.00 CGGT_GPS
8.35000 4.95000 24.08 18.28 0.00 0.00 0.9 0.95 0.005 0.00 0.00 3.00 CLBR_GPS
-17.47 14.68000 20.58 12.05 0.00 0.00 0.9 0.72 0.016 0.00 0.00 3.00 DAKA_GPS
39.48000 13.48000 24.66 15.05 0.00 0.00 1.15 1.37 -0.002 0.00 0.00 3.00 DAKE_GPS
42.03000 9.42000 28.55 18.04 0.00 0.00 0.46 0.3 -0.017 0.00 0.00 3.00 DAMY_GPS
23.99000 -30.67000 16.89 19.21 0.00 0.00 0.1 0.09 0.027 0.00 0.00 3.00 DEAR_GPS
12.61000 13.31000 21.30 19.39 0.00 0.00 0.58 0.36 0.002 0.00 0.00 3.00 DIFA_GPS
1.66000 9.69000 21.22 19.00 0.00 0.00 0.18 0.15 0.113 0.00 0.00 3.00 DJO1_GPS
1.66000 9.69000 21.22 19.00 0.00 0.00 0.18 0.15 0.113 0.00 0.00 3.00 DJOU_GPS
35.75000 -6.17000 24.25 17.57 0.00 0.00 0.26 0.22 0.002 0.00 0.00 3.00 DODC_GPS
35.75000 -6.19000 23.87 16.89 0.00 0.00 0.34 0.51 0.001 0.00 0.00 3.00 DODM_GPS
32.44000 0.04000 24.77 16.41 0.00 0.00 0.27 0.3 -0.005 0.00 0.00 3.00 EBBE_GPS
35.28000 0.52000 24.64 19.26 0.00 0.00 0.44 0.35 -0.019 0.00 0.00 3.00 ELDS_GPS
29.88000 0.37000 23.85 18.15 0.00 0.00 0.54 0.54 0.012 0.00 0.00 3.00 ELEX_GPS
35.28000 -4.16000 24.05 17.48 0.00 0.00 0.5 0.41 0.009 0.00 0.00 3.00 EMSK_GPS
38.76000 9.02000 23.32 17.60 0.00 0.00 0.21 0.29 -0.030 0.00 0.00 3.00 ETAD_GPS
41.86000 9.61000 27.57 15.20 0.00 0.00 0.26 0.24 -0.035 0.00 0.00 3.00 ETDD_GPS
36.82000 7.67000 22.62 17.44 0.00 0.00 0.56 0.54 -0.005 0.00 0.00 3.00 ETJI_GPS
29.89000 0.35000 24.79 18.66 0.00 0.00 0.28 0.26 0.006 0.00 0.00 3.00 FFPS_GPS
-16.91 32.65000 14.13 18.48 0.00 0.00 0.44 0.44 0.033 0.00 0.00 3.00 FUNC_GPS
12.50000 9.35000 23.81 18.56 0.00 0.00 0.91 0.3 0.007 0.00 0.00 3.00 FUTY_GPS
-0.01 16.25000 20.27 19.16 0.00 0.00 0.2 0.19 0.098 0.00 0.00 3.00 GAO0_GPS
-0.01 16.25000 20.27 19.16 0.00 0.00 0.2 0.19 0.098 0.00 0.00 3.00 GAO1_GPS
36.11000 -2.73000 23.98 16.80 0.00 0.00 0.66 0.52 0.031 0.00 0.00 3.00 GEL2_GPS
32.22000 -2.88000 24.81 19.12 0.00 0.00 0.95 0.88 0.001 0.00 0.00 3.00 GETA_GPS
