Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
73.755 42.168 28.3 6.9 0.0 0.0 0.3 0.3 0.004 0.0 0.0 3.0 AAC4_GPS
72.05 41.784 26.0 5.7 0.0 0.0 0.3 0.3 0.01 0.0 0.0 3.0 ABD4_GPS
75.525 44.132 27.0 3.7 0.0 0.0 0.4 0.4 0.0 0.0 0.0 3.0 ADA4_GPS
70.023 40.8 26.9 8.9 0.0 0.0 0.6 0.6 0.008 0.0 0.0 3.0 ADRA_GPS
79.969 42.896 29.8 8.5 0.0 0.0 0.4 0.4 0.003 0.0 0.0 3.0 AIB4_GPS
76.956 42.073 29.1 10.9 0.0 0.0 0.3 0.3 0.006 0.0 0.0 3.0 AKB4_GPS
73.821 38.503 22.4 24.6 0.0 0.0 0.6 0.6 0.004 0.0 0.0 3.0 AKBA_GPS
80.135 47.882 24.9 2.1 0.0 0.0 0.8 0.7 0.03 0.0 0.0 3.0 AKD4_GPS
78.542 41.795 30.2 12.5 0.0 0.0 0.4 0.4 -0.005 0.0 0.0 3.0 AKH4_GPS
72.145 41.557 26.2 6.9 0.0 0.0 0.3 0.3 0.011 0.0 0.0 3.0 AKJ4_GPS
76.854 42.885 28.5 5.3 0.0 0.0 0.4 0.4 0.004 0.0 0.0 3.0 AKK4_GPS
78.451 40.942 29.8 17.3 0.0 0.0 0.6 0.6 0.006 0.0 0.0 3.0 AKQI_GPS
75.967 40.717 28.3 14.7 0.0 0.0 0.3 0.3 0.008 0.0 0.0 3.0 AKS4_GPS
79.851 43.427 29.7 6.8 0.0 0.0 0.5 0.5 0.002 0.0 0.0 3.0 AKT4_GPS
78.966 39.877 28.8 18.7 0.0 0.0 0.5 0.5 0.006 0.0 0.0 3.0 AKTA_GPS
75.899 39.196 30.6 23.6 0.0 0.0 0.6 0.6 0.0 0.0 0.0 3.0 AKTO_GPS
71.46 41.362 26.9 6.2 0.0 0.0 0.3 0.3 0.007 0.0 0.0 3.0 ALA4_GPS
76.167 42.313 28.6 7.4 0.0 0.0 0.4 0.4 0.013 0.0 0.0 3.0 ALB5_GPS
72.258 39.421 21.2 15.2 0.0 0.0 0.6 0.6 0.035 0.0 0.0 3.0 ALD4_GPS
