Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
21.6261 40.00896 18.45 12.32 0.0 0.0 0.72 0.73 -0.01 -0.7 0.0 -0.7 KN03_G05
28.6718 41.05651 18.11 7.62 0.0 0.0 1.16 1.25 0.0 -8.47 0.0 -8.47 N107_GDU
28.6524 41.02162 23.63 10.7 0.0 0.0 1.13 1.3 -0.01 -8.13 0.0 -8.13 N108_GDU
43.782 41.12126 23.24 -17.57 0.0 0.0 0.35 0.38 0.01 -6.0 0.0 -6.0 BAV0_GPS
30.7413 40.53593 4.26 5.27 0.0 0.0 2.14 3.04 0.09 15.8 0.0 -15.8 ACV2_GPS
23.9631 38.3877 0.03 -6.22 0.0 0.0 3.17 2.96 0.24 4.79 0.0 4.79 CG52_GPS
23.6859 41.78989 24.1 14.81 0.0 0.0 1.12 1.17 0.06 -4.37 0.0 -4.37 GOST_GPS
29.0614 41.06081 28.87 9.34 0.0 0.0 2.81 2.85 -0.01 3.88 0.0 -17.11 KANT_GPS
21.5266 40.02164 18.11 28.04 0.0 0.0 2.19 2.4 0.14 20.44 0.0 20.44 KN09_G05
21.4983 40.18373 15.77 20.36 0.0 0.0 1.78 1.15 -0.05 1.4 0.0 1.4 GV69_G06
29.9624 40.84552 20.33 5.59 0.0 0.0 0.44 0.5 0.0 -0.9 0.0 -0.9 UCG2_3DU
23.2222 38.61987 1.83 -0.13 0.0 0.0 0.38 0.38 0.0 -3.89 0.0 -3.89 EC00_GAG
22.8751 37.72349 -5.01 -11.36 0.0 0.0 1.45 3.15 0.04 10.3 0.0 -10.3 CG63_GAG
23.4882 42.60237 26.72 16.93 0.0 0.0 1.17 1.26 -0.02 -4.23 0.0 -4.23 LOZE_GPS
33.3529 35.19505 1.24 1.95 0.0 0.0 0.26 0.26 0.01 -0.24 0.0 -0.24 LEFK_GB1
43.4926 41.41012 23.74 -18.6 0.0 0.0 0.64 0.66 0.0 -0.76 0.0 1.32 AKAL_GSU
29.2378 40.91671 21.86 4.21 0.0 0.0 0.98 1.06 -0.09 11.89 0.0 11.89 YACT_GDU
28.7238 40.98867 16.31 8.35 0.0 0.0 0.65 0.33 -0.01 -9.04 0.0 -1.77 AVCT_4DU
