Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
7.90462 47.62335 -0.103 0.079 0.0 0.0 0.081 0.202 0.001 -0.286 0.0 0.237 .001_GPS
17.25852 60.59514 -0.286 -0.701 0.0 0.0 0.19 0.156 0.001 7.071 0.0 0.736 MAR6_GPS
8.41633 47.36994 -0.016 0.51 0.0 0.0 0.048 0.087 0.001 0.3 0.0 0.311 .168_GPS
8.25309 47.44526 -0.022 0.308 0.0 0.0 0.04 0.021 0.001 0.394 0.0 0.426 .261_GPS
8.5166 47.40521 -0.16 0.413 0.0 0.0 0.059 0.115 0.001 0.575 0.0 0.483 .300_GPS
8.01159 47.4011 0.105 0.392 0.0 0.0 0.294 0.057 0.001 0.282 0.0 0.232 .323_GPS
7.658 48.7088 0.236 -0.413 0.0 0.0 0.401 0.505 0.001 0.338 0.0 0.696 BIW1_GPS
8.04998 47.26592 0.087 0.472 0.0 0.0 0.557 0.044 0.001 0.484 0.0 0.554 .332_GPS
7.98285 47.45764 0.133 0.347 0.0 0.0 0.195 0.099 0.001 0.265 0.0 0.238 .334_GPS
8.49647 47.48908 -0.075 0.203 0.0 0.0 0.087 0.22 0.001 0.397 0.0 0.395 .424_GPS
7.71127 47.45544 -0.033 0.187 0.0 0.0 0.065 0.12 0.001 -0.008 0.0 0.031 SLTB_GPS
12.5671 43.37006 1.615 3.8 0.0 0.0 0.051 0.218 0.001 1.151 0.0 0.857 ATFO_GPS
8.53961 47.3589 -0.163 0.514 0.0 0.0 0.056 0.028 0.001 0.408 0.0 0.246 .579_GPS
8.61197 47.51247 0.036 0.357 0.0 0.0 0.0 0.015 0.001 0.101 0.0 0.099 .600_GPS
1.82785 49.65575 -0.92 -0.075 0.0 0.0 0.509 0.177 0.001 -1.495 0.0 0.049 CT3N_GPS
8.09032 47.41254 0.139 0.269 0.0 0.0 0.31 0.106 0.001 0.147 0.0 0.022 .606_GPS
8.37683 47.39782 -0.027 0.448 0.0 0.0 0.032 0.001 0.001 0.29 0.0 0.297 .628_GPS
7.87146 47.46791 0.216 0.294 0.0 0.0 0.072 0.042 0.001 0.331 0.0 0.264 .631_GPS
2.614 48.699 -0.84 -0.105 0.0 0.0 0.014 0.148 0.001 -0.905 0.0 0.275 CT54_GPS
7.92985 47.34343 0.308 0.342 0.0 0.0 0.469 0.143 0.001 0.406 0.0 0.23 .800_GPS
2.7581 48.52885 -0.385 1.19 0.0 0.0 0.177 0.552 0.001 -1.025 0.0 0.021 CT5I_GPS
8.65585 47.7376 0.21 0.086 0.0 0.0 0.066 0.111 0.001 -0.232 0.0 0.096 SCHA_GPS
8.11191 47.52742 -0.14 0.202 0.0 0.0 0.082 0.135 0.001 -0.134 0.0 0.088 FRIC_GPS
9.1827 39.3472 -0.182 -0.38 0.0 0.0 0.231 0.344 0.001 -1.578 0.0 1.115 SOLE_GPS
2.8972 47.8699 -0.849 -0.55 0.0 0.0 0.246 0.144 0.001 -1.096 0.0 0.53 CTBC_GPS
12.52473 43.26317 0.966 0.315 0.0 0.0 0.078 0.554 0.001 -0.025 0.0 1.053 MURB_GPS
13.5151 42.1376 -0.697 4.293 0.0 0.0 0.238 0.223 0.001 0.901 0.0 0.786 OVRA_GPS
11.985 57.68 -0.618 -0.592 0.0 0.0 0.307 0.974 0.001 2.747 0.0 0.186 0KRO_GPS
18.074 59.3184 -0.207 -0.915 0.0 0.0 0.393 0.466 0.001 5.23 0.0 0.699 0MOS_GPS
12.87585 49.14499 -0.218 -0.35 0.0 0.0 0.045 0.198 0.001 -0.838 0.0 0.059 WRLG_GPS
-4.21652 40.37799 -1.192 -0.72 0.0 0.0 0.23 0.226 0.001 0.022 0.0 0.483 CHAP_GPS
