Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
51.971 35.63 17.418 1.818 0.0 0.0 0.25 0.31 -0.002 0.0 0.0 3.0 PLZI_GPS
15.907 45.725 20.541 -4.229 0.0 0.0 2.0 2.0 0.0 0.0 0.0 3.0 BRZV_GPS
51.665 35.724 16.793 4.082 0.0 0.0 0.33 0.33 -0.001 0.0 0.0 3.0 MF16_GPS
15.826 45.831 17.857 -6.658 0.0 0.0 2.0 2.0 0.0 0.0 0.0 3.0 SKRL_GPS
15.768 45.775 20.015 -7.777 0.0 0.0 2.0 2.0 0.0 0.0 0.0 3.0 SVMG_GPS
15.637 38.232 19.731 -3.886 0.0 0.0 0.34 0.26 0.0 0.0 0.0 3.0 MM10_GPS
15.52 38.266 19.583 -3.385 0.0 0.0 0.11 0.11 0.001 0.0 0.0 3.0 PACE_GPS
15.353 38.146 20.448 -1.731 0.0 0.0 0.47 0.48 0.017 0.0 0.0 3.0 SPNC_GPS
15.331 41.159 21.489 -3.352 0.0 0.0 0.14 0.14 -0.001 0.0 0.0 3.0 ACCA_GPS
15.168 40.783 20.259 -4.818 0.0 0.0 0.16 0.16 0.021 0.0 0.0 3.0 MCRV_GPS
15.082 37.514 20.509 -4.74 0.0 0.0 0.525 0.53 0.0 0.0 0.0 3.0 EIIV_GPS
15.032 37.283 19.687 -4.095 0.0 0.0 0.42 0.41 0.008 0.0 0.0 3.0 HCRL_GPS
15.025 37.336 17.265 -3.235 0.0 0.0 0.23 0.24 0.034 0.0 0.0 3.0 IMTR_GPS
14.938 37.184 17.879 -1.763 0.0 0.0 0.3 0.3 0.037 0.0 0.0 3.0 IP16_GPS
14.937 37.429 18.368 -4.443 0.0 0.0 0.3 0.3 0.011 0.0 0.0 3.0 IM01_GPS
121.999 25.006 20.976 -2.183 0.0 0.0 0.285 0.285 0.0 0.0 0.0 3.0 S035_GPS
121.953 24.842 23.816 -13.394 0.0 0.0 1.86 0.6 0.0 0.0 0.0 3.0 N050_GPS
121.868 24.594 38.831 -30.349 0.0 0.0 0.398 0.299 0.0 0.0 0.0 3.0 S052_GPS
121.831 24.671 32.039 -21.989 0.0 0.0 2.01 0.63 0.0 0.0 0.0 3.0 N949_GPS
121.817 24.796 28.479 -9.245 0.0 0.0 1.9 0.69 0.0 0.0 0.0 3.0 N327_GPS
121.81 24.449 24.607 -17.531 0.0 0.0 0.2 0.2 0.0 0.0 0.0 3.0 NAAO_GPS
121.808 24.638 46.033 -18.531 0.0 0.0 0.82 0.53 0.0 0.0 0.0 3.0 N914_GPS
121.803 24.691 31.231 -14.28 0.0 0.0 0.68 0.35 0.0 0.0 0.0 3.0 N912_GPS
121.802 24.87 20.398 -3.45 0.0 0.0 0.297 0.297 0.0 0.0 0.0 3.0 0996_GPS
121.791 24.66 41.087 -17.347 0.0 0.0 0.37 0.59 0.0 0.0 0.0 3.0 N407_GPS
121.779 24.862 26.411 1.467 0.0 0.0 0.2 0.2 0.0 0.0 0.0 3.0 YNTS_GPS
121.774 24.865 25.564 -1.937 0.0 0.0 0.649 0.649 0.0 0.0 0.0 3.0 S034_GPS
121.772 24.684 36.606 -9.185 0.0 0.0 0.394 0.394 0.0 0.0 0.0 3.0 I301_GPS
121.757 24.764 28.734 -3.434 0.0 0.0 0.2 0.2 0.0 0.0 0.0 3.0 ILAN_GPS
121.749 24.309 24.94 -11.735 0.0 0.0 0.2 0.2 0.0 0.0 0.0 3.0 HUAP_GPS
121.746 24.746 31.917 -1.51 0.0 0.0 0.437 0.432 0.0 0.0 0.0 3.0 YILN_GPS
121.744 24.805 25.01 -4.895 0.0 0.0 0.4 0.4 0.0 0.0 0.0 3.0 1139_GPS
121.736 24.637 44.532 -10.93 0.0 0.0 2.87 1.03 0.0 0.0 0.0 3.0 N366_GPS
