Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
115.892 39.609 3.3 -1.9 0.0 0.0 0.1 0.1 0.0 0.0 0.0 3.0 BJFS_GPS
116.132 40.194 3.7 -2.9 0.0 0.0 0.7 0.7 -0.017 0.0 0.0 3.0 A154_GPS
116.502 40.226 2.1 -2.69 0.0 0.0 0.2 0.1 0.0 0.0 0.0 3.0 A337_GPS
75.315 42.621 2.71 2.82 0.0 0.0 1.07 1.56 0.0 0.0 0.0 3.0 SHAS_GPS
110.034 40.656 3.0 -1.5 0.0 0.0 0.3 0.3 -0.007 0.0 0.0 3.0 X006_GPS
103.34 28.91 8.95 -3.39 0.0 0.0 0.27 0.3 0.001 0.0 0.0 3.0 SYE4_GPS
115.943 39.822 5.3 -2.07 0.0 0.0 0.3 0.1 0.0 0.0 0.0 3.0 A353_GPS
102.29 27.89 11.26 -9.31 0.0 0.0 1.0 1.0 0.012 0.0 0.0 3.0 XC11_GPS
99.8 25.84 3.34 -14.15 0.0 0.0 0.67 0.69 -0.07 0.0 0.0 3.0 EYAJ_GPS
116.248 40.105 4.3 -0.7 0.0 0.0 0.4 0.5 -0.013 0.0 0.0 3.0 A067_GPS
74.75 42.71 0.01 -1.81 0.0 0.0 1.58 1.61 -0.01 0.0 0.0 3.0 MAEV_GPS
74.77 42.8 1.53 1.43 0.0 0.0 0.3 0.34 -0.01 0.0 0.0 3.0 IV03_GPS
74.87 42.81 -2.08 0.89 0.0 0.0 0.29 0.32 -0.04 0.0 0.0 3.0 IV04_GPS
113.392 40.122 5.14 -1.27 0.0 0.0 0.3 0.2 0.0 0.0 0.0 3.0 SXDT_GPS
102.039 29.226 12.3 -10.0 0.0 0.0 0.8 0.9 -0.001 0.0 0.0 3.0 CP10_GPS
99.789 26.017 1.6 -12.1 0.0 0.0 0.5 0.4 0.003 0.0 0.0 3.0 H323_GPS
116.217 39.915 3.5 -0.4 0.0 0.0 0.5 0.5 -0.004 0.0 0.0 3.0 A089_GPS
110.01 40.46 4.75 -2.89 0.0 0.0 0.59 0.3 0.0 0.0 0.0 3.0 BT09_GPS
103.655 37.226 6.6 1.6 0.0 0.0 0.6 0.6 -0.005 0.0 0.0 3.0 GA26_GPS
