Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
7.9291 53.8062 16.59 14.89 0.0 0.0 0.3 0.3 0.0 0.85 0.0 0.67 TGWN_GPS
-0.1748 51.4998 18.0 15.92 0.0 0.0 0.68 0.78 0.0 -2.38 0.0 2.58 LICC_GPS
6.4028 53.1119 18.73 16.3 0.0 0.0 0.45 0.36 0.0 -0.43 0.0 1.43 NOR9_GPS
16.3104 39.2014 23.13 17.82 0.0 0.0 0.71 0.68 0.0 -0.65 0.0 1.96 COSE_GPS
7.0277 53.3372 15.79 15.55 0.0 0.0 0.14 0.11 0.0 -1.53 0.0 0.39 EMDE_GPS
12.3339 45.4375 18.66 14.92 0.0 0.0 0.37 0.48 0.0 -3.76 0.0 1.8 VE01_GPS
10.9347 43.7151 21.09 15.75 0.0 0.0 0.45 0.5 0.0 2.78 0.0 1.74 EMPO_GPS
6.865 53.1042 13.4 19.83 0.0 0.0 0.15 0.13 0.0 -5.69 0.0 0.52 VEEN_GPS
6.3551 52.7131 16.4 14.54 0.0 0.0 0.55 0.67 0.0 -4.38 0.0 1.71 D200_GPS
6.8117 44.4809 17.28 10.49 0.0 0.0 0.49 0.48 0.0 -3.49 0.0 1.38 SUR2_GPS
12.6646 41.5968 21.39 15.72 0.0 0.0 0.21 0.15 0.0 1.88 0.0 0.66 APRI_GPS
12.8293 41.584 22.69 17.18 0.0 0.0 0.18 0.12 0.0 -0.52 0.0 0.54 CIST_GPS
16.4492 39.3402 24.04 18.35 0.0 0.0 0.25 0.23 0.0 -0.7 0.0 1.03 CAMO_GPS
2.7492 48.9692 19.54 16.3 0.0 0.0 0.36 0.39 0.0 -0.82 0.0 0.79 CT55_GPS
1.9834 48.7607 17.46 17.19 0.0 0.0 0.51 0.58 0.0 -1.86 0.0 2.09 LNE1_GPS
6.907 44.697 19.36 12.99 0.0 0.0 0.41 0.39 0.0 -2.81 0.0 1.12 SVRN_GPS
13.1349 49.1131 20.6 15.34 0.0 0.0 0.4 0.41 0.0 0.06 0.0 1.6 ARBR_GPS
7.0309 53.3271 16.09 15.58 0.0 0.0 0.21 0.18 0.0 -1.71 0.0 0.53 KNOC_GPS
12.9494 43.5049 24.43 14.83 0.0 0.0 0.25 0.31 0.0 -1.9 0.0 0.82 ARCE_GPS
13.379 42.3376 22.93 18.58 0.0 0.0 0.64 0.57 0.0 -2.39 0.0 2.1 ROIO_GPS
15.1291 41.544 27.26 14.92 0.0 0.0 0.32 0.35 0.0 -0.83 0.0 1.23 PMCO_GPS
1.4836 43.5607 18.9 15.62 0.0 0.0 0.66 0.81 0.0 0.69 0.0 3.71 CS21_GPS
2.2163 48.6914 17.8 15.75 0.0 0.0 0.55 0.52 0.0 -1.18 0.0 1.32 VILB_GPS
14.0993 40.8342 -8.04 39.17 0.0 0.0 0.82 0.63 0.0 34.49 0.0 1.6 POIS_GPS
3.0049 47.7158 22.65 16.35 0.0 0.0 0.47 0.42 0.0 0.0 0.0 1.09 CTBA_GPS
2.8973 47.8699 17.87 15.64 0.0 0.0 0.4 0.35 0.0 -0.64 0.0 0.72 CTBC_GPS
0.6464 49.0339 17.37 17.31 0.0 0.0 0.38 0.4 0.0 -0.3 0.0 0.65 CT39_GPS
3.0116 48.5642 20.34 15.66 0.0 0.0 0.72 0.4 0.0 -1.88 0.0 1.28 CT51_GPS
2.6139 48.6992 17.6 16.25 0.0 0.0 0.33 0.32 0.0 -0.79 0.0 0.79 CT54_GPS
12.5671 43.3701 22.99 19.19 0.0 0.0 0.33 0.33 0.0 0.7 0.0 0.7 ATFO_GPS
15.7595 40.0783 22.57 16.58 0.0 0.0 0.32 0.25 0.0 -0.05 0.0 1.05 RVLO_GPS
2.7581 48.5289 18.25 17.19 0.0 0.0 0.23 0.33 0.0 -0.6 0.0 0.84 CT5I_GPS
13.7201 42.3675 24.67 18.91 0.0 0.0 0.23 0.27 0.0 3.08 0.0 0.91 CDRA_GPS
1.189 48.0473 16.75 17.07 0.0 0.0 0.49 0.9 0.0 0.25 0.0 1.61 CT84_GPS
14.5564 40.8705 21.28 16.89 0.0 0.0 0.14 0.12 0.0 -0.88 0.0 0.48 PACA_GPS
7.0381 53.416 15.77 15.33 0.0 0.0 0.21 0.17 0.0 -0.46 0.0 0.76 KRUM_GPS
5.888 50.817 18.66 16.04 0.0 0.0 0.23 0.23 0.0 0.99 0.0 0.87 GULP_GPS
1.8888 49.0044 15.33 16.15 0.0 0.0 0.6 0.34 0.0 -1.22 0.0 1.32 CTXA_GPS
5.7029 50.8449 17.99 16.93 0.0 0.0 0.13 0.13 0.0 0.41 0.0 0.49 MSTR_GPS
15.0826 41.1097 21.59 17.69 0.0 0.0 0.33 0.3 0.0 2.38 0.0 0.92 AVO1_GPS
0.3643 49.6519 19.2 16.43 0.0 0.0 0.55 0.34 0.0 -0.47 0.0 0.88 CTZ2_GPS
4.113 51.981 16.93 17.51 0.0 0.0 0.31 0.35 0.0 1.65 0.0 1.26 HOEK_GPS
15.1682 40.7826 20.52 16.52 0.0 0.0 0.33 0.23 0.0 0.62 0.0 0.7 MCRV_GPS
12.5654 43.3518 22.11 19.11 0.0 0.0 0.72 0.67 0.0 2.61 0.0 3.37 GUIE_GPS
13.6434 45.5038 21.38 17.96 0.0 0.0 0.7 0.57 0.0 -2.23 0.0 1.99 MALJ_GPS
5.6964 50.9633 16.81 14.86 0.0 0.0 0.21 0.23 0.0 7.0 0.0 0.76 MAME_GPS
12.8331 41.7281 20.29 17.02 0.0 0.0 0.31 0.28 0.0 0.04 0.0 1.13 LARN_GPS
13.5151 42.1376 20.71 19.8 0.0 0.0 0.32 0.32 0.0 3.52 0.0 0.94 OVRA_GPS
13.2924 42.6265 21.25 18.93 0.0 0.0 0.37 0.25 0.0 -0.53 0.0 1.01 AMAP_GPS
21.7812 38.3701 13.43 1.76 0.0 0.0 0.22 0.22 0.0 -1.12 0.0 1.16 NAFP_GPS
6.9261 53.4338 16.92 13.63 0.0 0.0 0.29 0.3 0.0 -1.17 0.0 0.76 TGD2_GPS
6.7818 53.1878 16.72 16.39 0.0 0.0 0.19 0.14 0.0 -4.84 0.0 0.53 FROO_GPS
6.6221 53.425 18.2 14.4 0.0 0.0 0.16 0.15 0.0 -2.29 0.0 0.63 USQU_GPS
15.5179 38.1765 24.84 19.41 0.0 0.0 0.71 0.54 0.0 -1.42 0.0 2.1 MECI_GPS
12.9829 49.2627 19.88 14.28 0.0 0.0 0.64 0.55 0.0 -1.35 0.0 2.07 NEU2_GPS
6.5009 53.3328 19.33 15.48 0.0 0.0 0.38 0.36 0.0 -0.44 0.0 1.58 RANU_GPS
5.867 53.4831 19.69 16.69 0.0 0.0 0.29 0.31 0.0 -4.04 0.0 0.7 AME2_GPS
6.9402 53.32 17.03 14.51 0.0 0.0 0.13 0.11 0.0 -5.24 0.0 0.38 DZYL_GPS
2.1154 48.9031 18.3 15.17 0.0 0.0 0.58 0.91 0.0 -1.06 0.0 2.66 PECQ_GPS
1.2329 48.4519 18.29 17.36 0.0 0.0 0.28 0.42 0.0 -0.77 0.0 0.58 CT15_GPS
7.1221 53.213 19.5 15.46 0.0 0.0 0.66 0.81 0.0 -3.11 0.0 3.5 GANZ_GPS
6.5659 53.2997 18.23 15.11 0.0 0.0 0.36 0.32 0.0 -2.32 0.0 1.55 BEDU_GPS
