Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
12.2256 43.4525 23.162 18.4 0.0 0.0 0.138 0.126 0.001 -0.77 0.0 0.362 REMO_GPS
14.0993 40.8342 -7.754 40.295 0.0 0.0 0.455 0.376 0.001 36.661 0.0 1.031 POIS_GPS
10.9466 43.7221 22.507 17.728 0.0 0.0 0.122 0.147 0.001 -1.252 0.0 0.547 EMNS_GPS
21.9598 38.1894 110.687 -33.596 0.0 0.0 0.642 0.386 0.001 -21.585 0.0 1.156 KRIN_GPS
10.9347 43.7151 21.065 16.365 0.0 0.0 0.091 0.127 0.001 -1.756 0.0 0.386 EMPO_GPS
11.7739 44.2249 23.28 18.967 0.0 0.0 0.087 0.084 0.001 1.046 0.0 0.463 BRI1_GPS
14.0993 40.8323 8.765 24.359 0.0 0.0 0.17 0.144 0.001 14.336 0.0 0.453 ARFE_GPS
12.2085 45.857 20.754 17.503 0.0 0.0 0.078 0.118 0.001 -0.441 0.0 0.477 SUSE_GPS
12.0491 45.7829 61.916 -13.413 0.0 0.0 0.238 0.178 0.001 11.928 0.0 0.718 MBEL_GPS
13.7201 42.3675 23.084 18.646 0.0 0.0 0.072 0.084 0.001 2.655 0.0 0.32 CDRA_GPS
12.5606 44.3911 23.415 16.852 0.0 0.0 0.102 0.102 0.001 -4.553 0.0 0.252 PCCP_GPS
12.267 44.4948 23.817 19.494 0.0 0.0 0.05 0.043 0.001 -7.585 0.0 0.278 PCTA_GPS
10.1795 45.5655 18.836 14.764 0.0 0.0 0.146 0.197 0.001 0.568 0.0 0.394 CEL1_GPS
15.5179 38.1765 24.872 19.438 0.0 0.0 0.365 0.251 0.001 -0.912 0.0 1.313 MECI_GPS
11.6468 44.52 22.447 17.77 0.0 0.0 0.065 0.059 0.001 -1.82 0.0 0.136 MEDI_GPS
12.4547 45.4677 23.198 16.084 0.0 0.0 0.216 0.222 0.001 -9.122 0.0 0.856 TREP_GPS
12.3339 45.4375 19.82 15.929 0.0 0.0 0.2 0.332 0.001 -1.183 0.0 0.957 VE01_GPS
12.8757 49.145 20.223 15.032 0.0 0.0 0.102 0.111 0.001 -0.217 0.0 0.916 WRLG_GPS
12.8331 45.7674 20.779 18.417 0.0 0.0 0.177 0.321 0.001 -2.622 0.0 1.4 VE02_GPS
12.2651 43.8173 21.414 19.094 0.0 0.0 0.044 0.05 0.001 0.125 0.0 0.17 PEN2_GPS
12.2651 43.8173 22.08 19.933 0.0 0.0 0.278 0.428 0.001 -1.416 0.0 1.213 PENB_GPS
12.5671 43.3701 23.095 18.975 0.0 0.0 0.1 0.096 0.001 1.809 0.0 0.306 ATFO_GPS
12.4195 41.9037 20.093 15.818 0.0 0.0 0.09 0.135 0.001 0.535 0.0 0.456 ROAN_GPS
21.8923 38.308 10.576 -9.58 0.0 0.0 0.23 0.219 0.001 0.364 0.0 0.757 ROD3_GPS
12.3936 43.111 21.202 17.625 0.0 0.0 0.12 0.158 0.001 0.759 0.0 0.797 PERU_GPS
14.1358 40.8303 34.201 36.657 0.0 0.0 0.199 0.218 0.001 35.174 0.0 0.749 SOL__GPS
16.3637 40.1382 20.23 20.685 0.0 0.0 0.326 0.314 0.001 -2.677 0.0 0.586 MSGL_GPS
12.833 41.7281 20.466 17.249 0.0 0.0 0.162 0.158 0.001 -0.681 0.0 0.627 LARN_GPS
14.4299 40.83 20.551 13.103 0.0 0.0 0.154 0.161 0.001 -8.847 0.0 0.52 BKNO_GPS
16.1377 39.4626 27.429 16.314 0.0 0.0 0.586 0.298 0.001 -2.282 0.0 1.884 LATT_GPS
14.6297 40.8741 20.33 17.601 0.0 0.0 0.157 0.236 0.001 -3.985 0.0 0.579 AV03_GPS
9.1101 39.228 20.352 15.044 0.0 0.0 0.076 0.054 0.001 -4.773 0.0 0.292 CAGJ_GPS
3.0898 45.7129 14.665 17.074 0.0 0.0 0.417 0.183 0.001 -3.398 0.0 0.625 OPME_GPS
15.8874 40.3132 23.516 16.144 0.0 0.0 0.155 0.206 0.001 -5.192 0.0 0.997 VIG3_GPS
12.3159 44.3973 28.804 15.607 0.0 0.0 0.059 0.049 0.001 -14.474 0.0 0.218 FIUN_GPS
14.2583 40.8474 24.398 17.702 0.0 0.0 0.152 0.109 0.001 0.353 0.0 0.459 MAFE_GPS
12.5247 43.2632 22.416 15.071 0.0 0.0 0.178 0.208 0.001 -0.718 0.0 0.347 MURB_GPS
13.253 46.0372 20.696 18.097 0.0 0.0 0.175 0.269 0.001 -5.766 0.0 1.032 UDIN_GPS
12.4211 45.4421 18.975 20.82 0.0 0.0 0.202 0.314 0.001 -5.222 0.0 0.636 VINE_GPS
25.3846 36.3961 5.092 -25.79 0.0 0.0 0.149 0.258 0.001 11.051 0.0 0.624 PKMN_GPS
14.174 40.8048 34.011 11.418 0.0 0.0 0.374 0.224 0.001 8.72 0.0 0.971 BAGN_GPS
14.0802 40.8098 11.5 13.88 0.0 0.0 0.14 0.091 0.001 5.111 0.0 0.316 BAIY_GPS
12.6646 41.5968 21.175 15.488 0.0 0.0 0.076 0.088 0.001 0.683 0.0 0.298 APRI_GPS
13.5151 42.1376 20.978 19.366 0.0 0.0 0.133 0.162 0.001 0.394 0.0 0.402 OVRA_GPS
11.957 45.3459 21.292 15.426 0.0 0.0 0.078 0.122 0.001 -0.803 0.0 0.438 LERO_GPS
13.8336 41.6194 21.915 17.218 0.0 0.0 0.218 0.322 0.001 0.554 0.0 0.93 TINA_GPS
10.5244 45.6183 21.206 15.195 0.0 0.0 0.089 0.116 0.001 -1.824 0.0 0.395 SALO_GPS
15.1291 41.544 27.102 15.115 0.0 0.0 0.121 0.205 0.001 -0.89 0.0 0.701 PMCO_GPS
12.9494 43.5049 24.107 15.121 0.0 0.0 0.102 0.105 0.001 -1.815 0.0 0.308 ARCE_GPS
14.1679 40.8371 30.579 22.9 0.0 0.0 0.153 0.129 0.001 7.89 0.0 0.355 IPPO_GPS
