Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
33.55770 41.20826 24.33 4.95 0.00 0.00 6.96 6.96 0.000 15.08 0.00 -15.08 IHGZ_GPS
30.64430 38.76888 -6.59 0.11 0.00 0.00 7.49 7.45 0.000 2.70 0.00 2.70 AFYO_GIZ
30.63810 40.61426 -9.16 1.35 0.00 0.00 56.85 56.85 0.000 2.35 0.00 2.35 KTOP_GDU
30.13020 40.74533 26.11 5.20 0.00 0.00 23.09 23.09 0.000 -9.06 0.00 -9.06 SISL_G35
29.80370 40.70525 6.03 -5.97 0.00 0.00 39.51 39.52 0.000 -3.35 0.00 -3.35 GLCK_G32
29.53520 37.18532 -6.37 -6.99 0.00 0.00 9.39 9.4 0.000 3.99 0.00 3.99 YSFC_GPS
29.51380 40.16384 -8.41 -1.44 0.00 0.00 29.8 29.8 0.000 -4.48 0.00 -4.48 HMZA_GIZ
29.13140 40.09755 -5.44 0.27 0.00 0.00 10.79 10.79 0.000 -2.02 0.00 -2.02 ULUT_GPS
23.57220 42.77267 21.21 18.74 0.00 0.00 9.51 9.52 0.000 1.30 0.00 1.30 BUHO_GPS
22.38350 36.49327 -12.27 -5.27 0.00 0.00 11.93 11.93 0.000 0.88 0.00 0.52 KERY_GG3
